site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
KYTB 08JAN31 2008.0821 54496 1464 4  -87.5    287  0.059648   4135712  0.176884   134  0.026069  0.0000 0.000499 0.000576 0.001811  0.054280 -0.064626 -0.169657
KYTB 08FEB01 2008.0849 54497 1464 5  -87.5    287  0.058806   4135712  0.176888   134  0.022605  0.0000 0.000493 0.000571 0.001779  0.054317 -0.052003 -0.158743
KYTB 08FEB02 2008.0876 54498 1464 6  -87.5    287  0.058281   4135712  0.175305   134  0.026215  0.0000 0.000594 0.000673 0.002084  0.076510  0.012965 -0.130228
KYTB 08FEB03 2008.0903 54499 1465 0  -87.5    287  0.059100   4135712  0.176794   134  0.031827  0.0000 0.000494 0.000572 0.001804  0.048566 -0.036142 -0.163878
KYTB 08FEB04 2008.0931 54500 1465 1  -87.5    287  0.056461   4135712  0.174683   134  0.030890  0.0000 0.000497 0.000574 0.001815  0.038749 -0.046177 -0.180866
KYTB 08FEB05 2008.0958 54501 1465 2  -87.5    287  0.056695   4135712  0.174937   134  0.036183  0.0000 0.000516 0.000615 0.001952  0.074392 -0.051111 -0.206007
KYTB 08FEB06 2008.0986 54502 1465 3  -87.5    287  0.060177   4135712  0.176973   134  0.026615  0.0000 0.000780 0.000965 0.003038  0.037192 -0.185121 -0.181285
KYTB 08FEB07 2008.1013 54503 1465 4  -87.5    287  0.057736   4135712  0.178604   134  0.026845  0.0000 0.000499 0.000589 0.001826  0.055582 -0.048670 -0.171275
KYTB 08FEB08 2008.1040 54504 1465 5  -87.5    287  0.058401   4135712  0.177655   134  0.028857  0.0000 0.000494 0.000576 0.001800  0.051345 -0.047265 -0.166759
KYTB 08FEB09 2008.1068 54505 1465 6  -87.5    287  0.057821   4135712  0.177062   134  0.023657  0.0000 0.000490 0.000570 0.001784  0.048414 -0.044630 -0.161707
KYTB 08FEB10 2008.1095 54506 1466 0  -87.5    287  0.057603   4135712  0.179446   134  0.021680  0.0000 0.000490 0.000569 0.001787  0.039388 -0.044822 -0.169443
KYTB 08FEB11 2008.1123 54507 1466 1  -87.5    287  0.057853   4135712  0.178579   134  0.023037  0.0000 0.000493 0.000577 0.001812  0.047218 -0.045837 -0.150106
KYTB 08FEB12 2008.1150 54508 1466 2  -87.5    287  0.056101   4135712  0.177878   134  0.040686  0.0000 0.000618 0.000717 0.002296  0.080673  0.000757 -0.183923
KYTB 08FEB13 2008.1177 54509 1466 3  -87.5    287  0.058013   4135712  0.172820   134  0.030015  0.0000 0.000492 0.000579 0.001817  0.055404 -0.051951 -0.144489
KYTB 08FEB14 2008.1205 54510 1466 4  -87.5    287  0.059024   4135712  0.173946   134  0.032747  0.0000 0.000492 0.000579 0.001812  0.059578 -0.038384 -0.171716
KYTB 08FEB15 2008.1232 54511 1466 5  -87.5    287  0.057748   4135712  0.176651   134  0.026558  0.0000 0.000496 0.000587 0.001855  0.033884 -0.043393 -0.141731
KYTB 08FEB16 2008.1259 54512 1466 6  -87.5    287  0.056998   4135712  0.176557   134  0.028150  0.0000 0.000489 0.000572 0.001788  0.047757 -0.048583 -0.167493
KYTB 08FEB17 2008.1287 54513 1467 0  -87.5    287  0.057729   4135712  0.176959   134  0.030323  0.0000 0.000491 0.000577 0.001822  0.052708 -0.044037 -0.156127
KYTB 08FEB18 2008.1314 54514 1467 1  -87.5    287  0.055508   4135712  0.177506   134  0.021164  0.0000 0.000494 0.000583 0.001816  0.062539 -0.064023 -0.161520
KYTB 08FEB19 2008.1342 54515 1467 2  -87.5    287  0.056056   4135712  0.176334   134  0.015118  0.0000 0.000488 0.000574 0.001783  0.056397 -0.058078 -0.157937
KYTB 08FEB20 2008.1369 54516 1467 3  -87.5    287  0.057529   4135712  0.176978   134  0.020073  0.0000 0.000491 0.000572 0.001794  0.049572 -0.049675 -0.169247
KYTB 08FEB21 2008.1396 54517 1467 4  -87.5    287  0.058484   4135712  0.175823   134  0.023723  0.0000 0.000488 0.000570 0.001786  0.049175 -0.057286 -0.172806
KYTB 08FEB22 2008.1424 54518 1467 5  -87.5    287  0.060470   4135712  0.172714   134  0.064711  0.0000 0.000566 0.000671 0.002261  0.048127 -0.051683 -0.189232
KYTB 08FEB23 2008.1451 54519 1467 6  -87.5    287  0.058029   4135712  0.176266   134  0.030362  0.0000 0.000488 0.000576 0.001794  0.049434 -0.051364 -0.138032
KYTB 08FEB24 2008.1478 54520 1468 0  -87.5    287  0.056971   4135712  0.175224   134  0.026831  0.0000 0.000487 0.000574 0.001793  0.045248 -0.051932 -0.136480
KYTB 08FEB25 2008.1506 54521 1468 1  -87.5    287  0.057002   4135712  0.177505   134  0.031101  0.0000 0.000490 0.000577 0.001805  0.046429 -0.053162 -0.143000
KYTB 08FEB26 2008.1533 54522 1468 2  -87.5    287  0.055107   4135712  0.175366   134  0.017777  0.0000 0.000491 0.000577 0.001805  0.033253 -0.048065 -0.146508
KYTB 08FEB27 2008.1561 54523 1468 3  -87.5    287  0.055895   4135712  0.176521   134  0.013185  0.0000 0.000488 0.000568 0.001790  0.042953 -0.060625 -0.123738
KYTB 08FEB28 2008.1588 54524 1468 4  -87.5    287  0.057464   4135712  0.176181   134  0.016559  0.0000 0.000482 0.000561 0.001755  0.050373 -0.052712 -0.121992
KYTB 08MAR02 2008.1670 54527 1469 0  -87.5    287  0.057065   4135712  0.177123   134  0.029158  0.0000 0.000485 0.000569 0.001784  0.064311 -0.057763 -0.141933
KYTB 08MAR03 2008.1697 54528 1469 1  -87.5    287  0.056945   4135712  0.175389   134  0.030585  0.0000 0.000591 0.000656 0.002071  0.061764 -0.022440 -0.116788
KYTB 08MAR05 2008.1752 54530 1469 3  -87.5    287  0.057016   4135712  0.176447   134  0.023830  0.0000 0.000496 0.000581 0.001846  0.083137 -0.061456 -0.142847
KYTB 08MAR06 2008.1780 54531 1469 4  -87.5    287  0.057182   4135712  0.176620   134  0.016052  0.0000 0.000532 0.000606 0.001914  0.060813 -0.055808 -0.136016
KYTB 08MAR12 2008.1944 54537 1470 3  -87.5    287  0.055948   4135712  0.176723   134  0.027654  0.0000 0.000505 0.000589 0.001853  0.053954 -0.070398 -0.162201
KYTB 08MAR13 2008.1971 54538 1470 4  -87.5    287  0.054960   4135712  0.175386   134  0.025638  0.0000 0.000486 0.000565 0.001792  0.064134 -0.086895 -0.162717
KYTB 08MAR14 2008.1999 54539 1470 5  -87.5    287  0.057340   4135712  0.176509   134  0.025633  0.0000 0.000545 0.000619 0.001976  0.053193 -0.081480 -0.126668
KYTB 08MAR15 2008.2026 54540 1470 6  -87.5    287  0.056631   4135712  0.176329   134  0.023359  0.0000 0.000486 0.000567 0.001792  0.052244 -0.057242 -0.157014
KYTB 08MAR16 2008.2053 54541 1471 0  -87.5    287  0.057016   4135712  0.177823   134  0.019000  0.0000 0.000482 0.000564 0.001765  0.057129 -0.052945 -0.147863
KYTB 08MAR17 2008.2081 54542 1471 1  -87.5    287  0.057391   4135712  0.179032   134  0.031413  0.0000 0.000505 0.000579 0.001832  0.027110 -0.029358 -0.139041
KYTB 08MAR18 2008.2108 54543 1471 2  -87.5    287  0.057787   4135712  0.174872   134  0.027555  0.0000 0.000505 0.000577 0.001827  0.029837 -0.053722 -0.129341
KYTB 08MAR19 2008.2136 54544 1471 3  -87.5    287  0.056032   4135712  0.174836   134  0.019567  0.0000 0.000495 0.000569 0.001796  0.046199 -0.060495 -0.135262
KYTB 08MAR20 2008.2163 54545 1471 4  -87.5    287  0.054190   4135712  0.174345   134  0.015716  0.0000 0.000495 0.000567 0.001781  0.050304 -0.051420 -0.129300
KYTB 08MAR21 2008.2190 54546 1471 5  -87.5    287  0.056719   4135712  0.178470   134  0.018857  0.0000 0.000490 0.000566 0.001769  0.045996 -0.038018 -0.116563
KYTB 08MAR22 2008.2218 54547 1471 6  -87.5    287  0.053525   4135712  0.177096   134  0.010592  0.0000 0.000494 0.000569 0.001781  0.043654 -0.039171 -0.132182
KYTB 08MAR23 2008.2245 54548 1472 0  -87.5    287  0.053354   4135712  0.176247   134  0.005481  0.0000 0.000491 0.000566 0.001765  0.054736 -0.052508 -0.134667
KYTB 08MAR24 2008.2272 54549 1472 1  -87.5    287  0.054676   4135712  0.174246   134  0.005613  0.0000 0.000495 0.000568 0.001790  0.050469 -0.056251 -0.141916
KYTB 08MAR25 2008.2300 54550 1472 2  -87.5    287  0.057172   4135712  0.177459   134  0.019323  0.0000 0.000500 0.000582 0.001839  0.090953 -0.074786 -0.150661
KYTB 08MAR26 2008.2327 54551 1472 3  -87.5    287  0.056507   4135712  0.176919   134  0.019709  0.0000 0.000497 0.000579 0.001815  0.100682 -0.064511 -0.153369
KYTB 08MAR27 2008.2355 54552 1472 4  -87.5    287  0.056260   4135712  0.176681   134  0.021424  0.0000 0.000495 0.000579 0.001811  0.091136 -0.065508 -0.132492
KYTB 08MAR28 2008.2382 54553 1472 5  -87.5    287  0.054866   4135712  0.178409   134  0.028154  0.0000 0.000489 0.000578 0.001792  0.064736 -0.046487 -0.136890
KYTB 08MAR29 2008.2409 54554 1472 6  -87.5    287  0.056728   4135712  0.176237   134  0.022022  0.0000 0.000484 0.000563 0.001751  0.074485 -0.058333 -0.133464
KYTB 08MAR30 2008.2437 54555 1473 0  -87.5    287  0.055538   4135712  0.175328   134  0.022600  0.0000 0.000485 0.000562 0.001767  0.076913 -0.069522 -0.132467
KYTB 08MAR31 2008.2464 54556 1473 1  -87.5    287  0.055933   4135712  0.175412   134  0.023543  0.0000 0.000485 0.000561 0.001741  0.078147 -0.058858 -0.142648
KYTB 08APR01 2008.2491 54557 1473 2  -87.5    287  0.055180   4135712  0.175053   134  0.021205  0.0000 0.000520 0.000596 0.001895  0.087697 -0.134559 -0.138647
KYTB 08APR02 2008.2519 54558 1473 3  -87.5    287  0.054786   4135712  0.176465   134  0.020955  0.0000 0.000490 0.000572 0.001770  0.087207 -0.067569 -0.153398
KYTB 08APR03 2008.2546 54559 1473 4  -87.5    287  0.054902   4135712  0.177790   134  0.019096  0.0000 0.000518 0.000599 0.001890  0.094016 -0.108281 -0.158268
KYTB 08APR04 2008.2574 54560 1473 5  -87.5    287  0.053724   4135712  0.174411   134  0.034449  0.0000 0.000491 0.000567 0.001762  0.082765 -0.058019 -0.154306
KYTB 08APR05 2008.2601 54561 1473 6  -87.5    287  0.052908   4135712  0.175153   134  0.019312  0.0000 0.000483 0.000560 0.001725  0.082818 -0.065820 -0.134943
KYTB 08APR06 2008.2628 54562 1474 0  -87.5    287  0.054382   4135712  0.175607   134  0.019443  0.0000 0.000485 0.000562 0.001731  0.081748 -0.047488 -0.144282
KYTB 08APR07 2008.2656 54563 1474 1  -87.5    287  0.053260   4135712  0.177212   134  0.022056  0.0000 0.000496 0.000579 0.001807  0.098539 -0.089232 -0.151571
KYTB 08APR08 2008.2683 54564 1474 2  -87.5    287  0.054015   4135712  0.174663   134  0.022410  0.0000 0.000483 0.000564 0.001741  0.083435 -0.055523 -0.108664
KYTB 08APR09 2008.2710 54565 1474 3  -87.5    287  0.054163   4135712  0.176516   134  0.028397  0.0000 0.000486 0.000562 0.001738  0.088601 -0.072196 -0.136748
KYTB 08APR10 2008.2738 54566 1474 4  -87.5    287  0.055220   4135712  0.175016   134  0.026288  0.0000 0.000523 0.000602 0.001900  0.085302 -0.060896 -0.119200
KYTB 08APR11 2008.2765 54567 1474 5  -87.5    287  0.051667   4135712  0.177754   134  0.026808  0.0000 0.000497 0.000571 0.001809  0.087091 -0.076029 -0.128942
KYTB 08APR12 2008.2793 54568 1474 6  -87.5    287  0.052523   4135712  0.178001   134  0.019292  0.0000 0.000491 0.000574 0.001760  0.065193 -0.054408 -0.135381
