site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LAA1 18AUG31 2018.6639 58361 2016 5  -92.5   4318  0.644036   3464715  0.178975     6  0.063781  0.0000 0.000488 0.000542 0.001878  0.002032 -0.000055 -0.176224
LAA1 18SEP01 2018.6667 58362 2016 6  -92.5   4318  0.641402   3464715  0.177449     6  0.066701  0.0000 0.000484 0.000541 0.001857  0.007724 -0.005217 -0.169765
LAA1 18SEP02 2018.6694 58363 2017 0  -92.5   4318  0.640225   3464715  0.175390     6  0.077051  0.0000 0.000482 0.000540 0.001847 -0.001489  0.011307 -0.156602
LAA1 18SEP03 2018.6721 58364 2017 1  -92.5   4318  0.643184   3464715  0.178984     6  0.075305  0.0000 0.000484 0.000541 0.001858 -0.001914  0.003259 -0.155903
LAA1 18SEP04 2018.6749 58365 2017 2  -92.5   4318  0.644847   3464715  0.177646     6  0.068341  0.0000 0.000483 0.000541 0.001858  0.002163  0.007323 -0.150982
LAA1 18SEP05 2018.6776 58366 2017 3  -92.5   4318  0.643506   3464715  0.178561     6  0.065610  0.0000 0.000484 0.000540 0.001854  0.017550  0.008579 -0.167975
LAA1 18SEP06 2018.6804 58367 2017 4  -92.5   4318  0.640621   3464715  0.176493     6  0.062122  0.0000 0.000500 0.000549 0.001878  0.034890  0.001838 -0.152361
LAA1 18SEP07 2018.6831 58368 2017 5  -92.5   4318  0.641198   3464715  0.177389     6  0.059081  0.0000 0.000522 0.000568 0.001961  0.038267 -0.009980 -0.162611
LAA1 18SEP10 2018.6913 58371 2018 1  -92.5   4318  0.643366   3464715  0.179039     6  0.064765  0.0000 0.000499 0.000550 0.001896  0.002668  0.023850 -0.164382
LAA1 18SEP16 2018.7077 58377 2019 0  -92.5   4318  0.642475   3464715  0.173866     6  0.053297  0.0000 0.000502 0.000559 0.001929 -0.000874  0.026119 -0.180611
LAA1 18OCT11 2018.7762 58402 2022 4  -92.5   4318  0.637924   3464715  0.176784     6  0.057499  0.0000 0.000496 0.000549 0.001885  0.000163  0.011711 -0.170016
LAA1 18OCT12 2018.7789 58403 2022 5  -92.5   4318  0.636777   3464715  0.176645     6  0.064727  0.0000 0.000491 0.000547 0.001869 -0.012078 -0.001712 -0.156641
