site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LNLK 96SEP11 1996.6954 50337  870 3 -101.1   2031  0.427904   6304508  0.914095   317  0.758668  0.0740 0.000918 0.001308 0.003896  0.021934 -0.000983  0.061860
LNLK 96SEP12 1996.6982 50338  870 4 -101.1   2031  0.428721   6304508  0.912835   317  0.768166  0.0740 0.000812 0.001209 0.003524  0.056251 -0.036666  0.058113
LNLK 96SEP13 1996.7009 50339  870 5 -101.1   2031  0.427309   6304508  0.912737   317  0.773546  0.0740 0.000814 0.001189 0.003538  0.071693 -0.096341  0.070013
LNLK 02JUL08 2002.5161 52463 1174 1 -101.1   2031  0.320272   6304508  0.872317   317  0.817793  0.0758 0.000710 0.001028 0.002783  0.024632  0.019946  0.042939
LNLK 02JUL09 2002.5188 52464 1174 2 -101.1   2031  0.317981   6304508  0.868948   317  0.816979  0.0758 0.000580 0.000799 0.002353 -0.051610 -0.066045  0.045083
LNLK 02JUL11 2002.5243 52466 1174 4 -101.1   2031  0.324103   6304508  0.874964   317  0.820208  0.0720 0.000728 0.001087 0.002844  0.054592 -0.020794  0.076334
LNLK 02JUL12 2002.5270 52467 1174 5 -101.1   2031  0.322967   6304508  0.871374   317  0.821174  0.0720 0.000820 0.001014 0.003293  0.103991  0.072454  0.095047
LNLK 06JUL22 2006.5544 53938 1384 6 -101.1   2031  0.248182   6304508  0.848903   317  0.844231  0.0730 0.000467 0.000658 0.001880  0.049603 -0.063638  0.064832
LNLK 06JUL23 2006.5572 53939 1385 0 -101.1   2031  0.248975   6304508  0.849935   317  0.847278  0.0730 0.000471 0.000659 0.001905  0.019566 -0.049113  0.092371
LNLK 06JUL24 2006.5599 53940 1385 1 -101.1   2031  0.249755   6304508  0.851182   317  0.848091  0.0730 0.000468 0.000670 0.001906  0.038022 -0.071133  0.097779
LNLK 06JUL26 2006.5654 53942 1385 3 -101.1   2031  0.243918   6304508  0.846248   317  0.839740  0.0690 0.000688 0.001021 0.002687  0.067295  0.008013  0.096185
LNLK 06JUL27 2006.5681 53943 1385 4 -101.1   2031  0.244241   6304508  0.845783   317  0.857680  0.0690 0.000607 0.000817 0.002491  0.030075 -0.145485  0.047355
LNLK 11JUL14 2011.5318 55756 1644 4 -101.1   2031  0.162687   6304508  0.813486   317  0.883456  0.0750 0.000761 0.001015 0.003153  0.147935 -0.086126  0.118835
LNLK 11JUL19 2011.5455 55761 1645 2 -101.1   2031  0.156176   6304508  0.815006   317  0.866525  0.0763 0.000736 0.001006 0.003048  0.145006 -0.046902  0.110200
LNLK 11JUL20 2011.5483 55762 1645 3 -101.1   2031  0.158420   6304508  0.823999   317  0.875742  0.0763 0.000485 0.000672 0.002037  0.050535 -0.066752  0.063674
LNLK 11JUL21 2011.5510 55763 1645 4 -101.1   2031  0.157847   6304508  0.815271   317  0.877596  0.0763 0.000583 0.000856 0.002536  0.018375 -0.176295  0.078440
LNLK 17JUL17 2017.5414 57951 1958 1 -101.1   2031  0.046780   6304508  0.772922   317  0.902002  0.0818 0.000733 0.000973 0.002984  0.045814 -0.178841 -0.042991
LNLK 17JUL18 2017.5441 57952 1958 2 -101.1   2031  0.046168   6304508  0.771035   317  0.898439  0.0818 0.000754 0.000992 0.003057  0.051543 -0.229000  0.023057
