site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LSAM 08AUG14 2008.6188 54692 1492 4  -74.2  -2236 -0.531155   1244197  0.513597    25  0.488389  0.0000 0.002608 0.001678 0.007096 -0.045857 -0.088533 -0.034026
LSAM 08AUG15 2008.6215 54693 1492 5  -74.2  -2236 -0.576727   1244197  0.517215    25  0.429555  0.0000 0.001757 0.001270 0.005541 -0.050621  0.083736 -0.115290
LSAM 08AUG16 2008.6242 54694 1492 6  -74.2  -2236 -0.579560   1244197  0.517513    25  0.419873  0.0000 0.001258 0.000951 0.004528 -0.123178  0.168744  0.010018
LSAM 08AUG17 2008.6270 54695 1493 0  -74.2  -2236 -0.581628   1244197  0.525306    25  0.419112  0.0000 0.001719 0.001336 0.005629 -0.194347  0.058730  0.030943
LSAM 08AUG18 2008.6297 54696 1493 1  -74.2  -2236 -0.585566   1244197  0.525499    25  0.407066  0.0000 0.001574 0.001176 0.005377 -0.085484  0.155008 -0.077761
LSAM 08AUG19 2008.6324 54697 1493 2  -74.2  -2236 -0.586566   1244197  0.530189    25  0.459438  0.0000 0.002028 0.001621 0.007138 -0.025490 -0.066226  0.027867
LSAM 08AUG20 2008.6352 54698 1493 3  -74.2  -2236 -0.582505   1244197  0.517404    25  0.424920  0.0000 0.001462 0.001058 0.004953 -0.098945  0.147309 -0.050305
LSAM 08AUG21 2008.6379 54699 1493 4  -74.2  -2236 -0.545510   1244197  0.524009    25  0.381225  0.0000 0.001442 0.001100 0.005043 -0.084577 -0.060242 -0.096938
LSAM 08AUG22 2008.6407 54700 1493 5  -74.2  -2236 -0.582499   1244197  0.516092    25  0.449804  0.0000 0.001178 0.000794 0.003830 -0.179897  0.107194 -0.060043
LSAM 08AUG23 2008.6434 54701 1493 6  -74.2  -2236 -0.582047   1244197  0.520832    25  0.440376  0.0000 0.000930 0.000658 0.003055 -0.125075  0.087772 -0.095554
LSAM 08AUG24 2008.6461 54702 1494 0  -74.2  -2236 -0.585399   1244197  0.519790    25  0.448103  0.0000 0.000849 0.000600 0.002852 -0.146074  0.135997 -0.078853
LSAM 08AUG25 2008.6489 54703 1494 1  -74.2  -2236 -0.577302   1244197  0.519056    25  0.435404  0.0000 0.001485 0.000993 0.005158 -0.184716  0.079721 -0.071381
LSAM 08AUG26 2008.6516 54704 1494 2  -74.2  -2236 -0.577430   1244197  0.518872    25  0.428717  0.0000 0.001192 0.000853 0.004117 -0.169891  0.064712 -0.079290
LSAM 08AUG27 2008.6543 54705 1494 3  -74.2  -2236 -0.569689   1244197  0.520329    25  0.439688  0.0000 0.001434 0.000968 0.005197 -0.192668  0.121636 -0.080271
LSAM 08AUG28 2008.6571 54706 1494 4  -74.2  -2236 -0.573285   1244197  0.516291    25  0.452874  0.0000 0.001359 0.000958 0.004528 -0.110880  0.109862 -0.126003
LSAM 08AUG29 2008.6598 54707 1494 5  -74.2  -2236 -0.574894   1244197  0.520976    25  0.469011  0.0000 0.001505 0.001152 0.005294 -0.255052  0.140584 -0.080561
LSAM 08AUG30 2008.6626 54708 1494 6  -74.2  -2236 -0.574769   1244197  0.521321    25  0.429322  0.0000 0.001219 0.000874 0.004232 -0.157894  0.081503 -0.026446
LSAM 08AUG31 2008.6653 54709 1495 0  -74.2  -2236 -0.560752   1244197  0.530435    25  0.415432  0.0000 0.001617 0.001257 0.005882 -0.071719 -0.075539 -0.000077
