site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LSCH 06NOV21 2006.8884 54060 1402 2  -71.2  -4446 -0.215600  -3309936 -0.318108    78  0.765414  0.0533 0.000807 0.000850 0.003528 -0.004928  0.011469  0.068127
LSCH 06NOV22 2006.8912 54061 1402 3  -71.2  -4446 -0.215708  -3309936 -0.319476    78  0.769588  0.0533 0.000800 0.000842 0.003464 -0.015774  0.001689  0.054131
LSCH 06NOV23 2006.8939 54062 1402 4  -71.2  -4446 -0.216363  -3309936 -0.316663    78  0.768873  0.0533 0.000796 0.000859 0.003536  0.003282  0.016836  0.062965
LSCH 06NOV24 2006.8966 54063 1402 5  -71.2  -4446 -0.214723  -3309936 -0.318855    78  0.757087  0.0533 0.000796 0.000861 0.003517  0.005790  0.018257  0.060651
LSCH 06NOV25 2006.8994 54064 1402 6  -71.2  -4446 -0.216210  -3309936 -0.319105    78  0.761158  0.0533 0.000798 0.000856 0.003494 -0.005122  0.022765  0.057480
LSCH 06NOV26 2006.9021 54065 1403 0  -71.2  -4446 -0.217168  -3309936 -0.320009    78  0.757406  0.0533 0.000795 0.000843 0.003455 -0.006947  0.024566  0.082959
LSCH 06NOV27 2006.9049 54066 1403 1  -71.2  -4446 -0.215936  -3309936 -0.317872    78  0.764149  0.0533 0.000809 0.000855 0.003510 -0.021944  0.007172  0.081448
LSCH 06NOV28 2006.9076 54067 1403 2  -71.2  -4446 -0.215897  -3309936 -0.318348    78  0.765485  0.0533 0.000794 0.000864 0.003502 -0.011629  0.018521  0.028907
LSCH 06NOV29 2006.9103 54068 1403 3  -71.2  -4446 -0.217126  -3309936 -0.319469    78  0.759858  0.0533 0.000791 0.000852 0.003465 -0.014889 -0.001424  0.057242
LSCH 06NOV30 2006.9131 54069 1403 4  -71.2  -4446 -0.216041  -3309936 -0.318618    78  0.763871  0.0533 0.000809 0.000880 0.003570 -0.028516  0.048055 -0.009516
LSCH 06DEC01 2006.9158 54070 1403 5  -71.2  -4446 -0.214220  -3309936 -0.320810    78  0.764200  0.0533 0.000798 0.000849 0.003476  0.003144  0.027096  0.070811
LSCH 06DEC02 2006.9185 54071 1403 6  -71.2  -4446 -0.213834  -3309936 -0.318399    78  0.762855  0.0533 0.000806 0.000852 0.003498 -0.020600  0.028806  0.064211
LSCH 06DEC03 2006.9213 54072 1404 0  -71.2  -4446 -0.215249  -3309936 -0.316985    78  0.761506  0.0533 0.000794 0.000850 0.003440 -0.007787  0.021689  0.053177
LSCH 06DEC04 2006.9240 54073 1404 1  -71.2  -4446 -0.214291  -3309936 -0.316638    78  0.754971  0.0533 0.000787 0.000842 0.003409  0.000133  0.004437  0.062979
LSCH 06DEC05 2006.9268 54074 1404 2  -71.2  -4446 -0.213578  -3309936 -0.319457    78  0.765739  0.0533 0.000789 0.000841 0.003421 -0.002755  0.017660  0.069641
LSCH 06DEC06 2006.9295 54075 1404 3  -71.2  -4446 -0.216045  -3309936 -0.314579    78  0.765468  0.0533 0.000815 0.000858 0.003561 -0.027142  0.027150  0.077529
LSCH 06DEC07 2006.9322 54076 1404 4  -71.2  -4446 -0.214326  -3309936 -0.316449    78  0.765987  0.0533 0.000795 0.000846 0.003439 -0.007426  0.002798  0.060347
LSCH 06DEC08 2006.9350 54077 1404 5  -71.2  -4446 -0.215705  -3309936 -0.319285    78  0.762384  0.0533 0.000832 0.000915 0.003658  0.002151  0.051502  0.061902
LSCH 06DEC09 2006.9377 54078 1404 6  -71.2  -4446 -0.217165  -3309936 -0.315933    78  0.761092  0.0533 0.000788 0.000846 0.003427 -0.002093  0.000347  0.080756
LSCH 06DEC10 2006.9405 54079 1405 0  -71.2  -4446 -0.215770  -3309936 -0.318000    78  0.763275  0.0533 0.000791 0.000841 0.003425  0.007995  0.028629  0.061798
LSCH 06DEC11 2006.9432 54080 1405 1  -71.2  -4446 -0.215606  -3309936 -0.319757    78  0.766207  0.0533 0.000794 0.000837 0.003435 -0.004680  0.026290  0.086117
LSCH 06DEC12 2006.9459 54081 1405 2  -71.2  -4446 -0.216045  -3309936 -0.318413    78  0.761943  0.0533 0.000795 0.000833 0.003433 -0.010769  0.025744  0.076820
LSCH 06DEC13 2006.9487 54082 1405 3  -71.2  -4446 -0.214970  -3309936 -0.319467    78  0.765002  0.0533 0.000783 0.000835 0.003391  0.002503  0.018688  0.071276
LSCH 06DEC14 2006.9514 54083 1405 4  -71.2  -4446 -0.215698  -3309936 -0.318362    78  0.753619  0.0533 0.000773 0.000835 0.003406  0.000013  0.009462  0.066754
LSCH 06DEC15 2006.9541 54084 1405 5  -71.2  -4446 -0.214879  -3309936 -0.319836    78  0.769696  0.0533 0.000940 0.000972 0.003963  0.068052  0.058419  0.051816
LSCH 06DEC16 2006.9569 54085 1405 6  -71.2  -4446 -0.215106  -3309936 -0.319700    78  0.769942  0.0533 0.000800 0.000846 0.003464  0.015537  0.028578  0.070311
LSCH 06DEC17 2006.9596 54086 1406 0  -71.2  -4446 -0.215521  -3309936 -0.318971    78  0.763476  0.0533 0.000773 0.000833 0.003405  0.007962  0.022094  0.087938
LSCH 06DEC18 2006.9624 54087 1406 1  -71.2  -4446 -0.214701  -3309936 -0.318421    78  0.758967  0.0533 0.000776 0.000834 0.003418  0.014283  0.010206  0.072538
LSCH 06DEC19 2006.9651 54088 1406 2  -71.2  -4446 -0.214481  -3309936 -0.318906    78  0.766018  0.0533 0.000786 0.000851 0.003529 -0.017461  0.000237  0.070511
LSCH 06DEC20 2006.9678 54089 1406 3  -71.2  -4446 -0.213612  -3309936 -0.315070    78  0.765685  0.0533 0.000797 0.000854 0.003518 -0.027119  0.042065  0.064059
LSCH 06DEC21 2006.9706 54090 1406 4  -71.2  -4446 -0.214105  -3309936 -0.315292    78  0.769705  0.0533 0.000775 0.000830 0.003433  0.002405  0.027500  0.111331
LSCH 06DEC22 2006.9733 54091 1406 5  -71.2  -4446 -0.213218  -3309936 -0.315307    78  0.765078  0.0533 0.000782 0.000853 0.003488  0.008080  0.038568  0.063198
LSCH 06DEC23 2006.9760 54092 1406 6  -71.2  -4446 -0.213964  -3309936 -0.317692    78  0.763549  0.0533 0.000779 0.000837 0.003452  0.015944  0.033879  0.089971
LSCH 06DEC24 2006.9788 54093 1407 0  -71.2  -4446 -0.214374  -3309936 -0.319117    78  0.768551  0.0533 0.000780 0.000848 0.003466  0.006331  0.022837  0.062444
LSCH 06DEC25 2006.9815 54094 1407 1  -71.2  -4446 -0.213758  -3309936 -0.318183    78  0.761777  0.0533 0.000781 0.000858 0.003495  0.009047  0.018564  0.074281
LSCH 06DEC26 2006.9843 54095 1407 2  -71.2  -4446 -0.213149  -3309936 -0.316826    78  0.774447  0.0440 0.000784 0.000845 0.003500  0.004132  0.015941  0.079510
LSCH 06DEC27 2006.9870 54096 1407 3  -71.2  -4446 -0.212041  -3309936 -0.318646    78  0.752030  0.0533 0.000795 0.000865 0.003607  0.028222  0.013110  0.106343
LSCH 06DEC28 2006.9897 54097 1407 4  -71.2  -4446 -0.213262  -3309936 -0.318670    78  0.763155  0.0533 0.000786 0.000855 0.003538  0.037082  0.040152  0.106010
LSCH 06DEC29 2006.9925 54098 1407 5  -71.2  -4446 -0.212508  -3309936 -0.318294    78  0.756218  0.0533 0.000787 0.000862 0.003535  0.035992  0.016330  0.071334
LSCH 06DEC30 2006.9952 54099 1407 6  -71.2  -4446 -0.210969  -3309936 -0.315497    78  0.764100  0.0533 0.000789 0.000862 0.003559  0.017761  0.005478  0.077999
LSCH 06DEC31 2006.9979 54100 1408 0  -71.2  -4446 -0.212117  -3309936 -0.316259    78  0.772994  0.0533 0.000779 0.000853 0.003520  0.034462  0.034354  0.093228
LSCH 07JAN01 2007.0007 54101 1408 1  -71.2  -4446 -0.216305  -3309936 -0.317193    78  0.763102  0.0440 0.000782 0.000848 0.003534  0.023455  0.021221  0.097822
LSCH 07JAN02 2007.0034 54102 1408 2  -71.2  -4446 -0.213420  -3309936 -0.316831    78  0.770885  0.0440 0.000790 0.000854 0.003591  0.019962  0.015235  0.134372
LSCH 07JAN03 2007.0062 54103 1408 3  -71.2  -4446 -0.213170  -3309936 -0.314231    78  0.771132  0.0440 0.000814 0.000871 0.003652  0.035734  0.031717  0.081034
LSCH 07JAN04 2007.0089 54104 1408 4  -71.2  -4446 -0.212262  -3309936 -0.315011    78  0.765446  0.0440 0.000782 0.000864 0.003552  0.030913  0.007862  0.061403
LSCH 07JAN05 2007.0116 54105 1408 5  -71.2  -4446 -0.213889  -3309936 -0.316990    78  0.770607  0.0440 0.000785 0.000853 0.003551  0.019458  0.013374  0.077345
LSCH 07JAN06 2007.0144 54106 1408 6  -71.2  -4446 -0.213422  -3309936 -0.316640    78  0.768080  0.0440 0.000776 0.000845 0.003532  0.014718  0.031657  0.100296
LSCH 07JAN07 2007.0171 54107 1409 0  -71.2  -4446 -0.212611  -3309936 -0.317475    78  0.767022  0.0440 0.000809 0.000859 0.003615  0.039441 -0.000188  0.092699
LSCH 07JAN08 2007.0198 54108 1409 1  -71.2  -4446 -0.211661  -3309936 -0.316589    78  0.774112  0.0440 0.000807 0.000860 0.003604  0.037519  0.014994  0.083396
LSCH 07JAN09 2007.0226 54109 1409 2  -71.2  -4446 -0.211415  -3309936 -0.316015    78  0.783709  0.0440 0.000809 0.000849 0.003553  0.022144  0.019260  0.065600
LSCH 07JAN10 2007.0253 54110 1409 3  -71.2  -4446 -0.212065  -3309936 -0.313711    78  0.776956  0.0440 0.000809 0.000855 0.003518  0.021350  0.016794  0.063503
LSCH 07JAN11 2007.0281 54111 1409 4  -71.2  -4446 -0.210836  -3309936 -0.315611    78  0.770097  0.0440 0.000842 0.000872 0.003602 -0.011910 -0.010812  0.053814
LSCH 07JAN12 2007.0308 54112 1409 5  -71.2  -4446 -0.211962  -3309936 -0.314761    78  0.767814  0.0440 0.000808 0.000859 0.003556 -0.026487  0.009494  0.050321
LSCH 07JAN13 2007.0335 54113 1409 6  -71.2  -4446 -0.212275  -3309936 -0.314812    78  0.771593  0.0440 0.000782 0.000835 0.003476 -0.011893  0.031748  0.066983
LSCH 07JAN14 2007.0363 54114 1410 0  -71.2  -4446 -0.215851  -3309936 -0.315299    78  0.778829  0.0440 0.000793 0.000841 0.003555  0.008232  0.025816  0.065839
LSCH 07JAN15 2007.0390 54115 1410 1  -71.2  -4446 -0.213711  -3309936 -0.315171    78  0.771384  0.0440 0.000782 0.000836 0.003464 -0.018019  0.044864  0.046723
LSCH 07JAN16 2007.0418 54116 1410 2  -71.2  -4446 -0.208926  -3309936 -0.315968    78  0.776142  0.0440 0.000803 0.000837 0.003545 -0.014642 -0.004109  0.094862
LSCH 07JAN17 2007.0445 54117 1410 3  -71.2  -4446 -0.212697  -3309936 -0.315131    78  0.770389  0.0440 0.000793 0.000839 0.003497 -0.035842  0.013626  0.074263
LSCH 07JAN18 2007.0472 54118 1410 4  -71.2  -4446 -0.214367  -3309936 -0.317582    78  0.761104  0.0440 0.000781 0.000839 0.003511  0.012289  0.025547  0.076703
LSCH 07JAN19 2007.0500 54119 1410 5  -71.2  -4446 -0.211977  -3309936 -0.313587    78  0.765073  0.0440 0.000826 0.000860 0.003565 -0.019615  0.002234  0.074895
LSCH 07JAN20 2007.0527 54120 1410 6  -71.2  -4446 -0.211896  -3309936 -0.314953    78  0.760555  0.0440 0.000808 0.000839 0.003535 -0.000559  0.029280  0.096847
LSCH 07JAN21 2007.0554 54121 1411 0  -71.2  -4446 -0.212558  -3309936 -0.312720    78  0.768895  0.0440 0.000776 0.000825 0.003437  0.007784  0.040365  0.081137
LSCH 07JAN22 2007.0582 54122 1411 1  -71.2  -4446 -0.213602  -3309936 -0.314743    78  0.766671  0.0440 0.000775 0.000820 0.003459  0.001346  0.030871  0.116614
LSCH 07JAN23 2007.0609 54123 1411 2  -71.2  -4446 -0.213812  -3309936 -0.314343    78  0.766122  0.0440 0.000786 0.000852 0.003471  0.002701  0.021854  0.040052
LSCH 07JAN24 2007.0637 54124 1411 3  -71.2  -4446 -0.213633  -3309936 -0.314536    78  0.760771  0.0440 0.000777 0.000824 0.003449  0.004718  0.052843  0.088843
LSCH 07JAN25 2007.0664 54125 1411 4  -71.2  -4446 -0.214019  -3309936 -0.313900    78  0.773810  0.0440 0.000804 0.000838 0.003585  0.001676  0.067515  0.078282
LSCH 07JAN26 2007.0691 54126 1411 5  -71.2  -4446 -0.213864  -3309936 -0.313670    78  0.777829  0.0440 0.000773 0.000823 0.003437  0.010053  0.049010  0.076844
LSCH 07JAN27 2007.0719 54127 1411 6  -71.2  -4446 -0.214665  -3309936 -0.316523    78  0.766940  0.0440 0.000766 0.000814 0.003387 -0.001746  0.037074  0.079477
LSCH 07JAN28 2007.0746 54128 1412 0  -71.2  -4446 -0.213074  -3309936 -0.312803    78  0.771074  0.0440 0.000766 0.000811 0.003359  0.000823  0.040222  0.078255
LSCH 07JAN29 2007.0773 54129 1412 1  -71.2  -4446 -0.212917  -3309936 -0.313990    78  0.767339  0.0440 0.000780 0.000825 0.003433  0.015415  0.045197  0.087767
LSCH 07JAN30 2007.0801 54130 1412 2  -71.2  -4446 -0.213123  -3309936 -0.314763    78  0.760936  0.0440 0.000781 0.000837 0.003486  0.018474  0.053459  0.067544
LSCH 07JAN31 2007.0828 54131 1412 3  -71.2  -4446 -0.212468  -3309936 -0.311428    78  0.768894  0.0440 0.000796 0.000829 0.003468  0.014536  0.075999  0.093962
