site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MIHT 07DEC17 2007.9589 54451 1458 1  -86.4   2856  0.343788   4839162  0.554887   188  0.876325  0.0000 0.000580 0.000724 0.002287  0.048327  0.000528 -0.161219
MIHT 07DEC18 2007.9617 54452 1458 2  -86.4   2856  0.345240   4839162  0.555896   188  0.881401  0.0000 0.000584 0.000725 0.002293  0.055541 -0.017883 -0.160556
MIHT 07DEC19 2007.9644 54453 1458 3  -86.4   2856  0.343234   4839162  0.555786   188  0.879997  0.0000 0.000582 0.000730 0.002294  0.050078 -0.018099 -0.146738
MIHT 07DEC20 2007.9671 54454 1458 4  -86.4   2856  0.346004   4839162  0.557319   188  0.886746  0.0000 0.000583 0.000732 0.002298  0.033962 -0.012408 -0.145485
MIHT 07DEC21 2007.9699 54455 1458 5  -86.4   2856  0.344672   4839162  0.556948   188  0.884553  0.0000 0.000580 0.000731 0.002293  0.045052  0.010133 -0.157188
MIHT 07DEC22 2007.9726 54456 1458 6  -86.4   2856  0.343986   4839162  0.555317   188  0.884711  0.0000 0.000580 0.000728 0.002285  0.043943 -0.001192 -0.148566
MIHT 07DEC23 2007.9754 54457 1459 0  -86.4   2856  0.343242   4839162  0.554406   188  0.880883  0.0000 0.000580 0.000731 0.002298  0.051413  0.002384 -0.152126
MIHT 07DEC24 2007.9781 54458 1459 1  -86.4   2856  0.341847   4839162  0.554442   188  0.889092  0.0000 0.000587 0.000733 0.002331  0.055096 -0.041285 -0.158796
MIHT 07DEC25 2007.9808 54459 1459 2  -86.4   2856  0.344733   4839162  0.554051   188  0.886930  0.0000 0.000578 0.000727 0.002268  0.059009 -0.042274 -0.140539
MIHT 07DEC26 2007.9836 54460 1459 3  -86.4   2856  0.343895   4839162  0.557163   188  0.888511  0.0000 0.000575 0.000725 0.002263  0.053345 -0.026122 -0.150079
MIHT 07DEC27 2007.9863 54461 1459 4  -86.4   2856  0.342842   4839162  0.556993   188  0.884591  0.0000 0.000596 0.000730 0.002324  0.020519 -0.004395 -0.132871
MIHT 07DEC28 2007.9890 54462 1459 5  -86.4   2856  0.342915   4839162  0.557465   188  0.882131  0.0000 0.000596 0.000737 0.002352  0.024215 -0.000012 -0.142940
MIHT 07DEC29 2007.9918 54463 1459 6  -86.4   2856  0.341652   4839162  0.556648   188  0.880032  0.0000 0.000597 0.000731 0.002322  0.044730 -0.035027 -0.122374
MIHT 07DEC30 2007.9945 54464 1460 0  -86.4   2856  0.342470   4839162  0.557991   188  0.883845  0.0000 0.000605 0.000735 0.002356  0.035696 -0.024772 -0.124370
MIHT 07DEC31 2007.9973 54465 1460 1  -86.4   2856  0.342637   4839162  0.557951   188  0.885737  0.0000 0.000575 0.000722 0.002253  0.047703 -0.018985 -0.138976
MIHT 08JAN01 2008.0000 54466 1460 2  -86.4   2856  0.342617   4839162  0.558650   188  0.882023  0.0000 0.000581 0.000729 0.002294  0.060896 -0.017885 -0.155273
MIHT 08JAN02 2008.0027 54467 1460 3  -86.4   2856  0.341776   4839162  0.557575   188  0.873178  0.0000 0.000575 0.000727 0.002269  0.050308 -0.004583 -0.149961
MIHT 08JAN03 2008.0055 54468 1460 4  -86.4   2856  0.343915   4839162  0.555878   188  0.874772  0.0000 0.000572 0.000717 0.002231  0.057014 -0.011236 -0.138632
MIHT 08JAN04 2008.0082 54469 1460 5  -86.4   2856  0.344313   4839162  0.555024   188  0.885480  0.0000 0.000582 0.000719 0.002281  0.076095 -0.042581 -0.141661
MIHT 08JAN05 2008.0110 54470 1460 6  -86.4   2856  0.345544   4839162  0.555507   188  0.887163  0.0000 0.000576 0.000710 0.002247  0.065963 -0.046151 -0.141548
MIHT 08JAN06 2008.0137 54471 1461 0  -86.4   2856  0.345930   4839162  0.555494   188  0.895652  0.0000 0.000584 0.000719 0.002302  0.061114 -0.012972 -0.156136
MIHT 08JAN07 2008.0164 54472 1461 1  -86.4   2856  0.344689   4839162  0.556044   188  0.886431  0.0000 0.000578 0.000713 0.002245  0.060973 -0.007991 -0.130091
MIHT 08JAN08 2008.0192 54473 1461 2  -86.4   2856  0.342956   4839162  0.556310   188  0.891206  0.0000 0.000584 0.000730 0.002292  0.054012 -0.011403 -0.140500
MIHT 08JAN09 2008.0219 54474 1461 3  -86.4   2856  0.341923   4839162  0.557828   188  0.885557  0.0000 0.000585 0.000729 0.002280  0.070563 -0.044606 -0.140894
MIHT 08JAN10 2008.0246 54475 1461 4  -86.4   2856  0.343878   4839162  0.555531   188  0.888108  0.0000 0.000578 0.000717 0.002252  0.053450 -0.031657 -0.133293
MIHT 08JAN11 2008.0274 54476 1461 5  -86.4   2856  0.337760   4839162  0.559241   188  0.895642  0.0000 0.000574 0.000711 0.002252  0.051002 -0.029769 -0.140100
MIHT 08JAN12 2008.0301 54477 1461 6  -86.4   2856  0.343399   4839162  0.557016   188  0.888984  0.0000 0.000571 0.000710 0.002232  0.055805 -0.025503 -0.155182
MIHT 08JAN13 2008.0329 54478 1462 0  -86.4   2856  0.343666   4839162  0.556996   188  0.882696  0.0000 0.000574 0.000720 0.002262  0.041220 -0.012174 -0.160664
MIHT 08JAN14 2008.0356 54479 1462 1  -86.4   2856  0.342191   4839162  0.556565   188  0.878498  0.0000 0.000575 0.000719 0.002245  0.063206 -0.030754 -0.142892
MIHT 08JAN15 2008.0383 54480 1462 2  -86.4   2856  0.342595   4839162  0.556816   188  0.881973  0.0000 0.000571 0.000714 0.002238  0.051657 -0.033983 -0.127169
MIHT 08JAN16 2008.0411 54481 1462 3  -86.4   2856  0.342521   4839162  0.555558   188  0.882382  0.0000 0.000576 0.000720 0.002267  0.061982 -0.056064 -0.134120
MIHT 08JAN17 2008.0438 54482 1462 4  -86.4   2856  0.343282   4839162  0.555751   188  0.890749  0.0000 0.000582 0.000727 0.002288  0.059157 -0.055396 -0.136984
MIHT 08JAN18 2008.0465 54483 1462 5  -86.4   2856  0.345158   4839162  0.556767   188  0.892171  0.0000 0.000586 0.000734 0.002321  0.030199  0.007302 -0.151786
MIHT 08JAN19 2008.0493 54484 1462 6  -86.4   2856  0.343774   4839162  0.557398   188  0.882880  0.0000 0.000579 0.000722 0.002314  0.050089 -0.033980 -0.164002
MIHT 08JAN20 2008.0520 54485 1463 0  -86.4   2856  0.342638   4839162  0.555921   188  0.876829  0.0000 0.000575 0.000718 0.002262  0.050561 -0.039853 -0.147507
