site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MOSE 09OCT29 2009.8261 55133 1555 4  -92.8   4087  0.205085   4113799  0.149207   471  0.825852  0.0000 0.000657 0.000739 0.002586 -0.028459  0.143218 -0.199958
MOSE 09DEC18 2009.9630 55183 1562 5  -92.8   4087  0.200562   4113799  0.149551   471  0.816151  0.0000 0.000515 0.000596 0.001963 -0.000543  0.072014 -0.200405
MOSE 09DEC22 2009.9740 55187 1563 2  -92.8   4087  0.200909   4113799  0.147353   471  0.823856  0.0000 0.000528 0.000607 0.002008 -0.014459  0.077056 -0.184935
MOSE 09DEC23 2009.9767 55188 1563 3  -92.8   4087  0.202167   4113799  0.147812   471  0.817641  0.0000 0.000530 0.000612 0.002018 -0.020606  0.064763 -0.190908
MOSE 09DEC24 2009.9795 55189 1563 4  -92.8   4087  0.207922   4113799  0.153306   471  0.815153  0.0000 0.002053 0.002127 0.006258  0.012455  0.103255 -0.289111
MOSE 09DEC25 2009.9822 55190 1563 5  -92.8   4087  0.188114   4113799  0.144286   471  0.795566  0.0000 0.010640 0.005458 0.010334  0.011149 -0.003979 -0.326949
MOSE 10JAN10 2010.0260 55206 1566 0  -92.8   4087  0.198912   4113799  0.148574   471  0.807652  0.0000 0.000624 0.000700 0.002332  0.038777  0.011661 -0.249250
MOSE 10JAN11 2010.0287 55207 1566 1  -92.8   4087  0.197512   4113799  0.146778   471  0.819310  0.0000 0.000576 0.000661 0.002191  0.028477  0.001800 -0.196747
MOSE 10JAN16 2010.0424 55212 1566 6  -92.8   4087  0.198562   4113799  0.146379   471  0.822140  0.0000 0.000519 0.000600 0.001984 -0.003620  0.053440 -0.213265
MOSE 10JAN21 2010.0561 55217 1567 4  -92.8   4087  0.199201   4113799  0.146165   471  0.818582  0.0000 0.000537 0.000610 0.002057  0.007406  0.031515 -0.249467
MOSE 10JAN22 2010.0589 55218 1567 5  -92.8   4087  0.198822   4113799  0.147398   471  0.830128  0.0000 0.000520 0.000602 0.002003  0.020927  0.011503 -0.227325
MOSE 10JAN23 2010.0616 55219 1567 6  -92.8   4087  0.198300   4113799  0.148114   471  0.831651  0.0000 0.000520 0.000598 0.001984  0.006487  0.026963 -0.211726
MOSE 10JAN26 2010.0698 55222 1568 2  -92.8   4087  0.197746   4113799  0.145727   471  0.817746  0.0000 0.000522 0.000611 0.002056  0.029961  0.020425 -0.230841
MOSE 10JAN27 2010.0726 55223 1568 3  -92.8   4087  0.197556   4113799  0.147132   471  0.820219  0.0000 0.000522 0.000612 0.002036  0.040230  0.016266 -0.207428
MOSE 10JAN28 2010.0753 55224 1568 4  -92.8   4087  0.197295   4113799  0.150153   471  0.818351  0.0000 0.000534 0.000634 0.002049  0.000014  0.007632 -0.195412
MOSE 10JAN29 2010.0780 55225 1568 5  -92.8   4087  0.196963   4113799  0.149717   471  0.819597  0.0000 0.000525 0.000610 0.002024 -0.010257  0.040688 -0.189768
MOSE 10JAN30 2010.0808 55226 1568 6  -92.8   4087  0.196213   4113799  0.149755   471  0.812885  0.0000 0.000514 0.000593 0.001965  0.010721  0.039000 -0.211868
MOSE 10JAN31 2010.0835 55227 1569 0  -92.8   4087  0.198337   4113799  0.147599   471  0.821375  0.0000 0.000514 0.000597 0.001958 -0.000350  0.062729 -0.206074
MOSE 10FEB01 2010.0862 55228 1569 1  -92.8   4087  0.197238   4113799  0.147592   471  0.827488  0.0000 0.000509 0.000596 0.001939  0.006049  0.041632 -0.197260
MOSE 10FEB02 2010.0890 55229 1569 2  -92.8   4087  0.197594   4113799  0.148482   471  0.823832  0.0000 0.000538 0.000608 0.002037  0.033637  0.037804 -0.174786
MOSE 10FEB03 2010.0917 55230 1569 3  -92.8   4087  0.197510   4113799  0.148686   471  0.820602  0.0000 0.000524 0.000602 0.002005  0.012538  0.035954 -0.216358
MOSE 10FEB04 2010.0945 55231 1569 4  -92.8   4087  0.198235   4113799  0.148554   471  0.822489  0.0000 0.000537 0.000617 0.002108 -0.025217  0.069793 -0.235996
MOSE 10FEB05 2010.0972 55232 1569 5  -92.8   4087  0.199154   4113799  0.147224   471  0.823943  0.0000 0.000536 0.000618 0.002072 -0.039357  0.095716 -0.193176
MOSE 10FEB06 2010.0999 55233 1569 6  -92.8   4087  0.196177   4113799  0.148421   471  0.820965  0.0000 0.000519 0.000596 0.001975 -0.007166  0.054166 -0.206942
MOSE 10FEB10 2010.1109 55237 1570 3  -92.8   4087  0.196374   4113799  0.147457   471  0.809997  0.0000 0.000551 0.000634 0.002134  0.053882  0.035254 -0.199253
MOSE 10FEB11 2010.1136 55238 1570 4  -92.8   4087  0.199248   4113799  0.148072   471  0.815005  0.0000 0.000518 0.000594 0.001969  0.016200  0.025779 -0.219312
MOSE 10FEB12 2010.1164 55239 1570 5  -92.8   4087  0.198835   4113799  0.146788   471  0.816145  0.0000 0.000523 0.000612 0.002000  0.014689  0.025015 -0.181466
MOSE 10FEB13 2010.1191 55240 1570 6  -92.8   4087  0.198404   4113799  0.147508   471  0.815174  0.0000 0.000521 0.000593 0.001971 -0.015623  0.065511 -0.212205
MOSE 10FEB14 2010.1218 55241 1571 0  -92.8   4087  0.197293   4113799  0.148093   471  0.811240  0.0000 0.000520 0.000596 0.001954 -0.013519  0.062135 -0.180742
MOSE 10FEB15 2010.1246 55242 1571 1  -92.8   4087  0.196792   4113799  0.144323   471  0.810448  0.0000 0.000526 0.000592 0.001989  0.011208  0.022053 -0.210354
MOSE 10FEB16 2010.1273 55243 1571 2  -92.8   4087  0.197508   4113799  0.146870   471  0.807815  0.0000 0.000547 0.000606 0.002000  0.025294  0.023650 -0.203730
MOSE 10FEB17 2010.1300 55244 1571 3  -92.8   4087  0.198498   4113799  0.146150   471  0.812377  0.0000 0.000532 0.000605 0.001975  0.011821  0.038308 -0.208007
MOSE 10FEB18 2010.1328 55245 1571 4  -92.8   4087  0.198414   4113799  0.145032   471  0.814324  0.0000 0.000531 0.000606 0.001992  0.017021  0.029013 -0.206118
MOSE 10FEB19 2010.1355 55246 1571 5  -92.8   4087  0.199391   4113799  0.146928   471  0.817582  0.0000 0.000534 0.000606 0.002020  0.002126  0.060387 -0.206604
MOSE 10FEB20 2010.1383 55247 1571 6  -92.8   4087  0.198136   4113799  0.147322   471  0.819087  0.0000 0.000519 0.000592 0.001954 -0.008085  0.054584 -0.191185
MOSE 10FEB21 2010.1410 55248 1572 0  -92.8   4087  0.198371   4113799  0.148112   471  0.819016  0.0000 0.000521 0.000592 0.001978  0.010576  0.031181 -0.197647
MOSE 10FEB22 2010.1437 55249 1572 1  -92.8   4087  0.197401   4113799  0.148897   471  0.821589  0.0000 0.000542 0.000608 0.002012  0.011752  0.045033 -0.217915
MOSE 10FEB23 2010.1465 55250 1572 2  -92.8   4087  0.198825   4113799  0.147011   471  0.819010  0.0000 0.000547 0.000615 0.002035  0.004639  0.045552 -0.205403
MOSE 10FEB24 2010.1492 55251 1572 3  -92.8   4087  0.197661   4113799  0.148999   471  0.808696  0.0000 0.000536 0.000600 0.002005  0.001959  0.069195 -0.195646
MOSE 10MAR03 2010.1684 55258 1573 3  -92.8   4087  0.197231   4113799  0.147408   471  0.818306  0.0000 0.000523 0.000588 0.001982 -0.002566  0.063316 -0.198042
MOSE 10MAR04 2010.1711 55259 1573 4  -92.8   4087  0.196908   4113799  0.147158   471  0.817549  0.0000 0.000520 0.000588 0.001947  0.010320  0.042042 -0.194222
MOSE 10MAR05 2010.1739 55260 1573 5  -92.8   4087  0.197019   4113799  0.148570   471  0.822716  0.0000 0.000519 0.000589 0.001934  0.004291  0.024956 -0.194714
MOSE 10MAR06 2010.1766 55261 1573 6  -92.8   4087  0.197949   4113799  0.147544   471  0.819428  0.0000 0.000549 0.000624 0.002058 -0.025894  0.058245 -0.227430
MOSE 10MAR17 2010.2067 55272 1575 3  -92.8   4087  0.194566   4113799  0.149545   471  0.814357  0.0000 0.000533 0.000600 0.002022  0.015558  0.000180 -0.226554
MOSE 10MAR18 2010.2094 55273 1575 4  -92.8   4087  0.194865   4113799  0.147346   471  0.815029  0.0000 0.000522 0.000582 0.001952  0.012147  0.028610 -0.208078
MOSE 10MAR19 2010.2122 55274 1575 5  -92.8   4087  0.196382   4113799  0.148051   471  0.817788  0.0000 0.000523 0.000591 0.001996  0.020078  0.016427 -0.220019
MOSE 10MAR20 2010.2149 55275 1575 6  -92.8   4087  0.195890   4113799  0.147202   471  0.812670  0.0000 0.000527 0.000594 0.001999  0.013977  0.016452 -0.222367
MOSE 10MAR27 2010.2341 55282 1576 6  -92.8   4087  0.197449   4113799  0.150293   471  0.816127  0.0000 0.000547 0.000604 0.002049 -0.005356  0.050004 -0.232402
MOSE 10MAY29 2010.4066 55345 1585 6  -92.8   4087  0.192644   4113799  0.149758   471  0.823273  0.0000 0.000533 0.000612 0.002001  0.005265  0.025647 -0.157233
MOSE 10MAY30 2010.4093 55346 1586 0  -92.8   4087  0.192055   4113799  0.147383   471  0.813832  0.0000 0.000528 0.000601 0.001983  0.004060  0.029302 -0.166392
MOSE 10MAY31 2010.4120 55347 1586 1  -92.8   4087  0.192887   4113799  0.148387   471  0.821828  0.0000 0.000524 0.000586 0.001947  0.007279  0.043022 -0.172015
