site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MTCU 18AUG31 2018.6639 58361 2016 5 -112.3  -1198 -0.704934   5389913  0.658111  1133  0.559473  0.0000 0.000449 0.000614 0.001732  0.018067 -0.035336 -0.073401
MTCU 18SEP01 2018.6667 58362 2016 6 -112.3  -1198 -0.705824   5389913  0.658946  1133  0.556984  0.0000 0.000453 0.000620 0.001764  0.029405 -0.047473 -0.083135
MTCU 18SEP02 2018.6694 58363 2017 0 -112.3  -1198 -0.705610   5389913  0.655837  1133  0.567398  0.0000 0.000449 0.000615 0.001734  0.023695 -0.040410 -0.052359
MTCU 18SEP03 2018.6721 58364 2017 1 -112.3  -1198 -0.704264   5389913  0.658888  1133  0.561750  0.0000 0.000452 0.000611 0.001747  0.018444 -0.060627 -0.081695
MTCU 18SEP04 2018.6749 58365 2017 2 -112.3  -1198 -0.703470   5389913  0.658161  1133  0.559410  0.0000 0.000446 0.000604 0.001700 -0.000572 -0.047772 -0.059310
MTCU 18SEP05 2018.6776 58366 2017 3 -112.3  -1198 -0.704417   5389913  0.659905  1133  0.561934  0.0000 0.000449 0.000613 0.001733  0.026283 -0.053654 -0.081662
MTCU 18SEP06 2018.6804 58367 2017 4 -112.3  -1198 -0.705049   5389913  0.658956  1133  0.562186  0.0000 0.000460 0.000630 0.001770  0.034479 -0.052466 -0.051140
MTCU 18SEP07 2018.6831 58368 2017 5 -112.3  -1198 -0.705235   5389913  0.657783  1133  0.559390  0.0000 0.000456 0.000628 0.001745  0.037462 -0.035868 -0.033779
MTCU 18SEP08 2018.6858 58369 2017 6 -112.3  -1198 -0.706953   5389913  0.659597  1133  0.555825  0.0000 0.000448 0.000611 0.001731  0.018051 -0.057113 -0.070123
MTCU 18SEP09 2018.6886 58370 2018 0 -112.3  -1198 -0.704133   5389913  0.658917  1133  0.563315  0.0000 0.000450 0.000610 0.001729  0.021978 -0.053099 -0.070851
MTCU 18SEP10 2018.6913 58371 2018 1 -112.3  -1198 -0.705100   5389913  0.658565  1133  0.564778  0.0000 0.000451 0.000616 0.001754  0.022135 -0.049942 -0.083574
MTCU 18SEP11 2018.6940 58372 2018 2 -112.3  -1198 -0.704542   5389913  0.655712  1133  0.564905  0.0000 0.000462 0.000630 0.001754  0.015160 -0.040085 -0.071675
MTCU 18SEP12 2018.6968 58373 2018 3 -112.3  -1198 -0.704369   5389913  0.658729  1133  0.557260  0.0000 0.000450 0.000611 0.001711  0.012815 -0.031882 -0.034947
MTCU 18SEP13 2018.6995 58374 2018 4 -112.3  -1198 -0.703165   5389913  0.656455  1133  0.559195  0.0000 0.000450 0.000611 0.001735  0.025517 -0.045820 -0.050169
MTCU 18SEP14 2018.7023 58375 2018 5 -112.3  -1198 -0.703105   5389913  0.658143  1133  0.550272  0.0000 0.000457 0.000620 0.001774  0.048741 -0.070748 -0.079074
MTCU 18SEP15 2018.7050 58376 2018 6 -112.3  -1198 -0.704662   5389913  0.659195  1133  0.560243  0.0000 0.000453 0.000607 0.001750  0.015291 -0.045844 -0.078812
MTCU 18SEP16 2018.7077 58377 2019 0 -112.3  -1198 -0.702259   5389913  0.658673  1133  0.556450  0.0000 0.000447 0.000613 0.001722  0.004967 -0.023168 -0.069376
MTCU 18SEP17 2018.7105 58378 2019 1 -112.3  -1198 -0.704118   5389913  0.657589  1133  0.554317  0.0000 0.000450 0.000613 0.001704 -0.005154 -0.008451 -0.033184
MTCU 18SEP18 2018.7132 58379 2019 2 -112.3  -1198 -0.704505   5389913  0.658636  1133  0.564989  0.0000 0.000451 0.000609 0.001703  0.008395 -0.013979 -0.025124
MTCU 18SEP19 2018.7159 58380 2019 3 -112.3  -1198 -0.704352   5389913  0.658872  1133  0.557541  0.0000 0.000452 0.000616 0.001728  0.024167 -0.042358 -0.058240
MTCU 18SEP20 2018.7187 58381 2019 4 -112.3  -1198 -0.702628   5389913  0.657636  1133  0.556926  0.0000 0.000447 0.000609 0.001719  0.001303 -0.030418 -0.054195
