site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NBQU 17AUG17 2017.6263 57982 1962 4  -65.9  -3611 -0.488536   5032999  0.237537    43  0.642801  0.0000 0.000651 0.000924 0.002430 -0.049412  0.034115 -0.106746
NBQU 17AUG18 2017.6290 57983 1962 5  -65.9  -3611 -0.486999   5032999  0.238217    43  0.646778  0.0000 0.000466 0.000629 0.001737 -0.009128  0.016518 -0.110176
NBQU 17AUG19 2017.6318 57984 1962 6  -65.9  -3611 -0.486738   5032999  0.238135    43  0.653349  0.0000 0.000455 0.000602 0.001677 -0.015777  0.007181 -0.085587
NBQU 17AUG20 2017.6345 57985 1963 0  -65.9  -3611 -0.488614   5032999  0.239071    43  0.641731  0.0000 0.000454 0.000605 0.001676 -0.014829 -0.005789 -0.099281
NBQU 17AUG21 2017.6372 57986 1963 1  -65.9  -3611 -0.487557   5032999  0.239058    43  0.639726  0.0000 0.000457 0.000604 0.001692 -0.015755  0.013602 -0.097727
NBQU 17AUG22 2017.6400 57987 1963 2  -65.9  -3611 -0.488036   5032999  0.236092    43  0.650432  0.0000 0.000456 0.000610 0.001669 -0.033135  0.014126 -0.099511
NBQU 17AUG23 2017.6427 57988 1963 3  -65.9  -3611 -0.489360   5032999  0.238828    43  0.647524  0.0000 0.000455 0.000608 0.001675 -0.024027  0.002775 -0.091386
NBQU 17AUG24 2017.6454 57989 1963 4  -65.9  -3611 -0.488509   5032999  0.240002    43  0.639384  0.0000 0.000454 0.000605 0.001697 -0.008233  0.014906 -0.104072
NBQU 17AUG25 2017.6482 57990 1963 5  -65.9  -3611 -0.488598   5032999  0.237470    43  0.640754  0.0000 0.000468 0.000615 0.001711 -0.011579  0.010892 -0.100364
NBQU 17AUG26 2017.6509 57991 1963 6  -65.9  -3611 -0.487103   5032999  0.237642    43  0.636642  0.0000 0.000455 0.000601 0.001677 -0.019105  0.015256 -0.098117
NBQU 17AUG27 2017.6537 57992 1964 0  -65.9  -3611 -0.487698   5032999  0.239305    43  0.634855  0.0000 0.000454 0.000602 0.001685 -0.014279  0.022179 -0.103982
NBQU 17AUG28 2017.6564 57993 1964 1  -65.9  -3611 -0.488459   5032999  0.239557    43  0.635712  0.0000 0.000449 0.000607 0.001664 -0.013293  0.008031 -0.091380
NBQU 17AUG29 2017.6591 57994 1964 2  -65.9  -3611 -0.489107   5032999  0.238234    43  0.637747  0.0000 0.000463 0.000620 0.001722 -0.004678  0.006458 -0.105921
