site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NOVA 00JUN14 2000.4517 51709 1066 3    8.6   1092  0.944435   5034647  0.712015   218  0.568184  0.0000 0.000616 0.000817 0.002537  0.031485 -0.065681 -0.135083
NOVA 00JUN15 2000.4545 51710 1066 4    8.6   1092  0.944988   5034647  0.709102   218  0.576122  0.0000 0.000622 0.000844 0.002579  0.029507 -0.057986 -0.155082
NOVA 00JUN16 2000.4572 51711 1066 5    8.6   1092  0.944838   5034647  0.710438   218  0.571798  0.0000 0.000605 0.000828 0.002496  0.012412 -0.036680 -0.160357
NOVA 00JUN17 2000.4600 51712 1066 6    8.6   1092  0.945128   5034647  0.710571   218  0.572905  0.0000 0.000595 0.000802 0.002445  0.001217 -0.017260 -0.153888
NOVA 00JUN18 2000.4627 51713 1067 0    8.6   1092  0.947444   5034647  0.710226   218  0.566937  0.0000 0.000595 0.000798 0.002422 -0.004812 -0.027188 -0.149274
NOVA 00JUN19 2000.4654 51714 1067 1    8.6   1092  0.944117   5034647  0.708170   218  0.571033  0.0000 0.000625 0.000819 0.002549  0.019939 -0.035440 -0.202894
NOVA 00JUN20 2000.4682 51715 1067 2    8.6   1092  0.945049   5034647  0.708773   218  0.575311  0.0000 0.000623 0.000835 0.002583  0.005058 -0.042909 -0.133739
NOVA 00JUN21 2000.4709 51716 1067 3    8.6   1092  0.945036   5034647  0.708455   218  0.572854  0.0000 0.000642 0.000838 0.002648 -0.026968 -0.064270 -0.111666
NOVA 00JUN22 2000.4736 51717 1067 4    8.6   1092  0.946856   5034647  0.709344   218  0.576449  0.0000 0.000626 0.000826 0.002576 -0.019897  0.029038 -0.112378
NOVA 00JUN25 2000.4819 51720 1068 0    8.6   1092  0.945483   5034647  0.709293   218  0.577618  0.0000 0.000669 0.000862 0.002749  0.021049 -0.031342 -0.168934
NOVA 00JUN26 2000.4846 51721 1068 1    8.6   1092  0.942808   5034647  0.708156   218  0.575898  0.0000 0.000647 0.000821 0.002596  0.021093 -0.017682 -0.065884
NOVA 00JUN27 2000.4873 51722 1068 2    8.6   1092  0.942785   5034647  0.709203   218  0.572205  0.0000 0.000664 0.000834 0.002662 -0.004506 -0.029992 -0.115341
NOVA 00JUN28 2000.4901 51723 1068 3    8.6   1092  0.946022   5034647  0.706961   218  0.578873  0.0000 0.000637 0.000820 0.002581  0.043087  0.002344 -0.120439
NOVA 00JUN29 2000.4928 51724 1068 4    8.6   1092  0.947422   5034647  0.710130   218  0.570279  0.0000 0.000622 0.000803 0.002516  0.060431 -0.050786 -0.130453
NOVA 00JUN30 2000.4956 51725 1068 5    8.6   1092  0.947284   5034647  0.708342   218  0.577911  0.0000 0.000628 0.000823 0.002552  0.060595 -0.057212 -0.117614
NOVA 00JUL01 2000.4983 51726 1068 6    8.6   1092  0.945537   5034647  0.708659   218  0.579520  0.0000 0.000606 0.000805 0.002468  0.028204 -0.037717 -0.114786
NOVA 00JUL02 2000.5010 51727 1069 0    8.6   1092  0.945324   5034647  0.706939   218  0.569257  0.0000 0.000638 0.000812 0.002533  0.041211 -0.064001 -0.096750
NOVA 00JUL03 2000.5038 51728 1069 1    8.6   1092  0.944627   5034647  0.710750   218  0.571538  0.0000 0.000617 0.000802 0.002496  0.025827 -0.014742 -0.136462
