site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OBER 13MAY02 2013.3333 56414 1738 4    7.2   1333  0.371510   5442759  0.330279   309  0.271669  0.0000 0.000692 0.000966 0.002623  0.049080  0.057964 -0.033008
OBER 13MAY03 2013.3361 56415 1738 5    7.2   1333  0.372124   5442759  0.328244   309  0.273645  0.0000 0.000477 0.000627 0.001721  0.039346  0.003036 -0.063726
OBER 13MAY04 2013.3388 56416 1738 6    7.2   1333  0.369132   5442759  0.328241   309  0.282603  0.0000 0.000480 0.000634 0.001729  0.037693 -0.004380 -0.053701
OBER 13MAY05 2013.3415 56417 1739 0    7.2   1333  0.371370   5442759  0.327639   309  0.269702  0.0000 0.000476 0.000635 0.001733  0.030964  0.015780 -0.065703
OBER 13MAY06 2013.3443 56418 1739 1    7.2   1333  0.368267   5442759  0.327453   309  0.266774  0.0000 0.000480 0.000631 0.001735  0.043830  0.008641 -0.068764
OBER 13MAY07 2013.3470 56419 1739 2    7.2   1333  0.369381   5442759  0.330368   309  0.266312  0.0000 0.000481 0.000629 0.001732  0.043490  0.019919 -0.057219
OBER 13MAY08 2013.3498 56420 1739 3    7.2   1333  0.370169   5442759  0.329240   309  0.272296  0.0000 0.000478 0.000628 0.001726  0.036841  0.008642 -0.053531
OBER 13MAY09 2013.3525 56421 1739 4    7.2   1333  0.367624   5442759  0.331195   309  0.274083  0.0000 0.000482 0.000626 0.001732  0.038086 -0.006370 -0.057612
OBER 13MAY10 2013.3552 56422 1739 5    7.2   1333  0.368894   5442759  0.327808   309  0.271752  0.0000 0.000491 0.000634 0.001771  0.034296  0.016083 -0.029683
OBER 13MAY11 2013.3580 56423 1739 6    7.2   1333  0.370025   5442759  0.328860   309  0.267064  0.0000 0.000481 0.000627 0.001736  0.033903  0.014352 -0.065952
OBER 13MAY12 2013.3607 56424 1740 0    7.2   1333  0.368627   5442759  0.329496   309  0.264934  0.0000 0.000480 0.000625 0.001730  0.036705  0.000790 -0.060777
OBER 13MAY13 2013.3634 56425 1740 1    7.2   1333  0.370696   5442759  0.327793   309  0.270810  0.0000 0.000478 0.000623 0.001721  0.032420  0.002801 -0.063675
OBER 13MAY14 2013.3662 56426 1740 2    7.2   1333  0.370324   5442759  0.327791   309  0.270935  0.0000 0.000477 0.000625 0.001721  0.035050  0.000632 -0.054383
OBER 13MAY15 2013.3689 56427 1740 3    7.2   1333  0.367778   5442759  0.328494   309  0.277536  0.0000 0.000479 0.000630 0.001725  0.031577  0.003722 -0.044717
OBER 13MAY16 2013.3717 56428 1740 4    7.2   1333  0.367813   5442759  0.330441   309  0.283275  0.0000 0.000487 0.000633 0.001754  0.024833  0.016064 -0.026302
OBER 13MAY17 2013.3744 56429 1740 5    7.2   1333  0.368426   5442759  0.329445   309  0.277162  0.0000 0.000492 0.000635 0.001777  0.035088  0.002562 -0.058569
OBER 13MAY18 2013.3771 56430 1740 6    7.2   1333  0.372037   5442759  0.330558   309  0.275489  0.0000 0.000480 0.000626 0.001723  0.030577  0.014113 -0.061958
OBER 13MAY19 2013.3799 56431 1741 0    7.2   1333  0.369488   5442759  0.329312   309  0.283924  0.0000 0.000480 0.000629 0.001736  0.034556 -0.003027 -0.061613
OBER 13MAY20 2013.3826 56432 1741 1    7.2   1333  0.368467   5442759  0.330889   309  0.273377  0.0000 0.000480 0.000628 0.001729  0.025880  0.005218 -0.055314
OBER 13MAY21 2013.3854 56433 1741 2    7.2   1333  0.367152   5442759  0.329437   309  0.276509  0.0000 0.000481 0.000634 0.001741  0.022840  0.003701 -0.062086
OBER 13MAY22 2013.3881 56434 1741 3    7.2   1333  0.370599   5442759  0.331145   309  0.278929  0.0000 0.000479 0.000626 0.001728  0.030931  0.015595 -0.054758
OBER 13MAY23 2013.3908 56435 1741 4    7.2   1333  0.370464   5442759  0.331097   309  0.273966  0.0000 0.000479 0.000629 0.001733  0.034930  0.002062 -0.061088
OBER 13MAY24 2013.3936 56436 1741 5    7.2   1333  0.372965   5442759  0.333148   309  0.268991  0.0000 0.000478 0.000625 0.001724  0.041118 -0.002935 -0.067993
OBER 13MAY25 2013.3963 56437 1741 6    7.2   1333  0.370244   5442759  0.328601   309  0.269944  0.0000 0.000479 0.000629 0.001734  0.041935 -0.008730 -0.075182
OBER 13MAY26 2013.3990 56438 1742 0    7.2   1333  0.369218   5442759  0.330362   309  0.277922  0.0000 0.000478 0.000633 0.001737  0.043866 -0.009860 -0.069160
OBER 13MAY27 2013.4018 56439 1742 1    7.2   1333  0.371816   5442759  0.330898   309  0.277107  0.0000 0.000480 0.000630 0.001731  0.043774  0.002785 -0.059688
OBER 13MAY28 2013.4045 56440 1742 2    7.2   1333  0.371590   5442759  0.331240   309  0.282723  0.0000 0.000482 0.000628 0.001727  0.045705  0.006691 -0.060799
OBER 13MAY29 2013.4073 56441 1742 3    7.2   1333  0.368513   5442759  0.332617   309  0.274740  0.0000 0.000480 0.000624 0.001727  0.045049 -0.001781 -0.079824
OBER 13MAY30 2013.4100 56442 1742 4    7.2   1333  0.371001   5442759  0.327227   309  0.269922  0.0000 0.000480 0.000626 0.001740  0.041022 -0.012208 -0.077750
OBER 13MAY31 2013.4127 56443 1742 5    7.2   1333  0.369008   5442759  0.330956   309  0.279420  0.0000 0.000474 0.000628 0.001727  0.037127 -0.002109 -0.070208
OBER 13JUN01 2013.4155 56444 1742 6    7.2   1333  0.372668   5442759  0.330510   309  0.281755  0.0000 0.000477 0.000632 0.001737  0.033859  0.004828 -0.045731
OBER 13JUN02 2013.4182 56445 1743 0    7.2   1333  0.371661   5442759  0.327274   309  0.265846  0.0000 0.000482 0.000631 0.001738  0.039761  0.000536 -0.053395
OBER 13JUN03 2013.4209 56446 1743 1    7.2   1333  0.372391   5442759  0.329893   309  0.265691  0.0000 0.000482 0.000626 0.001732  0.035622  0.001575 -0.073260
OBER 13JUN04 2013.4237 56447 1743 2    7.2   1333  0.373929   5442759  0.331863   309  0.268537  0.0000 0.000482 0.000628 0.001735  0.034889 -0.007667 -0.077837
OBER 13JUN05 2013.4264 56448 1743 3    7.2   1333  0.374386   5442759  0.330261   309  0.256976  0.0000 0.000477 0.000629 0.001729  0.019751 -0.002530 -0.059579
OBER 13JUN06 2013.4292 56449 1743 4    7.2   1333  0.371447   5442759  0.330034   309  0.268149  0.0000 0.000474 0.000628 0.001719  0.024396  0.006312 -0.057429
OBER 13JUN07 2013.4319 56450 1743 5    7.2   1333  0.370635   5442759  0.328533   309  0.268967  0.0000 0.000611 0.000779 0.002146  0.028299 -0.041042 -0.079735
OBER 13JUN08 2013.4346 56451 1743 6    7.2   1333  0.374647   5442759  0.330027   309  0.263015  0.0000 0.000479 0.000626 0.001725  0.045095  0.010400 -0.071394
OBER 13JUN09 2013.4374 56452 1744 0    7.2   1333  0.371875   5442759  0.332375   309  0.267114  0.0000 0.000484 0.000629 0.001749  0.037768  0.000242 -0.085012
OBER 13JUN10 2013.4401 56453 1744 1    7.2   1333  0.372109   5442759  0.332708   309  0.272638  0.0000 0.000477 0.000624 0.001722  0.030673  0.011679 -0.071668
OBER 13JUN11 2013.4428 56454 1744 2    7.2   1333  0.371942   5442759  0.331830   309  0.267263  0.0000 0.000475 0.000627 0.001715  0.031486  0.006137 -0.065714
OBER 13JUN12 2013.4456 56455 1744 3    7.2   1333  0.372473   5442759  0.330321   309  0.273544  0.0000 0.000490 0.000650 0.001776  0.036406  0.000185 -0.074975
OBER 13JUN13 2013.4483 56456 1744 4    7.2   1333  0.372212   5442759  0.332129   309  0.273191  0.0000 0.000481 0.000633 0.001745  0.043509  0.015706 -0.069795
OBER 13JUN14 2013.4511 56457 1744 5    7.2   1333  0.371819   5442759  0.332874   309  0.270277  0.0000 0.000483 0.000631 0.001753  0.037980  0.014268 -0.096263
OBER 13JUN15 2013.4538 56458 1744 6    7.2   1333  0.372486   5442759  0.330677   309  0.270214  0.0000 0.000480 0.000632 0.001739  0.036672  0.014204 -0.061007
OBER 13JUN16 2013.4565 56459 1745 0    7.2   1333  0.372408   5442759  0.330333   309  0.272542  0.0000 0.000478 0.000628 0.001736  0.030183  0.006518 -0.059020
OBER 13JUN17 2013.4593 56460 1745 1    7.2   1333  0.373787   5442759  0.333686   309  0.279883  0.0000 0.000478 0.000632 0.001733  0.038274 -0.008948 -0.065111
OBER 13JUN18 2013.4620 56461 1745 2    7.2   1333  0.371871   5442759  0.330660   309  0.277398  0.0000 0.000476 0.000628 0.001729  0.043130  0.005268 -0.058241
OBER 13JUN19 2013.4648 56462 1745 3    7.2   1333  0.370841   5442759  0.330313   309  0.272070  0.0000 0.000481 0.000630 0.001737  0.039586  0.006455 -0.074605
OBER 13JUN20 2013.4675 56463 1745 4    7.2   1333  0.369202   5442759  0.329111   309  0.272709  0.0000 0.000482 0.000630 0.001761  0.035190  0.015599 -0.082869
OBER 13JUN21 2013.4702 56464 1745 5    7.2   1333  0.368777   5442759  0.333406   309  0.271228  0.0000 0.000478 0.000626 0.001725  0.036428  0.011833 -0.070241
OBER 13JUN22 2013.4730 56465 1745 6    7.2   1333  0.371165   5442759  0.330499   309  0.263740  0.0000 0.000540 0.000727 0.001962  0.036170 -0.016722 -0.079809
OBER 13JUN23 2013.4757 56466 1746 0    7.2   1333  0.373259   5442759  0.332184   309  0.261956  0.0000 0.000735 0.000988 0.002716  0.045286  0.076582 -0.028714
OBER 13JUN24 2013.4784 56467 1746 1    7.2   1333  0.366967   5442759  0.333048   309  0.262956  0.0000 0.000479 0.000631 0.001741  0.046623  0.000370 -0.053353
OBER 13JUN25 2013.4812 56468 1746 2    7.2   1333  0.369766   5442759  0.331202   309  0.264469  0.0000 0.000481 0.000626 0.001738  0.031244  0.018719 -0.071069
OBER 13JUN26 2013.4839 56469 1746 3    7.2   1333  0.370840   5442759  0.331544   309  0.265966  0.0000 0.000479 0.000623 0.001727  0.029593  0.011722 -0.066803
OBER 13JUN27 2013.4867 56470 1746 4    7.2   1333  0.367572   5442759  0.333591   309  0.258761  0.0000 0.000478 0.000622 0.001726  0.027281  0.000440 -0.070518
OBER 13JUN28 2013.4894 56471 1746 5    7.2   1333  0.369530   5442759  0.328698   309  0.272981  0.0000 0.000478 0.000625 0.001723  0.032087 -0.005113 -0.059842
OBER 13JUN29 2013.4921 56472 1746 6    7.2   1333  0.370927   5442759  0.332703   309  0.268576  0.0000 0.000480 0.000634 0.001753  0.039394  0.014374 -0.059891
OBER 13JUN30 2013.4949 56473 1747 0    7.2   1333  0.369956   5442759  0.330807   309  0.268847  0.0000 0.000479 0.000624 0.001730  0.053435  0.010794 -0.066786
OBER 13JUL01 2013.4976 56474 1747 1    7.2   1333  0.371586   5442759  0.329580   309  0.270838  0.0000 0.000475 0.000624 0.001730  0.039306  0.002888 -0.081808
OBER 13JUL02 2013.5003 56475 1747 2    7.2   1333  0.368861   5442759  0.332788   309  0.269637  0.0000 0.000475 0.000622 0.001719  0.053227 -0.005262 -0.080450
OBER 13JUL03 2013.5031 56476 1747 3    7.2   1333  0.367063   5442759  0.331051   309  0.273291  0.0000 0.000471 0.000622 0.001704  0.051272 -0.003211 -0.069103
