site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P042 04NOV10 2004.8597 53319 1296 3 -104.9   -877 -0.029272   4657357  0.888841  1422  0.441511  0.0083 0.000488 0.000627 0.001816  0.004719 -0.027973 -0.157519
P042 04NOV11 2004.8624 53320 1296 4 -104.9   -877 -0.030108   4657357  0.889056  1422  0.439293  0.0083 0.000481 0.000622 0.001790 -0.012418 -0.031297 -0.144683
P042 04NOV12 2004.8652 53321 1296 5 -104.9   -877 -0.029685   4657357  0.889419  1422  0.434824  0.0083 0.000481 0.000614 0.001775 -0.020805 -0.003515 -0.155452
P042 04NOV13 2004.8679 53322 1296 6 -104.9   -877 -0.030817   4657357  0.888412  1422  0.435391  0.0083 0.000484 0.000619 0.001807 -0.012818  0.008332 -0.168052
P042 04NOV14 2004.8706 53323 1297 0 -104.9   -877 -0.029498   4657357  0.888785  1422  0.432767  0.0083 0.000480 0.000612 0.001772 -0.015909  0.004079 -0.140124
P042 04NOV15 2004.8734 53324 1297 1 -104.9   -877 -0.030099   4657357  0.887635  1422  0.437844  0.0083 0.000486 0.000614 0.001786  0.002210 -0.015555 -0.141799
P042 04NOV16 2004.8761 53325 1297 2 -104.9   -877 -0.032150   4657357  0.887491  1422  0.446375  0.0083 0.000482 0.000612 0.001768 -0.006309 -0.021920 -0.144236
P042 04NOV17 2004.8789 53326 1297 3 -104.9   -877 -0.032928   4657357  0.889900  1422  0.439475  0.0083 0.000480 0.000613 0.001766 -0.016026 -0.006114 -0.148216
P042 04NOV18 2004.8816 53327 1297 4 -104.9   -877 -0.032082   4657357  0.888130  1422  0.437524  0.0083 0.000497 0.000621 0.001852 -0.012409  0.018570 -0.136270
P042 04NOV19 2004.8843 53328 1297 5 -104.9   -877 -0.032385   4657357  0.889171  1422  0.437675  0.0083 0.000508 0.000636 0.001886 -0.023063  0.027481 -0.150541
P042 04NOV20 2004.8871 53329 1297 6 -104.9   -877 -0.031669   4657357  0.889234  1422  0.434107  0.0083 0.000481 0.000614 0.001776 -0.005431  0.000063 -0.136079
P042 04NOV21 2004.8898 53330 1298 0 -104.9   -877 -0.030282   4657357  0.889793  1422  0.437001  0.0083 0.000477 0.000609 0.001759 -0.008343 -0.012619 -0.133987
P042 04NOV22 2004.8925 53331 1298 1 -104.9   -877 -0.030700   4657357  0.888037  1422  0.435455  0.0083 0.000478 0.000610 0.001772  0.000501 -0.034388 -0.140516
P042 04NOV23 2004.8953 53332 1298 2 -104.9   -877 -0.032294   4657357  0.888850  1422  0.439038  0.0083 0.000487 0.000624 0.001815  0.026101 -0.025977 -0.144469
P042 04NOV24 2004.8980 53333 1298 3 -104.9   -877 -0.031333   4657357  0.888507  1422  0.435425  0.0083 0.000487 0.000624 0.001815  0.018106 -0.011215 -0.166629
P042 04NOV25 2004.9008 53334 1298 4 -104.9   -877 -0.032030   4657357  0.886008  1422  0.440611  0.0083 0.000496 0.000627 0.001831 -0.017690  0.005812 -0.174080
P042 04NOV26 2004.9035 53335 1298 5 -104.9   -877 -0.033904   4657357  0.888720  1422  0.436484  0.0083 0.000481 0.000611 0.001780 -0.023391 -0.001698 -0.152410
