site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PAEV 18AUG30 2018.6612 58360 2016 4  -78.4   2558  0.054601   4430045  0.668614   320  0.638703  0.0000 0.000483 0.000577 0.001823 -0.035315 -0.010677 -0.102748
PAEV 18AUG31 2018.6639 58361 2016 5  -78.4   2558  0.055008   4430045  0.670347   320  0.620554  0.0000 0.000486 0.000574 0.001806 -0.034031  0.007703 -0.126405
PAEV 18SEP01 2018.6667 58362 2016 6  -78.4   2558  0.053969   4430045  0.670613   320  0.636760  0.0000 0.000485 0.000573 0.001805 -0.025722 -0.003792 -0.131930
PAEV 18SEP02 2018.6694 58363 2017 0  -78.4   2558  0.052671   4430045  0.670788   320  0.631343  0.0000 0.000484 0.000571 0.001801 -0.023984 -0.028019 -0.121032
PAEV 18SEP03 2018.6721 58364 2017 1  -78.4   2558  0.053611   4430045  0.673084   320  0.631101  0.0000 0.000486 0.000577 0.001818 -0.028185 -0.020762 -0.120027
PAEV 18SEP04 2018.6749 58365 2017 2  -78.4   2558  0.052392   4430045  0.668054   320  0.635047  0.0000 0.000483 0.000571 0.001799 -0.037678 -0.017714 -0.110123
PAEV 18SEP05 2018.6776 58366 2017 3  -78.4   2558  0.053811   4430045  0.672711   320  0.630911  0.0000 0.000480 0.000568 0.001808 -0.025483 -0.013767 -0.122123
PAEV 18SEP06 2018.6804 58367 2017 4  -78.4   2558  0.053509   4430045  0.672660   320  0.627101  0.0000 0.000499 0.000588 0.001867 -0.055089  0.007299 -0.101533
PAEV 18SEP07 2018.6831 58368 2017 5  -78.4   2558  0.053995   4430045  0.671501   320  0.637652  0.0000 0.000497 0.000578 0.001846 -0.029944 -0.007479 -0.112105
PAEV 18SEP09 2018.6886 58370 2018 0  -78.4   2558  0.055228   4430045  0.672573   320  0.626738  0.0000 0.000480 0.000574 0.001801 -0.027092 -0.029406 -0.108792
PAEV 18SEP10 2018.6913 58371 2018 1  -78.4   2558  0.056293   4430045  0.672873   320  0.633169  0.0000 0.000476 0.000569 0.001783 -0.025653 -0.027166 -0.113410
PAEV 18SEP11 2018.6940 58372 2018 2  -78.4   2558  0.052966   4430045  0.672702   320  0.629218  0.0000 0.000490 0.000585 0.001877 -0.024756 -0.017477 -0.141056
PAEV 18SEP12 2018.6968 58373 2018 3  -78.4   2558  0.054345   4430045  0.674012   320  0.635426  0.0000 0.000483 0.000578 0.001812 -0.036832 -0.015587 -0.127035
PAEV 18SEP13 2018.6995 58374 2018 4  -78.4   2558  0.053924   4430045  0.674341   320  0.625205  0.0000 0.000485 0.000574 0.001803 -0.035526 -0.016036 -0.105661
PAEV 18SEP14 2018.7023 58375 2018 5  -78.4   2558  0.054451   4430045  0.674310   320  0.622708  0.0000 0.000492 0.000578 0.001803 -0.047758 -0.001985 -0.101800
PAEV 18SEP15 2018.7050 58376 2018 6  -78.4   2558  0.053959   4430045  0.671070   320  0.627426  0.0000 0.000480 0.000574 0.001807 -0.023738 -0.017208 -0.125799
PAEV 18SEP16 2018.7077 58377 2019 0  -78.4   2558  0.054854   4430045  0.672687   320  0.625750  0.0000 0.000485 0.000573 0.001817 -0.039163 -0.018741 -0.119855
PAEV 18SEP17 2018.7105 58378 2019 1  -78.4   2558  0.055832   4430045  0.672513   320  0.627632  0.0000 0.000483 0.000574 0.001802 -0.038916 -0.014257 -0.117496
PAEV 18SEP19 2018.7159 58380 2019 3  -78.4   2558  0.050097   4430045  0.671100   320  0.624905  0.0000 0.000486 0.000572 0.001797 -0.036225  0.010448 -0.127110
PAEV 18SEP20 2018.7187 58381 2019 4  -78.4   2558  0.053345   4430045  0.672078   320  0.625646  0.0000 0.000483 0.000570 0.001806 -0.033255 -0.033754 -0.117574
PAEV 18SEP21 2018.7214 58382 2019 5  -78.4   2558  0.052237   4430045  0.670823   320  0.622982  0.0000 0.000484 0.000575 0.001830 -0.025685 -0.034656 -0.099592
PAEV 18SEP22 2018.7242 58383 2019 6  -78.4   2558  0.052044   4430045  0.670841   320  0.638065  0.0000 0.000492 0.000588 0.001857 -0.047086  0.004886 -0.129420
PAEV 18SEP23 2018.7269 58384 2020 0  -78.4   2558  0.054201   4430045  0.672720   320  0.628106  0.0000 0.000483 0.000572 0.001795 -0.038271 -0.016117 -0.102799
PAEV 18SEP24 2018.7296 58385 2020 1  -78.4   2558  0.052234   4430045  0.673177   320  0.614872  0.0000 0.000477 0.000569 0.001776 -0.031911 -0.019208 -0.096401
PAEV 18SEP25 2018.7324 58386 2020 2  -78.4   2558  0.053279   4430045  0.672614   320  0.632250  0.0000 0.000480 0.000572 0.001799 -0.031450 -0.031805 -0.119796
PAEV 18SEP26 2018.7351 58387 2020 3  -78.4   2558  0.052607   4430045  0.670819   320  0.630794  0.0000 0.000482 0.000580 0.001841 -0.035528 -0.029714 -0.120961
PAEV 18SEP27 2018.7379 58388 2020 4  -78.4   2558  0.052618   4430045  0.673065   320  0.627899  0.0000 0.000484 0.000580 0.001832 -0.029117 -0.024881 -0.124093
PAEV 18SEP28 2018.7406 58389 2020 5  -78.4   2558  0.053189   4430045  0.672485   320  0.617094  0.0000 0.000481 0.000577 0.001814 -0.030286 -0.017424 -0.119063
PAEV 18SEP29 2018.7433 58390 2020 6  -78.4   2558  0.052913   4430045  0.673921   320  0.620237  0.0000 0.000480 0.000572 0.001795 -0.026696 -0.015739 -0.112651
PAEV 18SEP30 2018.7461 58391 2021 0  -78.4   2558  0.051404   4430045  0.673003   320  0.618347  0.0000 0.000479 0.000571 0.001790 -0.033406  0.007116 -0.130322
PAEV 18OCT01 2018.7488 58392 2021 1  -78.4   2558  0.053008   4430045  0.672408   320  0.628264  0.0000 0.000483 0.000577 0.001824 -0.031144 -0.024450 -0.145748
PAEV 18OCT02 2018.7515 58393 2021 2  -78.4   2558  0.052401   4430045  0.673458   320  0.625695  0.0000 0.000486 0.000576 0.001829 -0.029957 -0.007985 -0.148228
