site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PRKB 04AUG07 2004.5996 53224 1282 6  100.4    -42 -0.971750   -328031 -0.856852    21  0.210304  0.0083 0.000870 0.000706 0.003082  0.031199  0.137972  0.156626
PRKB 04AUG08 2004.6023 53225 1283 0  100.4    -42 -0.975957   -328031 -0.854176    21  0.200177  0.0083 0.000864 0.000704 0.003127  0.076374  0.152228  0.139065
PRKB 04AUG09 2004.6051 53226 1283 1  100.4    -42 -0.970761   -328031 -0.857410    21  0.213405  0.0083 0.000834 0.000680 0.003143  0.003769  0.200178  0.124883
PRKB 04AUG10 2004.6078 53227 1283 2  100.4    -42 -0.972323   -328031 -0.855877    21  0.211926  0.0083 0.000823 0.000693 0.003086  0.040248  0.167801  0.181202
PRKB 04AUG11 2004.6105 53228 1283 3  100.4    -42 -0.973160   -328031 -0.857129    21  0.202750  0.0083 0.000812 0.000685 0.003072  0.026738  0.131109  0.213199
PRKB 04AUG12 2004.6133 53229 1283 4  100.4    -42 -0.974723   -328031 -0.855585    21  0.211739  0.0083 0.000817 0.000679 0.003020  0.032023  0.147952  0.172536
PRKB 04AUG13 2004.6160 53230 1283 5  100.4    -42 -0.974325   -328031 -0.851855    21  0.210537  0.0083 0.000849 0.000705 0.003230  0.030538  0.200676  0.129938
PRKB 04AUG14 2004.6188 53231 1283 6  100.4    -42 -0.979056   -328031 -0.859326    21  0.219544  0.0083 0.000859 0.000702 0.003215  0.025493  0.189652  0.142507
PRKB 04AUG15 2004.6215 53232 1284 0  100.4    -42 -0.975473   -328031 -0.857320    21  0.218496  0.0083 0.000813 0.000684 0.003057  0.044740  0.138812  0.203556
PRKB 04AUG16 2004.6242 53233 1284 1  100.4    -42 -0.973989   -328031 -0.857362    21  0.213114  0.0083 0.000845 0.000690 0.003184  0.034553  0.173250  0.142615
PRKB 04AUG17 2004.6270 53234 1284 2  100.4    -42 -0.970703   -328031 -0.856055    21  0.215519  0.0083 0.000816 0.000677 0.003104 -0.002213  0.173089  0.182752
PRKB 04AUG18 2004.6297 53235 1284 3  100.4    -42 -0.970514   -328031 -0.856127    21  0.214808  0.0083 0.000844 0.000701 0.003097  0.078540  0.109178  0.161635
PRKB 04AUG19 2004.6324 53236 1284 4  100.4    -42 -0.972476   -328031 -0.853179    21  0.217147  0.0083 0.000811 0.000663 0.002998  0.024649  0.142988  0.138713
PRKB 04AUG20 2004.6352 53237 1284 5  100.4    -42 -0.969630   -328031 -0.850783    21  0.210207  0.0083 0.000843 0.000707 0.003199  0.028500  0.162680  0.152952
PRKB 04AUG21 2004.6379 53238 1284 6  100.4    -42 -0.971355   -328031 -0.853563    21  0.208180  0.0083 0.000830 0.000675 0.003078  0.040802  0.157951  0.142406
PRKB 04AUG22 2004.6407 53239 1285 0  100.4    -42 -0.974759   -328031 -0.852162    21  0.209938  0.0083 0.000811 0.000668 0.003071  0.019088  0.190267  0.175284
PRKB 04AUG23 2004.6434 53240 1285 1  100.4    -42 -0.970645   -328031 -0.856302    21  0.210204  0.0083 0.000852 0.000701 0.003189  0.025291  0.186642  0.128382
PRKB 04AUG24 2004.6461 53241 1285 2  100.4    -42 -0.975836   -328031 -0.853409    21  0.190859  0.0083 0.000832 0.000685 0.003045  0.058938  0.110096  0.178624
PRKB 04AUG25 2004.6489 53242 1285 3  100.4    -42 -0.966978   -328031 -0.857942    21  0.219901  0.0083 0.000826 0.000685 0.003023  0.080695  0.125617  0.159335
PRKB 04AUG26 2004.6516 53243 1285 4  100.4    -42 -0.972791   -328031 -0.854006    21  0.213769  0.0083 0.000828 0.000690 0.003158  0.024174  0.147417  0.214877
PRKB 04AUG27 2004.6543 53244 1285 5  100.4    -42 -0.969180   -328031 -0.859419    21  0.231813  0.0083 0.000840 0.000704 0.003133  0.083252  0.101788  0.194937
PRKB 04AUG28 2004.6571 53245 1285 6  100.4    -42 -0.976063   -328031 -0.854530    21  0.218225  0.0083 0.000851 0.000706 0.003201  0.068749  0.119230  0.146643
PRKB 04AUG29 2004.6598 53246 1286 0  100.4    -42 -0.968874   -328031 -0.860782    21  0.203894  0.0083 0.000850 0.000719 0.003206  0.040067  0.145195  0.185614
PRKB 04AUG30 2004.6626 53247 1286 1  100.4    -42 -0.974492   -328031 -0.856722    21  0.205322  0.0083 0.000868 0.000728 0.003204  0.076365  0.171661  0.126634
PRKB 04AUG31 2004.6653 53248 1286 2  100.4    -42 -0.972729   -328031 -0.855801    21  0.224761  0.0083 0.000839 0.000686 0.003101  0.016593  0.195176  0.129165
PRKB 04SEP01 2004.6680 53249 1286 3  100.4    -42 -0.970033   -328031 -0.858278    21  0.228008  0.0083 0.000825 0.000696 0.003137  0.032434  0.141307  0.185615
PRKB 04SEP02 2004.6708 53250 1286 4  100.4    -42 -0.971882   -328031 -0.856838    21  0.236153  0.0083 0.000837 0.000690 0.003153  0.013900  0.164782  0.178605
PRKB 04SEP03 2004.6735 53251 1286 5  100.4    -42 -0.970749   -328031 -0.854875    21  0.216326  0.0083 0.000868 0.000693 0.003167  0.065920  0.140579  0.161936
PRKB 04SEP04 2004.6762 53252 1286 6  100.4    -42 -0.971058   -328031 -0.853858    21  0.217411  0.0083 0.000843 0.000686 0.003118  0.060786  0.184577  0.137797
PRKB 04SEP05 2004.6790 53253 1287 0  100.4    -42 -0.971418   -328031 -0.854280    21  0.227982  0.0083 0.000832 0.000707 0.003135  0.033951  0.140070  0.191059
PRKB 04SEP06 2004.6817 53254 1287 1  100.4    -42 -0.968930   -328031 -0.853399    21  0.220317  0.0083 0.000834 0.000701 0.003031  0.101880  0.114892  0.147254
PRKB 04SEP07 2004.6845 53255 1287 2  100.4    -42 -0.965734   -328031 -0.852655    21  0.222261  0.0083 0.000845 0.000703 0.003218 -0.002732  0.204384  0.087554
PRKB 04SEP08 2004.6872 53256 1287 3  100.4    -42 -0.965045   -328031 -0.857828    21  0.216577  0.0083 0.000850 0.000711 0.003181  0.047116  0.127947  0.184507
PRKB 04SEP09 2004.6899 53257 1287 4  100.4    -42 -0.969955   -328031 -0.849643    21  0.228535  0.0083 0.000911 0.000725 0.003232  0.078231  0.165833  0.105148
PRKB 04SEP10 2004.6927 53258 1287 5  100.4    -42 -0.972738   -328031 -0.848888    21  0.222680  0.0083 0.000826 0.000695 0.003045  0.047473  0.175922  0.153034
PRKB 04SEP11 2004.6954 53259 1287 6  100.4    -42 -0.972116   -328031 -0.855397    21  0.225826  0.0083 0.000855 0.000726 0.003229  0.054894  0.124209  0.174434
PRKB 04SEP12 2004.6982 53260 1288 0  100.4    -42 -0.971382   -328031 -0.853561    21  0.225564  0.0083 0.000897 0.000727 0.003359 -0.008658  0.195044  0.116850
PRKB 04SEP13 2004.7009 53261 1288 1  100.4    -42 -0.970909   -328031 -0.849093    21  0.211703  0.0083 0.000914 0.000728 0.003200  0.085403  0.155137  0.144558
PRKB 04SEP14 2004.7036 53262 1288 2  100.4    -42 -0.971338   -328031 -0.849808    21  0.210622  0.0083 0.000877 0.000723 0.003219  0.058022  0.104341  0.153334
PRKB 04SEP15 2004.7064 53263 1288 3  100.4    -42 -0.971392   -328031 -0.854388    21  0.230645  0.0083 0.000845 0.000722 0.003177  0.025914  0.179525  0.193641
PRKB 04SEP16 2004.7091 53264 1288 4  100.4    -42 -0.968558   -328031 -0.853076    21  0.220347  0.0083 0.000826 0.000699 0.003054  0.028403  0.139699  0.132871
PRKB 04SEP17 2004.7118 53265 1288 5  100.4    -42 -0.968183   -328031 -0.846749    21  0.227551  0.0083 0.000830 0.000699 0.003025  0.040973  0.135359  0.150929
PRKB 04SEP18 2004.7146 53266 1288 6  100.4    -42 -0.967050   -328031 -0.844721    21  0.239402  0.0083 0.000825 0.000706 0.003160  0.017343  0.131986  0.217247
PRKB 04SEP19 2004.7173 53267 1289 0  100.4    -42 -0.970292   -328031 -0.851666    21  0.221091  0.0083 0.000851 0.000719 0.003141  0.071499  0.186037  0.134404
PRKB 04SEP20 2004.7201 53268 1289 1  100.4    -42 -0.969604   -328031 -0.849645    21  0.221669  0.0083 0.000821 0.000690 0.003084  0.024821  0.165006  0.198414
PRKB 04SEP21 2004.7228 53269 1289 2  100.4    -42 -0.970324   -328031 -0.852070    21  0.217050  0.0083 0.000856 0.000689 0.003024  0.084278  0.116463  0.106460
PRKB 04SEP22 2004.7255 53270 1289 3  100.4    -42 -0.978909   -328031 -0.860822    21  0.239605  0.0083 0.000892 0.000737 0.003228  0.029077  0.193454  0.081730
PRKB 04SEP23 2004.7283 53271 1289 4  100.4    -42 -0.972947   -328031 -0.856317    21  0.247217  0.0083 0.000870 0.000737 0.003236  0.064518  0.105570  0.161887
PRKB 04SEP24 2004.7310 53272 1289 5  100.4    -42 -0.971626   -328031 -0.852571    21  0.217293  0.0083 0.000820 0.000694 0.003163  0.007542  0.153682  0.179395
PRKB 04SEP25 2004.7337 53273 1289 6  100.4    -42 -0.968982   -328031 -0.851818    21  0.244576  0.0083 0.000844 0.000724 0.003264  0.032966  0.190737  0.228204
PRKB 04SEP26 2004.7365 53274 1290 0  100.4    -42 -0.971223   -328031 -0.850518    21  0.235980  0.0083 0.000842 0.000722 0.003164  0.028130  0.118293  0.178695
PRKB 04SEP27 2004.7392 53275 1290 1  100.4    -42 -0.968391   -328031 -0.849595    21  0.219243  0.0083 0.000809 0.000683 0.002981  0.058062  0.141512  0.179838
PRKB 04SEP28 2004.7420 53276 1290 2  100.4    -42 -0.968052   -328031 -0.857544    21  0.221608  0.0083 0.000830 0.000690 0.003079  0.050053  0.118803  0.188355
PRKB 04SEP29 2004.7447 53277 1290 3  100.4    -42 -0.973364   -328031 -0.851175    21  0.221179  0.0083 0.000821 0.000690 0.003061  0.046155  0.159814  0.124571
PRKB 04SEP30 2004.7474 53278 1290 4  100.4    -42 -0.967359   -328031 -0.849702    21  0.223339  0.0083 0.000826 0.000702 0.003075  0.060508  0.159877  0.147855
PRKB 04OCT01 2004.7502 53279 1290 5  100.4    -42 -0.969138   -328031 -0.850786    21  0.227077  0.0083 0.000849 0.000702 0.003178  0.014391  0.136520  0.162350
PRKB 04OCT02 2004.7529 53280 1290 6  100.4    -42 -0.963795   -328031 -0.847518    21  0.215585  0.0083 0.000812 0.000705 0.003048  0.063333  0.137813  0.180108
PRKB 04OCT03 2004.7556 53281 1291 0  100.4    -42 -0.973885   -328031 -0.851998    21  0.222939  0.0083 0.000858 0.000708 0.003163  0.069166  0.129487  0.163728
PRKB 04OCT04 2004.7584 53282 1291 1  100.4    -42 -0.967531   -328031 -0.848837    21  0.211923  0.0083 0.000822 0.000705 0.003038  0.071249  0.112508  0.180299
PRKB 04OCT05 2004.7611 53283 1291 2  100.4    -42 -0.963097   -328031 -0.847545    21  0.202637  0.0083 0.000906 0.000752 0.003282  0.152123  0.104093  0.095947
PRKB 04OCT06 2004.7639 53284 1291 3  100.4    -42 -0.971380   -328031 -0.852793    21  0.216436  0.0083 0.000811 0.000690 0.003034  0.051843  0.161262  0.184006
PRKB 04OCT07 2004.7666 53285 1291 4  100.4    -42 -0.967951   -328031 -0.849485    21  0.225731  0.0083 0.000820 0.000699 0.003056  0.070922  0.149863  0.146507
PRKB 04OCT08 2004.7693 53286 1291 5  100.4    -42 -0.968434   -328031 -0.853045    21  0.218840  0.0083 0.000813 0.000699 0.003061  0.044444  0.097137  0.139118
PRKB 04OCT09 2004.7721 53287 1291 6  100.4    -42 -0.968743   -328031 -0.846905    21  0.222332  0.0083 0.000806 0.000696 0.003146  0.037841  0.104599  0.155010
PRKB 04OCT10 2004.7748 53288 1292 0  100.4    -42 -0.969411   -328031 -0.848077    21  0.222475  0.0083 0.000817 0.000700 0.003049  0.076602  0.137852  0.173441
PRKB 04OCT11 2004.7775 53289 1292 1  100.4    -42 -0.968964   -328031 -0.849785    21  0.203967  0.0083 0.000829 0.000720 0.003131  0.072376  0.144766  0.154215
PRKB 04OCT12 2004.7803 53290 1292 2  100.4    -42 -0.962547   -328031 -0.847459    21  0.214265  0.0083 0.000867 0.000722 0.003305  0.062655  0.167240  0.142010
PRKB 04OCT13 2004.7830 53291 1292 3  100.4    -42 -0.970551   -328031 -0.847490    21  0.225236  0.0083 0.000851 0.000710 0.003200  0.047713  0.182127  0.146186
PRKB 04OCT14 2004.7858 53292 1292 4  100.4    -42 -0.970674   -328031 -0.847335    21  0.225117  0.0083 0.000838 0.000707 0.003059  0.070172  0.099272  0.136137
PRKB 04OCT15 2004.7885 53293 1292 5  100.4    -42 -0.968740   -328031 -0.846109    21  0.216333  0.0083 0.000864 0.000737 0.003220  0.081603  0.056804  0.223022
PRKB 04OCT16 2004.7912 53294 1292 6  100.4    -42 -0.971030   -328031 -0.849622    21  0.237924  0.0083 0.000820 0.000691 0.003100  0.053289  0.140472  0.176471
PRKB 04OCT17 2004.7940 53295 1293 0  100.4    -42 -0.974295   -328031 -0.846139    21  0.244602  0.0083 0.000860 0.000708 0.003122  0.073812  0.060366  0.168636
PRKB 04OCT18 2004.7967 53296 1293 1  100.4    -42 -0.969126   -328031 -0.847720    21  0.219260  0.0083 0.000813 0.000676 0.003031  0.020368  0.128041  0.168248
PRKB 04OCT19 2004.7995 53297 1293 2  100.4    -42 -0.969716   -328031 -0.849070    21  0.208406  0.0083 0.000946 0.000729 0.003224  0.105382  0.126510  0.077901
PRKB 04OCT20 2004.8022 53298 1293 3  100.4    -42 -0.964378   -328031 -0.849793    21  0.213366  0.0083 0.000869 0.000707 0.003075  0.052429  0.131673  0.115646
PRKB 04OCT21 2004.8049 53299 1293 4  100.4    -42 -0.967097   -328031 -0.849801    21  0.223321  0.0083 0.000889 0.000706 0.003107  0.076447  0.088315  0.126163
PRKB 04OCT22 2004.8077 53300 1293 5  100.4    -42 -0.969183   -328031 -0.842597    21  0.218131  0.0083 0.000868 0.000688 0.003022  0.051061  0.112836  0.177229
PRKB 04OCT23 2004.8104 53301 1293 6  100.4    -42 -0.968630   -328031 -0.845288    21  0.216568  0.0083 0.000837 0.000690 0.003087  0.055121  0.145278  0.166237
PRKB 04OCT24 2004.8131 53302 1294 0  100.4    -42 -0.968212   -328031 -0.848607    21  0.219054  0.0083 0.000840 0.000691 0.003046  0.026796  0.114791  0.142851
