site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
QLAP 10MAR11 2010.1903 55266 1574 4  -72.1  -2294 -0.395621  -3994917 -0.185716   181  0.900201  0.0410 0.000574 0.000664 0.002239  0.014384  0.024306  0.114328
QLAP 10MAR12 2010.1930 55267 1574 5  -72.1  -2294 -0.400036  -3994917 -0.186626   181  0.898918  0.0410 0.000574 0.000665 0.002244  0.005718  0.028032  0.105809
QLAP 10MAR13 2010.1958 55268 1574 6  -72.1  -2294 -0.403837  -3994917 -0.187416   181  0.903181  0.0410 0.000574 0.000662 0.002244  0.006959  0.036370  0.119264
QLAP 10MAR14 2010.1985 55269 1575 0  -72.1  -2294 -0.404636  -3994917 -0.185843   181  0.899226  0.0410 0.000573 0.000665 0.002264  0.015384  0.010253  0.127471
QLAP 10MAR15 2010.2012 55270 1575 1  -72.1  -2294 -0.406078  -3994917 -0.185332   181  0.904532  0.0410 0.000582 0.000676 0.002304  0.018026  0.005067  0.100972
QLAP 10MAR16 2010.2040 55271 1575 2  -72.1  -2294 -0.411482  -3994917 -0.187517   181  0.905554  0.0410 0.000601 0.000684 0.002365 -0.011268 -0.003204  0.067171
QLAP 10MAR17 2010.2067 55272 1575 3  -72.1  -2294 -0.414541  -3994917 -0.185593   181  0.901704  0.0410 0.000593 0.000676 0.002306 -0.022932  0.011518  0.083166
QLAP 10MAR18 2010.2094 55273 1575 4  -72.1  -2294 -0.417190  -3994917 -0.186064   181  0.902996  0.0410 0.000578 0.000670 0.002265 -0.000384  0.026588  0.094418
QLAP 10MAR19 2010.2122 55274 1575 5  -72.1  -2294 -0.420299  -3994917 -0.184716   181  0.904353  0.0410 0.000577 0.000665 0.002256  0.006846  0.021906  0.108477
QLAP 10MAR20 2010.2149 55275 1575 6  -72.1  -2294 -0.421743  -3994917 -0.185028   181  0.897821  0.0410 0.000578 0.000669 0.002281  0.013153  0.001401  0.112083
QLAP 10MAR21 2010.2177 55276 1576 0  -72.1  -2294 -0.425261  -3994917 -0.185497   181  0.901059  0.0410 0.000580 0.000669 0.002295  0.014865  0.013993  0.107063
QLAP 10MAR22 2010.2204 55277 1576 1  -72.1  -2294 -0.425886  -3994917 -0.185050   181  0.905045  0.0410 0.000581 0.000667 0.002275  0.014659  0.026261  0.103066
QLAP 10MAR23 2010.2231 55278 1576 2  -72.1  -2294 -0.427120  -3994917 -0.185016   181  0.900941  0.0410 0.000577 0.000661 0.002255  0.009283  0.037697  0.107303
QLAP 10MAR24 2010.2259 55279 1576 3  -72.1  -2294 -0.429268  -3994917 -0.184539   181  0.905883  0.0410 0.000587 0.000680 0.002326  0.040359  0.057636  0.097843
QLAP 10MAR25 2010.2286 55280 1576 4  -72.1  -2294 -0.430748  -3994917 -0.184338   181  0.906637  0.0410 0.000583 0.000668 0.002281  0.036518  0.033627  0.122218
QLAP 10MAR26 2010.2313 55281 1576 5  -72.1  -2294 -0.434990  -3994917 -0.186498   181  0.901674  0.0410 0.000590 0.000669 0.002301  0.029679  0.027525  0.130384
QLAP 10MAR27 2010.2341 55282 1576 6  -72.1  -2294 -0.436458  -3994917 -0.184139   181  0.896434  0.0410 0.000591 0.000681 0.002324  0.038908  0.048656  0.093125
QLAP 10MAR28 2010.2368 55283 1577 0  -72.1  -2294 -0.436685  -3994917 -0.184881   181  0.905140  0.0410 0.000590 0.000681 0.002340  0.022771  0.045992  0.085161
QLAP 10MAR29 2010.2396 55284 1577 1  -72.1  -2294 -0.437705  -3994917 -0.184255   181  0.905327  0.0410 0.000587 0.000682 0.002328  0.030637  0.054332  0.091990
QLAP 10MAR30 2010.2423 55285 1577 2  -72.1  -2294 -0.439569  -3994917 -0.185220   181  0.907452  0.0410 0.000625 0.000702 0.002420  0.028647  0.056182  0.094464
QLAP 10MAR31 2010.2450 55286 1577 3  -72.1  -2294 -0.442444  -3994917 -0.183781   181  0.903245  0.0410 0.000584 0.000680 0.002316  0.028480  0.050037  0.114341
QLAP 10APR01 2010.2478 55287 1577 4  -72.1  -2294 -0.445135  -3994917 -0.184289   181  0.899719  0.0410 0.000600 0.000700 0.002418  0.026005  0.050754  0.144316
QLAP 10APR02 2010.2505 55288 1577 5  -72.1  -2294 -0.440769  -3994917 -0.183865   181  0.907563  0.0410 0.000612 0.000723 0.002490  0.052316  0.060950  0.137070
QLAP 10APR03 2010.2533 55289 1577 6  -72.1  -2294 -0.444830  -3994917 -0.186050   181  0.899108  0.0410 0.000598 0.000708 0.002409  0.008446  0.050987  0.111665
QLAP 10APR04 2010.2560 55290 1578 0  -72.1  -2294 -0.445552  -3994917 -0.186071   181  0.899005  0.0410 0.000596 0.000704 0.002410  0.012220  0.061508  0.105012
QLAP 10APR05 2010.2587 55291 1578 1  -72.1  -2294 -0.447229  -3994917 -0.183564   181  0.905415  0.0410 0.000707 0.000834 0.002927  0.031365  0.033102  0.139414
QLAP 10APR06 2010.2615 55292 1578 2  -72.1  -2294 -0.451049  -3994917 -0.188202   181  0.901565  0.0410 0.000599 0.000710 0.002415  0.014234  0.060416  0.110050
QLAP 10APR07 2010.2642 55293 1578 3  -72.1  -2294 -0.451349  -3994917 -0.183774   181  0.901948  0.0410 0.000608 0.000715 0.002441 -0.003307  0.060132  0.132435
QLAP 10APR08 2010.2669 55294 1578 4  -72.1  -2294 -0.451880  -3994917 -0.183697   181  0.897785  0.0410 0.000597 0.000684 0.002329  0.034731  0.068389  0.125409
QLAP 10APR09 2010.2697 55295 1578 5  -72.1  -2294 -0.452679  -3994917 -0.184228   181  0.897868  0.0410 0.000620 0.000714 0.002440 -0.005050  0.048302  0.112263
QLAP 10APR10 2010.2724 55296 1578 6  -72.1  -2294 -0.453579  -3994917 -0.185297   181  0.899160  0.0410 0.000617 0.000687 0.002364  0.040964  0.050639  0.119693
QLAP 10APR11 2010.2752 55297 1579 0  -72.1  -2294 -0.453711  -3994917 -0.183591   181  0.903534  0.0410 0.000587 0.000674 0.002289  0.031510  0.069738  0.123498
QLAP 10APR12 2010.2779 55298 1579 1  -72.1  -2294 -0.455348  -3994917 -0.179578   181  0.895490  0.0410 0.000598 0.000702 0.002365  0.026520  0.081836  0.086122
QLAP 10APR13 2010.2806 55299 1579 2  -72.1  -2294 -0.457486  -3994917 -0.187041   181  0.892295  0.0410 0.000594 0.000696 0.002379 -0.004047  0.047037  0.143276
QLAP 10APR14 2010.2834 55300 1579 3  -72.1  -2294 -0.459758  -3994917 -0.185615   181  0.896171  0.0410 0.000614 0.000708 0.002445 -0.024082  0.027586  0.162517
QLAP 10APR15 2010.2861 55301 1579 4  -72.1  -2294 -0.460451  -3994917 -0.184380   181  0.898991  0.0410 0.000615 0.000708 0.002458 -0.021851  0.031834  0.160372
QLAP 10APR16 2010.2888 55302 1579 5  -72.1  -2294 -0.462533  -3994917 -0.185696   181  0.895278  0.0410 0.000588 0.000687 0.002370 -0.007444  0.045349  0.152292
QLAP 10APR17 2010.2916 55303 1579 6  -72.1  -2294 -0.463151  -3994917 -0.187241   181  0.897527  0.0410 0.000608 0.000698 0.002427 -0.023136  0.031460  0.129857
QLAP 10APR18 2010.2943 55304 1580 0  -72.1  -2294 -0.464633  -3994917 -0.184100   181  0.898619  0.0410 0.000612 0.000700 0.002441 -0.034923  0.024892  0.130857
QLAP 10APR20 2010.2998 55306 1580 2  -72.1  -2294 -0.465129  -3994917 -0.183978   181  0.896850  0.0410 0.000609 0.000702 0.002428 -0.045236  0.015457  0.116909
QLAP 10APR21 2010.3025 55307 1580 3  -72.1  -2294 -0.466992  -3994917 -0.186367   181  0.897267  0.0410 0.000599 0.000704 0.002421  0.006646  0.034122  0.173996
QLAP 10APR22 2010.3053 55308 1580 4  -72.1  -2294 -0.466458  -3994917 -0.183076   181  0.897134  0.0410 0.000600 0.000699 0.002406 -0.022166  0.019003  0.161883
QLAP 10APR23 2010.3080 55309 1580 5  -72.1  -2294 -0.468581  -3994917 -0.182418   181  0.896002  0.0410 0.000595 0.000692 0.002392  0.004839  0.054441  0.149939
QLAP 10APR24 2010.3107 55310 1580 6  -72.1  -2294 -0.469666  -3994917 -0.182952   181  0.886199  0.0410 0.000597 0.000691 0.002372 -0.003150  0.031774  0.129460
QLAP 10APR25 2010.3135 55311 1581 0  -72.1  -2294 -0.470276  -3994917 -0.183901   181  0.891649  0.0410 0.000588 0.000682 0.002337 -0.001873  0.027705  0.138157
QLAP 10APR26 2010.3162 55312 1581 1  -72.1  -2294 -0.473209  -3994917 -0.185580   181  0.896382  0.0410 0.000585 0.000685 0.002344 -0.003797  0.040946  0.145220
