site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RCRU 15JUL03 2015.5017 57206 1851 5  -73.2   1691  0.749371  -4392600 -0.109353    29  0.228492  0.0000 0.001080 0.001166 0.005258  0.053552 -0.011251  0.518468
RCRU 15JUL04 2015.5044 57207 1851 6  -73.2   1691  0.748736  -4392600 -0.103997    29  0.249809  0.0000 0.000651 0.000719 0.003185  0.066865  0.071836  0.464473
RCRU 15JUL05 2015.5072 57208 1852 0  -73.2   1691  0.742862  -4392600 -0.097634    29  0.230583  0.0000 0.000653 0.000723 0.003250  0.072586  0.061707  0.479975
RCRU 15JUL06 2015.5099 57209 1852 1  -73.2   1691  0.740914  -4392600 -0.100276    29  0.219211  0.0000 0.000650 0.000727 0.003285  0.061571  0.034975  0.477509
RCRU 15JUL07 2015.5127 57210 1852 2  -73.2   1691  0.746903  -4392600 -0.098996    29  0.239718  0.0000 0.000656 0.000723 0.003346  0.067906  0.055324  0.474975
RCRU 15JUL08 2015.5154 57211 1852 3  -73.2   1691  0.739927  -4392600 -0.099133    29  0.223388  0.0000 0.000656 0.000723 0.003326  0.057725  0.047380  0.491740
RCRU 15JUL09 2015.5181 57212 1852 4  -73.2   1691  0.751388  -4392600 -0.103346    29  0.232774  0.0000 0.000680 0.000741 0.003392  0.106144  0.077016  0.491421
RCRU 15JUL10 2015.5209 57213 1852 5  -73.2   1691  0.750014  -4392600 -0.102803    29  0.239116  0.0000 0.000639 0.000717 0.003272  0.062643  0.045017  0.478685
RCRU 15JUL11 2015.5236 57214 1852 6  -73.2   1691  0.749682  -4392600 -0.104922    29  0.234200  0.0000 0.000650 0.000737 0.003421  0.073500  0.050207  0.480948
RCRU 15JUL12 2015.5264 57215 1853 0  -73.2   1691  0.747888  -4392600 -0.107916    29  0.231386  0.0000 0.000639 0.000727 0.003458  0.030285  0.014551  0.500015
RCRU 15JUL13 2015.5291 57216 1853 1  -73.2   1691  0.748352  -4392600 -0.106926    29  0.231779  0.0000 0.000647 0.000737 0.003450  0.014627  0.008723  0.503664
RCRU 15JUL14 2015.5318 57217 1853 2  -73.2   1691  0.748772  -4392600 -0.106866    29  0.230423  0.0000 0.000648 0.000725 0.003400  0.040242  0.035983  0.494224
RCRU 15JUL15 2015.5346 57218 1853 3  -73.2   1691  0.745124  -4392600 -0.103373    29  0.239031  0.0000 0.000650 0.000728 0.003398  0.065981  0.046947  0.499126
RCRU 15JUL16 2015.5373 57219 1853 4  -73.2   1691  0.750604  -4392600 -0.107227    29  0.228541  0.0000 0.000657 0.000764 0.003536  0.019700  0.012701  0.491090
RCRU 15JUL17 2015.5400 57220 1853 5  -73.2   1691  0.745767  -4392600 -0.102113    29  0.230023  0.0000 0.000672 0.000781 0.003691  0.011150 -0.016039  0.516921
