site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
READ 17AUG04 2017.5907 57969 1960 5  -75.9    662  0.107007   4478345  0.168380    83  0.677407  0.0000 0.000483 0.000611 0.001800 -0.012166 -0.002385 -0.145370
READ 17AUG05 2017.5934 57970 1960 6  -75.9    662  0.108130   4478345  0.165631    83  0.677784  0.0000 0.000474 0.000596 0.001807  0.006755 -0.020178 -0.136106
READ 17AUG06 2017.5962 57971 1961 0  -75.9    662  0.108857   4478345  0.168551    83  0.669228  0.0000 0.000473 0.000590 0.001770 -0.018046  0.002850 -0.142050
READ 17AUG07 2017.5989 57972 1961 1  -75.9    662  0.104108   4478345  0.167886    83  0.673749  0.0000 0.000473 0.000602 0.001780 -0.024193  0.004872 -0.126898
READ 17AUG08 2017.6016 57973 1961 2  -75.9    662  0.105612   4478345  0.167555    83  0.670529  0.0000 0.000473 0.000598 0.001776 -0.008214 -0.024745 -0.159048
READ 17AUG10 2017.6071 57975 1961 4  -75.9    662  0.107924   4478345  0.168181    83  0.672913  0.0000 0.000467 0.000594 0.001763 -0.017006 -0.013225 -0.122720
READ 17AUG11 2017.6099 57976 1961 5  -75.9    662  0.109941   4478345  0.165722    83  0.681814  0.0000 0.000482 0.000601 0.001803 -0.012224  0.007766 -0.140920
READ 17AUG12 2017.6126 57977 1961 6  -75.9    662  0.106481   4478345  0.168118    83  0.668234  0.0000 0.000468 0.000590 0.001768 -0.018020  0.005023 -0.112408
READ 17AUG13 2017.6153 57978 1962 0  -75.9    662  0.105397   4478345  0.166274    83  0.671961  0.0000 0.000466 0.000584 0.001746 -0.016227 -0.005946 -0.148542
READ 17AUG14 2017.6181 57979 1962 1  -75.9    662  0.109422   4478345  0.167194    83  0.677560  0.0000 0.000477 0.000594 0.001772 -0.020985  0.012000 -0.154508
READ 17AUG17 2017.6263 57982 1962 4  -75.9    662  0.104886   4478345  0.168134    83  0.678058  0.0000 0.000482 0.000614 0.001869  0.018583 -0.027419 -0.145147
READ 17AUG18 2017.6290 57983 1962 5  -75.9    662  0.107727   4478345  0.165733    83  0.680109  0.0000 0.000497 0.000624 0.001893 -0.001607 -0.026259 -0.177901
READ 17AUG19 2017.6318 57984 1962 6  -75.9    662  0.106739   4478345  0.164716    83  0.680871  0.0000 0.000473 0.000586 0.001769 -0.014087  0.003872 -0.145807
READ 17AUG20 2017.6345 57985 1963 0  -75.9    662  0.105272   4478345  0.167318    83  0.678922  0.0000 0.000467 0.000587 0.001755 -0.006361  0.008930 -0.149026
READ 17AUG21 2017.6372 57986 1963 1  -75.9    662  0.105490   4478345  0.168455    83  0.663283  0.0000 0.000469 0.000589 0.001752 -0.008027 -0.000129 -0.143082
READ 17AUG22 2017.6400 57987 1963 2  -75.9    662  0.103401   4478345  0.166590    83  0.676833  0.0000 0.000483 0.000608 0.001835  0.004202 -0.037293 -0.160109
READ 17AUG23 2017.6427 57988 1963 3  -75.9    662  0.104685   4478345  0.164838    83  0.694850  0.0000 0.000478 0.000601 0.001795  0.002413 -0.009653 -0.140188
READ 17AUG24 2017.6454 57989 1963 4  -75.9    662  0.106243   4478345  0.168069    83  0.680418  0.0000 0.000472 0.000586 0.001742 -0.038293  0.036731 -0.151106
READ 17AUG25 2017.6482 57990 1963 5  -75.9    662  0.104969   4478345  0.168351    83  0.679389  0.0000 0.000480 0.000598 0.001800 -0.014380  0.010969 -0.184196
READ 17AUG26 2017.6509 57991 1963 6  -75.9    662  0.106019   4478345  0.170098    83  0.670005  0.0000 0.000467 0.000584 0.001748 -0.005244 -0.018442 -0.138894
READ 17AUG27 2017.6537 57992 1964 0  -75.9    662  0.104620   4478345  0.169453    83  0.668106  0.0000 0.000467 0.000592 0.001759 -0.018229 -0.010141 -0.146274
READ 17AUG28 2017.6564 57993 1964 1  -75.9    662  0.107165   4478345  0.167096    83  0.675833  0.0000 0.000469 0.000587 0.001756 -0.008848 -0.006745 -0.137803
READ 17AUG29 2017.6591 57994 1964 2  -75.9    662  0.106640   4478345  0.166133    83  0.680289  0.0000 0.000470 0.000593 0.001763 -0.032768  0.017864 -0.139296
READ 17AUG30 2017.6619 57995 1964 3  -75.9    662  0.105579   4478345  0.167951    83  0.674426  0.0000 0.000465 0.000581 0.001728 -0.022469  0.020634 -0.145530
READ 17AUG31 2017.6646 57996 1964 4  -75.9    662  0.108056   4478345  0.169384    83  0.675670  0.0000 0.000472 0.000599 0.001792  0.017888 -0.002182 -0.122066
READ 17SEP01 2017.6674 57997 1964 5  -75.9    662  0.106402   4478345  0.164440    83  0.669137  0.0000 0.000475 0.000603 0.001816  0.033740 -0.052328 -0.152421
READ 17SEP02 2017.6701 57998 1964 6  -75.9    662  0.105886   4478345  0.163600    83  0.672019  0.0000 0.000476 0.000590 0.001797 -0.013413 -0.014551 -0.141344
READ 17SEP03 2017.6728 57999 1965 0  -75.9    662  0.103895   4478345  0.168488    83  0.665850  0.0000 0.000477 0.000601 0.001799 -0.049248  0.018185 -0.119437
READ 17SEP04 2017.6756 58000 1965 1  -75.9    662  0.107127   4478345  0.167731    83  0.672289  0.0000 0.000481 0.000594 0.001786 -0.045600  0.016412 -0.149774
READ 17DEC07 2017.9329 58094 1978 4  -75.9    662  0.103709   4478345  0.169732    83  0.667892  0.0000 0.000780 0.000998 0.002906  0.068614 -0.041509 -0.099344
READ 17DEC08 2017.9357 58095 1978 5  -75.9    662  0.102650   4478345  0.169645    83  0.673886  0.0000 0.000464 0.000587 0.001754 -0.003206 -0.006686 -0.155124
READ 17DEC09 2017.9384 58096 1978 6  -75.9    662  0.103585   4478345  0.166236    83  0.675253  0.0000 0.000469 0.000594 0.001781 -0.009127 -0.009192 -0.119782
READ 17DEC10 2017.9411 58097 1979 0  -75.9    662  0.103545   4478345  0.167100    83  0.665749  0.0000 0.000468 0.000598 0.001794 -0.008493 -0.031108 -0.106291
READ 17DEC11 2017.9439 58098 1979 1  -75.9    662  0.102167   4478345  0.168717    83  0.672503  0.0000 0.000467 0.000586 0.001770 -0.018626 -0.018847 -0.118045
READ 17DEC12 2017.9466 58099 1979 2  -75.9    662  0.101595   4478345  0.167597    83  0.673283  0.0000 0.000467 0.000583 0.001754 -0.025459 -0.019009 -0.131975
READ 17DEC13 2017.9493 58100 1979 3  -75.9    662  0.103646   4478345  0.167012    83  0.666899  0.0000 0.000463 0.000584 0.001741 -0.008904 -0.003467 -0.134541
READ 17DEC14 2017.9521 58101 1979 4  -75.9    662  0.101771   4478345  0.167456    83  0.666413  0.0000 0.000475 0.000606 0.001806 -0.018621  0.005864 -0.139917
READ 17DEC15 2017.9548 58102 1979 5  -75.9    662  0.102322   4478345  0.167868    83  0.673807  0.0000 0.000471 0.000588 0.001793  0.001026 -0.035597 -0.155001
READ 17DEC16 2017.9576 58103 1979 6  -75.9    662  0.102532   4478345  0.168636    83  0.671151  0.0000 0.000472 0.000591 0.001790 -0.005468 -0.034420 -0.139901
