site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ROVR 08JUN19 2008.4654 54636 1484 4   11.1  -2178 -0.295800   5056844  0.619060  1366  0.074612  0.0083 0.000573 0.000705 0.002188  0.002745 -0.033401 -0.122820
ROVR 08JUN20 2008.4682 54637 1484 5   11.1  -2178 -0.296939   5056844  0.620343  1366  0.072009  0.0083 0.000568 0.000704 0.002163 -0.006597 -0.022830 -0.099027
ROVR 08OCT09 2008.7721 54748 1500 4   11.1  -2178 -0.291571   5056844  0.624961  1366  0.068543  0.0083 0.000566 0.000698 0.002159 -0.002650 -0.033611 -0.105078
ROVR 08OCT10 2008.7748 54749 1500 5   11.1  -2178 -0.292077   5056844  0.626569  1366  0.070018  0.0083 0.000567 0.000707 0.002195  0.004629 -0.048655 -0.101883
ROVR 08OCT11 2008.7775 54750 1500 6   11.1  -2178 -0.291436   5056844  0.624511  1366  0.071901  0.0083 0.000563 0.000699 0.002153  0.000285 -0.041843 -0.100590
ROVR 08OCT12 2008.7803 54751 1501 0   11.1  -2178 -0.292179   5056844  0.624444  1366  0.070640  0.0083 0.000572 0.000702 0.002176 -0.005706 -0.023041 -0.105850
ROVR 08OCT13 2008.7830 54752 1501 1   11.1  -2178 -0.291495   5056844  0.624100  1366  0.077845  0.0083 0.000569 0.000703 0.002168 -0.000638 -0.034337 -0.114437
ROVR 08OCT14 2008.7858 54753 1501 2   11.1  -2178 -0.290670   5056844  0.625706  1366  0.072075  0.0083 0.000564 0.000698 0.002146 -0.008178 -0.025498 -0.102277
ROVR 08OCT15 2008.7885 54754 1501 3   11.1  -2178 -0.291364   5056844  0.625480  1366  0.074997  0.0083 0.000574 0.000713 0.002188  0.017975 -0.034330 -0.068848
ROVR 08OCT16 2008.7912 54755 1501 4   11.1  -2178 -0.291166   5056844  0.624522  1366  0.080283  0.0083 0.000574 0.000718 0.002193  0.021962 -0.030538 -0.065576
ROVR 08OCT17 2008.7940 54756 1501 5   11.1  -2178 -0.292891   5056844  0.623790  1366  0.077042  0.0083 0.000566 0.000701 0.002162  0.001544 -0.022898 -0.092984
ROVR 08OCT18 2008.7967 54757 1501 6   11.1  -2178 -0.290787   5056844  0.624763  1366  0.070708  0.0083 0.000567 0.000699 0.002158 -0.007167 -0.010597 -0.113195
ROVR 08OCT19 2008.7995 54758 1502 0   11.1  -2178 -0.291673   5056844  0.624044  1366  0.073308  0.0083 0.000564 0.000699 0.002148 -0.009484 -0.027472 -0.117852
ROVR 08OCT20 2008.8022 54759 1502 1   11.1  -2178 -0.292259   5056844  0.624933  1366  0.071616  0.0083 0.000564 0.000700 0.002151 -0.010994 -0.013728 -0.096802
ROVR 08OCT21 2008.8049 54760 1502 2   11.1  -2178 -0.290818   5056844  0.625461  1366  0.073417  0.0083 0.000565 0.000704 0.002164 -0.009582 -0.022186 -0.088582
ROVR 08OCT22 2008.8077 54761 1502 3   11.1  -2178 -0.290202   5056844  0.624314  1366  0.072723  0.0083 0.000565 0.000703 0.002158 -0.001947 -0.031531 -0.089253
ROVR 08OCT23 2008.8104 54762 1502 4   11.1  -2178 -0.288516   5056844  0.624947  1366  0.071007  0.0083 0.000566 0.000700 0.002155 -0.003634 -0.016933 -0.107802
ROVR 08OCT24 2008.8131 54763 1502 5   11.1  -2178 -0.289799   5056844  0.625453  1366  0.071114  0.0083 0.000565 0.000701 0.002161 -0.005973 -0.031677 -0.121271
ROVR 08OCT25 2008.8159 54764 1502 6   11.1  -2178 -0.289741   5056844  0.624504  1366  0.075602  0.0083 0.000560 0.000697 0.002134 -0.018461 -0.011960 -0.076468
ROVR 08OCT26 2008.8186 54765 1503 0   11.1  -2178 -0.290149   5056844  0.625154  1366  0.071923  0.0083 0.000562 0.000702 0.002150 -0.002969 -0.023983 -0.082859
ROVR 08OCT27 2008.8214 54766 1503 1   11.1  -2178 -0.289564   5056844  0.624243  1366  0.080494  0.0083 0.000562 0.000701 0.002148 -0.005145 -0.033090 -0.088628
ROVR 08OCT28 2008.8241 54767 1503 2   11.1  -2178 -0.288229   5056844  0.625558  1366  0.082427  0.0083 0.000585 0.000718 0.002219 -0.013596  0.000967 -0.115561
ROVR 08OCT29 2008.8268 54768 1503 3   11.1  -2178 -0.288509   5056844  0.624524  1366  0.080338  0.0083 0.000589 0.000715 0.002224 -0.003864 -0.026353 -0.131737
ROVR 08OCT30 2008.8296 54769 1503 4   11.1  -2178 -0.288586   5056844  0.624598  1366  0.076920  0.0083 0.000573 0.000706 0.002152 -0.022019 -0.022288 -0.098075
ROVR 08OCT31 2008.8323 54770 1503 5   11.1  -2178 -0.288059   5056844  0.624973  1366  0.081903  0.0083 0.000571 0.000711 0.002177 -0.002711 -0.027937 -0.086598
ROVR 08NOV01 2008.8350 54771 1503 6   11.1  -2178 -0.290130   5056844  0.623086  1366  0.076620  0.0083 0.000565 0.000703 0.002167 -0.002725 -0.036483 -0.086195
ROVR 08NOV02 2008.8378 54772 1504 0   11.1  -2178 -0.287737   5056844  0.624916  1366  0.068561  0.0083 0.000568 0.000706 0.002182 -0.011895 -0.039333 -0.087986
ROVR 08NOV03 2008.8405 54773 1504 1   11.1  -2178 -0.288666   5056844  0.625704  1366  0.066060  0.0083 0.000569 0.000706 0.002194 -0.003939 -0.032896 -0.117462
ROVR 08NOV04 2008.8433 54774 1504 2   11.1  -2178 -0.290498   5056844  0.624352  1366  0.072983  0.0083 0.000568 0.000703 0.002161 -0.006754 -0.031021 -0.098228
ROVR 08NOV05 2008.8460 54775 1504 3   11.1  -2178 -0.288023   5056844  0.625287  1366  0.064534  0.0083 0.000569 0.000708 0.002174 -0.004833 -0.034513 -0.073967
ROVR 08NOV06 2008.8487 54776 1504 4   11.1  -2178 -0.286549   5056844  0.624411  1366  0.068694  0.0083 0.000568 0.000704 0.002170  0.000096 -0.017248 -0.093075
ROVR 08NOV07 2008.8515 54777 1504 5   11.1  -2178 -0.288641   5056844  0.623631  1366  0.074323  0.0083 0.000569 0.000708 0.002180 -0.004340 -0.031314 -0.106480
ROVR 08NOV08 2008.8542 54778 1504 6   11.1  -2178 -0.288684   5056844  0.624518  1366  0.062478  0.0083 0.000568 0.000705 0.002167 -0.011946 -0.015950 -0.099236
ROVR 08NOV09 2008.8569 54779 1505 0   11.1  -2178 -0.288021   5056844  0.624525  1366  0.065397  0.0083 0.000569 0.000700 0.002160 -0.010990  0.004043 -0.104650
ROVR 08NOV10 2008.8597 54780 1505 1   11.1  -2178 -0.288525   5056844  0.624968  1366  0.067176  0.0083 0.000569 0.000705 0.002179 -0.009428 -0.019512 -0.108431
ROVR 08NOV11 2008.8624 54781 1505 2   11.1  -2178 -0.288344   5056844  0.626891  1366  0.068284  0.0083 0.000566 0.000710 0.002164  0.000462 -0.000557 -0.088088
ROVR 08NOV12 2008.8652 54782 1505 3   11.1  -2178 -0.288032   5056844  0.627417  1366  0.075821  0.0083 0.000568 0.000715 0.002183 -0.013082 -0.017154 -0.100589
