site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SCHG 12SEP08 2012.6872 56178 1704 6  -79.0   -323 -0.183189   3741083  0.649056   -11 -0.941022  0.0000 0.000529 0.000576 0.002064 -0.062575  0.057104 -0.059988
SCHG 12SEP09 2012.6899 56179 1705 0  -79.0   -323 -0.185236   3741083  0.653547   -11 -0.934151  0.0000 0.000506 0.000548 0.001864 -0.052170  0.027970 -0.078935
SCHG 12SEP10 2012.6927 56180 1705 1  -79.0   -323 -0.182501   3741083  0.650342   -11 -0.935097  0.0000 0.000524 0.000585 0.002077 -0.050145  0.063654 -0.063960
SCHG 12SEP11 2012.6954 56181 1705 2  -79.0   -323 -0.185432   3741083  0.651228   -11 -0.944602  0.0000 0.000532 0.000585 0.002103 -0.054482  0.082281 -0.052360
SCHG 12SEP12 2012.6982 56182 1705 3  -79.0   -323 -0.182738   3741083  0.650591   -11 -0.939277  0.0000 0.000533 0.000586 0.002107 -0.048729  0.090789 -0.053262
SCHG 12SEP13 2012.7009 56183 1705 4  -79.0   -323 -0.183223   3741083  0.648256   -11 -0.940771  0.0000 0.000538 0.000595 0.002160 -0.042069  0.080068 -0.042534
SCHG 12SEP14 2012.7036 56184 1705 5  -79.0   -323 -0.186119   3741083  0.651371   -11 -0.940881  0.0000 0.000545 0.000588 0.002179 -0.054506  0.110854 -0.053663
SCHG 12SEP15 2012.7064 56185 1705 6  -79.0   -323 -0.184537   3741083  0.652341   -11 -0.939884  0.0000 0.000525 0.000572 0.002032 -0.075116  0.071067 -0.034003
SCHG 12SEP16 2012.7091 56186 1706 0  -79.0   -323 -0.185442   3741083  0.648922   -11 -0.928383  0.0000 0.000527 0.000585 0.002051 -0.057165  0.092899 -0.011940
SCHG 12SEP17 2012.7118 56187 1706 1  -79.0   -323 -0.184678   3741083  0.650262   -11 -0.926739  0.0000 0.000534 0.000577 0.002077 -0.065150  0.080340 -0.033089
SCHG 12SEP18 2012.7146 56188 1706 2  -79.0   -323 -0.179696   3741083  0.647315   -11 -0.933064  0.0000 0.000532 0.000577 0.002041 -0.086658  0.074884 -0.094016
SCHG 12SEP19 2012.7173 56189 1706 3  -79.0   -323 -0.181582   3741083  0.650960   -11 -0.920630  0.0000 0.000621 0.000671 0.002287 -0.029636  0.059002 -0.086748
SCHG 12SEP24 2012.7310 56194 1707 1  -79.0   -323 -0.185031   3741083  0.645114   -11 -0.939653  0.0000 0.001152 0.001291 0.004519  0.020872 -0.030906  0.072463
SCHG 12SEP25 2012.7337 56195 1707 2  -79.0   -323 -0.183885   3741083  0.650970   -11 -0.929699  0.0000 0.001064 0.001162 0.004339 -0.085992  0.200267 -0.081140
SCHG 12SEP26 2012.7365 56196 1707 3  -79.0   -323 -0.187421   3741083  0.646890   -11 -0.935206  0.0000 0.001093 0.001236 0.004381 -0.007068 -0.067632  0.048184
SCHG 12SEP27 2012.7392 56197 1707 4  -79.0   -323 -0.183669   3741083  0.649938   -11 -0.930621  0.0000 0.000966 0.001079 0.003722  0.006101  0.104834 -0.002612
SCHG 12OCT02 2012.7529 56202 1708 2  -79.0   -323 -0.180447   3741083  0.651201   -11 -0.892312  0.0000 0.000835 0.000942 0.003148 -0.037784 -0.022944 -0.064614
SCHG 12OCT03 2012.7556 56203 1708 3  -79.0   -323 -0.183954   3741083  0.651347   -11 -0.918816  0.0000 0.000508 0.000551 0.001887 -0.044942  0.035200 -0.093519
SCHG 12OCT04 2012.7584 56204 1708 4  -79.0   -323 -0.182658   3741083  0.653480   -11 -0.925958  0.0000 0.000686 0.000771 0.002731 -0.041514  0.005242  0.013323
SCHG 12OCT05 2012.7611 56205 1708 5  -79.0   -323 -0.184797   3741083  0.651715   -11 -0.937292  0.0000 0.000527 0.000582 0.002079 -0.069272  0.090806 -0.023032
SCHG 12OCT06 2012.7639 56206 1708 6  -79.0   -323 -0.186286   3741083  0.651537   -11 -0.948757  0.0000 0.000527 0.000579 0.002097 -0.049279  0.108416  0.002715
SCHG 12OCT07 2012.7666 56207 1709 0  -79.0   -323 -0.186777   3741083  0.653721   -11 -0.936780  0.0000 0.000540 0.000584 0.002096 -0.072480  0.057265 -0.056711
SCHG 12OCT08 2012.7693 56208 1709 1  -79.0   -323 -0.184454   3741083  0.648735   -11 -0.931549  0.0000 0.000537 0.000596 0.002117 -0.066188  0.062990 -0.028364
SCHG 12OCT09 2012.7721 56209 1709 2  -79.0   -323 -0.185144   3741083  0.649373   -11 -0.939408  0.0000 0.000516 0.000552 0.001890 -0.051116  0.036572 -0.140436
SCHG 12OCT10 2012.7748 56210 1709 3  -79.0   -323 -0.183899   3741083  0.649337   -11 -0.936702  0.0000 0.000533 0.000573 0.002021 -0.078149  0.069026 -0.083624
SCHG 12OCT11 2012.7775 56211 1709 4  -79.0   -323 -0.184204   3741083  0.653777   -11 -0.934545  0.0000 0.000535 0.000576 0.002054 -0.087335  0.095131 -0.062970
SCHG 12OCT12 2012.7803 56212 1709 5  -79.0   -323 -0.183583   3741083  0.653890   -11 -0.925563  0.0000 0.000542 0.000579 0.002117 -0.075647  0.088410 -0.050396
SCHG 12OCT13 2012.7830 56213 1709 6  -79.0   -323 -0.184506   3741083  0.652479   -11 -0.936220  0.0000 0.000538 0.000589 0.002122 -0.071269  0.085768 -0.025202
SCHG 12OCT14 2012.7858 56214 1710 0  -79.0   -323 -0.186202   3741083  0.649760   -11 -0.940985  0.0000 0.000539 0.000586 0.002087 -0.068178  0.056408 -0.064963
SCHG 12OCT15 2012.7885 56215 1710 1  -79.0   -323 -0.183138   3741083  0.649625   -11 -0.918221  0.0000 0.000545 0.000589 0.002170 -0.068907  0.079071 -0.028081
SCHG 12OCT16 2012.7912 56216 1710 2  -79.0   -323 -0.184571   3741083  0.649320   -11 -0.930687  0.0000 0.000526 0.000557 0.001945 -0.068523  0.033875 -0.090726
SCHG 12OCT17 2012.7940 56217 1710 3  -79.0   -323 -0.186823   3741083  0.647902   -11 -0.932726  0.0000 0.000538 0.000577 0.002069 -0.084481  0.045245 -0.038365
SCHG 12OCT18 2012.7967 56218 1710 4  -79.0   -323 -0.186163   3741083  0.650265   -11 -0.933926  0.0000 0.000541 0.000584 0.002098 -0.064543  0.055811 -0.019101
SCHG 12OCT19 2012.7995 56219 1710 5  -79.0   -323 -0.185134   3741083  0.646091   -11 -0.930055  0.0000 0.000530 0.000566 0.001988 -0.070124  0.038692 -0.099508
SCHG 12OCT20 2012.8022 56220 1710 6  -79.0   -323 -0.182504   3741083  0.648197   -11 -0.937778  0.0000 0.000544 0.000585 0.002119 -0.063279  0.065837 -0.049447
SCHG 12OCT21 2012.8049 56221 1711 0  -79.0   -323 -0.185291   3741083  0.647891   -11 -0.926664  0.0000 0.000542 0.000586 0.002143 -0.071047  0.085182 -0.025558
SCHG 12OCT22 2012.8077 56222 1711 1  -79.0   -323 -0.187257   3741083  0.647125   -11 -0.935101  0.0000 0.000550 0.000590 0.002168 -0.079299  0.112813 -0.035984
SCHG 12OCT23 2012.8104 56223 1711 2  -79.0   -323 -0.183916   3741083  0.648568   -11 -0.934503  0.0000 0.000545 0.000588 0.002160 -0.081191  0.084134 -0.035240
SCHG 12OCT24 2012.8131 56224 1711 3  -79.0   -323 -0.184208   3741083  0.650697   -11 -0.929919  0.0000 0.000541 0.000586 0.002113 -0.068249  0.075766 -0.049169
SCHG 12OCT25 2012.8159 56225 1711 4  -79.0   -323 -0.185746   3741083  0.650276   -11 -0.940184  0.0000 0.000547 0.000600 0.002186 -0.060132  0.084810 -0.022510
SCHG 12OCT26 2012.8186 56226 1711 5  -79.0   -323 -0.186326   3741083  0.651019   -11 -0.938571  0.0000 0.000557 0.000595 0.002153 -0.073076  0.050550 -0.057415
SCHG 12OCT27 2012.8214 56227 1711 6  -79.0   -323 -0.182329   3741083  0.647968   -11 -0.925547  0.0000 0.000536 0.000575 0.002017 -0.060126  0.050062 -0.076933
SCHG 12OCT28 2012.8241 56228 1712 0  -79.0   -323 -0.184850   3741083  0.646509   -11 -0.939284  0.0000 0.000521 0.000555 0.001916 -0.066930  0.033180 -0.121680
SCHG 12OCT29 2012.8268 56229 1712 1  -79.0   -323 -0.183537   3741083  0.647613   -11 -0.946018  0.0000 0.000535 0.000578 0.002074 -0.044389  0.059329 -0.027469
SCHG 12OCT30 2012.8296 56230 1712 2  -79.0   -323 -0.182957   3741083  0.649822   -11 -0.940635  0.0000 0.000546 0.000592 0.002178 -0.069479  0.064161 -0.018610
SCHG 12OCT31 2012.8323 56231 1712 3  -79.0   -323 -0.183147   3741083  0.648692   -11 -0.938989  0.0000 0.000552 0.000599 0.002213 -0.056204  0.087453 -0.001082
SCHG 12NOV01 2012.8350 56232 1712 4  -79.0   -323 -0.182865   3741083  0.648342   -11 -0.942869  0.0000 0.000767 0.000810 0.003034 -0.023971  0.116102 -0.046889
SCHG 12NOV02 2012.8378 56233 1712 5  -79.0   -323 -0.181653   3741083  0.650472   -11 -0.937929  0.0000 0.000556 0.000585 0.002178 -0.058895  0.094287 -0.049609
SCHG 12NOV03 2012.8405 56234 1712 6  -79.0   -323 -0.186939   3741083  0.649571   -11 -0.933915  0.0000 0.000546 0.000584 0.002140 -0.069552  0.084634 -0.040225
