site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SCIP 98JAN22 1998.0589 50835  941 4 -118.5   1128  0.748813   3643257  0.470742   452  0.869310  0.0000 0.000528 0.000601 0.001960  0.000865  0.044836 -0.146220
SCIP 98JAN23 1998.0616 50836  941 5 -118.5   1128  0.748917   3643257  0.470301   452  0.872988  0.0000 0.000532 0.000615 0.002029 -0.018993  0.048968 -0.153243
SCIP 98JAN24 1998.0643 50837  941 6 -118.5   1128  0.748023   3643257  0.469958   452  0.868453  0.0000 0.000515 0.000604 0.001945 -0.020914  0.042373 -0.154319
SCIP 98JAN25 1998.0671 50838  942 0 -118.5   1128  0.751876   3643257  0.469035   452  0.865688  0.0000 0.000509 0.000591 0.001912 -0.005465  0.042262 -0.143610
SCIP 98JAN26 1998.0698 50839  942 1 -118.5   1128  0.750127   3643257  0.472221   452  0.870485  0.0000 0.000512 0.000592 0.001924 -0.012437  0.054070 -0.143684
SCIP 98JAN27 1998.0726 50840  942 2 -118.5   1128  0.749930   3643257  0.468565   452  0.867058  0.0000 0.000513 0.000594 0.001941 -0.006832  0.063820 -0.124436
SCIP 98JAN28 1998.0753 50841  942 3 -118.5   1128  0.749359   3643257  0.470095   452  0.866323  0.0000 0.000517 0.000607 0.001994 -0.027461  0.052814 -0.139854
SCIP 98JAN29 1998.0780 50842  942 4 -118.5   1128  0.747412   3643257  0.471071   452  0.865493  0.0000 0.000518 0.000603 0.001992 -0.039921  0.075156 -0.143536
SCIP 98JAN30 1998.0808 50843  942 5 -118.5   1128  0.747869   3643257  0.470751   452  0.865764  0.0000 0.000512 0.000592 0.001937 -0.005257  0.040682 -0.146513
SCIP 98JAN31 1998.0835 50844  942 6 -118.5   1128  0.745925   3643257  0.469369   452  0.860996  0.0000 0.000509 0.000592 0.001909 -0.009578  0.035081 -0.126693
SCIP 98FEB01 1998.0862 50845  943 0 -118.5   1128  0.749773   3643257  0.471297   452  0.863616  0.0000 0.000520 0.000609 0.001994 -0.039966  0.068196 -0.132464
SCIP 98FEB02 1998.0890 50846  943 1 -118.5   1128  0.749190   3643257  0.472080   452  0.861475  0.0000 0.000526 0.000608 0.001963 -0.024542  0.039131 -0.124186
SCIP 98FEB03 1998.0917 50847  943 2 -118.5   1128  0.750712   3643257  0.475212   452  0.857265  0.0000 0.000511 0.000593 0.001917  0.002992  0.028128 -0.114193
SCIP 98FEB04 1998.0945 50848  943 3 -118.5   1128  0.750171   3643257  0.473015   452  0.873279  0.0000 0.000522 0.000616 0.002003  0.009060  0.027172 -0.154167
SCIP 98FEB05 1998.0972 50849  943 4 -118.5   1128  0.744376   3643257  0.474128   452  0.867770  0.0000 0.000520 0.000615 0.001980  0.011862  0.025264 -0.150755
SCIP 98FEB07 1998.1027 50851  943 6 -118.5   1128  0.752295   3643257  0.473738   452  0.859919  0.0000 0.000514 0.000597 0.001938 -0.007710  0.034292 -0.144464
SCIP 98FEB08 1998.1054 50852  944 0 -118.5   1128  0.749150   3643257  0.472418   452  0.865383  0.0000 0.000528 0.000601 0.001971  0.021292 -0.003525 -0.137259
SCIP 98FEB09 1998.1081 50853  944 1 -118.5   1128  0.748147   3643257  0.473998   452  0.865120  0.0000 0.000516 0.000610 0.001966 -0.002444  0.031872 -0.128906
SCIP 98FEB10 1998.1109 50854  944 2 -118.5   1128  0.745342   3643257  0.472419   452  0.865560  0.0000 0.000517 0.000611 0.001974 -0.014883  0.020724 -0.144355
SCIP 98FEB11 1998.1136 50855  944 3 -118.5   1128  0.744717   3643257  0.470819   452  0.864641  0.0000 0.000516 0.000598 0.001946 -0.013160  0.039399 -0.131112
SCIP 98FEB12 1998.1164 50856  944 4 -118.5   1128  0.745701   3643257  0.471683   452  0.868806  0.0000 0.000524 0.000614 0.001993  0.011424  0.014546 -0.151572
SCIP 98FEB13 1998.1191 50857  944 5 -118.5   1128  0.748080   3643257  0.472285   452  0.863136  0.0000 0.000516 0.000595 0.001954 -0.017667  0.027145 -0.136267
SCIP 98FEB14 1998.1218 50858  944 6 -118.5   1128  0.747646   3643257  0.472713   452  0.864577  0.0000 0.000516 0.000596 0.001952  0.000055  0.017950 -0.129372
SCIP 98FEB15 1998.1246 50859  945 0 -118.5   1128  0.748233   3643257  0.476517   452  0.863076  0.0000 0.000515 0.000593 0.001954 -0.003923  0.013905 -0.147152
SCIP 98FEB16 1998.1273 50860  945 1 -118.5   1128  0.744891   3643257  0.471917   452  0.861748  0.0000 0.000513 0.000591 0.001936 -0.014262  0.032411 -0.140475
SCIP 98FEB17 1998.1300 50861  945 2 -118.5   1128  0.745355   3643257  0.475019   452  0.861505  0.0000 0.000519 0.000607 0.001978 -0.013227  0.007863 -0.129284
SCIP 98FEB18 1998.1328 50862  945 3 -118.5   1128  0.745250   3643257  0.478199   452  0.855798  0.0000 0.000521 0.000610 0.001999 -0.023133  0.019672 -0.130759
SCIP 98FEB19 1998.1355 50863  945 4 -118.5   1128  0.743658   3643257  0.474692   452  0.856439  0.0000 0.000532 0.000614 0.002020  0.012620 -0.007024 -0.128514
SCIP 98FEB20 1998.1383 50864  945 5 -118.5   1128  0.744870   3643257  0.472743   452  0.858665  0.0000 0.000514 0.000587 0.001947  0.000774  0.006196 -0.160817
SCIP 98FEB21 1998.1410 50865  945 6 -118.5   1128  0.742790   3643257  0.473713   452  0.866852  0.0000 0.000513 0.000584 0.001940 -0.012635  0.002414 -0.169967
SCIP 98FEB22 1998.1437 50866  946 0 -118.5   1128  0.746579   3643257  0.473177   452  0.870861  0.0000 0.000521 0.000606 0.002018 -0.032504  0.035953 -0.139772
SCIP 98FEB23 1998.1465 50867  946 1 -118.5   1128  0.747997   3643257  0.477877   452  0.862354  0.0000 0.000512 0.000591 0.001940 -0.005579  0.017455 -0.140532
SCIP 98FEB24 1998.1492 50868  946 2 -118.5   1128  0.745548   3643257  0.474256   452  0.855217  0.0000 0.000513 0.000592 0.001956 -0.011515  0.016042 -0.142469
SCIP 98FEB25 1998.1520 50869  946 3 -118.5   1128  0.743464   3643257  0.474239   452  0.855515  0.0000 0.000515 0.000590 0.001968 -0.006412  0.023509 -0.176149
SCIP 98FEB26 1998.1547 50870  946 4 -118.5   1128  0.742984   3643257  0.473953   452  0.865611  0.0000 0.000532 0.000602 0.002020 -0.018654  0.028491 -0.140000
SCIP 98FEB27 1998.1574 50871  946 5 -118.5   1128  0.742695   3643257  0.473485   452  0.869164  0.0000 0.000531 0.000604 0.002031 -0.018868  0.032793 -0.139535
SCIP 98FEB28 1998.1602 50872  946 6 -118.5   1128  0.743937   3643257  0.473590   452  0.864668  0.0000 0.000530 0.000598 0.001999 -0.017953  0.023617 -0.127235
SCIP 98MAR01 1998.1629 50873  947 0 -118.5   1128  0.744008   3643257  0.473447   452  0.862779  0.0000 0.000514 0.000589 0.001944 -0.016320  0.018464 -0.146127
SCIP 98MAR02 1998.1656 50874  947 1 -118.5   1128  0.743878   3643257  0.475018   452  0.863326  0.0000 0.000513 0.000592 0.001959 -0.011636  0.008496 -0.161700
SCIP 98MAR03 1998.1684 50875  947 2 -118.5   1128  0.742822   3643257  0.474111   452  0.858677  0.0000 0.000512 0.000584 0.001940 -0.002316 -0.003762 -0.149029
