site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SHRV 04AUG18 2004.6297 53235 1284 3  -93.7   -436 -0.096000   3589278  0.852854    36  0.746856  0.0000 0.000517 0.000584 0.001990  0.005806 -0.023253 -0.189052
SHRV 04AUG19 2004.6324 53236 1284 4  -93.7   -436 -0.096257   3589278  0.855837    36  0.750989  0.0000 0.000519 0.000582 0.001983 -0.008535 -0.020350 -0.202356
SHRV 04AUG20 2004.6352 53237 1284 5  -93.7   -436 -0.096288   3589278  0.855483    36  0.742337  0.0000 0.000525 0.000592 0.002018 -0.017748 -0.014527 -0.191975
SHRV 04AUG21 2004.6379 53238 1284 6  -93.7   -436 -0.093210   3589278  0.857421    36  0.753532  0.0000 0.000521 0.000592 0.001990  0.014668 -0.003783 -0.172657
SHRV 04AUG22 2004.6407 53239 1285 0  -93.7   -436 -0.097394   3589278  0.853831    36  0.747262  0.0000 0.000520 0.000595 0.002008  0.010526 -0.008930 -0.182759
SHRV 04AUG23 2004.6434 53240 1285 1  -93.7   -436 -0.097865   3589278  0.852046    36  0.754529  0.0000 0.000530 0.000593 0.002012  0.006956 -0.008961 -0.171225
SHRV 04AUG24 2004.6461 53241 1285 2  -93.7   -436 -0.095103   3589278  0.854474    36  0.747833  0.0000 0.000522 0.000587 0.002024 -0.003790  0.004593 -0.209067
SHRV 04AUG25 2004.6489 53242 1285 3  -93.7   -436 -0.096245   3589278  0.855701    36  0.751676  0.0000 0.000530 0.000591 0.002012  0.007090 -0.052988 -0.190657
SHRV 04AUG26 2004.6516 53243 1285 4  -93.7   -436 -0.099023   3589278  0.854907    36  0.757757  0.0000 0.000579 0.000653 0.002263  0.034952 -0.027719 -0.172459
SHRV 04AUG27 2004.6543 53244 1285 5  -93.7   -436 -0.096830   3589278  0.851589    36  0.751631  0.0000 0.000537 0.000607 0.002096  0.017142 -0.014570 -0.189634
SHRV 04AUG28 2004.6571 53245 1285 6  -93.7   -436 -0.097364   3589278  0.855990    36  0.757848  0.0000 0.000526 0.000600 0.002038 -0.027144 -0.007979 -0.190861
SHRV 04AUG29 2004.6598 53246 1286 0  -93.7   -436 -0.096884   3589278  0.853427    36  0.748977  0.0000 0.000524 0.000596 0.002057 -0.032606 -0.007607 -0.195744
SHRV 04AUG30 2004.6626 53247 1286 1  -93.7   -436 -0.098556   3589278  0.856539    36  0.744673  0.0000 0.000563 0.000657 0.002176 -0.053042 -0.009889 -0.178332
SHRV 04AUG31 2004.6653 53248 1286 2  -93.7   -436 -0.097417   3589278  0.854545    36  0.741111  0.0000 0.000540 0.000606 0.002111  0.029870 -0.025201 -0.206084
SHRV 04SEP01 2004.6680 53249 1286 3  -93.7   -436 -0.098299   3589278  0.853144    36  0.741666  0.0000 0.000542 0.000601 0.002085  0.020114 -0.044737 -0.202586
SHRV 04SEP02 2004.6708 53250 1286 4  -93.7   -436 -0.098844   3589278  0.855005    36  0.751364  0.0000 0.000558 0.000618 0.002168  0.039491 -0.062986 -0.162494
SHRV 04SEP03 2004.6735 53251 1286 5  -93.7   -436 -0.097477   3589278  0.850684    36  0.761229  0.0000 0.000519 0.000582 0.002019  0.012167 -0.017905 -0.181878
SHRV 04SEP04 2004.6762 53252 1286 6  -93.7   -436 -0.097027   3589278  0.854733    36  0.755683  0.0000 0.000522 0.000584 0.001996  0.014266 -0.038189 -0.188618
SHRV 04SEP05 2004.6790 53253 1287 0  -93.7   -436 -0.095657   3589278  0.853867    36  0.753587  0.0000 0.000533 0.000598 0.002039  0.000421  0.003651 -0.190802
SHRV 04SEP06 2004.6817 53254 1287 1  -93.7   -436 -0.098888   3589278  0.854598    36  0.758369  0.0000 0.000521 0.000596 0.002019  0.026200 -0.019715 -0.178099
SHRV 04SEP07 2004.6845 53255 1287 2  -93.7   -436 -0.098329   3589278  0.852663    36  0.758135  0.0000 0.000527 0.000590 0.002062  0.018360 -0.011471 -0.223500
SHRV 04SEP08 2004.6872 53256 1287 3  -93.7   -436 -0.097943   3589278  0.853364    36  0.753575  0.0000 0.000530 0.000599 0.002083  0.024007 -0.070284 -0.192273
SHRV 04SEP09 2004.6899 53257 1287 4  -93.7   -436 -0.096463   3589278  0.853235    36  0.750785  0.0000 0.000520 0.000584 0.002007  0.010335 -0.019279 -0.220367
SHRV 04SEP10 2004.6927 53258 1287 5  -93.7   -436 -0.099078   3589278  0.852902    36  0.752631  0.0000 0.000517 0.000582 0.001987  0.006043 -0.000996 -0.190990
SHRV 04SEP11 2004.6954 53259 1287 6  -93.7   -436 -0.098022   3589278  0.852510    36  0.743796  0.0000 0.000517 0.000585 0.002001  0.018339 -0.029084 -0.176636
SHRV 04SEP12 2004.6982 53260 1288 0  -93.7   -436 -0.099763   3589278  0.853883    36  0.749425  0.0000 0.000520 0.000589 0.002026  0.018058 -0.029190 -0.188192
SHRV 04SEP13 2004.7009 53261 1288 1  -93.7   -436 -0.097036   3589278  0.851733    36  0.748308  0.0000 0.000527 0.000592 0.002040  0.032128 -0.039649 -0.180936
SHRV 04SEP14 2004.7036 53262 1288 2  -93.7   -436 -0.096067   3589278  0.851288    36  0.748876  0.0000 0.000518 0.000590 0.002033  0.002126 -0.024652 -0.207034
SHRV 04SEP15 2004.7064 53263 1288 3  -93.7   -436 -0.096603   3589278  0.851561    36  0.764766  0.0000 0.000517 0.000583 0.002012  0.004395 -0.022127 -0.195135
SHRV 04SEP16 2004.7091 53264 1288 4  -93.7   -436 -0.094917   3589278  0.852429    36  0.755191  0.0000 0.000518 0.000585 0.001995 -0.001298 -0.005982 -0.184842
SHRV 04SEP17 2004.7118 53265 1288 5  -93.7   -436 -0.097511   3589278  0.852138    36  0.754217  0.0000 0.000514 0.000577 0.001979  0.006627 -0.004521 -0.180470
SHRV 04SEP18 2004.7146 53266 1288 6  -93.7   -436 -0.096989   3589278  0.850882    36  0.755217  0.0000 0.000518 0.000582 0.002023  0.006160 -0.028115 -0.189365
SHRV 04SEP19 2004.7173 53267 1289 0  -93.7   -436 -0.095524   3589278  0.853942    36  0.751021  0.0000 0.000518 0.000583 0.002067  0.012858 -0.034399 -0.210577
SHRV 04SEP20 2004.7201 53268 1289 1  -93.7   -436 -0.095469   3589278  0.852763    36  0.747495  0.0000 0.000519 0.000590 0.002043  0.009838 -0.016102 -0.219043
SHRV 04SEP21 2004.7228 53269 1289 2  -93.7   -436 -0.097880   3589278  0.854996    36  0.744655  0.0000 0.000523 0.000586 0.002057  0.015786 -0.056108 -0.206029
SHRV 04SEP22 2004.7255 53270 1289 3  -93.7   -436 -0.097744   3589278  0.853650    36  0.745897  0.0000 0.000516 0.000584 0.002006  0.012878 -0.018516 -0.183503
SHRV 04SEP23 2004.7283 53271 1289 4  -93.7   -436 -0.098263   3589278  0.852913    36  0.753537  0.0000 0.000532 0.000592 0.002088  0.010713 -0.037105 -0.213728
SHRV 04SEP24 2004.7310 53272 1289 5  -93.7   -436 -0.098596   3589278  0.851561    36  0.759406  0.0000 0.000507 0.000577 0.002002  0.003566 -0.010355 -0.214503
SHRV 04SEP25 2004.7337 53273 1289 6  -93.7   -436 -0.099548   3589278  0.854644    36  0.757377  0.0000 0.000512 0.000581 0.002025 -0.003624  0.007300 -0.212067
SHRV 04SEP26 2004.7365 53274 1290 0  -93.7   -436 -0.097636   3589278  0.853351    36  0.750177  0.0000 0.000510 0.000583 0.002017  0.002162 -0.006342 -0.205359
SHRV 04SEP27 2004.7392 53275 1290 1  -93.7   -436 -0.096753   3589278  0.854145    36  0.755878  0.0000 0.000513 0.000582 0.002013  0.010391 -0.017887 -0.186846
SHRV 04SEP28 2004.7420 53276 1290 2  -93.7   -436 -0.100092   3589278  0.854831    36  0.754654  0.0000 0.000514 0.000583 0.002022  0.016405 -0.023050 -0.182559
SHRV 04SEP29 2004.7447 53277 1290 3  -93.7   -436 -0.099375   3589278  0.853338    36  0.749741  0.0000 0.000505 0.000571 0.001981  0.005901 -0.018246 -0.183160
SHRV 04SEP30 2004.7474 53278 1290 4  -93.7   -436 -0.097495   3589278  0.854115    36  0.749390  0.0000 0.000510 0.000578 0.001970  0.004714 -0.018355 -0.185198
SHRV 04OCT01 2004.7502 53279 1290 5  -93.7   -436 -0.096381   3589278  0.854078    36  0.753326  0.0000 0.000507 0.000578 0.001971  0.007915 -0.015904 -0.183712
SHRV 04OCT02 2004.7529 53280 1290 6  -93.7   -436 -0.098173   3589278  0.853773    36  0.755955  0.0000 0.000509 0.000579 0.001986  0.016118 -0.034282 -0.189680
SHRV 04OCT03 2004.7556 53281 1291 0  -93.7   -436 -0.097156   3589278  0.855138    36  0.752137  0.0000 0.000513 0.000579 0.002007  0.000578 -0.010532 -0.185685
SHRV 04OCT04 2004.7584 53282 1291 1  -93.7   -436 -0.097458   3589278  0.853564    36  0.744322  0.0000 0.000512 0.000586 0.001998  0.006475 -0.031675 -0.164295
SHRV 04OCT05 2004.7611 53283 1291 2  -93.7   -436 -0.097760   3589278  0.854485    36  0.744778  0.0000 0.000507 0.000578 0.001964  0.012118 -0.025623 -0.183082
SHRV 04OCT06 2004.7639 53284 1291 3  -93.7   -436 -0.097110   3589278  0.854577    36  0.749216  0.0000 0.000511 0.000581 0.001984  0.009599 -0.021635 -0.189100
SHRV 04OCT07 2004.7666 53285 1291 4  -93.7   -436 -0.095519   3589278  0.852667    36  0.747699  0.0000 0.000512 0.000577 0.002007  0.007300 -0.032237 -0.207312
SHRV 04OCT08 2004.7693 53286 1291 5  -93.7   -436 -0.097325   3589278  0.853746    36  0.759902  0.0000 0.000510 0.000592 0.002004  0.005868  0.004867 -0.181886
SHRV 04OCT09 2004.7721 53287 1291 6  -93.7   -436 -0.096470   3589278  0.852634    36  0.763148  0.0000 0.000512 0.000599 0.002070  0.008686 -0.005667 -0.195121
SHRV 04OCT10 2004.7748 53288 1292 0  -93.7   -436 -0.100961   3589278  0.853190    36  0.747618  0.0000 0.000519 0.000584 0.002006 -0.015190 -0.028103 -0.173456
SHRV 04OCT11 2004.7775 53289 1292 1  -93.7   -436 -0.098078   3589278  0.852042    36  0.739156  0.0000 0.000513 0.000586 0.001991 -0.002183 -0.010776 -0.191869
SHRV 04OCT12 2004.7803 53290 1292 2  -93.7   -436 -0.099088   3589278  0.853966    36  0.744328  0.0000 0.000519 0.000593 0.002034  0.012845 -0.043282 -0.192434
SHRV 04OCT13 2004.7830 53291 1292 3  -93.7   -436 -0.098625   3589278  0.854727    36  0.748926  0.0000 0.000521 0.000589 0.002022  0.015121 -0.030825 -0.192968
SHRV 04OCT14 2004.7858 53292 1292 4  -93.7   -436 -0.099761   3589278  0.854078    36  0.744018  0.0000 0.000510 0.000580 0.001990  0.005706 -0.015555 -0.161258
SHRV 04OCT15 2004.7885 53293 1292 5  -93.7   -436 -0.100549   3589278  0.854881    36  0.747450  0.0000 0.000516 0.000595 0.002062  0.034438 -0.036142 -0.161645
SHRV 04OCT16 2004.7912 53294 1292 6  -93.7   -436 -0.099069   3589278  0.855753    36  0.742674  0.0000 0.000508 0.000583 0.002006  0.006765 -0.042789 -0.173367
SHRV 04OCT17 2004.7940 53295 1293 0  -93.7   -436 -0.097991   3589278  0.853427    36  0.751887  0.0000 0.000510 0.000585 0.001994 -0.000285 -0.033603 -0.190759
SHRV 04OCT18 2004.7967 53296 1293 1  -93.7   -436 -0.100067   3589278  0.853056    36  0.753558  0.0000 0.000521 0.000590 0.002072  0.030543 -0.054919 -0.226013
SHRV 04OCT19 2004.7995 53297 1293 2  -93.7   -436 -0.098619   3589278  0.853479    36  0.751751  0.0000 0.000534 0.000603 0.002153  0.064691 -0.101464 -0.210038
SHRV 04OCT20 2004.8022 53298 1293 3  -93.7   -436 -0.099554   3589278  0.853740    36  0.750241  0.0000 0.000523 0.000592 0.002104  0.048273 -0.079224 -0.200170
SHRV 04OCT21 2004.8049 53299 1293 4  -93.7   -436 -0.097043   3589278  0.853195    36  0.755399  0.0000 0.000522 0.000598 0.002060  0.037970 -0.069777 -0.193401
SHRV 04OCT22 2004.8077 53300 1293 5  -93.7   -436 -0.096850   3589278  0.853844    36  0.752436  0.0000 0.000517 0.000594 0.002011  0.024736 -0.046362 -0.180111
SHRV 04OCT23 2004.8104 53301 1293 6  -93.7   -436 -0.097819   3589278  0.852341    36  0.748732  0.0000 0.000515 0.000584 0.002038  0.024178 -0.068606 -0.211420
SHRV 04OCT24 2004.8131 53302 1294 0  -93.7   -436 -0.097452   3589278  0.854247    36  0.750561  0.0000 0.000513 0.000584 0.002025  0.010258 -0.042921 -0.200491
SHRV 04OCT25 2004.8159 53303 1294 1  -93.7   -436 -0.098116   3589278  0.854218    36  0.756378  0.0000 0.000513 0.000580 0.001978  0.016554 -0.031847 -0.176976
SHRV 04OCT26 2004.8186 53304 1294 2  -93.7   -436 -0.099911   3589278  0.852939    36  0.750076  0.0000 0.000532 0.000607 0.002058  0.030026 -0.042591 -0.166421
SHRV 04OCT27 2004.8214 53305 1294 3  -93.7   -436 -0.097475   3589278  0.854928    36  0.752452  0.0000 0.000521 0.000598 0.002050  0.007048 -0.052561 -0.203209
