site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
STL0 11APR02 2011.2498 55653 1629 6  -90.3   -301 -0.288071   4992718  0.303185   407  0.016618  0.0000 0.000453 0.000575 0.001682  0.031542 -0.015557 -0.007769
STL0 11APR03 2011.2526 55654 1630 0  -90.3   -301 -0.284376   4992718  0.302170   407  0.027652  0.0000 0.000463 0.000584 0.001732  0.036456 -0.005112 -0.009173
STL0 11APR04 2011.2553 55655 1630 1  -90.3   -301 -0.286639   4992718  0.302821   407  0.019398  0.0000 0.000453 0.000576 0.001700  0.019080 -0.002345  0.001432
STL0 11APR05 2011.2580 55656 1630 2  -90.3   -301 -0.286834   4992718  0.301177   407  0.013204  0.0000 0.000472 0.000598 0.001767  0.014388  0.001744  0.009679
STL0 11APR06 2011.2608 55657 1630 3  -90.3   -301 -0.286398   4992718  0.303114   407  0.017735  0.0000 0.000461 0.000578 0.001721  0.018512 -0.000978  0.017028
STL0 12FEB01 2012.0849 55958 1673 3  -90.3   -301 -0.299236   4992718  0.294811   407  0.015552  0.0000 0.000449 0.000569 0.001670  0.016211 -0.008909 -0.008924
STL0 12FEB02 2012.0876 55959 1673 4  -90.3   -301 -0.300631   4992718  0.296410   407  0.017089  0.0000 0.000447 0.000568 0.001660  0.024150 -0.003801  0.004150
STL0 12FEB03 2012.0903 55960 1673 5  -90.3   -301 -0.297776   4992718  0.298202   407  0.021715  0.0000 0.000447 0.000568 0.001666  0.016772 -0.004878 -0.004154
STL0 12FEB04 2012.0931 55961 1673 6  -90.3   -301 -0.298663   4992718  0.298000   407  0.021254  0.0000 0.000449 0.000567 0.001667  0.007187  0.004359  0.001816
STL0 13SEP27 2013.7385 56562 1759 5  -90.3   -301 -0.327361   4992718  0.300852   407  0.021693  0.0000 0.000515 0.000627 0.001829  0.026304 -0.005091 -0.066281
STL0 13SEP28 2013.7413 56563 1759 6  -90.3   -301 -0.326144   4992718  0.302694   407  0.023398  0.0000 0.000517 0.000630 0.001840  0.020503  0.000310 -0.058047
STL0 13SEP29 2013.7440 56564 1760 0  -90.3   -301 -0.325295   4992718  0.301086   407  0.017305  0.0000 0.000528 0.000650 0.001891  0.017224  0.001427 -0.061300
STL0 13SEP30 2013.7467 56565 1760 1  -90.3   -301 -0.324901   4992718  0.299072   407  0.023517  0.0000 0.000516 0.000633 0.001844  0.018243  0.001668 -0.062197
STL0 13OCT01 2013.7495 56566 1760 2  -90.3   -301 -0.326604   4992718  0.300498   407  0.032312  0.0000 0.000520 0.000629 0.001839  0.022791 -0.000914 -0.072345
STL0 13OCT02 2013.7522 56567 1760 3  -90.3   -301 -0.327320   4992718  0.301178   407  0.020951  0.0000 0.000526 0.000640 0.001895  0.026240  0.000236 -0.104612
STL0 13OCT03 2013.7550 56568 1760 4  -90.3   -301 -0.329544   4992718  0.302325   407  0.028373  0.0000 0.000517 0.000634 0.001841  0.027494  0.008071 -0.063844
STL0 13OCT04 2013.7577 56569 1760 5  -90.3   -301 -0.330893   4992718  0.301330   407  0.013616  0.0000 0.000518 0.000632 0.001845  0.021080  0.002894 -0.053696
STL0 13OCT05 2013.7604 56570 1760 6  -90.3   -301 -0.330342   4992718  0.301917   407  0.012330  0.0000 0.000521 0.000636 0.001866  0.008429  0.014146 -0.070333
STL0 13OCT07 2013.7659 56572 1761 1  -90.3   -301 -0.330581   4992718  0.300551   407  0.009977  0.0000 0.000454 0.000574 0.001671  0.034268 -0.013306 -0.020064
STL0 13OCT08 2013.7687 56573 1761 2  -90.3   -301 -0.328077   4992718  0.301327   407  0.011941  0.0000 0.000455 0.000581 0.001684  0.029530 -0.003978 -0.029517
STL0 13OCT09 2013.7714 56574 1761 3  -90.3   -301 -0.327600   4992718  0.301389   407  0.017947  0.0000 0.000465 0.000593 0.001714  0.043553 -0.010237 -0.045122
STL0 13OCT10 2013.7741 56575 1761 4  -90.3   -301 -0.325689   4992718  0.300866   407  0.019315  0.0000 0.000453 0.000579 0.001678  0.022217 -0.014803 -0.019234
STL0 13OCT11 2013.7769 56576 1761 5  -90.3   -301 -0.324811   4992718  0.300770   407  0.019703  0.0000 0.000454 0.000581 0.001687  0.019670 -0.012789 -0.010709
STL0 13OCT12 2013.7796 56577 1761 6  -90.3   -301 -0.328742   4992718  0.300347   407  0.016144  0.0000 0.000457 0.000579 0.001693  0.023760 -0.017547 -0.019604
STL0 13OCT13 2013.7823 56578 1762 0  -90.3   -301 -0.329062   4992718  0.298430   407  0.010281  0.0000 0.000454 0.000577 0.001677  0.032349 -0.014707 -0.016632
STL0 13OCT14 2013.7851 56579 1762 1  -90.3   -301 -0.326519   4992718  0.300814   407  0.010603  0.0000 0.000458 0.000581 0.001689  0.023707  0.005713 -0.020433
STL0 13OCT15 2013.7878 56580 1762 2  -90.3   -301 -0.328907   4992718  0.301694   407  0.009432  0.0000 0.000455 0.000583 0.001695  0.018712  0.004741 -0.008985
STL0 13OCT16 2013.7906 56581 1762 3  -90.3   -301 -0.329109   4992718  0.301655   407  0.010715  0.0000 0.000455 0.000581 0.001684  0.020658 -0.012750 -0.019621
STL0 13OCT17 2013.7933 56582 1762 4  -90.3   -301 -0.329365   4992718  0.301995   407  0.007200  0.0000 0.000456 0.000582 0.001691  0.027319 -0.018650 -0.005270
STL0 13OCT18 2013.7960 56583 1762 5  -90.3   -301 -0.328146   4992718  0.298770   407  0.004001  0.0000 0.000455 0.000578 0.001682  0.032584 -0.019415 -0.015992
STL0 13OCT19 2013.7988 56584 1762 6  -90.3   -301 -0.328101   4992718  0.300507   407  0.002196  0.0000 0.000455 0.000580 0.001684  0.027934 -0.004301 -0.022206
STL0 13OCT20 2013.8015 56585 1763 0  -90.3   -301 -0.328361   4992718  0.301395   407  0.010236  0.0000 0.000463 0.000594 0.001708  0.021434  0.001125 -0.010341
STL0 13OCT21 2013.8042 56586 1763 1  -90.3   -301 -0.329545   4992718  0.302469   407  0.003098  0.0000 0.000462 0.000594 0.001707  0.012380 -0.002035 -0.010226
STL0 13OCT22 2013.8070 56587 1763 2  -90.3   -301 -0.328260   4992718  0.300737   407  0.007670  0.0000 0.000455 0.000577 0.001681  0.022330 -0.008028 -0.011486
STL0 13OCT23 2013.8097 56588 1763 3  -90.3   -301 -0.329832   4992718  0.299693   407  0.001343  0.0000 0.000471 0.000595 0.001734  0.006197  0.021846 -0.031318
