site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
STOC 04MAY24 2004.3943 53149 1272 1   -1.3   -877 -0.755063   6048371  0.233232    81  0.158468  0.0000 0.000717 0.000929 0.002795  0.029847 -0.106257  0.064445
STOC 04MAY25 2004.3970 53150 1272 2   -1.3   -877 -0.755784   6048371  0.231930    81  0.152808  0.0000 0.000628 0.000789 0.002414  0.060153  0.044344  0.098806
STOC 04MAY27 2004.4025 53152 1272 4   -1.3   -877 -0.755638   6048371  0.232901    81  0.150639  0.0000 0.000679 0.000839 0.002516  0.103075 -0.093751  0.015443
STOC 04MAY28 2004.4052 53153 1272 5   -1.3   -877 -0.755323   6048371  0.233136    81  0.150820  0.0000 0.000524 0.000682 0.001974  0.043815  0.006005  0.082287
STOC 04MAY29 2004.4079 53154 1272 6   -1.3   -877 -0.755966   6048371  0.234710    81  0.151141  0.0000 0.000512 0.000667 0.001981  0.042061  0.039836  0.103122
STOC 04MAY30 2004.4107 53155 1273 0   -1.3   -877 -0.757317   6048371  0.234005    81  0.146428  0.0000 0.000502 0.000663 0.001917  0.049586  0.002285  0.098116
STOC 04MAY31 2004.4134 53156 1273 1   -1.3   -877 -0.758561   6048371  0.233090    81  0.153465  0.0000 0.000499 0.000656 0.001916  0.059989 -0.010445  0.111852
STOC 04JUN01 2004.4162 53157 1273 2   -1.3   -877 -0.755372   6048371  0.233566    81  0.143663  0.0000 0.000764 0.000989 0.002909  0.046743  0.133408  0.126803
STOC 04JUN09 2004.4381 53165 1274 3   -1.3   -877 -0.758263   6048371  0.230797    81  0.162675  0.0000 0.000508 0.000655 0.001934  0.054777  0.007781  0.108304
STOC 04JUN10 2004.4408 53166 1274 4   -1.3   -877 -0.756568   6048371  0.234158    81  0.152726  0.0000 0.000510 0.000676 0.001950  0.057627  0.018960  0.122598
STOC 04JUN11 2004.4435 53167 1274 5   -1.3   -877 -0.754248   6048371  0.235778    81  0.154553  0.0000 0.000506 0.000652 0.001916  0.055025 -0.012717  0.092503
STOC 04JUN12 2004.4463 53168 1274 6   -1.3   -877 -0.755137   6048371  0.232045    81  0.152447  0.0000 0.000509 0.000656 0.001946  0.063237 -0.009561  0.074339
STOC 04JUN14 2004.4517 53170 1275 1   -1.3   -877 -0.759143   6048371  0.235653    81  0.150857  0.0000 0.000676 0.000857 0.002610  0.011504 -0.044447  0.060308
STOC 04JUN15 2004.4545 53171 1275 2   -1.3   -877 -0.755016   6048371  0.232401    81  0.156441  0.0000 0.000521 0.000680 0.002009  0.065788  0.002060  0.076112
STOC 04JUN16 2004.4572 53172 1275 3   -1.3   -877 -0.755677   6048371  0.232488    81  0.153739  0.0000 0.000522 0.000682 0.002040  0.039948  0.030513  0.113093
STOC 04JUN17 2004.4600 53173 1275 4   -1.3   -877 -0.756229   6048371  0.234120    81  0.151717  0.0000 0.000507 0.000658 0.001978  0.034153  0.005155  0.127250
STOC 04JUN18 2004.4627 53174 1275 5   -1.3   -877 -0.754412   6048371  0.233635    81  0.148727  0.0000 0.000508 0.000657 0.001945  0.054235  0.001069  0.099222
STOC 04JUN19 2004.4654 53175 1275 6   -1.3   -877 -0.753209   6048371  0.232280    81  0.147442  0.0000 0.000493 0.000644 0.001881  0.066904  0.013739  0.118303
STOC 04JUN20 2004.4682 53176 1276 0   -1.3   -877 -0.752487   6048371  0.232782    81  0.147174  0.0000 0.000499 0.000646 0.001900  0.042884  0.021876  0.099502
STOC 04JUN21 2004.4709 53177 1276 1   -1.3   -877 -0.752704   6048371  0.230857    81  0.149021  0.0000 0.000497 0.000650 0.001898  0.041543  0.016925  0.123923
STOC 04JUN22 2004.4736 53178 1276 2   -1.3   -877 -0.753876   6048371  0.230640    81  0.151842  0.0000 0.000501 0.000651 0.001933  0.038456  0.014999  0.121434
STOC 04JUN23 2004.4764 53179 1276 3   -1.3   -877 -0.752937   6048371  0.233633    81  0.146669  0.0000 0.000498 0.000648 0.001935  0.039160  0.008840  0.117115
STOC 04JUN24 2004.4791 53180 1276 4   -1.3   -877 -0.752643   6048371  0.232430    81  0.155053  0.0000 0.000490 0.000653 0.001920  0.050324 -0.019111  0.145319
STOC 04JUN25 2004.4819 53181 1276 5   -1.3   -877 -0.753702   6048371  0.232034    81  0.151874  0.0000 0.000522 0.000664 0.001948  0.070765 -0.009144  0.101131
STOC 04JUN26 2004.4846 53182 1276 6   -1.3   -877 -0.754049   6048371  0.231556    81  0.155438  0.0000 0.000528 0.000716 0.002089  0.046474  0.035475  0.150883
STOC 04JUN27 2004.4873 53183 1277 0   -1.3   -877 -0.754028   6048371  0.232163    81  0.146131  0.0000 0.000501 0.000657 0.001933  0.067376 -0.004726  0.108016
STOC 04JUN28 2004.4901 53184 1277 1   -1.3   -877 -0.753143   6048371  0.233395    81  0.151076  0.0000 0.000507 0.000660 0.001970  0.042629  0.021189  0.130695
STOC 04JUN29 2004.4928 53185 1277 2   -1.3   -877 -0.756272   6048371  0.232025    81  0.150072  0.0000 0.000507 0.000660 0.001955  0.063329 -0.006214  0.121290
STOC 04JUN30 2004.4956 53186 1277 3   -1.3   -877 -0.754379   6048371  0.229927    81  0.150166  0.0000 0.000505 0.000652 0.001976  0.036498 -0.025509  0.078017
STOC 04JUL01 2004.4983 53187 1277 4   -1.3   -877 -0.753428   6048371  0.233990    81  0.154593  0.0000 0.000501 0.000656 0.001958  0.062052 -0.001025  0.139949
STOC 04JUL02 2004.5010 53188 1277 5   -1.3   -877 -0.755152   6048371  0.232037    81  0.147319  0.0000 0.000496 0.000653 0.001913  0.042947  0.003518  0.098912
STOC 04JUL03 2004.5038 53189 1277 6   -1.3   -877 -0.753636   6048371  0.234076    81  0.146364  0.0000 0.000499 0.000645 0.001929  0.057253 -0.035008  0.108281
STOC 04JUL04 2004.5065 53190 1278 0   -1.3   -877 -0.756169   6048371  0.234675    81  0.151944  0.0000 0.000495 0.000649 0.001906  0.026091 -0.037714  0.116144
STOC 04JUL05 2004.5092 53191 1278 1   -1.3   -877 -0.753952   6048371  0.233813    81  0.150347  0.0000 0.000497 0.000645 0.001905  0.043316 -0.023666  0.087873
STOC 04JUL06 2004.5120 53192 1278 2   -1.3   -877 -0.753954   6048371  0.233372    81  0.149181  0.0000 0.000494 0.000656 0.001890  0.057495 -0.009278  0.123878
STOC 04JUL07 2004.5147 53193 1278 3   -1.3   -877 -0.754198   6048371  0.233367    81  0.155590  0.0000 0.000508 0.000675 0.001968  0.059772 -0.001446  0.096647
STOC 04JUL08 2004.5175 53194 1278 4   -1.3   -877 -0.753986   6048371  0.236011    81  0.154092  0.0000 0.000498 0.000652 0.001905  0.066495  0.007004  0.084787
STOC 04JUL10 2004.5229 53196 1278 6   -1.3   -877 -0.753851   6048371  0.232678    81  0.148518  0.0000 0.000490 0.000640 0.001899  0.055429 -0.001761  0.129747
STOC 04JUL11 2004.5257 53197 1279 0   -1.3   -877 -0.753869   6048371  0.234279    81  0.156230  0.0000 0.000489 0.000638 0.001874  0.040096 -0.010036  0.123104
STOC 04JUL12 2004.5284 53198 1279 1   -1.3   -877 -0.753616   6048371  0.233915    81  0.153703  0.0000 0.000496 0.000646 0.001937  0.056068  0.013762  0.114846
STOC 04JUL13 2004.5311 53199 1279 2   -1.3   -877 -0.752459   6048371  0.232213    81  0.154368  0.0000 0.000512 0.000664 0.001969  0.047496  0.023642  0.093332
STOC 04JUL14 2004.5339 53200 1279 3   -1.3   -877 -0.753401   6048371  0.232508    81  0.162874  0.0000 0.000628 0.000805 0.002431  0.044720 -0.040699  0.081427
STOC 04JUL15 2004.5366 53201 1279 4   -1.3   -877 -0.752780   6048371  0.234490    81  0.153106  0.0000 0.000631 0.000849 0.002482  0.031289  0.014882  0.155370
STOC 04JUL16 2004.5394 53202 1279 5   -1.3   -877 -0.754503   6048371  0.235056    81  0.153653  0.0000 0.000529 0.000685 0.002053  0.016852  0.016142  0.095195
STOC 04JUL17 2004.5421 53203 1279 6   -1.3   -877 -0.753070   6048371  0.234240    81  0.153909  0.0000 0.000489 0.000643 0.001884  0.048854  0.010190  0.083670
STOC 04JUL18 2004.5448 53204 1280 0   -1.3   -877 -0.752769   6048371  0.233669    81  0.146021  0.0000 0.000492 0.000640 0.001901  0.048663  0.035909  0.101654
STOC 04JUL19 2004.5476 53205 1280 1   -1.3   -877 -0.753641   6048371  0.235323    81  0.153564  0.0000 0.000499 0.000662 0.001948  0.046505  0.016531  0.096520
STOC 04JUL20 2004.5503 53206 1280 2   -1.3   -877 -0.752272   6048371  0.234803    81  0.160288  0.0000 0.000508 0.000666 0.001988  0.053565  0.030335  0.098359
STOC 04JUL21 2004.5530 53207 1280 3   -1.3   -877 -0.751948   6048371  0.237581    81  0.148382  0.0000 0.000499 0.000649 0.001936  0.041976 -0.014771  0.103321
STOC 04JUL22 2004.5558 53208 1280 4   -1.3   -877 -0.755787   6048371  0.235674    81  0.156934  0.0000 0.000502 0.000652 0.001956  0.035830  0.027475  0.125091
STOC 04JUL23 2004.5585 53209 1280 5   -1.3   -877 -0.753397   6048371  0.233169    81  0.149202  0.0000 0.000515 0.000669 0.002007  0.045100 -0.016830  0.065291
STOC 04JUL24 2004.5613 53210 1280 6   -1.3   -877 -0.751184   6048371  0.234988    81  0.153677  0.0000 0.000494 0.000639 0.001911  0.063375  0.007549  0.103159
STOC 04JUL25 2004.5640 53211 1281 0   -1.3   -877 -0.751931   6048371  0.235992    81  0.157913  0.0000 0.000501 0.000649 0.001930  0.020569  0.002008  0.056455
STOC 04JUL26 2004.5667 53212 1281 1   -1.3   -877 -0.753054   6048371  0.236112    81  0.160308  0.0000 0.000497 0.000644 0.001939  0.053250 -0.024827  0.115124
