site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SUR6 02JUN13 2002.4476 52438 1170 4 -122.7    591  0.548434   5437877  0.921090    24  0.734732  0.0715 0.000871 0.001136 0.003292 -0.140336  0.102833 -0.091311
SUR6 02JUN14 2002.4504 52439 1170 5 -122.7    591  0.546915   5437877  0.918728    24  0.727952  0.0715 0.000535 0.000684 0.002059 -0.039486  0.062985 -0.017810
SUR6 02JUN15 2002.4531 52440 1170 6 -122.7    591  0.545076   5437877  0.919329    24  0.730780  0.0715 0.000506 0.000679 0.001972 -0.001521  0.065469 -0.018325
SUR6 02JUN16 2002.4559 52441 1171 0 -122.7    591  0.545400   5437877  0.920846    24  0.730881  0.0715 0.000503 0.000679 0.001963 -0.002774  0.055724 -0.036897
SUR6 02JUN17 2002.4586 52442 1171 1 -122.7    591  0.545471   5437877  0.920276    24  0.733993  0.0715 0.000642 0.000831 0.002465  0.025669  0.033977 -0.005215
SUR6 06JUN29 2006.4914 53915 1381 4 -122.7    591  0.505990   5437877  0.894776    24  0.719284  0.0730 0.000809 0.001131 0.003123 -0.052500 -0.200538 -0.063886
SUR6 06JUN30 2006.4942 53916 1381 5 -122.7    591  0.507092   5437877  0.893840    24  0.716788  0.0730 0.000507 0.000707 0.002025 -0.001050 -0.067697 -0.003084
SUR6 06JUL01 2006.4969 53917 1381 6 -122.7    591  0.506512   5437877  0.895215    24  0.716376  0.0730 0.000509 0.000712 0.002036 -0.007336 -0.082517 -0.042972
SUR6 06JUL02 2006.4997 53918 1382 0 -122.7    591  0.507397   5437877  0.891607    24  0.713814  0.0730 0.000495 0.000680 0.001954 -0.002413 -0.087417 -0.020250
SUR6 06AUG11 2006.6092 53958 1387 5 -122.7    591  0.508492   5437877  0.882094    24  0.726405  0.0760 0.000974 0.001475 0.003696  0.111098 -0.167512 -0.002880
SUR6 06AUG12 2006.6119 53959 1387 6 -122.7    591  0.506373   5437877  0.882325    24  0.714255  0.0760 0.000496 0.000691 0.001996  0.004142 -0.150504 -0.030037
SUR6 06AUG13 2006.6146 53960 1388 0 -122.7    591  0.505585   5437877  0.883247    24  0.713371  0.0660 0.000504 0.000697 0.002051 -0.011921 -0.161321 -0.020936
SUR6 06AUG14 2006.6174 53961 1388 1 -122.7    591  0.505469   5437877  0.884148    24  0.707782  0.0660 0.000639 0.000842 0.002691 -0.039533 -0.157549 -0.075617
SUR6 11JUN24 2011.4771 55736 1641 5 -122.7    591  0.454768   5437877  0.840833    24  0.706144  0.0740 0.000555 0.000804 0.002336  0.088297 -0.013386 -0.160799
SUR6 11JUN25 2011.4798 55737 1641 6 -122.7    591  0.455019   5437877  0.839444    24  0.713989  0.0740 0.000642 0.000891 0.002669  0.054247  0.004054 -0.197810
SUR6 11JUN28 2011.4880 55740 1642 2 -122.7    591  0.450276   5437877  0.839822    24  0.729572  0.0768 0.000499 0.000738 0.002117  0.066665  0.033850 -0.120254
SUR6 11JUN29 2011.4908 55741 1642 3 -122.7    591  0.449800   5437877  0.838033    24  0.731677  0.0768 0.000629 0.000892 0.002676  0.035838 -0.020067 -0.090132
