site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TGMX 15FEB19 2015.1348 57072 1832 4  -86.9   3449  0.161374   2308475  0.160112    -4 -0.665677  0.0083 0.000550 0.000519 0.002054  0.018635  0.034909 -0.080862
TGMX 15FEB20 2015.1376 57073 1832 5  -86.9   3449  0.165795   2308475  0.157551    -4 -0.667030  0.0083 0.000556 0.000519 0.002068  0.035979  0.019681 -0.048714
TGMX 15FEB21 2015.1403 57074 1832 6  -86.9   3449  0.164088   2308475  0.158057    -4 -0.664077  0.0083 0.000560 0.000515 0.002039  0.015096  0.042133 -0.018222
TGMX 15FEB22 2015.1431 57075 1833 0  -86.9   3449  0.163029   2308475  0.155703    -4 -0.662790  0.0083 0.000549 0.000512 0.002028  0.031163  0.003349 -0.025853
TGMX 15FEB23 2015.1458 57076 1833 1  -86.9   3449  0.167830   2308475  0.156965    -4 -0.654635  0.0083 0.000544 0.000505 0.001991  0.007132  0.042827 -0.050428
TGMX 15FEB24 2015.1485 57077 1833 2  -86.9   3449  0.166232   2308475  0.155877    -4 -0.656875  0.0083 0.000551 0.000513 0.002009  0.035392  0.035016 -0.008555
TGMX 15FEB25 2015.1513 57078 1833 3  -86.9   3449  0.167167   2308475  0.154531    -4 -0.654680  0.0083 0.000541 0.000509 0.002005  0.021074  0.055216 -0.031817
TGMX 15FEB26 2015.1540 57079 1833 4  -86.9   3449  0.164868   2308475  0.154835    -4 -0.662621  0.0083 0.000545 0.000512 0.002031  0.004164  0.005470 -0.022639
TGMX 15FEB27 2015.1567 57080 1833 5  -86.9   3449  0.169117   2308475  0.153487    -4 -0.652171  0.0083 0.000547 0.000513 0.002026  0.019684  0.008201 -0.016935
TGMX 15FEB28 2015.1595 57081 1833 6  -86.9   3449  0.165157   2308475  0.157751    -4 -0.671722  0.0083 0.000534 0.000511 0.001985  0.014848  0.033651 -0.009882
TGMX 15MAR01 2015.1622 57082 1834 0  -86.9   3449  0.169603   2308475  0.157453    -4 -0.653110  0.0083 0.000534 0.000504 0.001951  0.003907  0.037939 -0.038903
TGMX 15MAR02 2015.1650 57083 1834 1  -86.9   3449  0.167521   2308475  0.155797    -4 -0.652643  0.0083 0.000536 0.000507 0.001983  0.002783  0.030013 -0.022971
TGMX 15MAR03 2015.1677 57084 1834 2  -86.9   3449  0.167960   2308475  0.155176    -4 -0.659257  0.0083 0.000558 0.000522 0.002104  0.004178  0.025203  0.017821
TGMX 15MAR04 2015.1704 57085 1834 3  -86.9   3449  0.165868   2308475  0.153138    -4 -0.654256  0.0083 0.000552 0.000516 0.002069  0.006508  0.017965 -0.023061
TGMX 15MAR05 2015.1732 57086 1834 4  -86.9   3449  0.166557   2308475  0.158760    -4 -0.661721  0.0083 0.000564 0.000531 0.002052  0.034618 -0.004148 -0.025404
TGMX 15MAR06 2015.1759 57087 1834 5  -86.9   3449  0.165463   2308475  0.157529    -4 -0.665375  0.0083 0.000545 0.000511 0.002028  0.017526  0.015976 -0.036754
TGMX 15MAR07 2015.1786 57088 1834 6  -86.9   3449  0.165228   2308475  0.156213    -4 -0.662910  0.0083 0.000548 0.000518 0.002068  0.015275  0.014168 -0.002925
TGMX 15MAR08 2015.1814 57089 1835 0  -86.9   3449  0.164309   2308475  0.157476    -4 -0.648385  0.0083 0.000551 0.000516 0.002034  0.013820 -0.003553 -0.041118
