site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TILL 08AUG24 2008.6461 54702 1494 0 -123.8  -2406 -0.639943   5035525  0.741487    -4 -0.578002  0.0000 0.000559 0.000813 0.002232 -0.006254 -0.076149 -0.151742
TILL 08AUG25 2008.6489 54703 1494 1 -123.8  -2406 -0.640686   5035525  0.744781    -4 -0.589662  0.0000 0.000480 0.000658 0.001913 -0.027282 -0.045438 -0.136942
TILL 08AUG26 2008.6516 54704 1494 2 -123.8  -2406 -0.638746   5035525  0.741543    -4 -0.592110  0.0000 0.000477 0.000672 0.001929 -0.011114 -0.072067 -0.161660
TILL 08AUG27 2008.6543 54705 1494 3 -123.8  -2406 -0.639384   5035525  0.743011    -4 -0.583238  0.0000 0.000480 0.000669 0.001909 -0.023106 -0.034540 -0.120680
TILL 08AUG28 2008.6571 54706 1494 4 -123.8  -2406 -0.639009   5035525  0.741181    -4 -0.586728  0.0000 0.000500 0.000700 0.002001 -0.013775 -0.052418 -0.165824
TILL 08AUG29 2008.6598 54707 1494 5 -123.8  -2406 -0.639319   5035525  0.741369    -4 -0.582567  0.0000 0.000482 0.000670 0.001931  0.009592 -0.065827 -0.117325
TILL 08AUG30 2008.6626 54708 1494 6 -123.8  -2406 -0.639247   5035525  0.741997    -4 -0.590721  0.0000 0.000483 0.000674 0.001941 -0.006478 -0.059993 -0.134327
TILL 08AUG31 2008.6653 54709 1495 0 -123.8  -2406 -0.640262   5035525  0.743332    -4 -0.592009  0.0000 0.000476 0.000661 0.001891  0.007870 -0.087105 -0.112819
TILL 08SEP01 2008.6680 54710 1495 1 -123.8  -2406 -0.638704   5035525  0.743951    -4 -0.596587  0.0000 0.000479 0.000667 0.001901  0.043834 -0.088966 -0.118279
TILL 08SEP02 2008.6708 54711 1495 2 -123.8  -2406 -0.639227   5035525  0.744453    -4 -0.592995  0.0000 0.000483 0.000668 0.001917 -0.009534 -0.070281 -0.093845
TILL 08SEP03 2008.6735 54712 1495 3 -123.8  -2406 -0.639508   5035525  0.744469    -4 -0.589423  0.0000 0.000481 0.000664 0.001908  0.001184 -0.068999 -0.111213
TILL 08SEP04 2008.6762 54713 1495 4 -123.8  -2406 -0.639312   5035525  0.744676    -4 -0.583830  0.0000 0.000481 0.000662 0.001898  0.024263 -0.072516 -0.128654
TILL 08SEP05 2008.6790 54714 1495 5 -123.8  -2406 -0.640729   5035525  0.742699    -4 -0.583893  0.0000 0.000486 0.000672 0.001935  0.013731 -0.079475 -0.122880
TILL 08SEP06 2008.6817 54715 1495 6 -123.8  -2406 -0.640321   5035525  0.741939    -4 -0.583908  0.0000 0.000477 0.000663 0.001884  0.008601 -0.071158 -0.112939
TILL 08SEP07 2008.6845 54716 1496 0 -123.8  -2406 -0.637591   5035525  0.742590    -4 -0.584895  0.0000 0.000489 0.000675 0.001939  0.014777 -0.068892 -0.147713
TILL 08SEP08 2008.6872 54717 1496 1 -123.8  -2406 -0.638631   5035525  0.741681    -4 -0.586378  0.0000 0.000484 0.000670 0.001948  0.013647 -0.067170 -0.125124
TILL 08SEP09 2008.6899 54718 1496 2 -123.8  -2406 -0.639202   5035525  0.742948    -4 -0.586169  0.0000 0.000489 0.000688 0.001993 -0.005730 -0.051841 -0.139299
TILL 08SEP10 2008.6927 54719 1496 3 -123.8  -2406 -0.640416   5035525  0.742680    -4 -0.590201  0.0000 0.000490 0.000673 0.001927  0.006338 -0.042626 -0.139108
