site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TRPD 16AUG11 2016.6105 57611 1909 4  -71.6  -4434 -0.788191  -3655277 -0.887824    61  0.757376  0.0000 0.000880 0.001063 0.003494  0.008230 -0.187974  0.056203
TRPD 16AUG12 2016.6133 57612 1909 5  -71.6  -4434 -0.790313  -3655277 -0.881275    61  0.764323  0.0000 0.000493 0.000553 0.001871  0.011177 -0.065545  0.112778
TRPD 16AUG13 2016.6160 57613 1909 6  -71.6  -4434 -0.792282  -3655277 -0.886663    61  0.755143  0.0000 0.000487 0.000544 0.001859 -0.004872 -0.054448  0.133149
TRPD 16AUG14 2016.6188 57614 1910 0  -71.6  -4434 -0.791025  -3655277 -0.883452    61  0.753188  0.0000 0.000484 0.000539 0.001835 -0.019407 -0.071796  0.121618
TRPD 16AUG15 2016.6215 57615 1910 1  -71.6  -4434 -0.790022  -3655277 -0.882114    61  0.755617  0.0000 0.000481 0.000541 0.001826 -0.016139 -0.082632  0.117478
TRPD 16AUG16 2016.6242 57616 1910 2  -71.6  -4434 -0.791712  -3655277 -0.883887    61  0.755890  0.0000 0.000489 0.000553 0.001883 -0.046526 -0.073907  0.116847
TRPD 16AUG17 2016.6270 57617 1910 3  -71.6  -4434 -0.792546  -3655277 -0.884661    61  0.756624  0.0000 0.000485 0.000545 0.001848 -0.020392 -0.086431  0.114913
TRPD 16AUG18 2016.6297 57618 1910 4  -71.6  -4434 -0.791349  -3655277 -0.885548    61  0.751379  0.0000 0.000507 0.000549 0.001901 -0.014283 -0.080871  0.125608
TRPD 16AUG19 2016.6324 57619 1910 5  -71.6  -4434 -0.792838  -3655277 -0.888165    61  0.748864  0.0000 0.000509 0.000551 0.001895 -0.033432 -0.077412  0.121386
TRPD 16AUG20 2016.6352 57620 1910 6  -71.6  -4434 -0.791808  -3655277 -0.885188    61  0.749007  0.0000 0.000483 0.000537 0.001820 -0.026606 -0.065770  0.124700
TRPD 16AUG21 2016.6379 57621 1911 0  -71.6  -4434 -0.787471  -3655277 -0.883183    61  0.756969  0.0000 0.000486 0.000540 0.001862 -0.023577 -0.070781  0.120734
TRPD 16AUG22 2016.6407 57622 1911 1  -71.6  -4434 -0.788285  -3655277 -0.886092    61  0.760847  0.0000 0.000483 0.000542 0.001846 -0.033596 -0.082136  0.116717
TRPD 16AUG23 2016.6434 57623 1911 2  -71.6  -4434 -0.790041  -3655277 -0.880990    61  0.759848  0.0000 0.000484 0.000542 0.001843 -0.008500 -0.065221  0.111974
TRPD 16AUG24 2016.6461 57624 1911 3  -71.6  -4434 -0.790087  -3655277 -0.883311    61  0.758790  0.0000 0.000488 0.000542 0.001846 -0.015379 -0.060715  0.116252
