site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TXCO 03OCT29 2003.8248 52941 1242 3  -96.6  -2606 -0.694667   3671076  0.706537   161  0.900184  0.0000 0.000661 0.000741 0.002682 -0.003679  0.031607 -0.144935
TXCO 03OCT30 2003.8275 52942 1242 4  -96.6  -2606 -0.693388   3671076  0.708901   161  0.906334  0.0000 0.000742 0.000838 0.002978 -0.023870  0.096574 -0.136203
TXCO 03OCT31 2003.8303 52943 1242 5  -96.6  -2606 -0.696820   3671076  0.707996   161  0.903537  0.0000 0.000639 0.000696 0.002529 -0.020984  0.040136 -0.163414
TXCO 03NOV01 2003.8330 52944 1242 6  -96.6  -2606 -0.694259   3671076  0.707472   161  0.906025  0.0000 0.000609 0.000670 0.002424 -0.022825  0.049334 -0.166565
TXCO 03NOV02 2003.8357 52945 1243 0  -96.6  -2606 -0.691895   3671076  0.704452   161  0.912045  0.0000 0.000612 0.000678 0.002479 -0.013459  0.049056 -0.151387
TXCO 03NOV03 2003.8385 52946 1243 1  -96.6  -2606 -0.692623   3671076  0.707600   161  0.898956  0.0000 0.000611 0.000673 0.002433 -0.011280  0.041778 -0.166020
TXCO 03NOV04 2003.8412 52947 1243 2  -96.6  -2606 -0.693831   3671076  0.704040   161  0.909579  0.0000 0.000606 0.000671 0.002411 -0.019121  0.030099 -0.139302
TXCO 03NOV05 2003.8439 52948 1243 3  -96.6  -2606 -0.693430   3671076  0.708326   161  0.904065  0.0000 0.000607 0.000669 0.002409 -0.026299  0.054612 -0.148909
TXCO 03NOV06 2003.8467 52949 1243 4  -96.6  -2606 -0.693393   3671076  0.708224   161  0.903219  0.0000 0.000619 0.000688 0.002473 -0.030934  0.057992 -0.156902
TXCO 03NOV07 2003.8494 52950 1243 5  -96.6  -2606 -0.693395   3671076  0.707684   161  0.907183  0.0000 0.000607 0.000667 0.002401 -0.018924  0.044846 -0.155427
TXCO 03NOV08 2003.8522 52951 1243 6  -96.6  -2606 -0.694202   3671076  0.708028   161  0.892154  0.0000 0.000611 0.000672 0.002428 -0.013616  0.042685 -0.156719
TXCO 03NOV09 2003.8549 52952 1244 0  -96.6  -2606 -0.693860   3671076  0.708132   161  0.898693  0.0000 0.000604 0.000672 0.002410 -0.016828  0.046827 -0.141187
TXCO 03NOV10 2003.8576 52953 1244 1  -96.6  -2606 -0.689884   3671076  0.705409   161  0.903565  0.0000 0.000622 0.000688 0.002480 -0.039213  0.048771 -0.154076
TXCO 03NOV11 2003.8604 52954 1244 2  -96.6  -2606 -0.694758   3671076  0.706379   161  0.895316  0.0000 0.000626 0.000687 0.002494 -0.038612  0.050060 -0.167429
TXCO 03NOV12 2003.8631 52955 1244 3  -96.6  -2606 -0.692608   3671076  0.705349   161  0.903621  0.0000 0.000605 0.000669 0.002401 -0.011288  0.035840 -0.151082
TXCO 03NOV13 2003.8658 52956 1244 4  -96.6  -2606 -0.691867   3671076  0.704414   161  0.904720  0.0000 0.000634 0.000703 0.002602  0.001232  0.013034 -0.156989
TXCO 03NOV14 2003.8686 52957 1244 5  -96.6  -2606 -0.691985   3671076  0.705139   161  0.902755  0.0000 0.000632 0.000708 0.002592 -0.007831  0.011290 -0.145061
TXCO 03NOV15 2003.8713 52958 1244 6  -96.6  -2606 -0.693296   3671076  0.705673   161  0.904533  0.0000 0.000620 0.000691 0.002458 -0.043335  0.069307 -0.140788
TXCO 03NOV16 2003.8741 52959 1245 0  -96.6  -2606 -0.692910   3671076  0.705730   161  0.898217  0.0000 0.000617 0.000691 0.002435 -0.048563  0.046890 -0.124818
TXCO 03NOV17 2003.8768 52960 1245 1  -96.6  -2606 -0.691422   3671076  0.701264   161  0.903972  0.0000 0.000651 0.000709 0.002565 -0.054414  0.066282 -0.145462
TXCO 03NOV18 2003.8795 52961 1245 2  -96.6  -2606 -0.693370   3671076  0.704916   161  0.904151  0.0000 0.000651 0.000702 0.002527 -0.047154  0.049396 -0.158107
