site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TXMD 07DEC22 2007.9726 54456 1458 6  -95.9  -1453 -0.744915   3426542  0.318002    64  0.871859  0.0000 0.000567 0.000585 0.002207  0.003050  0.161381 -0.175740
TXMD 07DEC23 2007.9754 54457 1459 0  -95.9  -1453 -0.744912   3426542  0.318408    64  0.869917  0.0000 0.000560 0.000579 0.002194  0.009950  0.159040 -0.176754
TXMD 07DEC24 2007.9781 54458 1459 1  -95.9  -1453 -0.745420   3426542  0.319324    64  0.871894  0.0000 0.000558 0.000580 0.002181  0.009114  0.150733 -0.162473
TXMD 07DEC25 2007.9808 54459 1459 2  -95.9  -1453 -0.743383   3426542  0.317169    64  0.871508  0.0000 0.000567 0.000588 0.002223  0.010663  0.164114 -0.170190
TXMD 07DEC26 2007.9836 54460 1459 3  -95.9  -1453 -0.744199   3426542  0.318202    64  0.879481  0.0000 0.000567 0.000591 0.002243 -0.002082  0.174764 -0.167400
TXMD 07DEC27 2007.9863 54461 1459 4  -95.9  -1453 -0.745808   3426542  0.318977    64  0.874938  0.0000 0.000593 0.000604 0.002290 -0.008699  0.165441 -0.137691
TXMD 07DEC28 2007.9890 54462 1459 5  -95.9  -1453 -0.745020   3426542  0.319383    64  0.868131  0.0000 0.000588 0.000593 0.002257 -0.005183  0.161110 -0.165507
TXMD 07DEC29 2007.9918 54463 1459 6  -95.9  -1453 -0.745268   3426542  0.318415    64  0.872850  0.0000 0.000577 0.000588 0.002185  0.001716  0.130142 -0.137782
TXMD 07DEC30 2007.9945 54464 1460 0  -95.9  -1453 -0.744790   3426542  0.320528    64  0.875942  0.0000 0.000588 0.000594 0.002228 -0.011027  0.154482 -0.144726
TXMD 07DEC31 2007.9973 54465 1460 1  -95.9  -1453 -0.745501   3426542  0.319874    64  0.877320  0.0000 0.000574 0.000609 0.002293  0.004357  0.155249 -0.135046
TXMD 08JAN01 2008.0000 54466 1460 2  -95.9  -1453 -0.745121   3426542  0.321617    64  0.872441  0.0000 0.000562 0.000589 0.002211  0.003613  0.158901 -0.161841
TXMD 08JAN02 2008.0027 54467 1460 3  -95.9  -1453 -0.746530   3426542  0.321032    64  0.863056  0.0000 0.000559 0.000579 0.002172  0.019343  0.139873 -0.173676
TXMD 08JAN03 2008.0055 54468 1460 4  -95.9  -1453 -0.744366   3426542  0.319265    64  0.864169  0.0000 0.000556 0.000577 0.002145  0.013093  0.137751 -0.188135
TXMD 08JAN04 2008.0082 54469 1460 5  -95.9  -1453 -0.744368   3426542  0.317315    64  0.872040  0.0000 0.000556 0.000572 0.002123  0.007286  0.129924 -0.173014
TXMD 08JAN05 2008.0110 54470 1460 6  -95.9  -1453 -0.743099   3426542  0.316990    64  0.877625  0.0000 0.000560 0.000574 0.002168  0.026228  0.173703 -0.154699
TXMD 08JAN06 2008.0137 54471 1461 0  -95.9  -1453 -0.743599   3426542  0.318833    64  0.878456  0.0000 0.000560 0.000577 0.002165  0.019620  0.151992 -0.154541
TXMD 08JAN07 2008.0164 54472 1461 1  -95.9  -1453 -0.745565   3426542  0.317364    64  0.874021  0.0000 0.000572 0.000589 0.002226  0.022862  0.134593 -0.165369
TXMD 08JAN08 2008.0192 54473 1461 2  -95.9  -1453 -0.745851   3426542  0.319746    64  0.876544  0.0000 0.000584 0.000599 0.002309  0.011318  0.186235 -0.183841
TXMD 08JAN09 2008.0219 54474 1461 3  -95.9  -1453 -0.745963   3426542  0.317886    64  0.873509  0.0000 0.000566 0.000586 0.002194  0.004931  0.166378 -0.165123
TXMD 08JAN10 2008.0246 54475 1461 4  -95.9  -1453 -0.743894   3426542  0.317076    64  0.885011  0.0000 0.000560 0.000569 0.002184  0.002840  0.166410 -0.173171
TXMD 08JAN11 2008.0274 54476 1461 5  -95.9  -1453 -0.745452   3426542  0.318367    64  0.876538  0.0000 0.000579 0.000593 0.002239  0.009195  0.176242 -0.146459
TXMD 08JAN12 2008.0301 54477 1461 6  -95.9  -1453 -0.745169   3426542  0.319323    64  0.877364  0.0000 0.000563 0.000576 0.002162  0.003345  0.159211 -0.164825
TXMD 08JAN13 2008.0329 54478 1462 0  -95.9  -1453 -0.744383   3426542  0.320593    64  0.874681  0.0000 0.000562 0.000575 0.002157  0.022404  0.139242 -0.164178
TXMD 08JAN14 2008.0356 54479 1462 1  -95.9  -1453 -0.745940   3426542  0.320774    64  0.869845  0.0000 0.000564 0.000578 0.002195  0.005199  0.160820 -0.170840
TXMD 08JAN15 2008.0383 54480 1462 2  -95.9  -1453 -0.745257   3426542  0.318486    64  0.876449  0.0000 0.000561 0.000576 0.002166  0.006268  0.148802 -0.149065
TXMD 08JAN16 2008.0411 54481 1462 3  -95.9  -1453 -0.745525   3426542  0.318284    64  0.869462  0.0000 0.000564 0.000580 0.002210  0.014048  0.167095 -0.159649
TXMD 08JAN17 2008.0438 54482 1462 4  -95.9  -1453 -0.745680   3426542  0.318673    64  0.873608  0.0000 0.000564 0.000585 0.002206  0.020435  0.145347 -0.153077
TXMD 08JAN18 2008.0465 54483 1462 5  -95.9  -1453 -0.746021   3426542  0.319038    64  0.866562  0.0000 0.000567 0.000580 0.002211  0.013654  0.149164 -0.142477
TXMD 08JAN19 2008.0493 54484 1462 6  -95.9  -1453 -0.746386   3426542  0.320424    64  0.870934  0.0000 0.000550 0.000570 0.002146  0.026584  0.140952 -0.165372
TXMD 08JAN20 2008.0520 54485 1463 0  -95.9  -1453 -0.745268   3426542  0.319702    64  0.868740  0.0000 0.000551 0.000577 0.002149  0.022107  0.136038 -0.146502
TXMD 08JAN21 2008.0548 54486 1463 1  -95.9  -1453 -0.745062   3426542  0.317431    64  0.874088  0.0000 0.000553 0.000576 0.002161  0.015560  0.136179 -0.155792
TXMD 08JAN22 2008.0575 54487 1463 2  -95.9  -1453 -0.744901   3426542  0.319412    64  0.871136  0.0000 0.000574 0.000594 0.002247  0.007011  0.160207 -0.158568
TXMD 08JAN23 2008.0602 54488 1463 3  -95.9  -1453 -0.744935   3426542  0.317023    64  0.877490  0.0000 0.000555 0.000574 0.002141  0.027089  0.122068 -0.146338
TXMD 08JAN24 2008.0630 54489 1463 4  -95.9  -1453 -0.746808   3426542  0.319016    64  0.878634  0.0000 0.000555 0.000573 0.002146  0.018586  0.122745 -0.141617
TXMD 08JAN25 2008.0657 54490 1463 5  -95.9  -1453 -0.745484   3426542  0.318689    64  0.876822  0.0000 0.000556 0.000577 0.002157  0.015056  0.144005 -0.159076
TXMD 08JAN26 2008.0684 54491 1463 6  -95.9  -1453 -0.745389   3426542  0.318145    64  0.873933  0.0000 0.000554 0.000576 0.002160  0.015218  0.143347 -0.152956
