site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TXWN 15JAN01 2015.0007 57023 1825 4  -96.1    771  0.861805   3245708  0.290033     8  0.139834  0.0000 0.000474 0.000535 0.001810  0.046507 -0.016077 -0.080361
TXWN 15JAN02 2015.0034 57024 1825 5  -96.1    771  0.863692   3245708  0.289902     8  0.129970  0.0000 0.000474 0.000531 0.001784  0.041631 -0.009011 -0.094657
TXWN 15JAN03 2015.0062 57025 1825 6  -96.1    771  0.863407   3245708  0.290161     8  0.141299  0.0000 0.000478 0.000537 0.001824  0.030816 -0.001296 -0.090024
TXWN 15JAN04 2015.0089 57026 1826 0  -96.1    771  0.862443   3245708  0.295056     8  0.130340  0.0000 0.000550 0.000626 0.002098  0.001182  0.034947 -0.096159
TXWN 15JAN05 2015.0116 57027 1826 1  -96.1    771  0.863957   3245708  0.291707     8  0.127539  0.0000 0.000479 0.000540 0.001818  0.032786 -0.009898 -0.073976
TXWN 15JAN06 2015.0144 57028 1826 2  -96.1    771  0.864781   3245708  0.288467     8  0.140479  0.0000 0.000485 0.000546 0.001846  0.043607 -0.017039 -0.100043
TXWN 15JAN07 2015.0171 57029 1826 3  -96.1    771  0.862536   3245708  0.290188     8  0.142729  0.0000 0.000486 0.000545 0.001851  0.044981 -0.001595 -0.093817
TXWN 15JAN08 2015.0198 57030 1826 4  -96.1    771  0.863199   3245708  0.291188     8  0.121564  0.0000 0.000484 0.000542 0.001843  0.050044 -0.001653 -0.081516
TXWN 15JAN09 2015.0226 57031 1826 5  -96.1    771  0.863432   3245708  0.289051     8  0.129567  0.0000 0.000503 0.000547 0.001867  0.043014 -0.023417 -0.101782
TXWN 15JAN10 2015.0253 57032 1826 6  -96.1    771  0.863227   3245708  0.290310     8  0.129093  0.0000 0.000480 0.000537 0.001806  0.035193 -0.019520 -0.090488
TXWN 15JAN11 2015.0281 57033 1827 0  -96.1    771  0.863944   3245708  0.290893     8  0.122643  0.0000 0.000482 0.000538 0.001810  0.036197 -0.024311 -0.110321
TXWN 15JAN12 2015.0308 57034 1827 1  -96.1    771  0.862329   3245708  0.289683     8  0.127744  0.0000 0.000485 0.000541 0.001824  0.038350 -0.006362 -0.107235
TXWN 15JAN13 2015.0335 57035 1827 2  -96.1    771  0.862673   3245708  0.289445     8  0.128309  0.0000 0.000486 0.000543 0.001827  0.047901 -0.021141 -0.108087
TXWN 15JAN14 2015.0363 57036 1827 3  -96.1    771  0.861636   3245708  0.290731     8  0.129426  0.0000 0.000487 0.000544 0.001847  0.062349 -0.016109 -0.109398
TXWN 15JAN15 2015.0390 57037 1827 4  -96.1    771  0.862990   3245708  0.291278     8  0.130825  0.0000 0.000482 0.000537 0.001813  0.047885 -0.028704 -0.097483
TXWN 15JAN16 2015.0418 57038 1827 5  -96.1    771  0.862172   3245708  0.290795     8  0.129505  0.0000 0.000481 0.000538 0.001816  0.042694 -0.018024 -0.085135
TXWN 15JAN17 2015.0445 57039 1827 6  -96.1    771  0.860402   3245708  0.289959     8  0.132591  0.0000 0.000482 0.000541 0.001822  0.040042 -0.015296 -0.089559
TXWN 15JAN18 2015.0472 57040 1828 0  -96.1    771  0.861175   3245708  0.290133     8  0.129030  0.0000 0.000505 0.000549 0.001874  0.045703 -0.027064 -0.116773
TXWN 15JAN19 2015.0500 57041 1828 1  -96.1    771  0.859910   3245708  0.291765     8  0.127215  0.0000 0.000487 0.000543 0.001845  0.057347 -0.013968 -0.094775
TXWN 15JAN20 2015.0527 57042 1828 2  -96.1    771  0.862155   3245708  0.290978     8  0.133638  0.0000 0.000483 0.000538 0.001816  0.056129 -0.017737 -0.088528
TXWN 15JAN21 2015.0554 57043 1828 3  -96.1    771  0.859881   3245708  0.288239     8  0.136039  0.0000 0.000482 0.000537 0.001812  0.052542 -0.026683 -0.085795
TXWN 15JAN22 2015.0582 57044 1828 4  -96.1    771  0.862911   3245708  0.290305     8  0.128935  0.0000 0.000483 0.000540 0.001813  0.037432 -0.019054 -0.102421
TXWN 15JAN23 2015.0609 57045 1828 5  -96.1    771  0.861443   3245708  0.287963     8  0.123873  0.0000 0.000487 0.000537 0.001815  0.049629 -0.032167 -0.113030
TXWN 15JAN24 2015.0637 57046 1828 6  -96.1    771  0.860477   3245708  0.287561     8  0.130804  0.0000 0.000488 0.000555 0.001867  0.040860 -0.021724 -0.088647
TXWN 15JAN25 2015.0664 57047 1829 0  -96.1    771  0.861078   3245708  0.290075     8  0.133868  0.0000 0.000481 0.000537 0.001819  0.055343 -0.019477 -0.101092
