site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
VILA 98NOV19 1998.8830 51136  984 4  168.3   2068  0.210824  -1960975 -0.691592   114  0.254976  0.0000 0.000634 0.000609 0.002581  0.014725 -0.002797  0.040978
VILA 98NOV20 1998.8857 51137  984 5  168.3   2068  0.209112  -1960975 -0.692743   114  0.237345  0.0000 0.000626 0.000606 0.002557  0.017211  0.014958  0.049603
VILA 98NOV21 1998.8884 51138  984 6  168.3   2068  0.210790  -1960975 -0.693229   114  0.225751  0.0000 0.000632 0.000614 0.002597  0.023665  0.024425  0.022392
VILA 98NOV22 1998.8912 51139  985 0  168.3   2068  0.212167  -1960975 -0.694615   114  0.237533  0.0000 0.000628 0.000605 0.002564  0.025519  0.001979  0.046660
VILA 98NOV23 1998.8939 51140  985 1  168.3   2068  0.211978  -1960975 -0.690270   114  0.238536  0.0000 0.000629 0.000610 0.002575  0.022114  0.014894  0.028794
VILA 98NOV24 1998.8966 51141  985 2  168.3   2068  0.211529  -1960975 -0.692927   114  0.235893  0.0000 0.000635 0.000615 0.002612  0.025815 -0.002326  0.018731
VILA 98NOV25 1998.8994 51142  985 3  168.3   2068  0.209723  -1960975 -0.692905   114  0.233280  0.0000 0.000633 0.000608 0.002588  0.019056 -0.000609  0.040542
VILA 98NOV26 1998.9021 51143  985 4  168.3   2068  0.211660  -1960975 -0.696000   114  0.239361  0.0000 0.000636 0.000611 0.002590  0.048674  0.007586  0.023583
VILA 98NOV27 1998.9049 51144  985 5  168.3   2068  0.211299  -1960975 -0.693782   114  0.223382  0.0000 0.000620 0.000599 0.002531  0.021204  0.003399  0.047811
VILA 98NOV28 1998.9076 51145  985 6  168.3   2068  0.209961  -1960975 -0.691334   114  0.226119  0.0000 0.000638 0.000607 0.002613  0.004521  0.056456  0.042577
VILA 99OCT31 1999.8303 51482 1034 0  168.3   2068  0.157107  -1960975 -0.686603   114  0.220057  0.0000 0.000693 0.000667 0.002712 -0.005418 -0.031558  0.008141
VILA 99NOV01 1999.8330 51483 1034 1  168.3   2068  0.157266  -1960975 -0.683719   114  0.221916  0.0000 0.000683 0.000652 0.002716 -0.008754 -0.076412  0.043619
VILA 99NOV02 1999.8357 51484 1034 2  168.3   2068  0.156989  -1960975 -0.685097   114  0.208032  0.0000 0.000667 0.000643 0.002645  0.001195 -0.048460  0.016196
VILA 99NOV03 1999.8385 51485 1034 3  168.3   2068  0.158126  -1960975 -0.683378   114  0.218776  0.0000 0.000663 0.000643 0.002605  0.005635 -0.042017  0.026138
VILA 99NOV04 1999.8412 51486 1034 4  168.3   2068  0.158981  -1960975 -0.685887   114  0.210730  0.0000 0.000667 0.000644 0.002643  0.000953 -0.043101  0.070272
