site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
VIS0 96NOV05 1996.8460 50392  878 2   18.4  -1951 -0.399806   6392732  0.465180    79  0.800658  0.0710 0.000573 0.000805 0.002383 -0.015190 -0.000101  0.100261
VIS0 96NOV06 1996.8487 50393  878 3   18.4  -1951 -0.399729   6392732  0.465308    79  0.801686  0.0710 0.000588 0.000828 0.002462 -0.006467  0.011273  0.108697
VIS0 96NOV07 1996.8515 50394  878 4   18.4  -1951 -0.398497   6392732  0.464691    79  0.792540  0.0710 0.000576 0.000816 0.002420 -0.013419  0.010661  0.112041
VIS0 96NOV08 1996.8542 50395  878 5   18.4  -1951 -0.398173   6392732  0.466132    79  0.789005  0.0710 0.000633 0.000918 0.002734  0.001392  0.067349  0.096539
VIS0 96NOV09 1996.8569 50396  878 6   18.4  -1951 -0.398825   6392732  0.466425    79  0.793731  0.0710 0.000587 0.000844 0.002480  0.015802  0.011100  0.112229
VIS0 96NOV10 1996.8597 50397  879 0   18.4  -1951 -0.398629   6392732  0.467355    79  0.788149  0.0710 0.000572 0.000805 0.002382 -0.009987  0.006064  0.104393
VIS0 96NOV11 1996.8624 50398  879 1   18.4  -1951 -0.399177   6392732  0.468250    79  0.788528  0.0710 0.000572 0.000802 0.002371 -0.018859  0.005549  0.102865
VIS0 96NOV12 1996.8652 50399  879 2   18.4  -1951 -0.400575   6392732  0.468555    79  0.788708  0.0710 0.000576 0.000808 0.002405 -0.017610  0.004407  0.107965
VIS0 96NOV13 1996.8679 50400  879 3   18.4  -1951 -0.400087   6392732  0.466506    79  0.792802  0.0710 0.000580 0.000814 0.002425 -0.016123  0.018314  0.106503
VIS0 96NOV14 1996.8706 50401  879 4   18.4  -1951 -0.400457   6392732  0.467708    79  0.793469  0.0710 0.000580 0.000819 0.002439 -0.012931  0.018489  0.104122
VIS0 96NOV15 1996.8734 50402  879 5   18.4  -1951 -0.399519   6392732  0.463975    79  0.800110  0.0710 0.000583 0.000829 0.002430  0.005489  0.000585  0.087445
VIS0 96NOV16 1996.8761 50403  879 6   18.4  -1951 -0.398877   6392732  0.466796    79  0.799903  0.0710 0.000586 0.000820 0.002416 -0.030328  0.016077  0.089243
VIS0 96NOV17 1996.8789 50404  880 0   18.4  -1951 -0.398997   6392732  0.467005    79  0.798496  0.0710 0.000582 0.000809 0.002413 -0.003414  0.024646  0.096044
VIS0 96NOV18 1996.8816 50405  880 1   18.4  -1951 -0.399564   6392732  0.467261    79  0.782397  0.0710 0.000580 0.000811 0.002419 -0.012702  0.013380  0.105285
VIS0 96NOV19 1996.8843 50406  880 2   18.4  -1951 -0.398774   6392732  0.467757    79  0.796489  0.0710 0.000592 0.000816 0.002454 -0.030882  0.055291  0.075964
VIS0 96NOV20 1996.8871 50407  880 3   18.4  -1951 -0.399855   6392732  0.469256    79  0.801863  0.0710 0.000579 0.000811 0.002418 -0.007446  0.020812  0.092158
VIS0 96NOV21 1996.8898 50408  880 4   18.4  -1951 -0.400527   6392732  0.468273    79  0.801670  0.0710 0.000577 0.000810 0.002404 -0.003940  0.013720  0.093933
VIS0 96NOV22 1996.8925 50409  880 5   18.4  -1951 -0.399816   6392732  0.467691    79  0.797937  0.0710 0.000578 0.000806 0.002397 -0.010693  0.025953  0.093961
VIS0 96NOV23 1996.8953 50410  880 6   18.4  -1951 -0.397219   6392732  0.467515    79  0.791057  0.0710 0.000581 0.000813 0.002435 -0.009051  0.016522  0.101534
VIS0 96NOV24 1996.8980 50411  881 0   18.4  -1951 -0.398224   6392732  0.468398    79  0.786859  0.0710 0.000583 0.000811 0.002446 -0.014679  0.024184  0.106153
VIS0 96NOV25 1996.9008 50412  881 1   18.4  -1951 -0.398399   6392732  0.467699    79  0.792385  0.0710 0.000582 0.000807 0.002433 -0.009635  0.007826  0.085724
VIS0 96NOV26 1996.9035 50413  881 2   18.4  -1951 -0.401878   6392732  0.469201    79  0.794274  0.0710 0.000595 0.000828 0.002456  0.021638  0.009025  0.075881
VIS0 96NOV27 1996.9062 50414  881 3   18.4  -1951 -0.399226   6392732  0.469158    79  0.801040  0.0710 0.000594 0.000820 0.002488 -0.005541  0.018111  0.123021
VIS0 96NOV28 1996.9090 50415  881 4   18.4  -1951 -0.400460   6392732  0.467068    79  0.797906  0.0710 0.000604 0.000856 0.002523  0.004988  0.022130  0.087627
VIS0 96NOV29 1996.9117 50416  881 5   18.4  -1951 -0.395640   6392732  0.468464    79  0.793475  0.0710 0.000608 0.000863 0.002528  0.010083  0.014324  0.099420
VIS0 96NOV30 1996.9144 50417  881 6   18.4  -1951 -0.398747   6392732  0.471018    79  0.790842  0.0710 0.000597 0.000831 0.002519 -0.010588  0.022595  0.097803
VIS0 96DEC01 1996.9172 50418  882 0   18.4  -1951 -0.397411   6392732  0.469160    79  0.791266  0.0710 0.000599 0.000848 0.002525  0.014625  0.008602  0.089494
VIS0 96DEC02 1996.9199 50419  882 1   18.4  -1951 -0.396666   6392732  0.467960    79  0.794810  0.0710 0.000597 0.000829 0.002500 -0.008417 -0.003555  0.111647
VIS0 96DEC03 1996.9227 50420  882 2   18.4  -1951 -0.397512   6392732  0.466203    79  0.795553  0.0710 0.000597 0.000839 0.002541  0.006235  0.012608  0.109437
VIS0 96DEC04 1996.9254 50421  882 3   18.4  -1951 -0.396104   6392732  0.465931    79  0.797889  0.0710 0.000598 0.000840 0.002550 -0.012668  0.033150  0.123194
VIS0 96DEC05 1996.9281 50422  882 4   18.4  -1951 -0.396171   6392732  0.466467    79  0.798817  0.0710 0.000601 0.000843 0.002557 -0.019528  0.036022  0.113349
VIS0 96DEC06 1996.9309 50423  882 5   18.4  -1951 -0.399687   6392732  0.468231    79  0.800705  0.0710 0.000603 0.000832 0.002546 -0.014027 -0.000512  0.108438
