site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
VTD9 07NOV30 2007.9124 54434 1455 5  -72.2   3140  0.402827   4979496  0.922675   283  0.307486  0.0000 0.000487 0.000611 0.001794  0.022498 -0.030432 -0.103879
VTD9 07DEC01 2007.9151 54435 1455 6  -72.2   3140  0.407050   4979496  0.923336   283  0.291805  0.0000 0.000483 0.000610 0.001784  0.017576 -0.020327 -0.096786
VTD9 07DEC02 2007.9179 54436 1456 0  -72.2   3140  0.405959   4979496  0.924101   283  0.301223  0.0000 0.000481 0.000611 0.001780  0.014540 -0.016595 -0.100727
VTD9 07DEC03 2007.9206 54437 1456 1  -72.2   3140  0.405592   4979496  0.924239   283  0.300906  0.0000 0.000491 0.000621 0.001821  0.011707 -0.019119 -0.105419
VTD9 07DEC04 2007.9233 54438 1456 2  -72.2   3140  0.406039   4979496  0.923204   283  0.295935  0.0000 0.000482 0.000608 0.001769  0.019876 -0.015684 -0.076975
VTD9 07DEC05 2007.9261 54439 1456 3  -72.2   3140  0.404776   4979496  0.921679   283  0.295862  0.0000 0.000482 0.000602 0.001753  0.019376 -0.025022 -0.070664
VTD9 07DEC06 2007.9288 54440 1456 4  -72.2   3140  0.405017   4979496  0.923528   283  0.295099  0.0000 0.000480 0.000607 0.001772  0.014701 -0.025147 -0.084904
VTD9 07DEC07 2007.9316 54441 1456 5  -72.2   3140  0.403788   4979496  0.924634   283  0.294960  0.0000 0.000486 0.000608 0.001781  0.017794 -0.015202 -0.099277
VTD9 07DEC08 2007.9343 54442 1456 6  -72.2   3140  0.403070   4979496  0.924337   283  0.294787  0.0000 0.000485 0.000607 0.001778  0.009703 -0.014175 -0.099109
VTD9 07DEC09 2007.9370 54443 1457 0  -72.2   3140  0.404691   4979496  0.921628   283  0.297482  0.0000 0.000490 0.000609 0.001806  0.008992  0.006423 -0.105401
VTD9 07DEC10 2007.9398 54444 1457 1  -72.2   3140  0.405146   4979496  0.921688   283  0.303891  0.0000 0.000492 0.000610 0.001800  0.021262 -0.012349 -0.108073
VTD9 07DEC11 2007.9425 54445 1457 2  -72.2   3140  0.405569   4979496  0.923227   283  0.301296  0.0000 0.000495 0.000613 0.001816  0.005826 -0.015670 -0.109071
VTD9 07DEC12 2007.9452 54446 1457 3  -72.2   3140  0.405736   4979496  0.921529   283  0.311441  0.0000 0.000497 0.000614 0.001824  0.018707 -0.017846 -0.118333
VTD9 07DEC13 2007.9480 54447 1457 4  -72.2   3140  0.404515   4979496  0.923573   283  0.303941  0.0000 0.000494 0.000617 0.001800  0.011575  0.001242 -0.114260
VTD9 07DEC14 2007.9507 54448 1457 5  -72.2   3140  0.406395   4979496  0.924177   283  0.298116  0.0000 0.000498 0.000621 0.001832  0.000147  0.009799 -0.125998
VTD9 07DEC15 2007.9535 54449 1457 6  -72.2   3140  0.404528   4979496  0.922380   283  0.302626  0.0000 0.000498 0.000615 0.001811  0.018996  0.007452 -0.101516
VTD9 07DEC16 2007.9562 54450 1458 0  -72.2   3140  0.405599   4979496  0.921724   283  0.308110  0.0000 0.000501 0.000619 0.001835  0.018735 -0.010927 -0.124776
VTD9 07DEC17 2007.9589 54451 1458 1  -72.2   3140  0.406486   4979496  0.924727   283  0.301803  0.0000 0.000497 0.000619 0.001824  0.003795  0.001161 -0.112650
VTD9 07DEC18 2007.9617 54452 1458 2  -72.2   3140  0.406272   4979496  0.924258   283  0.296209  0.0000 0.000495 0.000617 0.001815  0.021269  0.000052 -0.115247
VTD9 07DEC19 2007.9644 54453 1458 3  -72.2   3140  0.405046   4979496  0.924536   283  0.291996  0.0000 0.000500 0.000617 0.001837  0.009946 -0.013098 -0.108680
VTD9 07DEC20 2007.9671 54454 1458 4  -72.2   3140  0.405534   4979496  0.923716   283  0.290535  0.0000 0.000505 0.000621 0.001853  0.013238  0.004611 -0.113841
VTD9 07DEC21 2007.9699 54455 1458 5  -72.2   3140  0.405519   4979496  0.923876   283  0.297030  0.0000 0.000501 0.000614 0.001828  0.014770  0.002927 -0.105382
VTD9 07DEC22 2007.9726 54456 1458 6  -72.2   3140  0.404610   4979496  0.922195   283  0.297597  0.0000 0.000505 0.000614 0.001843  0.023659 -0.035934 -0.110458
VTD9 07DEC23 2007.9754 54457 1459 0  -72.2   3140  0.404175   4979496  0.922917   283  0.310065  0.0000 0.000507 0.000625 0.001846  0.020782 -0.038220 -0.107879
VTD9 07DEC24 2007.9781 54458 1459 1  -72.2   3140  0.403485   4979496  0.923260   283  0.301915  0.0000 0.000502 0.000620 0.001856  0.023727 -0.035754 -0.114867
VTD9 07DEC25 2007.9808 54459 1459 2  -72.2   3140  0.405139   4979496  0.923110   283  0.302085  0.0000 0.000500 0.000612 0.001835  0.023787 -0.058152 -0.089635
VTD9 07DEC26 2007.9836 54460 1459 3  -72.2   3140  0.403477   4979496  0.924099   283  0.301461  0.0000 0.000504 0.000617 0.001850  0.037392 -0.064900 -0.100892
VTD9 07DEC27 2007.9863 54461 1459 4  -72.2   3140  0.404286   4979496  0.924360   283  0.299659  0.0000 0.000521 0.000635 0.001910  0.004850 -0.049937 -0.120451
VTD9 07DEC28 2007.9890 54462 1459 5  -72.2   3140  0.404713   4979496  0.923921   283  0.297692  0.0000 0.000508 0.000621 0.001835 -0.013955 -0.033280 -0.091325
VTD9 07DEC29 2007.9918 54463 1459 6  -72.2   3140  0.403849   4979496  0.925347   283  0.300675  0.0000 0.000508 0.000625 0.001839 -0.002776 -0.033184 -0.081951
