site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WLWN 16AUG31 2016.6653 57631 1912 3  152.6   2433  0.407472  -3423284 -0.124214    89  0.593087  0.0000 0.000540 0.000589 0.002127  0.017624  0.136867  0.109165
WLWN 16SEP01 2016.6680 57632 1912 4  152.6   2433  0.411046  -3423284 -0.126951    89  0.593818  0.0000 0.000540 0.000584 0.002110  0.004071  0.104009  0.120073
WLWN 16SEP02 2016.6708 57633 1912 5  152.6   2433  0.408161  -3423284 -0.124629    89  0.591500  0.0000 0.000561 0.000594 0.002189 -0.018194  0.086902  0.101017
WLWN 16SEP03 2016.6735 57634 1912 6  152.6   2433  0.410215  -3423284 -0.125035    89  0.588750  0.0000 0.000537 0.000585 0.002125 -0.020581  0.127712  0.055341
WLWN 16SEP04 2016.6762 57635 1913 0  152.6   2433  0.408455  -3423284 -0.124482    89  0.580575  0.0000 0.000538 0.000579 0.002063 -0.007164  0.096160  0.072251
WLWN 16SEP06 2016.6817 57637 1913 2  152.6   2433  0.406515  -3423284 -0.128026    89  0.582691  0.0000 0.000534 0.000584 0.002077  0.007829  0.110407  0.148843
WLWN 16SEP07 2016.6845 57638 1913 3  152.6   2433  0.410575  -3423284 -0.125979    89  0.591096  0.0000 0.000561 0.000605 0.002164 -0.000476  0.089952  0.092960
WLWN 16SEP08 2016.6872 57639 1913 4  152.6   2433  0.409801  -3423284 -0.125119    89  0.584424  0.0000 0.000537 0.000601 0.002150 -0.027514  0.130380  0.069544
WLWN 16SEP09 2016.6899 57640 1913 5  152.6   2433  0.409199  -3423284 -0.123005    89  0.584983  0.0000 0.000531 0.000589 0.002093 -0.020106  0.105930  0.077352
WLWN 16SEP10 2016.6927 57641 1913 6  152.6   2433  0.407186  -3423284 -0.125569    89  0.583233  0.0000 0.000529 0.000581 0.002075 -0.007207  0.102506  0.079981
WLWN 16SEP11 2016.6954 57642 1914 0  152.6   2433  0.408976  -3423284 -0.124731    89  0.579886  0.0000 0.000535 0.000595 0.002110 -0.021963  0.109724  0.051667
WLWN 16SEP12 2016.6982 57643 1914 1  152.6   2433  0.408409  -3423284 -0.125551    89  0.586340  0.0000 0.000547 0.000588 0.002083 -0.037987  0.067671  0.104049
WLWN 16SEP13 2016.7009 57644 1914 2  152.6   2433  0.407028  -3423284 -0.124813    89  0.597911  0.0000 0.000530 0.000581 0.002035 -0.011666  0.091680  0.075754
WLWN 16SEP14 2016.7036 57645 1914 3  152.6   2433  0.407100  -3423284 -0.123118    89  0.596378  0.0000 0.000530 0.000578 0.002047 -0.009664  0.108769  0.099740
WLWN 16SEP15 2016.7064 57646 1914 4  152.6   2433  0.408393  -3423284 -0.126660    89  0.591964  0.0000 0.000540 0.000586 0.002108 -0.023212  0.087578  0.098400
WLWN 16SEP16 2016.7091 57647 1914 5  152.6   2433  0.407959  -3423284 -0.126603    89  0.583821  0.0000 0.000542 0.000591 0.002121 -0.037367  0.082299  0.086138
WLWN 16SEP17 2016.7118 57648 1914 6  152.6   2433  0.410682  -3423284 -0.125683    89  0.592829  0.0000 0.000526 0.000586 0.002057 -0.011706  0.104837  0.074631
WLWN 16SEP18 2016.7146 57649 1915 0  152.6   2433  0.410273  -3423284 -0.126254    89  0.597606  0.0000 0.000522 0.000577 0.002021  0.019603  0.122729  0.088607
WLWN 16SEP19 2016.7173 57650 1915 1  152.6   2433  0.410931  -3423284 -0.125162    89  0.587377  0.0000 0.000532 0.000597 0.002140  0.008749  0.134969  0.030067
WLWN 16SEP20 2016.7201 57651 1915 2  152.6   2433  0.408503  -3423284 -0.123871    89  0.595143  0.0000 0.000527 0.000581 0.002064  0.000876  0.123112  0.069917
WLWN 16SEP21 2016.7228 57652 1915 3  152.6   2433  0.408072  -3423284 -0.125641    89  0.579301  0.0000 0.000532 0.000587 0.002082 -0.000806  0.112276  0.089084
WLWN 16SEP22 2016.7255 57653 1915 4  152.6   2433  0.411659  -3423284 -0.121236    89  0.587981  0.0000 0.000549 0.000608 0.002131  0.018631  0.113207  0.015586
WLWN 16SEP23 2016.7283 57654 1915 5  152.6   2433  0.407852  -3423284 -0.123311    89  0.583973  0.0000 0.000546 0.000595 0.002113  0.032689  0.130027  0.060951
WLWN 16SEP24 2016.7310 57655 1915 6  152.6   2433  0.411039  -3423284 -0.122340    89  0.586671  0.0000 0.000533 0.000604 0.002114 -0.027975  0.098583  0.043101
WLWN 16SEP25 2016.7337 57656 1916 0  152.6   2433  0.409650  -3423284 -0.124661    89  0.577609  0.0000 0.000529 0.000582 0.002072 -0.014523  0.099388  0.092917
WLWN 16SEP26 2016.7365 57657 1916 1  152.6   2433  0.408254  -3423284 -0.126869    89  0.588133  0.0000 0.000532 0.000594 0.002123 -0.032969  0.118375  0.064967
WLWN 16SEP27 2016.7392 57658 1916 2  152.6   2433  0.410273  -3423284 -0.124422    89  0.592400  0.0000 0.000525 0.000580 0.002054 -0.000706  0.119075  0.060351
WLWN 16SEP28 2016.7420 57659 1916 3  152.6   2433  0.410810  -3423284 -0.126350    89  0.586337  0.0000 0.000528 0.000586 0.002061  0.004503  0.119161  0.077226
WLWN 16SEP29 2016.7447 57660 1916 4  152.6   2433  0.413628  -3423284 -0.122630    89  0.585646  0.0000 0.000521 0.000578 0.002034  0.022767  0.137112  0.066767
