site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WNF1 18APR03 2018.2533 58211 1995 2 -114.4   -570 -0.639856   5870562  0.215539   939  0.992293  0.0000 0.000435 0.000594 0.001651 -0.009452  0.003164  0.049653
WNF1 18APR04 2018.2560 58212 1995 3 -114.4   -570 -0.639483   5870562  0.214732   939  0.992833  0.0000 0.000437 0.000597 0.001658 -0.011656  0.004921  0.046618
WNF1 18APR05 2018.2587 58213 1995 4 -114.4   -570 -0.640813   5870562  0.215014   939  0.991913  0.0000 0.000449 0.000611 0.001680 -0.025416  0.007365  0.030698
WNF1 18APR06 2018.2615 58214 1995 5 -114.4   -570 -0.642575   5870562  0.216471   939  0.994642  0.0000 0.000450 0.000612 0.001686 -0.032228 -0.000436  0.050090
WNF1 18APR07 2018.2642 58215 1995 6 -114.4   -570 -0.640664   5870562  0.216655   939  0.999314  0.0000 0.000436 0.000594 0.001655 -0.024006 -0.000192  0.056106
WNF1 18APR08 2018.2669 58216 1996 0 -114.4   -570 -0.641707   5870562  0.217547   939  1.005101  0.0000 0.000433 0.000591 0.001637 -0.013533 -0.003230  0.064486
WNF1 18APR09 2018.2697 58217 1996 1 -114.4   -570 -0.643054   5870562  0.215595   939  1.002224  0.0000 0.000437 0.000604 0.001664 -0.021594 -0.002203  0.059737
WNF1 18APR10 2018.2724 58218 1996 2 -114.4   -570 -0.643391   5870562  0.214453   939  1.006976  0.0000 0.000439 0.000605 0.001684 -0.019205 -0.000482  0.019768
WNF1 18APR11 2018.2752 58219 1996 3 -114.4   -570 -0.644159   5870562  0.215654   939  1.005030  0.0000 0.000438 0.000600 0.001663 -0.024049 -0.004437  0.030117
WNF1 18APR12 2018.2779 58220 1996 4 -114.4   -570 -0.646811   5870562  0.214995   939  1.008906  0.0000 0.000442 0.000611 0.001724 -0.040969 -0.010105  0.039875
WNF1 18APR13 2018.2806 58221 1996 5 -114.4   -570 -0.645711   5870562  0.215063   939  1.005474  0.0000 0.000457 0.000624 0.001735  0.000390  0.004836  0.050909
WNF1 18APR14 2018.2834 58222 1996 6 -114.4   -570 -0.645424   5870562  0.215305   939  1.002581  0.0000 0.000438 0.000596 0.001667 -0.013363 -0.006265  0.052028
WNF1 18APR15 2018.2861 58223 1997 0 -114.4   -570 -0.645752   5870562  0.214306   939  0.998332  0.0000 0.000438 0.000602 0.001674 -0.024037  0.008803  0.032860
WNF1 18APR16 2018.2888 58224 1997 1 -114.4   -570 -0.650063   5870562  0.214557   939  1.004885  0.0000 0.000439 0.000603 0.001668 -0.022625  0.007103  0.029423
WNF1 18APR17 2018.2916 58225 1997 2 -114.4   -570 -0.648960   5870562  0.212197   939  1.012447  0.0000 0.000444 0.000610 0.001703 -0.009814 -0.008829  0.028189
WNF1 18APR18 2018.2943 58226 1997 3 -114.4   -570 -0.649470   5870562  0.212955   939  1.001031  0.0000 0.000444 0.000614 0.001716 -0.015083  0.014961  0.040203
WNF1 18APR19 2018.2971 58227 1997 4 -114.4   -570 -0.649616   5870562  0.214418   939  1.003689  0.0000 0.000437 0.000603 0.001666 -0.038437  0.009092  0.032019
WNF1 18APR20 2018.2998 58228 1997 5 -114.4   -570 -0.650133   5870562  0.213952   939  1.002507  0.0000 0.000470 0.000645 0.001813 -0.014115 -0.010065 -0.006453
WNF1 18APR21 2018.3025 58229 1997 6 -114.4   -570 -0.653223   5870562  0.214673   939  1.003430  0.0000 0.000436 0.000605 0.001677 -0.023617  0.006495  0.021851
WNF1 18APR22 2018.3053 58230 1998 0 -114.4   -570 -0.650260   5870562  0.213211   939  1.001311  0.0000 0.000435 0.000599 0.001660 -0.025140 -0.001106  0.027352
WNF1 18APR24 2018.3107 58232 1998 2 -114.4   -570 -0.656448   5870562  0.214836   939  1.006583  0.0000 0.000437 0.000603 0.001666 -0.029123  0.014770  0.046597
WNF1 18APR25 2018.3135 58233 1998 3 -114.4   -570 -0.656484   5870562  0.213748   939  1.009834  0.0000 0.000435 0.000600 0.001674 -0.033005  0.010171  0.054313
WNF1 18APR26 2018.3162 58234 1998 4 -114.4   -570 -0.658589   5870562  0.211674   939  1.008208  0.0000 0.000437 0.000600 0.001681 -0.030355  0.000712  0.040859
WNF1 18APR27 2018.3190 58235 1998 5 -114.4   -570 -0.661438   5870562  0.212040   939  1.007391  0.0000 0.000436 0.000608 0.001686 -0.033963  0.010904  0.032423
WNF1 18APR28 2018.3217 58236 1998 6 -114.4   -570 -0.663334   5870562  0.216438   939  1.010991  0.0000 0.000437 0.000603 0.001678 -0.032531  0.011047  0.038705
WNF1 18APR29 2018.3244 58237 1999 0 -114.4   -570 -0.665494   5870562  0.213896   939  1.009618  0.0000 0.000437 0.000601 0.001672 -0.035752  0.008374  0.042898
WNF1 18APR30 2018.3272 58238 1999 1 -114.4   -570 -0.663590   5870562  0.212870   939  1.004096  0.0000 0.000436 0.000599 0.001672 -0.027965  0.013005  0.046603
WNF1 18MAY01 2018.3299 58239 1999 2 -114.4   -570 -0.665715   5870562  0.215300   939  1.004274  0.0000 0.000436 0.000599 0.001676 -0.025031  0.005391  0.046079
WNF1 18MAY02 2018.3326 58240 1999 3 -114.4   -570 -0.665990   5870562  0.212960   939  1.012216  0.0000 0.000435 0.000597 0.001668 -0.037714  0.006335  0.030339
WNF1 18MAY03 2018.3354 58241 1999 4 -114.4   -570 -0.667181   5870562  0.214261   939  1.005274  0.0000 0.000442 0.000610 0.001706 -0.048988  0.003910  0.044619
WNF1 18MAY04 2018.3381 58242 1999 5 -114.4   -570 -0.668939   5870562  0.211449   939  1.007485  0.0000 0.000443 0.000611 0.001706 -0.051961  0.013768  0.057949
WNF1 18MAY05 2018.3409 58243 1999 6 -114.4   -570 -0.669290   5870562  0.212954   939  1.008082  0.0000 0.000438 0.000605 0.001678 -0.029831  0.010488  0.036242
WNF1 18MAY06 2018.3436 58244 2000 0 -114.4   -570 -0.667656   5870562  0.212847   939  1.017307  0.0000 0.000441 0.000610 0.001702 -0.017339 -0.000545  0.014589
WNF1 18MAY07 2018.3463 58245 2000 1 -114.4   -570 -0.671686   5870562  0.217445   939  1.010952  0.0000 0.000438 0.000608 0.001704 -0.032974  0.009017  0.030024
WNF1 18MAY08 2018.3491 58246 2000 2 -114.4   -570 -0.672660   5870562  0.212596   939  1.008798  0.0000 0.000433 0.000602 0.001663 -0.028974  0.015298  0.033010
WNF1 18MAY09 2018.3518 58247 2000 3 -114.4   -570 -0.676196   5870562  0.212703   939  1.006261  0.0000 0.000434 0.000603 0.001666 -0.036887  0.011653  0.032441
WNF1 18MAY10 2018.3546 58248 2000 4 -114.4   -570 -0.676118   5870562  0.215997   939  1.007325  0.0000 0.000438 0.000602 0.001669 -0.037239  0.011214  0.046737
WNF1 18MAY11 2018.3573 58249 2000 5 -114.4   -570 -0.671259   5870562  0.214995   939  1.006486  0.0000 0.000436 0.000601 0.001681 -0.015574  0.010997  0.037536
WNF1 18MAY12 2018.3600 58250 2000 6 -114.4   -570 -0.669978   5870562  0.213881   939  1.010760  0.0000 0.000434 0.000600 0.001677 -0.020060  0.011360  0.042305
WNF1 18MAY13 2018.3628 58251 2001 0 -114.4   -570 -0.672704   5870562  0.213358   939  1.016655  0.0000 0.000441 0.000611 0.001721 -0.038705  0.021679  0.043814
