site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WOKG 13MAY23 2013.3908 56435 1741 4 -118.7    481  0.543122   6158246  0.669425   707  0.106133  0.0000 0.000434 0.000612 0.001736 -0.008164  0.009480  0.094577
WOKG 13MAY24 2013.3936 56436 1741 5 -118.7    481  0.542098   6158246  0.666947   707  0.105406  0.0000 0.000440 0.000621 0.001774  0.019397 -0.018975  0.058457
WOKG 13MAY25 2013.3963 56437 1741 6 -118.7    481  0.544491   6158246  0.666202   707  0.113607  0.0000 0.000455 0.000642 0.001857  0.022711 -0.006361  0.062019
WOKG 13MAY26 2013.3990 56438 1742 0 -118.7    481  0.541067   6158246  0.666268   707  0.105797  0.0000 0.000440 0.000622 0.001768  0.007668  0.008551  0.081942
WOKG 13MAY27 2013.4018 56439 1742 1 -118.7    481  0.539478   6158246  0.666736   707  0.104800  0.0000 0.000432 0.000612 0.001735  0.008191  0.000696  0.118301
WOKG 13MAY28 2013.4045 56440 1742 2 -118.7    481  0.539693   6158246  0.666306   707  0.108011  0.0000 0.000433 0.000613 0.001736 -0.009938  0.013135  0.118986
WOKG 13MAY29 2013.4073 56441 1742 3 -118.7    481  0.540969   6158246  0.666495   707  0.105273  0.0000 0.000432 0.000605 0.001718 -0.009688  0.004598  0.125828
WOKG 13MAY30 2013.4100 56442 1742 4 -118.7    481  0.542553   6158246  0.666355   707  0.108161  0.0000 0.000430 0.000603 0.001714 -0.004555  0.011856  0.134502
WOKG 13MAY31 2013.4127 56443 1742 5 -118.7    481  0.540637   6158246  0.667654   707  0.107851  0.0000 0.000433 0.000606 0.001722 -0.004673  0.010409  0.121623
WOKG 13JUN01 2013.4155 56444 1742 6 -118.7    481  0.542154   6158246  0.664964   707  0.109106  0.0000 0.000514 0.000718 0.002018  0.034045  0.001235  0.072535
WOKG 13JUN02 2013.4182 56445 1743 0 -118.7    481  0.544709   6158246  0.663046   707  0.109072  0.0000 0.000436 0.000617 0.001754 -0.003405  0.002466  0.083178
WOKG 13JUN03 2013.4209 56446 1743 1 -118.7    481  0.540742   6158246  0.666975   707  0.100587  0.0000 0.000433 0.000610 0.001728 -0.006450 -0.006533  0.112775
WOKG 13JUN04 2013.4237 56447 1743 2 -118.7    481  0.540101   6158246  0.666276   707  0.102867  0.0000 0.000436 0.000610 0.001734 -0.007156  0.018117  0.121310
WOKG 13JUN05 2013.4264 56448 1743 3 -118.7    481  0.540435   6158246  0.664692   707  0.110312  0.0000 0.000436 0.000604 0.001731 -0.000332  0.021207  0.124506
WOKG 13JUN06 2013.4292 56449 1743 4 -118.7    481  0.540917   6158246  0.665413   707  0.107392  0.0000 0.000446 0.000630 0.001780  0.045100 -0.021428  0.057423
WOKG 13JUN07 2013.4319 56450 1743 5 -118.7    481  0.544247   6158246  0.665612   707  0.113449  0.0000 0.000482 0.000699 0.001962  0.044811  0.005211  0.043137
