site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AAUC 99JUN06 1999.4278 51335 1013 0   10.0   -773 -0.750816   6321453  0.039634    60  0.310617  0.0000 0.000555 0.000805 0.002320  0.027030 -0.015446  0.057523
AAUC 99JUN07 1999.4305 51336 1013 1   10.0   -773 -0.751712   6321453  0.038613    60  0.306846  0.0000 0.000566 0.000807 0.002384 -0.003898 -0.013965  0.059517
AAUC 99JUN08 1999.4333 51337 1013 2   10.0   -773 -0.753388   6321453  0.037667    60  0.307065  0.0000 0.000555 0.000802 0.002309  0.020587 -0.012008  0.036093
AAUC 99JUN10 1999.4387 51339 1013 4   10.0   -773 -0.751139   6321453  0.036393    60  0.298258  0.0000 0.000551 0.000795 0.002293  0.028939 -0.000267  0.061588
AAUC 99JUN11 1999.4415 51340 1013 5   10.0   -773 -0.750486   6321453  0.038080    60  0.299869  0.0000 0.000573 0.000806 0.002363  0.038986 -0.020354  0.047772
AAUC 99JUN12 1999.4442 51341 1013 6   10.0   -773 -0.749212   6321453  0.038058    60  0.306981  0.0000 0.000558 0.000801 0.002306  0.037469 -0.026614  0.022136
AAUC 99JUN13 1999.4470 51342 1014 0   10.0   -773 -0.752898   6321453  0.037436    60  0.302611  0.0000 0.000561 0.000803 0.002348  0.010923 -0.017208  0.049856
AAUC 99JUN14 1999.4497 51343 1014 1   10.0   -773 -0.751824   6321453  0.037418    60  0.306579  0.0000 0.000582 0.000831 0.002419  0.020917 -0.001390  0.019677
AAUC 99JUN15 1999.4524 51344 1014 2   10.0   -773 -0.752345   6321453  0.035607    60  0.308053  0.0000 0.000554 0.000802 0.002310  0.029527 -0.018101  0.037288
AAUC 99JUN16 1999.4552 51345 1014 3   10.0   -773 -0.750458   6321453  0.039239    60  0.307384  0.0000 0.000556 0.000802 0.002310  0.005197  0.003495  0.064999
AAUC 99JUN17 1999.4579 51346 1014 4   10.0   -773 -0.753476   6321453  0.038085    60  0.305020  0.0000 0.000564 0.000800 0.002329  0.017180 -0.010439  0.071046
AAUC 99JUN18 1999.4606 51347 1014 5   10.0   -773 -0.748760   6321453  0.037869    60  0.305873  0.0000 0.000556 0.000803 0.002317  0.026247 -0.014919  0.043414
AAUC 99JUN19 1999.4634 51348 1014 6   10.0   -773 -0.750204   6321453  0.037636    60  0.308431  0.0000 0.000563 0.000805 0.002334  0.005592  0.000366  0.044622
AAUC 99JUN20 1999.4661 51349 1015 0   10.0   -773 -0.748816   6321453  0.035746    60  0.310127  0.0000 0.000554 0.000799 0.002294  0.022925  0.003716  0.038769
AAUC 99JUN21 1999.4689 51350 1015 1   10.0   -773 -0.750705   6321453  0.038547    60  0.304577  0.0000 0.000554 0.000803 0.002299  0.015856  0.000813  0.046698
AAUC 99JUN22 1999.4716 51351 1015 2   10.0   -773 -0.750462   6321453  0.037011    60  0.304269  0.0000 0.000563 0.000811 0.002360  0.045566  0.021023  0.085209
AAUC 99JUN23 1999.4743 51352 1015 3   10.0   -773 -0.748446   6321453  0.040474    60  0.301451  0.0000 0.000548 0.000792 0.002259  0.031892  0.004897  0.047375
AAUC 99JUN24 1999.4771 51353 1015 4   10.0   -773 -0.750454   6321453  0.039480    60  0.305353  0.0000 0.000552 0.000805 0.002295  0.028589  0.000186  0.046287
AAUC 99JUN25 1999.4798 51354 1015 5   10.0   -773 -0.750932   6321453  0.039406    60  0.307281  0.0000 0.000565 0.000824 0.002392  0.001193 -0.015495  0.050585
AAUC 99JUN26 1999.4825 51355 1015 6   10.0   -773 -0.747836   6321453  0.038726    60  0.296622  0.0000 0.000567 0.000817 0.002389 -0.006944 -0.008529  0.062059
AAUC 99JUN27 1999.4853 51356 1016 0   10.0   -773 -0.748587   6321453  0.036377    60  0.300131  0.0000 0.000568 0.000816 0.002363  0.029667 -0.018976  0.052080
AAUC 99JUN28 1999.4880 51357 1016 1   10.0   -773 -0.748797   6321453  0.038130    60  0.306079  0.0000 0.000567 0.000823 0.002404 -0.001722 -0.013973  0.084436
AAUC 99JUN29 1999.4908 51358 1016 2   10.0   -773 -0.750466   6321453  0.037708    60  0.294054  0.0000 0.000602 0.000841 0.002594 -0.013298 -0.025042  0.088306
AAUC 99JUN30 1999.4935 51359 1016 3   10.0   -773 -0.751808   6321453  0.035441    60  0.296790  0.0000 0.000552 0.000802 0.002281  0.036380 -0.010100  0.036725
AAUC 99JUL01 1999.4962 51360 1016 4   10.0   -773 -0.751670   6321453  0.037957    60  0.305963  0.0000 0.000587 0.000822 0.002477  0.014409 -0.007913  0.063739
AAUC 99JUL02 1999.4990 51361 1016 5   10.0   -773 -0.748858   6321453  0.037613    60  0.300153  0.0000 0.000566 0.000816 0.002368  0.020279 -0.000200  0.073578
AAUC 99JUL03 1999.5017 51362 1016 6   10.0   -773 -0.747509   6321453  0.038958    60  0.302338  0.0000 0.000565 0.000809 0.002351  0.036911 -0.007042  0.056070
AAUC 99JUL04 1999.5044 51363 1017 0   10.0   -773 -0.748468   6321453  0.037735    60  0.310582  0.0000 0.000557 0.000810 0.002308  0.028046 -0.003482  0.039775
AAUC 99JUL05 1999.5072 51364 1017 1   10.0   -773 -0.750289   6321453  0.037935    60  0.307517  0.0000 0.000553 0.000804 0.002295  0.029575 -0.004210  0.043693
AAUC 99JUL06 1999.5099 51365 1017 2   10.0   -773 -0.749147   6321453  0.037420    60  0.307313  0.0000 0.000566 0.000812 0.002365  0.027525 -0.018530  0.042093
AAUC 99JUL07 1999.5127 51366 1017 3   10.0   -773 -0.748079   6321453  0.039240    60  0.309412  0.0000 0.000584 0.000835 0.002460  0.007010  0.000689  0.077727
AAUC 99JUL08 1999.5154 51367 1017 4   10.0   -773 -0.748600   6321453  0.037158    60  0.303672  0.0000 0.000559 0.000813 0.002354  0.001815 -0.013444  0.078570
AAUC 99JUL09 1999.5181 51368 1017 5   10.0   -773 -0.747229   6321453  0.037813    60  0.311381  0.0000 0.000566 0.000815 0.002364  0.021083 -0.008382  0.064394
AAUC 99JUL10 1999.5209 51369 1017 6   10.0   -773 -0.747768   6321453  0.037646    60  0.310344  0.0000 0.000562 0.000816 0.002348  0.020111 -0.007681  0.064183
AAUC 99JUL11 1999.5236 51370 1018 0   10.0   -773 -0.749269   6321453  0.037688    60  0.315134  0.0000 0.000564 0.000806 0.002336  0.028127 -0.002616  0.067570
AAUC 99JUL12 1999.5264 51371 1018 1   10.0   -773 -0.750313   6321453  0.037650    60  0.311141  0.0000 0.000560 0.000806 0.002314  0.028620 -0.009668  0.057093
