site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AHTI 09JUN11 2009.4428 54993 1535 4  178.0   4017  0.869820  -4253168 -0.844792   563  0.234125  0.0020 0.000505 0.000576 0.001787 -0.044540 -0.018240  0.129409
AHTI 09JUN12 2009.4456 54994 1535 5  178.0   4017  0.865210  -4253168 -0.844708   563  0.234099  0.0020 0.000507 0.000577 0.001796 -0.044053 -0.011074  0.144510
AHTI 09JUN13 2009.4483 54995 1535 6  178.0   4017  0.867306  -4253168 -0.846744   563  0.236406  0.0020 0.000508 0.000576 0.001798 -0.042000 -0.002573  0.124301
AHTI 09JUN14 2009.4511 54996 1536 0  178.0   4017  0.866616  -4253168 -0.846041   563  0.228818  0.0020 0.000509 0.000576 0.001790 -0.037042 -0.003361  0.128530
AHTI 09JUN15 2009.4538 54997 1536 1  178.0   4017  0.867814  -4253168 -0.847553   563  0.235008  0.0020 0.000510 0.000579 0.001798 -0.044528  0.003456  0.128845
AHTI 09JUN16 2009.4565 54998 1536 2  178.0   4017  0.865125  -4253168 -0.847229   563  0.224744  0.0020 0.000509 0.000579 0.001799 -0.043187  0.002266  0.137842
AHTI 09JUN17 2009.4593 54999 1536 3  178.0   4017  0.864511  -4253168 -0.845771   563  0.218382  0.0020 0.000506 0.000582 0.001795 -0.049943 -0.000204  0.130123
AHTI 09JUN18 2009.4620 55000 1536 4  178.0   4017  0.867007  -4253168 -0.848549   563  0.222701  0.0020 0.000503 0.000578 0.001794 -0.043217  0.009345  0.128593
AHTI 09JUN19 2009.4648 55001 1536 5  178.0   4017  0.865508  -4253168 -0.844875   563  0.229146  0.0020 0.000513 0.000588 0.001825 -0.052997 -0.019682  0.141893
AHTI 09JUN20 2009.4675 55002 1536 6  178.0   4017  0.864971  -4253168 -0.844592   563  0.221625  0.0020 0.000513 0.000591 0.001814 -0.039624 -0.003298  0.144843
AHTI 09JUN21 2009.4702 55003 1537 0  178.0   4017  0.868084  -4253168 -0.847658   563  0.222808  0.0020 0.000505 0.000581 0.001787 -0.043774 -0.000911  0.136963
AHTI 09JUN22 2009.4730 55004 1537 1  178.0   4017  0.868006  -4253168 -0.844906   563  0.224346  0.0020 0.000505 0.000583 0.001786 -0.043640 -0.006250  0.136056
AHTI 09JUN23 2009.4757 55005 1537 2  178.0   4017  0.869078  -4253168 -0.846687   563  0.222621  0.0020 0.000500 0.000581 0.001773 -0.042470  0.003192  0.130195
AHTI 09JUN24 2009.4784 55006 1537 3  178.0   4017  0.868889  -4253168 -0.845326   563  0.231004  0.0020 0.000498 0.000580 0.001773 -0.040085 -0.000948  0.130766
AHTI 09JUN25 2009.4812 55007 1537 4  178.0   4017  0.872377  -4253168 -0.844922   563  0.234499  0.0020 0.000502 0.000583 0.001783 -0.037802  0.003824  0.141805
AHTI 09JUN26 2009.4839 55008 1537 5  178.0   4017  0.870048  -4253168 -0.844927   563  0.245271  0.0020 0.000503 0.000582 0.001778 -0.037173  0.000370  0.143123
AHTI 09JUN27 2009.4867 55009 1537 6  178.0   4017  0.868656  -4253168 -0.846505   563  0.234413  0.0020 0.000505 0.000584 0.001785 -0.039306 -0.011322  0.144782
AHTI 09JUN28 2009.4894 55010 1538 0  178.0   4017  0.869100  -4253168 -0.845225   563  0.227286  0.0020 0.000514 0.000591 0.001808 -0.027505  0.016710  0.114385
AHTI 09JUN29 2009.4921 55011 1538 1  178.0   4017  0.868019  -4253168 -0.845832   563  0.223454  0.0020 0.000502 0.000585 0.001786 -0.035514  0.009099  0.134355
AHTI 09JUN30 2009.4949 55012 1538 2  178.0   4017  0.869309  -4253168 -0.846473   563  0.222299  0.0020 0.000502 0.000584 0.001786 -0.028573  0.002155  0.140455
AHTI 09JUL01 2009.4976 55013 1538 3  178.0   4017  0.868946  -4253168 -0.844796   563  0.223495  0.0020 0.000504 0.000579 0.001789 -0.037060  0.001154  0.141192
AHTI 09JUL02 2009.5003 55014 1538 4  178.0   4017  0.867700  -4253168 -0.845337   563  0.226501  0.0020 0.000503 0.000582 0.001787 -0.039794 -0.011467  0.129876
AHTI 09JUL03 2009.5031 55015 1538 5  178.0   4017  0.870668  -4253168 -0.845755   563  0.228749  0.0020 0.000502 0.000577 0.001776 -0.032799  0.001093  0.130757
AHTI 09JUL04 2009.5058 55016 1538 6  178.0   4017  0.868991  -4253168 -0.845105   563  0.223734  0.0020 0.000505 0.000579 0.001782 -0.031129 -0.002624  0.133090
AHTI 09JUL05 2009.5086 55017 1539 0  178.0   4017  0.869307  -4253168 -0.846135   563  0.223064  0.0020 0.000503 0.000582 0.001799 -0.037737  0.003625  0.137173
AHTI 09JUL06 2009.5113 55018 1539 1  178.0   4017  0.869193  -4253168 -0.846446   563  0.225139  0.0020 0.000500 0.000580 0.001779 -0.037976 -0.007362  0.135129
AHTI 09JUL07 2009.5140 55019 1539 2  178.0   4017  0.868569  -4253168 -0.846041   563  0.230772  0.0020 0.000502 0.000579 0.001788 -0.032149  0.004738  0.140500
AHTI 09JUL08 2009.5168 55020 1539 3  178.0   4017  0.866937  -4253168 -0.846198   563  0.220227  0.0020 0.000503 0.000579 0.001788 -0.035028  0.002799  0.142834
AHTI 09JUL09 2009.5195 55021 1539 4  178.0   4017  0.868619  -4253168 -0.846028   563  0.227093  0.0020 0.000502 0.000579 0.001786 -0.031224  0.005880  0.145140
AHTI 09JUL10 2009.5222 55022 1539 5  178.0   4017  0.868505  -4253168 -0.845508   563  0.233138  0.0020 0.000504 0.000580 0.001795 -0.029475  0.009032  0.145654
AHTI 09JUL11 2009.5250 55023 1539 6  178.0   4017  0.868082  -4253168 -0.845372   563  0.234449  0.0020 0.000501 0.000581 0.001794 -0.033351  0.005250  0.135170
AHTI 09JUL12 2009.5277 55024 1540 0  178.0   4017  0.869104  -4253168 -0.844602   563  0.230277  0.0020 0.000501 0.000579 0.001791 -0.041877 -0.004661  0.140104
AHTI 09JUL13 2009.5305 55025 1540 1  178.0   4017  0.868005  -4253168 -0.847807   563  0.225819  0.0020 0.000501 0.000580 0.001797 -0.032139 -0.002201  0.142082
AHTI 09JUL14 2009.5332 55026 1540 2  178.0   4017  0.868945  -4253168 -0.847207   563  0.232154  0.0020 0.000503 0.000581 0.001800 -0.042835 -0.007389  0.139857
AHTI 09JUL15 2009.5359 55027 1540 3  178.0   4017  0.868543  -4253168 -0.845722   563  0.233667  0.0020 0.000503 0.000578 0.001792 -0.034118 -0.003024  0.139054
AHTI 09JUL16 2009.5387 55028 1540 4  178.0   4017  0.868660  -4253168 -0.845143   563  0.225371  0.0020 0.000503 0.000581 0.001795 -0.029636 -0.005886  0.136791
AHTI 09JUL17 2009.5414 55029 1540 5  178.0   4017  0.867302  -4253168 -0.846128   563  0.233532  0.0020 0.000502 0.000580 0.001786 -0.028430  0.000430  0.130372
AHTI 09JUL18 2009.5441 55030 1540 6  178.0   4017  0.867864  -4253168 -0.843830   563  0.229231  0.0020 0.000501 0.000576 0.001789 -0.033456  0.012277  0.140671
AHTI 09JUL19 2009.5469 55031 1541 0  178.0   4017  0.870167  -4253168 -0.846005   563  0.226713  0.0020 0.000503 0.000582 0.001799 -0.035441  0.000193  0.129524
AHTI 09JUL20 2009.5496 55032 1541 1  178.0   4017  0.867814  -4253168 -0.843889   563  0.231915  0.0020 0.000501 0.000575 0.001779 -0.040924 -0.009636  0.144492
AHTI 09JUL21 2009.5524 55033 1541 2  178.0   4017  0.868042  -4253168 -0.845722   563  0.232505  0.0020 0.000502 0.000576 0.001787 -0.036511 -0.008675  0.146002
