site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ARA1 09JAN01 2009.0021 54832 1512 4   -3.6  -1068 -0.619519   4432337  0.269433   580  0.886080  0.0000 0.000481 0.000590 0.001744 -0.000182 -0.018113 -0.181930
ARA1 09JAN02 2009.0048 54833 1512 5   -3.6  -1068 -0.618650   4432337  0.269138   580  0.887647  0.0000 0.000491 0.000603 0.001779  0.025353 -0.040872 -0.132794
ARA1 09JAN03 2009.0075 54834 1512 6   -3.6  -1068 -0.618612   4432337  0.270420   580  0.885734  0.0000 0.000481 0.000592 0.001743  0.015022 -0.031725 -0.143268
ARA1 09JAN04 2009.0103 54835 1513 0   -3.6  -1068 -0.617840   4432337  0.270957   580  0.880870  0.0000 0.000489 0.000593 0.001760  0.036893 -0.027821 -0.154406
ARA1 09JAN05 2009.0130 54836 1513 1   -3.6  -1068 -0.617170   4432337  0.270618   580  0.882857  0.0000 0.000481 0.000585 0.001735  0.021019 -0.035444 -0.171939
ARA1 09JAN06 2009.0157 54837 1513 2   -3.6  -1068 -0.618460   4432337  0.270836   580  0.883491  0.0000 0.000486 0.000590 0.001757  0.025932 -0.039411 -0.159886
ARA1 09JAN07 2009.0185 54838 1513 3   -3.6  -1068 -0.618753   4432337  0.271731   580  0.879952  0.0000 0.000487 0.000587 0.001762  0.018985 -0.017792 -0.146634
ARA1 09JAN08 2009.0212 54839 1513 4   -3.6  -1068 -0.618268   4432337  0.271791   580  0.877529  0.0000 0.000494 0.000594 0.001815 -0.008683  0.008115 -0.146191
ARA1 09JAN09 2009.0240 54840 1513 5   -3.6  -1068 -0.616802   4432337  0.271350   580  0.876501  0.0000 0.000494 0.000591 0.001796 -0.000368 -0.010296 -0.146353
ARA1 09JAN10 2009.0267 54841 1513 6   -3.6  -1068 -0.616013   4432337  0.270872   580  0.876880  0.0000 0.000489 0.000593 0.001784  0.022813 -0.026307 -0.154710
ARA1 09JAN11 2009.0294 54842 1514 0   -3.6  -1068 -0.617529   4432337  0.273200   580  0.879311  0.0000 0.000485 0.000591 0.001772  0.026550 -0.023215 -0.152703
ARA1 09JAN12 2009.0322 54843 1514 1   -3.6  -1068 -0.617703   4432337  0.273602   580  0.884826  0.0000 0.000484 0.000585 0.001758  0.011777 -0.036550 -0.143030
ARA1 09JAN15 2009.0404 54846 1514 4   -3.6  -1068 -0.617693   4432337  0.271788   580  0.883675  0.0000 0.000497 0.000600 0.001814  0.053369 -0.057792 -0.162564
ARA1 09JAN16 2009.0431 54847 1514 5   -3.6  -1068 -0.618559   4432337  0.273063   580  0.883635  0.0000 0.000482 0.000593 0.001748  0.032964 -0.038803 -0.162683
ARA1 09JAN17 2009.0459 54848 1514 6   -3.6  -1068 -0.619513   4432337  0.273107   580  0.888435  0.0000 0.000485 0.000587 0.001755  0.025460 -0.037627 -0.138157
ARA1 09JAN18 2009.0486 54849 1515 0   -3.6  -1068 -0.618396   4432337  0.273029   580  0.890430  0.0000 0.000486 0.000592 0.001763  0.016094 -0.038487 -0.149375
ARA1 09JAN21 2009.0568 54852 1515 3   -3.6  -1068 -0.619315   4432337  0.271645   580  0.882417  0.0000 0.000483 0.000587 0.001748  0.014380 -0.026601 -0.148399
ARA1 09JAN22 2009.0595 54853 1515 4   -3.6  -1068 -0.619391   4432337  0.270250   580  0.891212  0.0000 0.000489 0.000592 0.001782  0.034720 -0.041569 -0.153466
ARA1 09JAN23 2009.0623 54854 1515 5   -3.6  -1068 -0.619370   4432337  0.268443   580  0.895167  0.0000 0.000485 0.000595 0.001781  0.023000 -0.038913 -0.151008
ARA1 09JAN24 2009.0650 54855 1515 6   -3.6  -1068 -0.621269   4432337  0.272210   580  0.889072  0.0000 0.000483 0.000590 0.001745  0.021913 -0.024918 -0.145426
ARA1 09JAN25 2009.0678 54856 1516 0   -3.6  -1068 -0.619278   4432337  0.272379   580  0.886668  0.0000 0.000483 0.000588 0.001743  0.020654 -0.032040 -0.137669
ARA1 09JAN26 2009.0705 54857 1516 1   -3.6  -1068 -0.617984   4432337  0.273877   580  0.881824  0.0000 0.000485 0.000591 0.001752  0.025016 -0.015098 -0.131556
ARA1 09JAN27 2009.0732 54858 1516 2   -3.6  -1068 -0.616384   4432337  0.271287   580  0.882255  0.0000 0.000486 0.000590 0.001758  0.032645 -0.030743 -0.138028
ARA1 09JAN28 2009.0760 54859 1516 3   -3.6  -1068 -0.617561   4432337  0.271334   580  0.885364  0.0000 0.000484 0.000589 0.001773  0.027883 -0.045716 -0.163679
ARA1 09FEB07 2009.1034 54869 1517 6   -3.6  -1068 -0.619344   4432337  0.274941   580  0.877689  0.0000 0.000501 0.000619 0.001887  0.008937 -0.018804 -0.133025
ARA1 09FEB08 2009.1061 54870 1518 0   -3.6  -1068 -0.618074   4432337  0.271783   580  0.874982  0.0000 0.000501 0.000619 0.001878 -0.004530 -0.059806 -0.091998
