site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AREV 11NOV07 2011.8494 55872 1661 1  -71.5    769  0.220921  -1821157 -0.795828  2488  0.915936  0.0610 0.001047 0.000864 0.003400 -0.045448 -0.111888  0.031181
AREV 11NOV08 2011.8522 55873 1661 2  -71.5    769  0.219136  -1821157 -0.795472  2488  0.920322  0.0610 0.000599 0.000511 0.001950 -0.010604  0.029982  0.041738
AREV 11NOV09 2011.8549 55874 1661 3  -71.5    769  0.219643  -1821157 -0.797575  2488  0.928892  0.0610 0.000653 0.000557 0.002089  0.012961 -0.029591  0.026120
AREV 11NOV12 2011.8631 55877 1661 6  -71.5    769  0.217703  -1821157 -0.795309  2488  0.926715  0.0610 0.000607 0.000518 0.002008 -0.018612 -0.019343  0.030449
AREV 11NOV13 2011.8658 55878 1662 0  -71.5    769  0.218540  -1821157 -0.798421  2488  0.920515  0.0610 0.000599 0.000509 0.002013 -0.023173  0.005764  0.064396
AREV 11NOV14 2011.8686 55879 1662 1  -71.5    769  0.218720  -1821157 -0.797241  2488  0.920211  0.0610 0.000593 0.000515 0.001952 -0.019546 -0.055070  0.007650
AREV 11NOV15 2011.8713 55880 1662 2  -71.5    769  0.213966  -1821157 -0.796336  2488  0.913246  0.0610 0.000602 0.000502 0.001994 -0.028039 -0.017439  0.061323
AREV 11NOV16 2011.8741 55881 1662 3  -71.5    769  0.216438  -1821157 -0.794453  2488  0.913960  0.0610 0.000643 0.000537 0.002098 -0.036472 -0.017896  0.050018
AREV 11NOV17 2011.8768 55882 1662 4  -71.5    769  0.218436  -1821157 -0.794498  2488  0.926807  0.0610 0.000589 0.000511 0.001938 -0.034361  0.001944  0.050485
AREV 11NOV18 2011.8795 55883 1662 5  -71.5    769  0.220295  -1821157 -0.790629  2488  0.925471  0.0610 0.000637 0.000522 0.002057 -0.039706 -0.096872  0.092413
AREV 11NOV19 2011.8823 55884 1662 6  -71.5    769  0.218080  -1821157 -0.791626  2488  0.919508  0.0610 0.000570 0.000487 0.001922 -0.008399  0.000096  0.053295
AREV 11NOV20 2011.8850 55885 1663 0  -71.5    769  0.217911  -1821157 -0.792509  2488  0.913854  0.0610 0.000539 0.000460 0.001799 -0.051179 -0.030049  0.045987
AREV 11NOV21 2011.8877 55886 1663 1  -71.5    769  0.217609  -1821157 -0.792136  2488  0.913498  0.0610 0.000588 0.000488 0.001981 -0.023759  0.006693  0.067334
AREV 11NOV22 2011.8905 55887 1663 2  -71.5    769  0.217432  -1821157 -0.793370  2488  0.923814  0.0610 0.000580 0.000493 0.001937 -0.027671 -0.042104  0.044346
AREV 11NOV23 2011.8932 55888 1663 3  -71.5    769  0.219127  -1821157 -0.794479  2488  0.915028  0.0610 0.000589 0.000480 0.001961 -0.047235 -0.083620  0.058164
AREV 11NOV24 2011.8960 55889 1663 4  -71.5    769  0.218977  -1821157 -0.794054  2488  0.919059  0.0610 0.000540 0.000464 0.001819 -0.038793 -0.058956  0.043196
AREV 11NOV25 2011.8987 55890 1663 5  -71.5    769  0.215556  -1821157 -0.798010  2488  0.921086  0.0610 0.000555 0.000483 0.001918 -0.037234 -0.033876  0.035159
