site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ATTL 06OCT17 2006.7926 54025 1397 2    1.0   -805 -0.600208   5820852  0.112611    81  0.484090  0.0000 0.000486 0.000651 0.001846  0.043599 -0.000950 -0.001035
ATTL 06OCT18 2006.7953 54026 1397 3    1.0   -805 -0.598629   5820852  0.113454    81  0.485238  0.0000 0.000479 0.000640 0.001822  0.036569  0.001572  0.040552
ATTL 06OCT19 2006.7981 54027 1397 4    1.0   -805 -0.599342   5820852  0.112381    81  0.487345  0.0000 0.000479 0.000644 0.001823  0.031693  0.025178  0.045504
ATTL 06OCT20 2006.8008 54028 1397 5    1.0   -805 -0.598593   5820852  0.114431    81  0.477897  0.0000 0.000490 0.000666 0.001872  0.005836  0.038529  0.069573
ATTL 06OCT21 2006.8036 54029 1397 6    1.0   -805 -0.597713   5820852  0.114479    81  0.482725  0.0000 0.000475 0.000637 0.001798  0.033071  0.027267  0.038958
ATTL 06OCT22 2006.8063 54030 1398 0    1.0   -805 -0.599763   5820852  0.110409    81  0.480018  0.0000 0.000478 0.000638 0.001795  0.051804 -0.000910  0.011812
ATTL 06OCT23 2006.8090 54031 1398 1    1.0   -805 -0.599256   5820852  0.111049    81  0.483277  0.0000 0.000480 0.000645 0.001798  0.029815  0.014348  0.030218
ATTL 06OCT24 2006.8118 54032 1398 2    1.0   -805 -0.600006   5820852  0.113972    81  0.474911  0.0000 0.000492 0.000648 0.001881  0.023064  0.009092  0.037938
ATTL 06OCT25 2006.8145 54033 1398 3    1.0   -805 -0.600962   5820852  0.113951    81  0.485954  0.0000 0.000494 0.000674 0.001908 -0.005944  0.023290  0.064161
ATTL 06OCT26 2006.8172 54034 1398 4    1.0   -805 -0.600101   5820852  0.111625    81  0.487104  0.0000 0.000648 0.000859 0.002456 -0.023064  0.005090  0.038440
ATTL 06NOV08 2006.8528 54047 1400 3    1.0   -805 -0.601411   5820852  0.112656    81  0.474566  0.0000 0.000669 0.000896 0.002532  0.002390  0.006727  0.104469
ATTL 06NOV09 2006.8556 54048 1400 4    1.0   -805 -0.597445   5820852  0.115709    81  0.471898  0.0000 0.000493 0.000655 0.001894 -0.011801  0.004328  0.052321
ATTL 06NOV10 2006.8583 54049 1400 5    1.0   -805 -0.597846   5820852  0.113523    81  0.489296  0.0000 0.000486 0.000645 0.001869  0.013988  0.019472  0.058660
ATTL 06NOV11 2006.8611 54050 1400 6    1.0   -805 -0.596841   5820852  0.116655    81  0.472607  0.0000 0.000482 0.000653 0.001847  0.004272  0.004726  0.062115
ATTL 06NOV12 2006.8638 54051 1401 0    1.0   -805 -0.595405   5820852  0.112779    81  0.482091  0.0000 0.000494 0.000655 0.001945  0.024287 -0.004746  0.076431
ATTL 06NOV13 2006.8665 54052 1401 1    1.0   -805 -0.597766   5820852  0.113885    81  0.483699  0.0000 0.000500 0.000674 0.001940  0.018922  0.002458  0.057376
ATTL 06NOV14 2006.8693 54053 1401 2    1.0   -805 -0.597013   5820852  0.112532    81  0.477815  0.0000 0.000471 0.000646 0.001797  0.025031  0.015051  0.055286
ATTL 06NOV15 2006.8720 54054 1401 3    1.0   -805 -0.596268   5820852  0.113991    81  0.479349  0.0000 0.000473 0.000654 0.001819  0.031380  0.011345  0.036255
ATTL 06NOV16 2006.8747 54055 1401 4    1.0   -805 -0.599497   5820852  0.114847    81  0.478090  0.0000 0.000464 0.000639 0.001766  0.024295 -0.020135  0.059512
ATTL 06NOV17 2006.8775 54056 1401 5    1.0   -805 -0.598239   5820852  0.114519    81  0.477368  0.0000 0.000467 0.000641 0.001792  0.022070 -0.002781  0.068078
ATTL 06NOV18 2006.8802 54057 1401 6    1.0   -805 -0.596601   5820852  0.114305    81  0.473761  0.0000 0.000472 0.000640 0.001801  0.029732  0.007967  0.052294
ATTL 06NOV19 2006.8830 54058 1402 0    1.0   -805 -0.597332   5820852  0.114163    81  0.468864  0.0000 0.000495 0.000702 0.001924  0.020914 -0.016157  0.054500
ATTL 06NOV20 2006.8857 54059 1402 1    1.0   -805 -0.596056   5820852  0.114334    81  0.473415  0.0000 0.000467 0.000634 0.001776  0.024930 -0.003217  0.046883
ATTL 06NOV21 2006.8884 54060 1402 2    1.0   -805 -0.595538   5820852  0.114818    81  0.471092  0.0000 0.000466 0.000637 0.001780  0.031147 -0.018748  0.047313
ATTL 06NOV22 2006.8912 54061 1402 3    1.0   -805 -0.597327   5820852  0.115486    81  0.483071  0.0000 0.000467 0.000640 0.001785  0.028842 -0.022408  0.058233
ATTL 06NOV23 2006.8939 54062 1402 4    1.0   -805 -0.598231   5820852  0.115182    81  0.481990  0.0000 0.000476 0.000644 0.001818  0.007237 -0.007489  0.062712
ATTL 06NOV24 2006.8966 54063 1402 5    1.0   -805 -0.597665   5820852  0.114320    81  0.480201  0.0000 0.000489 0.000673 0.001881  0.012237 -0.019582  0.077451
ATTL 06NOV25 2006.8994 54064 1402 6    1.0   -805 -0.597506   5820852  0.112480    81  0.478936  0.0000 0.000573 0.000764 0.002202  0.038345  0.004648  0.048055
ATTL 06NOV26 2006.9021 54065 1403 0    1.0   -805 -0.597674   5820852  0.113176    81  0.480087  0.0000 0.000469 0.000642 0.001795  0.021436  0.004992  0.052412
ATTL 06NOV27 2006.9049 54066 1403 1    1.0   -805 -0.598227   5820852  0.113824    81  0.485215  0.0000 0.000478 0.000652 0.001816  0.025081 -0.003390  0.028863
ATTL 06NOV28 2006.9076 54067 1403 2    1.0   -805 -0.598334   5820852  0.115284    81  0.475632  0.0000 0.000469 0.000636 0.001792  0.014665 -0.014580  0.051143
ATTL 06NOV29 2006.9103 54068 1403 3    1.0   -805 -0.597935   5820852  0.113452    81  0.472379  0.0000 0.000468 0.000641 0.001790  0.014257 -0.009376  0.060752
ATTL 06NOV30 2006.9131 54069 1403 4    1.0   -805 -0.596724   5820852  0.113561    81  0.481791  0.0000 0.000466 0.000640 0.001788  0.013205 -0.000807  0.070780
ATTL 06DEC01 2006.9158 54070 1403 5    1.0   -805 -0.596853   5820852  0.114333    81  0.485196  0.0000 0.000469 0.000634 0.001782  0.016467  0.005107  0.057580
ATTL 06DEC02 2006.9185 54071 1403 6    1.0   -805 -0.596161   5820852  0.114397    81  0.479516  0.0000 0.000467 0.000642 0.001786  0.028473 -0.006740  0.043039
ATTL 06DEC03 2006.9213 54072 1404 0    1.0   -805 -0.596784   5820852  0.112296    81  0.487275  0.0000 0.000468 0.000637 0.001785  0.024857 -0.007836  0.056121
ATTL 06DEC04 2006.9240 54073 1404 1    1.0   -805 -0.596417   5820852  0.113196    81  0.478076  0.0000 0.000473 0.000644 0.001813  0.018317 -0.008710  0.050181
ATTL 06DEC05 2006.9268 54074 1404 2    1.0   -805 -0.596339   5820852  0.113061    81  0.489030  0.0000 0.000476 0.000649 0.001831  0.024054 -0.008039  0.037781
ATTL 06DEC06 2006.9295 54075 1404 3    1.0   -805 -0.596348   5820852  0.113741    81  0.478418  0.0000 0.000472 0.000644 0.001818  0.029039 -0.012010  0.023503
ATTL 06DEC07 2006.9322 54076 1404 4    1.0   -805 -0.597627   5820852  0.111574    81  0.489298  0.0000 0.000472 0.000644 0.001804  0.033869  0.005335  0.027488
ATTL 06DEC08 2006.9350 54077 1404 5    1.0   -805 -0.596369   5820852  0.114504    81  0.479128  0.0000 0.000477 0.000661 0.001835  0.040552  0.006415  0.046881
ATTL 06DEC09 2006.9377 54078 1404 6    1.0   -805 -0.596640   5820852  0.114399    81  0.470683  0.0000 0.000471 0.000643 0.001805  0.023669 -0.006797  0.031965
ATTL 06DEC10 2006.9405 54079 1405 0    1.0   -805 -0.594937   5820852  0.112502    81  0.487042  0.0000 0.000473 0.000645 0.001817  0.031912  0.004354  0.042910
ATTL 06DEC11 2006.9432 54080 1405 1    1.0   -805 -0.594775   5820852  0.114663    81  0.482071  0.0000 0.000471 0.000637 0.001793  0.021038  0.012639  0.038062
ATTL 06DEC12 2006.9459 54081 1405 2    1.0   -805 -0.596140   5820852  0.113131    81  0.476143  0.0000 0.000466 0.000633 0.001768  0.023478  0.000643  0.017270
ATTL 06DEC13 2006.9487 54082 1405 3    1.0   -805 -0.595845   5820852  0.113787    81  0.482582  0.0000 0.000468 0.000636 0.001797  0.010395  0.027448  0.030656
ATTL 06DEC14 2006.9514 54083 1405 4    1.0   -805 -0.596099   5820852  0.115342    81  0.485305  0.0000 0.000468 0.000643 0.001800  0.020199 -0.008740  0.010875
ATTL 06DEC15 2006.9541 54084 1405 5    1.0   -805 -0.595013   5820852  0.115278    81  0.487434  0.0000 0.000470 0.000639 0.001813  0.019098  0.009618  0.025356
ATTL 06DEC16 2006.9569 54085 1405 6    1.0   -805 -0.594877   5820852  0.116657    81  0.477240  0.0000 0.000461 0.000632 0.001768  0.011350  0.017893  0.055182
ATTL 06DEC17 2006.9596 54086 1406 0    1.0   -805 -0.595343   5820852  0.115227    81  0.473782  0.0000 0.000461 0.000629 0.001769  0.011357  0.017354  0.052494
ATTL 06DEC18 2006.9624 54087 1406 1    1.0   -805 -0.593936   5820852  0.114980    81  0.471322  0.0000 0.000461 0.000634 0.001777  0.014393 -0.005799  0.008409
ATTL 06DEC19 2006.9651 54088 1406 2    1.0   -805 -0.594267   5820852  0.114355    81  0.482140  0.0000 0.000474 0.000646 0.001817  0.015453  0.009197  0.013762
ATTL 06DEC20 2006.9678 54089 1406 3    1.0   -805 -0.594668   5820852  0.114781    81  0.483311  0.0000 0.000466 0.000633 0.001783  0.004464  0.011560  0.035706
ATTL 06DEC21 2006.9706 54090 1406 4    1.0   -805 -0.592848   5820852  0.114606    81  0.483348  0.0000 0.000463 0.000633 0.001775  0.005202  0.029155  0.038907
ATTL 06DEC22 2006.9733 54091 1406 5    1.0   -805 -0.595156   5820852  0.115718    81  0.480518  0.0000 0.000460 0.000627 0.001763  0.012219  0.033451  0.043079
