site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BJNI 09JUL11 2009.5250 55023 1539 6    3.2    442  0.973047   1100465  0.567891   411  0.019979  0.0000 0.000732 0.000585 0.002480 -0.008842 -0.167711  0.014016
BJNI 09JUL12 2009.5277 55024 1540 0    3.2    442  0.976989   1100465  0.567028   411  0.007485  0.0000 0.000561 0.000447 0.001899 -0.000141 -0.080014 -0.001672
BJNI 09JUL13 2009.5305 55025 1540 1    3.2    442  0.977223   1100465  0.566372   411  0.012357  0.0000 0.000562 0.000448 0.001908  0.003731 -0.084488 -0.000968
BJNI 09JUL14 2009.5332 55026 1540 2    3.2    442  0.976327   1100465  0.568508   411  0.021572  0.0000 0.000561 0.000445 0.001895 -0.006422 -0.086471 -0.000703
BJNI 09JUL15 2009.5359 55027 1540 3    3.2    442  0.977305   1100465  0.567760   411  0.023818  0.0000 0.000560 0.000444 0.001876 -0.002841 -0.075527 -0.009328
BJNI 09JUL16 2009.5387 55028 1540 4    3.2    442  0.976642   1100465  0.566713   411  0.018952  0.0000 0.000561 0.000449 0.001900 -0.005140 -0.075426 -0.009945
BJNI 09JUL17 2009.5414 55029 1540 5    3.2    442  0.977911   1100465  0.568736   411  0.018598  0.0000 0.000576 0.000448 0.001928 -0.000410 -0.090237  0.001178
BJNI 09JUL18 2009.5441 55030 1540 6    3.2    442  0.977641   1100465  0.569036   411  0.017973  0.0000 0.000560 0.000446 0.001904  0.003180 -0.085917 -0.011653
BJNI 09JUL19 2009.5469 55031 1541 0    3.2    442  0.977995   1100465  0.568033   411  0.012012  0.0000 0.000540 0.000444 0.001872 -0.008982 -0.074011 -0.007421
BJNI 09JUL20 2009.5496 55032 1541 1    3.2    442  0.981220   1100465  0.566474   411  0.013959  0.0000 0.000541 0.000450 0.001883 -0.018505 -0.068087  0.011255
BJNI 09JUL21 2009.5524 55033 1541 2    3.2    442  0.980304   1100465  0.567380   411  0.012860  0.0000 0.000541 0.000450 0.001900 -0.017447 -0.067396  0.014331
BJNI 09JUL22 2009.5551 55034 1541 3    3.2    442  0.979183   1100465  0.568101   411  0.015734  0.0000 0.000537 0.000444 0.001859 -0.013717 -0.068795  0.005912
BJNI 09JUL23 2009.5578 55035 1541 4    3.2    442  0.978598   1100465  0.567374   411  0.008500  0.0000 0.000539 0.000448 0.001876 -0.019974 -0.063691  0.011237
BJNI 09JUL24 2009.5606 55036 1541 5    3.2    442  0.975419   1100465  0.567673   411  0.017427  0.0000 0.000553 0.000458 0.001954 -0.003259 -0.043726  0.018504
BJNI 09JUL25 2009.5633 55037 1541 6    3.2    442  0.978242   1100465  0.566526   411  0.015088  0.0000 0.000587 0.000453 0.001940  0.002617 -0.069162  0.009934
BJNI 09JUL26 2009.5661 55038 1542 0    3.2    442  0.979248   1100465  0.567876   411  0.012349  0.0000 0.000594 0.000453 0.001924 -0.004438 -0.064015 -0.002686
BJNI 09JUL27 2009.5688 55039 1542 1    3.2    442  0.978299   1100465  0.565070   411  0.009360  0.0000 0.000559 0.000447 0.001895 -0.000963 -0.075332  0.001806
BJNI 09JUL28 2009.5715 55040 1542 2    3.2    442  0.977446   1100465  0.569287   411  0.014929  0.0000 0.000557 0.000448 0.001887 -0.001924 -0.073160  0.001564
BJNI 09JUL29 2009.5743 55041 1542 3    3.2    442  0.976968   1100465  0.567945   411  0.008816  0.0000 0.000557 0.000447 0.001896 -0.000436 -0.080480 -0.008164
