site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BRIV 19JAN23 2019.0609 58506 2037 3    1.5   -942 -0.746783   5002393  0.367563   158  0.143577  0.0720 0.000799 0.001050 0.003046  0.039345 -0.005267 -0.097764
BRIV 19JAN24 2019.0637 58507 2037 4    1.5   -942 -0.747116   5002393  0.370739   158  0.138967  0.0720 0.000486 0.000626 0.001870  0.001721  0.001379 -0.079972
BRIV 19JAN25 2019.0664 58508 2037 5    1.5   -942 -0.747592   5002393  0.369765   158  0.136967  0.0720 0.000481 0.000623 0.001853 -0.004148 -0.012092 -0.092794
BRIV 19JAN26 2019.0691 58509 2037 6    1.5   -942 -0.748737   5002393  0.370302   158  0.133656  0.0720 0.000487 0.000641 0.001907 -0.007955  0.001293 -0.136684
BRIV 19JAN27 2019.0719 58510 2038 0    1.5   -942 -0.748855   5002393  0.370923   158  0.138146  0.0720 0.000490 0.000650 0.001874  0.010918 -0.003800 -0.109966
BRIV 19JAN28 2019.0746 58511 2038 1    1.5   -942 -0.750352   5002393  0.369823   158  0.135643  0.0720 0.000477 0.000631 0.001856  0.013875  0.027372 -0.101483
BRIV 19JAN30 2019.0801 58513 2038 3    1.5   -942 -0.748002   5002393  0.368738   158  0.140524  0.0720 0.000477 0.000622 0.001830 -0.000466  0.026020 -0.078722
BRIV 19FEB10 2019.1102 58524 2040 0    1.5   -942 -0.746481   5002393  0.371324   158  0.138011  0.0720 0.000478 0.000624 0.001841  0.012545 -0.008994 -0.108757
BRIV 19FEB11 2019.1129 58525 2040 1    1.5   -942 -0.745576   5002393  0.372000   158  0.138228  0.0720 0.000499 0.000640 0.001917  0.052739 -0.033306 -0.094324
BRIV 19FEB12 2019.1157 58526 2040 2    1.5   -942 -0.745821   5002393  0.372554   158  0.134318  0.0720 0.000498 0.000648 0.001901  0.015069 -0.010127 -0.080718
BRIV 19FEB13 2019.1184 58527 2040 3    1.5   -942 -0.743769   5002393  0.372213   158  0.135559  0.0720 0.000476 0.000628 0.001830  0.017003 -0.023632 -0.097726
BRIV 19FEB14 2019.1211 58528 2040 4    1.5   -942 -0.746238   5002393  0.370038   158  0.142125  0.0720 0.000482 0.000635 0.001882  0.005363  0.022308 -0.097303
BRIV 19FEB15 2019.1239 58529 2040 5    1.5   -942 -0.746474   5002393  0.372145   158  0.142500  0.0720 0.000478 0.000633 0.001854  0.005815  0.020842 -0.082042
BRIV 19FEB16 2019.1266 58530 2040 6    1.5   -942 -0.743881   5002393  0.372522   158  0.142141  0.0720 0.000477 0.000626 0.001836  0.022159 -0.005978 -0.104410
BRIV 19FEB17 2019.1294 58531 2041 0    1.5   -942 -0.745315   5002393  0.374852   158  0.138801  0.0720 0.000476 0.000620 0.001829  0.032929 -0.012257 -0.121385
BRIV 19FEB18 2019.1321 58532 2041 1    1.5   -942 -0.745800   5002393  0.371735   158  0.141079  0.0720 0.000479 0.000627 0.001860  0.027622  0.004640 -0.136377
BRIV 19FEB19 2019.1348 58533 2041 2    1.5   -942 -0.746749   5002393  0.372177   158  0.140149  0.0720 0.000477 0.000620 0.001809  0.029975 -0.013747 -0.116007
BRIV 19FEB20 2019.1376 58534 2041 3    1.5   -942 -0.746854   5002393  0.371827   158  0.142332  0.0720 0.000483 0.000626 0.001852  0.031736  0.004865 -0.107225
BRIV 19FEB21 2019.1403 58535 2041 4    1.5   -942 -0.746402   5002393  0.371676   158  0.141971  0.0720 0.000488 0.000628 0.001860  0.043326 -0.012781 -0.113577
BRIV 19FEB22 2019.1431 58536 2041 5    1.5   -942 -0.746748   5002393  0.372527   158  0.149009  0.0720 0.000477 0.000618 0.001824  0.024311 -0.011980 -0.094458
BRIV 19FEB23 2019.1458 58537 2041 6    1.5   -942 -0.746015   5002393  0.372169   158  0.144486  0.0720 0.000477 0.000620 0.001838  0.023400 -0.002383 -0.121509
BRIV 19FEB24 2019.1485 58538 2042 0    1.5   -942 -0.745369   5002393  0.371422   158  0.148186  0.0720 0.000475 0.000633 0.001845  0.006213 -0.006022 -0.106497
BRIV 19FEB25 2019.1513 58539 2042 1    1.5   -942 -0.747400   5002393  0.372616   158  0.145082  0.0720 0.000475 0.000627 0.001843  0.015280 -0.005017 -0.099257
BRIV 19FEB26 2019.1540 58540 2042 2    1.5   -942 -0.746525   5002393  0.373679   158  0.144984  0.0720 0.000480 0.000632 0.001850  0.008170 -0.003215 -0.093451
BRIV 19FEB27 2019.1567 58541 2042 3    1.5   -942 -0.745441   5002393  0.371804   158  0.149286  0.0720 0.000481 0.000629 0.001855  0.015427 -0.008713 -0.102931
BRIV 19FEB28 2019.1595 58542 2042 4    1.5   -942 -0.744535   5002393  0.370668   158  0.141212  0.0720 0.000485 0.000628 0.001870  0.011619 -0.013515 -0.081350
BRIV 19MAR01 2019.1622 58543 2042 5    1.5   -942 -0.745850   5002393  0.371138   158  0.135776  0.0720 0.000494 0.000652 0.001910  0.013642 -0.023549 -0.118423
BRIV 19MAR02 2019.1650 58544 2042 6    1.5   -942 -0.745750   5002393  0.369300   158  0.146881  0.0720 0.000472 0.000624 0.001828  0.010124  0.009180 -0.066922
BRIV 19MAR03 2019.1677 58545 2043 0    1.5   -942 -0.745978   5002393  0.373098   158  0.139734  0.0720 0.000478 0.000634 0.001846  0.026582 -0.020565 -0.079866
BRIV 19MAR04 2019.1704 58546 2043 1    1.5   -942 -0.745546   5002393  0.371505   158  0.148102  0.0720 0.000482 0.000630 0.001871  0.029561 -0.022122 -0.095929
BRIV 19MAR05 2019.1732 58547 2043 2    1.5   -942 -0.744112   5002393  0.373792   158  0.151132  0.0720 0.000483 0.000624 0.001865  0.030785 -0.026218 -0.099332
BRIV 19MAR06 2019.1759 58548 2043 3    1.5   -942 -0.744198   5002393  0.372563   158  0.145973  0.0720 0.000479 0.000628 0.001863  0.015371 -0.020296 -0.106921
BRIV 19MAR07 2019.1786 58549 2043 4    1.5   -942 -0.746916   5002393  0.371356   158  0.138191  0.0720 0.000486 0.000629 0.001883  0.033748 -0.031325 -0.098841
