site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BUOS 07APR28 2007.3210 54218 1424 6   -3.1   2671  0.764275   4605885  0.292665   963  0.901668  0.0000 0.000502 0.000666 0.002026 -0.010361  0.064512 -0.048533
BUOS 07APR29 2007.3238 54219 1425 0   -3.1   2671  0.765406   4605885  0.290884   963  0.914716  0.0000 0.000516 0.000663 0.002046  0.049876  0.007142 -0.066175
BUOS 07APR30 2007.3265 54220 1425 1   -3.1   2671  0.761652   4605885  0.291469   963  0.908963  0.0000 0.000543 0.000682 0.002162  0.012378  0.077388 -0.085902
BUOS 07MAY01 2007.3292 54221 1425 2   -3.1   2671  0.764804   4605885  0.287258   963  0.905654  0.0000 0.000606 0.000755 0.002392 -0.043416  0.035138 -0.048732
BUOS 07MAY02 2007.3320 54222 1425 3   -3.1   2671  0.764335   4605885  0.291703   963  0.907956  0.0000 0.000526 0.000678 0.002053  0.001394  0.037443 -0.135062
BUOS 07MAY03 2007.3347 54223 1425 4   -3.1   2671  0.764114   4605885  0.293527   963  0.906695  0.0000 0.000548 0.000690 0.002119 -0.015023  0.048415 -0.066677
BUOS 07MAY04 2007.3374 54224 1425 5   -3.1   2671  0.762579   4605885  0.291732   963  0.907573  0.0000 0.000477 0.000608 0.001800  0.002832  0.036972 -0.085419
BUOS 07MAY05 2007.3402 54225 1425 6   -3.1   2671  0.763511   4605885  0.293259   963  0.904818  0.0000 0.000475 0.000622 0.001790  0.011233 -0.001755 -0.079661
BUOS 07MAY06 2007.3429 54226 1426 0   -3.1   2671  0.762764   4605885  0.290400   963  0.907023  0.0000 0.000465 0.000601 0.001734  0.010922 -0.006377 -0.071182
BUOS 07MAY07 2007.3457 54227 1426 1   -3.1   2671  0.763891   4605885  0.291968   963  0.910070  0.0000 0.000469 0.000604 0.001755  0.007516  0.001134 -0.082001
BUOS 07MAY08 2007.3484 54228 1426 2   -3.1   2671  0.763939   4605885  0.293590   963  0.906677  0.0000 0.000465 0.000600 0.001741  0.005177 -0.009495 -0.080585
BUOS 07MAY09 2007.3511 54229 1426 3   -3.1   2671  0.763219   4605885  0.291999   963  0.903967  0.0000 0.000471 0.000601 0.001767  0.009053 -0.000595 -0.073950
BUOS 07MAY10 2007.3539 54230 1426 4   -3.1   2671  0.765302   4605885  0.290212   963  0.908090  0.0000 0.000488 0.000629 0.001843  0.041821 -0.009706 -0.074068
BUOS 07MAY11 2007.3566 54231 1426 5   -3.1   2671  0.763236   4605885  0.292463   963  0.906912  0.0000 0.000489 0.000626 0.001818  0.044123 -0.015657 -0.073325
BUOS 07MAY12 2007.3593 54232 1426 6   -3.1   2671  0.760867   4605885  0.293140   963  0.913566  0.0000 0.000470 0.000594 0.001743  0.017355 -0.015792 -0.093153
BUOS 07MAY13 2007.3621 54233 1427 0   -3.1   2671  0.762668   4605885  0.292327   963  0.914008  0.0000 0.000466 0.000595 0.001723  0.007442 -0.010451 -0.108105
BUOS 07MAY14 2007.3648 54234 1427 1   -3.1   2671  0.762312   4605885  0.292553   963  0.910308  0.0000 0.000478 0.000606 0.001778  0.009168  0.018328 -0.093298
BUOS 07MAY15 2007.3676 54235 1427 2   -3.1   2671  0.764360   4605885  0.291544   963  0.908410  0.0000 0.000469 0.000597 0.001744  0.010186 -0.008426 -0.089457
BUOS 07MAY16 2007.3703 54236 1427 3   -3.1   2671  0.763431   4605885  0.288921   963  0.908075  0.0000 0.000487 0.000626 0.001811  0.009489 -0.020194 -0.078593
BUOS 07MAY17 2007.3730 54237 1427 4   -3.1   2671  0.763122   4605885  0.292007   963  0.910741  0.0000 0.000482 0.000609 0.001762  0.027057 -0.025272 -0.108431
BUOS 07MAY18 2007.3758 54238 1427 5   -3.1   2671  0.763869   4605885  0.292085   963  0.914867  0.0000 0.000480 0.000611 0.001760  0.023684 -0.025331 -0.114800
BUOS 07MAY19 2007.3785 54239 1427 6   -3.1   2671  0.761818   4605885  0.294941   963  0.923738  0.0000 0.000483 0.000619 0.001802  0.015083  0.004469 -0.101676
BUOS 07MAY20 2007.3812 54240 1428 0   -3.1   2671  0.763790   4605885  0.292778   963  0.913217  0.0000 0.000504 0.000651 0.001938  0.017595 -0.000808 -0.053909
BUOS 07MAY21 2007.3840 54241 1428 1   -3.1   2671  0.764868   4605885  0.291274   963  0.913242  0.0000 0.000482 0.000609 0.001770  0.000561 -0.010595 -0.097353
