site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BURL 11JUN01 2011.4141 55713 1638 3  -79.8    708  0.582538   4802846  0.257906    86  0.754117  0.0000 0.000491 0.000592 0.001866 -0.014871  0.081442 -0.065021
BURL 11JUN02 2011.4168 55714 1638 4  -79.8    708  0.584500   4802846  0.257159    86  0.760530  0.0000 0.000490 0.000589 0.001818 -0.012200  0.058048 -0.059977
BURL 11JUN03 2011.4196 55715 1638 5  -79.8    708  0.585084   4802846  0.257053    86  0.757242  0.0000 0.000491 0.000585 0.001825 -0.022181  0.062389 -0.071660
BURL 11JUN04 2011.4223 55716 1638 6  -79.8    708  0.584028   4802846  0.256468    86  0.765136  0.0000 0.000498 0.000594 0.001833 -0.000518  0.045817 -0.047172
BURL 11JUN05 2011.4251 55717 1639 0  -79.8    708  0.583930   4802846  0.259120    86  0.758185  0.0000 0.000487 0.000589 0.001806  0.004242  0.025011 -0.054226
BURL 11JUN06 2011.4278 55718 1639 1  -79.8    708  0.586602   4802846  0.256266    86  0.757471  0.0000 0.000489 0.000586 0.001827 -0.017132  0.062170 -0.071749
BURL 11JUN07 2011.4305 55719 1639 2  -79.8    708  0.585891   4802846  0.256554    86  0.775063  0.0000 0.000484 0.000587 0.001798 -0.001864  0.038800 -0.046846
BURL 11JUN08 2011.4333 55720 1639 3  -79.8    708  0.581530   4802846  0.258093    86  0.766295  0.0000 0.000490 0.000597 0.001819 -0.016562  0.040015 -0.056946
BURL 11JUN09 2011.4360 55721 1639 4  -79.8    708  0.583185   4802846  0.257375    86  0.760678  0.0000 0.000492 0.000591 0.001851 -0.017607  0.085129 -0.044814
BURL 11JUN10 2011.4387 55722 1639 5  -79.8    708  0.585020   4802846  0.258880    86  0.763952  0.0000 0.000489 0.000586 0.001829 -0.010345  0.056154 -0.041374
BURL 11JUN11 2011.4415 55723 1639 6  -79.8    708  0.583944   4802846  0.258873    86  0.761147  0.0000 0.000493 0.000592 0.001829 -0.005156  0.045314 -0.052016
BURL 11JUN12 2011.4442 55724 1640 0  -79.8    708  0.586546   4802846  0.256606    86  0.759545  0.0000 0.000491 0.000588 0.001831 -0.015598  0.063605 -0.075029
BURL 11JUN13 2011.4470 55725 1640 1  -79.8    708  0.583861   4802846  0.256121    86  0.755827  0.0000 0.000526 0.000631 0.001964 -0.004980  0.026909 -0.051032
BURL 11JUN14 2011.4497 55726 1640 2  -79.8    708  0.585462   4802846  0.256596    86  0.751641  0.0000 0.000486 0.000587 0.001804 -0.019620  0.062650 -0.042081
BURL 11JUN15 2011.4524 55727 1640 3  -79.8    708  0.585918   4802846  0.256132    86  0.753887  0.0000 0.000490 0.000592 0.001832 -0.006370  0.075322 -0.039206
BURL 11JUN16 2011.4552 55728 1640 4  -79.8    708  0.584481   4802846  0.258379    86  0.760752  0.0000 0.000489 0.000586 0.001826 -0.016247  0.069268 -0.061784
BURL 11JUN17 2011.4579 55729 1640 5  -79.8    708  0.584627   4802846  0.260312    86  0.764323  0.0000 0.000554 0.000690 0.002070 -0.053485  0.074200 -0.051813
