site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CAE1 07JAN25 2007.0664 54125 1411 4 -115.2  -2748 -0.819308   3847004  0.468908   515  0.317288  0.0000 0.000912 0.000994 0.003528  0.023688  0.024083 -0.145828
CAE1 07JAN26 2007.0691 54126 1411 5 -115.2  -2748 -0.818605   3847004  0.469947   515  0.319800  0.0000 0.000571 0.000660 0.002271  0.046599 -0.034162 -0.163748
CAE1 07JAN27 2007.0719 54127 1411 6 -115.2  -2748 -0.817601   3847004  0.468995   515  0.317790  0.0000 0.000575 0.000660 0.002270  0.034902 -0.012548 -0.165340
CAE1 07JAN28 2007.0746 54128 1412 0 -115.2  -2748 -0.819057   3847004  0.467185   515  0.314633  0.0000 0.000591 0.000671 0.002329  0.026400 -0.026411 -0.168637
CAE1 07JAN29 2007.0773 54129 1412 1 -115.2  -2748 -0.816957   3847004  0.467297   515  0.318053  0.0000 0.000578 0.000661 0.002267  0.039114 -0.018791 -0.151479
CAE1 07JAN30 2007.0801 54130 1412 2 -115.2  -2748 -0.819267   3847004  0.465773   515  0.314790  0.0000 0.000580 0.000670 0.002302  0.035969 -0.037667 -0.151836
CAE1 07JAN31 2007.0828 54131 1412 3 -115.2  -2748 -0.817327   3847004  0.468914   515  0.323119  0.0000 0.000606 0.000709 0.002441  0.061615 -0.052622 -0.178013
CAE1 07FEB02 2007.0883 54133 1412 5 -115.2  -2748 -0.818128   3847004  0.468533   515  0.315453  0.0000 0.000583 0.000680 0.002368  0.016894 -0.012928 -0.177674
CAE1 07FEB03 2007.0910 54134 1412 6 -115.2  -2748 -0.818013   3847004  0.467687   515  0.319316  0.0000 0.000587 0.000683 0.002354  0.004576 -0.001376 -0.158103
CAE1 07FEB04 2007.0938 54135 1413 0 -115.2  -2748 -0.817754   3847004  0.467476   515  0.322892  0.0000 0.000574 0.000668 0.002283  0.029974 -0.014136 -0.146871
CAE1 07FEB05 2007.0965 54136 1413 1 -115.2  -2748 -0.818030   3847004  0.469646   515  0.321524  0.0000 0.000572 0.000671 0.002276  0.036713 -0.036288 -0.168330
CAE1 07FEB06 2007.0992 54137 1413 2 -115.2  -2748 -0.819036   3847004  0.469138   515  0.324136  0.0000 0.000577 0.000670 0.002283  0.014000 -0.042055 -0.158141
CAE1 07FEB07 2007.1020 54138 1413 3 -115.2  -2748 -0.818164   3847004  0.469007   515  0.324932  0.0000 0.000586 0.000676 0.002298  0.020404 -0.007108 -0.157867
CAE1 07FEB08 2007.1047 54139 1413 4 -115.2  -2748 -0.816244   3847004  0.468834   515  0.321573  0.0000 0.000602 0.000686 0.002367  0.015219 -0.026381 -0.163605
CAE1 07FEB09 2007.1075 54140 1413 5 -115.2  -2748 -0.816051   3847004  0.468528   515  0.327937  0.0000 0.000612 0.000710 0.002473  0.053981 -0.033412 -0.213005
CAE1 07FEB10 2007.1102 54141 1413 6 -115.2  -2748 -0.818362   3847004  0.468164   515  0.327484  0.0000 0.000573 0.000670 0.002298  0.025021 -0.027767 -0.166893
CAE1 07FEB11 2007.1129 54142 1414 0 -115.2  -2748 -0.819680   3847004  0.467680   515  0.331439  0.0000 0.000575 0.000680 0.002293  0.029962 -0.033005 -0.166148
CAE1 07FEB12 2007.1157 54143 1414 1 -115.2  -2748 -0.816830   3847004  0.467558   515  0.321250  0.0000 0.000573 0.000673 0.002276  0.026858 -0.013691 -0.156255
CAE1 07FEB13 2007.1184 54144 1414 2 -115.2  -2748 -0.816256   3847004  0.466623   515  0.324727  0.0000 0.000727 0.000903 0.003013  0.057409 -0.023511 -0.212483
CAE1 07FEB16 2007.1266 54147 1414 5 -115.2  -2748 -0.818192   3847004  0.468485   515  0.328395  0.0000 0.001378 0.001465 0.004913  0.025920  0.047064 -0.122061
CAE1 07FEB17 2007.1294 54148 1414 6 -115.2  -2748 -0.817351   3847004  0.469520   515  0.323369  0.0000 0.000571 0.000682 0.002280  0.020938 -0.015732 -0.159761
CAE1 07FEB18 2007.1321 54149 1415 0 -115.2  -2748 -0.817918   3847004  0.467109   515  0.322505  0.0000 0.000572 0.000680 0.002275  0.009770  0.011724 -0.135852
