site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CFAG 96FEB25 1996.1506 50138  842 0  -68.2  -3098 -0.331130  -3497739 -0.509214   702  0.567141  0.0000 0.000579 0.000640 0.002221  0.019919 -0.048660  0.122496
CFAG 96FEB26 1996.1533 50139  842 1  -68.2  -3098 -0.325319  -3497739 -0.512202   702  0.551517  0.0000 0.000564 0.000627 0.002147  0.040116 -0.004080  0.118212
CFAG 96FEB27 1996.1561 50140  842 2  -68.2  -3098 -0.322863  -3497739 -0.518070   702  0.549946  0.0000 0.000570 0.000635 0.002192  0.061038 -0.022581  0.085603
CFAG 96FEB28 1996.1588 50141  842 3  -68.2  -3098 -0.325162  -3497739 -0.516741   702  0.549245  0.0000 0.000584 0.000661 0.002236  0.029964 -0.027511  0.111731
CFAG 96FEB29 1996.1615 50142  842 4  -68.2  -3098 -0.324570  -3497739 -0.514248   702  0.557064  0.0000 0.000567 0.000632 0.002160  0.037603 -0.040053  0.115246
CFAG 96MAR01 1996.1643 50143  842 5  -68.2  -3098 -0.324826  -3497739 -0.508574   702  0.556638  0.0000 0.000746 0.000877 0.003015  0.000507 -0.056129  0.165214
CFAG 96MAR04 1996.1725 50146  843 1  -68.2  -3098 -0.320559  -3497739 -0.510503   702  0.572932  0.0000 0.000893 0.000931 0.003157  0.124232  0.041030  0.112632
CFAG 96MAR05 1996.1752 50147  843 2  -68.2  -3098 -0.324686  -3497739 -0.510562   702  0.552525  0.0000 0.000593 0.000693 0.002311  0.014611 -0.021685  0.092874
CFAG 96MAR06 1996.1780 50148  843 3  -68.2  -3098 -0.329179  -3497739 -0.512779   702  0.553032  0.0000 0.000577 0.000653 0.002198  0.074697 -0.028025  0.121608
CFAG 96MAR08 1996.1834 50150  843 5  -68.2  -3098 -0.325791  -3497739 -0.516165   702  0.543390  0.0000 0.000570 0.000636 0.002201  0.046051 -0.004828  0.083493
CFAG 96MAR09 1996.1862 50151  843 6  -68.2  -3098 -0.325647  -3497739 -0.513028   702  0.570928  0.0000 0.000569 0.000635 0.002166  0.041002 -0.004234  0.122085
CFAG 96MAR11 1996.1916 50153  844 1  -68.2  -3098 -0.329005  -3497739 -0.505623   702  0.558050  0.0000 0.000585 0.000672 0.002250  0.018097 -0.035531  0.057500
CFAG 96MAR12 1996.1944 50154  844 2  -68.2  -3098 -0.322381  -3497739 -0.517842   702  0.550482  0.0000 0.000748 0.000855 0.002923  0.022842 -0.034266  0.113081
CFAG 96MAR13 1996.1971 50155  844 3  -68.2  -3098 -0.319733  -3497739 -0.506533   702  0.546273  0.0000 0.000571 0.000631 0.002207  0.027408 -0.001540  0.112861
CFAG 96MAR14 1996.1999 50156  844 4  -68.2  -3098 -0.324749  -3497739 -0.515549   702  0.550233  0.0000 0.000578 0.000648 0.002211  0.037692 -0.021234  0.098422
CFAG 96MAR15 1996.2026 50157  844 5  -68.2  -3098 -0.323358  -3497739 -0.510656   702  0.550296  0.0000 0.000583 0.000642 0.002197  0.050714 -0.016396  0.110237
CFAG 96MAR16 1996.2053 50158  844 6  -68.2  -3098 -0.324523  -3497739 -0.517412   702  0.549890  0.0000 0.000569 0.000635 0.002177  0.035167 -0.032065  0.099085
CFAG 96MAR17 1996.2081 50159  845 0  -68.2  -3098 -0.324839  -3497739 -0.514671   702  0.567889  0.0000 0.001095 0.001469 0.004626  0.021146  0.005274 -0.099029
CFAG 96MAR19 1996.2136 50161  845 2  -68.2  -3098 -0.326372  -3497739 -0.515385   702  0.558734  0.0000 0.000900 0.000944 0.003204  0.108936 -0.016391  0.157392
CFAG 96MAR20 1996.2163 50162  845 3  -68.2  -3098 -0.321370  -3497739 -0.510505   702  0.557976  0.0000 0.000600 0.000646 0.002227  0.049137 -0.026085  0.136172
CFAG 96MAR22 1996.2218 50164  845 5  -68.2  -3098 -0.325564  -3497739 -0.503593   702  0.558238  0.0000 0.000601 0.000655 0.002253  0.040266 -0.021191  0.121282
CFAG 96MAR23 1996.2245 50165  845 6  -68.2  -3098 -0.323556  -3497739 -0.513073   702  0.546585  0.0000 0.000603 0.000656 0.002285  0.040778 -0.008181  0.127741
CFAG 96MAR24 1996.2272 50166  846 0  -68.2  -3098 -0.323998  -3497739 -0.517480   702  0.539805  0.0000 0.000595 0.000652 0.002250  0.026024  0.004437  0.145428
CFAG 96MAR25 1996.2300 50167  846 1  -68.2  -3098 -0.325304  -3497739 -0.518757   702  0.545628  0.0000 0.000581 0.000644 0.002233  0.029857 -0.011804  0.100799
CFAG 96MAR26 1996.2327 50168  846 2  -68.2  -3098 -0.324086  -3497739 -0.514811   702  0.551895  0.0000 0.000578 0.000639 0.002202  0.046978 -0.032841  0.103494
CFAG 96MAR27 1996.2355 50169  846 3  -68.2  -3098 -0.323302  -3497739 -0.513261   702  0.550385  0.0000 0.000584 0.000665 0.002229  0.051744 -0.014372  0.104373
CFAG 96MAR28 1996.2382 50170  846 4  -68.2  -3098 -0.325291  -3497739 -0.512561   702  0.552612  0.0000 0.000577 0.000629 0.002206  0.040411 -0.030740  0.128427
CFAG 96MAR29 1996.2409 50171  846 5  -68.2  -3098 -0.323261  -3497739 -0.512168   702  0.557273  0.0000 0.000578 0.000643 0.002259  0.045963 -0.027491  0.075503
CFAG 96MAR30 1996.2437 50172  846 6  -68.2  -3098 -0.323511  -3497739 -0.515353   702  0.549753  0.0000 0.000575 0.000629 0.002185  0.051406 -0.014214  0.146026
CFAG 96MAR31 1996.2464 50173  847 0  -68.2  -3098 -0.322383  -3497739 -0.513664   702  0.553108  0.0000 0.000574 0.000631 0.002234  0.047658 -0.014829  0.075229
CFAG 96APR01 1996.2491 50174  847 1  -68.2  -3098 -0.324394  -3497739 -0.512484   702  0.555913  0.0000 0.000571 0.000627 0.002187  0.029611 -0.039189  0.123302
CFAG 96APR02 1996.2519 50175  847 2  -68.2  -3098 -0.313868  -3497739 -0.513806   702  0.563984  0.0000 0.000569 0.000627 0.002158  0.045810 -0.035650  0.132605
CFAG 96APR03 1996.2546 50176  847 3  -68.2  -3098 -0.322724  -3497739 -0.516928   702  0.552455  0.0000 0.000571 0.000642 0.002270  0.034166 -0.033868  0.056773
CFAG 96APR04 1996.2574 50177  847 4  -68.2  -3098 -0.323632  -3497739 -0.513921   702  0.548247  0.0000 0.000564 0.000628 0.002184  0.050596 -0.008488  0.103705
CFAG 96APR05 1996.2601 50178  847 5  -68.2  -3098 -0.329318  -3497739 -0.513420   702  0.557067  0.0000 0.000582 0.000639 0.002209  0.025602 -0.030439  0.136336
CFAG 96APR07 1996.2656 50180  848 0  -68.2  -3098 -0.317795  -3497739 -0.512215   702  0.553835  0.0000 0.000570 0.000628 0.002172  0.039311 -0.019856  0.121788
CFAG 96APR08 1996.2683 50181  848 1  -68.2  -3098 -0.321872  -3497739 -0.512033   702  0.562766  0.0000 0.000566 0.000623 0.002166  0.041747 -0.023920  0.131177
CFAG 96APR09 1996.2710 50182  848 2  -68.2  -3098 -0.318924  -3497739 -0.513964   702  0.552977  0.0000 0.000558 0.000607 0.002107  0.007943 -0.041553  0.129082
CFAG 96APR10 1996.2738 50183  848 3  -68.2  -3098 -0.321767  -3497739 -0.516042   702  0.547994  0.0000 0.000555 0.000611 0.002115  0.011125 -0.039337  0.103555
CFAG 96APR11 1996.2765 50184  848 4  -68.2  -3098 -0.321768  -3497739 -0.504290   702  0.561998  0.0000 0.000554 0.000612 0.002104  0.005203 -0.029766  0.080492
CFAG 96APR12 1996.2793 50185  848 5  -68.2  -3098 -0.323284  -3497739 -0.518660   702  0.547963  0.0000 0.000613 0.000657 0.002308 -0.021831 -0.041272  0.106277
CFAG 96APR13 1996.2820 50186  848 6  -68.2  -3098 -0.322281  -3497739 -0.518241   702  0.542537  0.0000 0.000581 0.000631 0.002198 -0.010127 -0.041953  0.143275
CFAG 96APR15 1996.2875 50188  849 1  -68.2  -3098 -0.325317  -3497739 -0.514783   702  0.543606  0.0000 0.000605 0.000661 0.002275  0.001831  0.001660  0.087646
CFAG 96APR16 1996.2902 50189  849 2  -68.2  -3098 -0.324265  -3497739 -0.514367   702  0.554608  0.0000 0.000557 0.000616 0.002125 -0.005245 -0.029448  0.089558
CFAG 96APR17 1996.2930 50190  849 3  -68.2  -3098 -0.321799  -3497739 -0.517106   702  0.548232  0.0000 0.000561 0.000618 0.002138  0.030585 -0.020648  0.107757
CFAG 96APR18 1996.2957 50191  849 4  -68.2  -3098 -0.328067  -3497739 -0.509361   702  0.549120  0.0000 0.000580 0.000636 0.002210 -0.014895 -0.023494  0.129114
CFAG 96APR19 1996.2984 50192  849 5  -68.2  -3098 -0.327325  -3497739 -0.516323   702  0.550221  0.0000 0.000559 0.000619 0.002123  0.003604 -0.046306  0.127286
