site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CHON 98NOV19 1998.8830 51136  984 4  101.0   4848  0.030735   1451045  0.196966    51  0.440454  0.0860 0.000978 0.000820 0.004026  0.005492  0.067303  0.033870
CHON 98NOV20 1998.8857 51137  984 5  101.0   4848  0.029360   1451045  0.196980    51  0.445398  0.0860 0.000948 0.000810 0.003939 -0.005700 -0.006429  0.049497
CHON 98NOV21 1998.8884 51138  984 6  101.0   4848  0.031736   1451045  0.194557    51  0.439770  0.0860 0.000933 0.000803 0.003893  0.007519  0.004373  0.055083
CHON 98NOV22 1998.8912 51139  985 0  101.0   4848  0.030090   1451045  0.195383    51  0.445300  0.0860 0.000940 0.000815 0.003920 -0.008847  0.048953  0.058170
CHON 98NOV23 1998.8939 51140  985 1  101.0   4848  0.029533   1451045  0.193722    51  0.445058  0.0860 0.000941 0.000822 0.003957 -0.001005  0.039362  0.071461
CHON 05OCT09 2005.7714 53652 1344 0  101.0   4848  0.145781   1451045  0.085610    51  0.465600  0.2260 0.000768 0.000570 0.002626  0.003439  0.035619 -0.082942
CHON 05OCT10 2005.7741 53653 1344 1  101.0   4848  0.146071   1451045  0.087225    51  0.459056  0.2260 0.000757 0.000563 0.002595 -0.003057  0.034957 -0.067849
CHON 05OCT11 2005.7769 53654 1344 2  101.0   4848  0.148359   1451045  0.086770    51  0.448794  0.2260 0.000755 0.000573 0.002622 -0.013504  0.009465 -0.077562
CHON 05OCT12 2005.7796 53655 1344 3  101.0   4848  0.149349   1451045  0.083593    51  0.458607  0.2260 0.000761 0.000577 0.002647 -0.016545  0.010862 -0.058354
CHON 05OCT13 2005.7823 53656 1344 4  101.0   4848  0.150041   1451045  0.088731    51  0.458986  0.2260 0.000755 0.000569 0.002640 -0.038856 -0.001489 -0.076478
CHON 05OCT14 2005.7851 53657 1344 5  101.0   4848  0.147774   1451045  0.089365    51  0.458233  0.2260 0.000758 0.000570 0.002619 -0.023181  0.023465 -0.098021
CHON 05OCT15 2005.7878 53658 1344 6  101.0   4848  0.150359   1451045  0.086786    51  0.450787  0.2260 0.000755 0.000566 0.002621  0.000449  0.033981 -0.101782
