site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CMAK 13SEP08 2013.6865 56543 1757 0  119.4    888  0.751494   -567792 -0.307189    77  0.596371  0.0000 0.000571 0.000480 0.001988 -0.010178  0.019903 -0.177117
CMAK 13SEP09 2013.6893 56544 1757 1  119.4    888  0.750791   -567792 -0.309401    77  0.597476  0.0000 0.000578 0.000493 0.002019 -0.011544  0.026342 -0.167679
CMAK 13SEP10 2013.6920 56545 1757 2  119.4    888  0.751245   -567792 -0.307636    77  0.592045  0.0000 0.000576 0.000493 0.002016 -0.019168  0.057893 -0.156002
CMAK 13SEP11 2013.6947 56546 1757 3  119.4    888  0.754430   -567792 -0.305114    77  0.596756  0.0000 0.000572 0.000488 0.002003 -0.029441  0.024600 -0.164437
CMAK 13SEP12 2013.6975 56547 1757 4  119.4    888  0.750928   -567792 -0.306180    77  0.608640  0.0000 0.000572 0.000476 0.001941 -0.014819  0.015004 -0.121487
CMAK 13SEP13 2013.7002 56548 1757 5  119.4    888  0.751699   -567792 -0.308471    77  0.592843  0.0000 0.000570 0.000487 0.001986 -0.025186  0.022525 -0.131355
CMAK 13SEP14 2013.7029 56549 1757 6  119.4    888  0.752656   -567792 -0.307671    77  0.591115  0.0000 0.000561 0.000490 0.001968 -0.013892  0.027895 -0.174053
CMAK 14SEP07 2014.6831 56907 1809 0  119.4    888  0.775844   -567792 -0.311811    77  0.596326  0.0000 0.000584 0.000496 0.002063  0.016859  0.085703 -0.104458
CMAK 14SEP08 2014.6858 56908 1809 1  119.4    888  0.770736   -567792 -0.313912    77  0.593490  0.0000 0.000626 0.000522 0.002162  0.002564  0.090475 -0.071293
CMAK 14SEP09 2014.6886 56909 1809 2  119.4    888  0.771354   -567792 -0.314348    77  0.597972  0.0000 0.000604 0.000505 0.002135  0.016377  0.108630 -0.107820
CMAK 14SEP10 2014.6913 56910 1809 3  119.4    888  0.773833   -567792 -0.309383    77  0.593395  0.0000 0.000635 0.000526 0.002291 -0.014402  0.161454 -0.095166
CMAK 14SEP11 2014.6940 56911 1809 4  119.4    888  0.777016   -567792 -0.313662    77  0.591973  0.0000 0.000592 0.000495 0.002064  0.017425  0.129175 -0.089111
CMAK 14SEP12 2014.6968 56912 1809 5  119.4    888  0.774214   -567792 -0.310352    77  0.593969  0.0000 0.000593 0.000496 0.002077  0.035409  0.112089 -0.054478
CMAK 17SEP17 2017.7112 58013 1967 0  119.4    888  0.856038   -567792 -0.334908    77  0.592094  0.0000 0.000544 0.000472 0.001978  0.012387 -0.021117 -0.104009
CMAK 17SEP18 2017.7139 58014 1967 1  119.4    888  0.850470   -567792 -0.332038    77  0.586122  0.0000 0.000545 0.000479 0.001996  0.020396 -0.022070 -0.098110
CMAK 17SEP19 2017.7166 58015 1967 2  119.4    888  0.853655   -567792 -0.336770    77  0.580129  0.0000 0.000545 0.000479 0.001981  0.036537 -0.031494 -0.153149
CMAK 17SEP20 2017.7194 58016 1967 3  119.4    888  0.850454   -567792 -0.331910    77  0.602063  0.0000 0.000550 0.000465 0.001979  0.036512 -0.046338 -0.146632
CMAK 17SEP21 2017.7221 58017 1967 4  119.4    888  0.849821   -567792 -0.338445    77  0.600971  0.0000 0.000549 0.000461 0.001957  0.012722 -0.016110 -0.101995
CMAK 17SEP22 2017.7248 58018 1967 5  119.4    888  0.852118   -567792 -0.334540    77  0.592907  0.0000 0.000555 0.000469 0.001964  0.023424 -0.035497 -0.118997
CMAK 17SEP23 2017.7276 58019 1967 6  119.4    888  0.853834   -567792 -0.338892    77  0.602723  0.0000 0.000558 0.000501 0.002031 -0.004126  0.003550 -0.171852
