site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COO2 11APR21 2011.3018 55672 1632 4  148.6    791  0.592545  -3435110 -0.743518   238  0.221044  0.0000 0.000646 0.000687 0.002810  0.125720  0.170154  0.208622
COO2 11APR22 2011.3046 55673 1632 5  148.6    791  0.594172  -3435110 -0.741825   238  0.209438  0.0000 0.000629 0.000677 0.002809  0.088759  0.123849  0.240055
COO2 11APR23 2011.3073 55674 1632 6  148.6    791  0.593222  -3435110 -0.744950   238  0.204416  0.0000 0.000611 0.000666 0.002697  0.105816  0.135699  0.206135
COO2 11APR26 2011.3155 55677 1633 2  148.6    791  0.590746  -3435110 -0.747894   238  0.208292  0.0000 0.000636 0.000655 0.002666  0.127492  0.171300  0.204372
COO2 11MAY01 2011.3292 55682 1634 0  148.6    791  0.590576  -3435110 -0.744114   238  0.207966  0.0000 0.000678 0.000743 0.003035  0.063516  0.096971  0.263783
COO2 11MAY02 2011.3320 55683 1634 1  148.6    791  0.590693  -3435110 -0.744673   238  0.208437  0.0000 0.000630 0.000675 0.002795  0.098259  0.149488  0.231236
COO2 11MAY03 2011.3347 55684 1634 2  148.6    791  0.591861  -3435110 -0.744676   238  0.205469  0.0000 0.000626 0.000685 0.002774  0.107684  0.167451  0.194353
COO2 11MAY04 2011.3374 55685 1634 3  148.6    791  0.590700  -3435110 -0.746427   238  0.206782  0.0000 0.000618 0.000681 0.002747  0.097046  0.168826  0.199169
COO2 11MAY05 2011.3402 55686 1634 4  148.6    791  0.589449  -3435110 -0.743285   238  0.210808  0.0000 0.000623 0.000677 0.002683  0.130114  0.174985  0.193570
COO2 11MAY06 2011.3429 55687 1634 5  148.6    791  0.590631  -3435110 -0.743366   238  0.204091  0.0000 0.000628 0.000679 0.002700  0.112436  0.165314  0.187847
COO2 11MAY07 2011.3457 55688 1634 6  148.6    791  0.589509  -3435110 -0.746048   238  0.205564  0.0000 0.000632 0.000658 0.002742  0.107458  0.200080  0.208006
COO2 11MAY08 2011.3484 55689 1635 0  148.6    791  0.591900  -3435110 -0.741619   238  0.205996  0.0000 0.000594 0.000655 0.002605  0.065270  0.096142  0.181548
COO2 11MAY09 2011.3511 55690 1635 1  148.6    791  0.590945  -3435110 -0.743303   238  0.201741  0.0000 0.000665 0.000736 0.002913  0.104804  0.057768  0.180031
COO2 11MAY10 2011.3539 55691 1635 2  148.6    791  0.590027  -3435110 -0.744574   238  0.207695  0.0000 0.000664 0.000720 0.002937  0.125285  0.120607  0.173146
COO2 12JAN18 2012.0465 55944 1671 3  148.6    791  0.601332  -3435110 -0.709753   238  0.193589  0.0000 0.000508 0.000572 0.002135 -0.082618 -0.214905  0.130373
COO2 12JAN19 2012.0493 55945 1671 4  148.6    791  0.604280  -3435110 -0.708492   238  0.199866  0.0000 0.000509 0.000588 0.002117 -0.069484 -0.165921  0.118709
COO2 12JAN21 2012.0548 55947 1671 6  148.6    791  0.603947  -3435110 -0.704667   238  0.200964  0.0000 0.000527 0.000580 0.002168 -0.058741 -0.185171  0.127541
COO2 12JAN22 2012.0575 55948 1672 0  148.6    791  0.601778  -3435110 -0.708135   238  0.210974  0.0000 0.000514 0.000569 0.002153 -0.077622 -0.212786  0.153369
COO2 12JAN23 2012.0602 55949 1672 1  148.6    791  0.606319  -3435110 -0.702674   238  0.198257  0.0000 0.000513 0.000574 0.002099 -0.078098 -0.163877  0.142682
COO2 12JAN24 2012.0630 55950 1672 2  148.6    791  0.604900  -3435110 -0.706060   238  0.199597  0.0000 0.000503 0.000565 0.002081 -0.083000 -0.200060  0.130554
COO2 12JAN25 2012.0657 55951 1672 3  148.6    791  0.603697  -3435110 -0.707591   238  0.200019  0.0000 0.000555 0.000620 0.002273 -0.060533 -0.149145  0.101628
COO2 12JAN26 2012.0684 55952 1672 4  148.6    791  0.606750  -3435110 -0.704485   238  0.213488  0.0000 0.001154 0.001226 0.004979 -0.125396 -0.188683  0.165055
COO2 12JAN27 2012.0712 55953 1672 5  148.6    791  0.602242  -3435110 -0.705966   238  0.218145  0.0000 0.000493 0.000564 0.002034 -0.062071 -0.154809  0.112177
COO2 12JAN28 2012.0739 55954 1672 6  148.6    791  0.612722  -3435110 -0.701826   238  0.201059  0.0000 0.000498 0.000565 0.002050 -0.079278 -0.174319  0.125794
COO2 12JAN29 2012.0767 55955 1673 0  148.6    791  0.607409  -3435110 -0.707913   238  0.203896  0.0000 0.000843 0.000883 0.003387 -0.070175 -0.126000  0.088044
COO2 12JAN30 2012.0794 55956 1673 1  148.6    791  0.601443  -3435110 -0.705045   238  0.217655  0.0000 0.000527 0.000593 0.002191 -0.058147 -0.173314  0.114036
