site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COYU 03MAR24 2003.2252 52722 1211 1 -100.1   2017  0.456907   1881232  0.863555    32  0.426591  0.0083 0.000671 0.000588 0.002805 -0.016874 -0.102908 -0.246580
COYU 03MAR25 2003.2279 52723 1211 2 -100.1   2017  0.455039   1881232  0.863009    32  0.425377  0.0083 0.000806 0.000677 0.003392 -0.050719 -0.152766 -0.214078
COYU 03MAR26 2003.2307 52724 1211 3 -100.1   2017  0.453855   1881232  0.861109    32  0.429381  0.0083 0.000827 0.000693 0.003390 -0.043663 -0.074712 -0.242293
COYU 03MAR27 2003.2334 52725 1211 4 -100.1   2017  0.457244   1881232  0.861211    32  0.433882  0.0083 0.000728 0.000640 0.003110 -0.006616 -0.106534 -0.260942
COYU 03MAR28 2003.2361 52726 1211 5 -100.1   2017  0.457548   1881232  0.862752    32  0.432307  0.0083 0.000679 0.000638 0.003008 -0.047325 -0.107955 -0.214795
COYU 03MAR29 2003.2389 52727 1211 6 -100.1   2017  0.454805   1881232  0.865172    32  0.432085  0.0083 0.000685 0.000596 0.002912 -0.047834 -0.072047 -0.278422
COYU 03MAR30 2003.2416 52728 1212 0 -100.1   2017  0.453445   1881232  0.861987    32  0.415604  0.0083 0.000669 0.000586 0.002794 -0.017223 -0.081583 -0.248917
COYU 03MAR31 2003.2444 52729 1212 1 -100.1   2017  0.454326   1881232  0.864165    32  0.423017  0.0083 0.000666 0.000599 0.002798 -0.024110 -0.069484 -0.223771
COYU 03APR01 2003.2471 52730 1212 2 -100.1   2017  0.455332   1881232  0.862142    32  0.419306  0.0083 0.000705 0.000630 0.002991 -0.052514 -0.076995 -0.241875
COYU 03APR02 2003.2498 52731 1212 3 -100.1   2017  0.452348   1881232  0.864291    32  0.426688  0.0083 0.000966 0.000818 0.003819  0.034732 -0.080120 -0.185062
COYU 03APR03 2003.2526 52732 1212 4 -100.1   2017  0.452096   1881232  0.863293    32  0.414404  0.0083 0.000688 0.000635 0.003027  0.008789 -0.102876 -0.273649
COYU 03APR04 2003.2553 52733 1212 5 -100.1   2017  0.453736   1881232  0.864819    32  0.416019  0.0083 0.001101 0.001003 0.004484 -0.021480  0.100899 -0.169340
COYU 03APR08 2003.2663 52737 1213 2 -100.1   2017  0.453045   1881232  0.863593    32  0.397535  0.0083 0.000696 0.000626 0.002907 -0.067733  0.008330 -0.246672
COYU 03APR09 2003.2690 52738 1213 3 -100.1   2017  0.455416   1881232  0.861418    32  0.412619  0.0083 0.000726 0.000622 0.002990 -0.027962 -0.096303 -0.164029
COYU 03APR10 2003.2717 52739 1213 4 -100.1   2017  0.455191   1881232  0.860198    32  0.426041  0.0083 0.000715 0.000627 0.002923 -0.045251 -0.068459 -0.190023
