site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CPNT 10SEP10 2010.6913 55449 1600 5   18.5   -947 -0.022822  -3802849 -0.806176   258  0.070748  0.0000 0.000497 0.000562 0.001900  0.000102 -0.051654  0.171460
CPNT 10SEP11 2010.6940 55450 1600 6   18.5   -947 -0.025995  -3802849 -0.805572   258  0.070560  0.0000 0.000501 0.000582 0.001930 -0.002498 -0.039558  0.166418
CPNT 10SEP12 2010.6968 55451 1601 0   18.5   -947 -0.023358  -3802849 -0.804393   258  0.074158  0.0000 0.000494 0.000560 0.001883 -0.000765 -0.037235  0.159962
CPNT 10SEP13 2010.6995 55452 1601 1   18.5   -947 -0.025585  -3802849 -0.804346   258  0.073757  0.0000 0.000494 0.000558 0.001875  0.001315 -0.024894  0.170624
CPNT 10SEP14 2010.7023 55453 1601 2   18.5   -947 -0.027383  -3802849 -0.805472   258  0.072739  0.0000 0.000496 0.000563 0.001885  0.003476 -0.040217  0.182106
CPNT 10SEP15 2010.7050 55454 1601 3   18.5   -947 -0.023311  -3802849 -0.807507   258  0.069111  0.0000 0.000498 0.000562 0.001897 -0.000832 -0.041448  0.188136
CPNT 10SEP16 2010.7077 55455 1601 4   18.5   -947 -0.024393  -3802849 -0.807780   258  0.068722  0.0000 0.000498 0.000568 0.001908 -0.013852 -0.051297  0.178461
CPNT 10SEP17 2010.7105 55456 1601 5   18.5   -947 -0.025710  -3802849 -0.806098   258  0.066078  0.0000 0.000495 0.000562 0.001882 -0.008540 -0.048565  0.173874
CPNT 10SEP18 2010.7132 55457 1601 6   18.5   -947 -0.024397  -3802849 -0.808244   258  0.070412  0.0000 0.000497 0.000557 0.001884  0.009547 -0.044105  0.181323
CPNT 10SEP19 2010.7159 55458 1602 0   18.5   -947 -0.023784  -3802849 -0.809425   258  0.060271  0.0000 0.000494 0.000558 0.001870 -0.001107 -0.050464  0.180907
CPNT 10SEP20 2010.7187 55459 1602 1   18.5   -947 -0.026169  -3802849 -0.808676   258  0.063111  0.0000 0.000498 0.000566 0.001903 -0.001037 -0.040241  0.186728
CPNT 10SEP22 2010.7242 55461 1602 3   18.5   -947 -0.022412  -3802849 -0.805347   258  0.068981  0.0000 0.000508 0.000580 0.001975 -0.027909 -0.073714  0.183091
CPNT 10SEP23 2010.7269 55462 1602 4   18.5   -947 -0.022950  -3802849 -0.807573   258  0.073203  0.0000 0.000510 0.000570 0.001931  0.004129 -0.046101  0.192104
CPNT 10SEP24 2010.7296 55463 1602 5   18.5   -947 -0.021276  -3802849 -0.806175   258  0.066534  0.0000 0.000493 0.000556 0.001868  0.005107 -0.031623  0.185716
CPNT 10SEP25 2010.7324 55464 1602 6   18.5   -947 -0.021936  -3802849 -0.807128   258  0.066375  0.0000 0.000495 0.000559 0.001878  0.004985 -0.043927  0.161979
CPNT 10SEP26 2010.7351 55465 1603 0   18.5   -947 -0.023178  -3802849 -0.804628   258  0.065843  0.0000 0.000496 0.000563 0.001886 -0.001094 -0.036093  0.165379
CPNT 10SEP27 2010.7379 55466 1603 1   18.5   -947 -0.021165  -3802849 -0.805383   258  0.073017  0.0000 0.000523 0.000594 0.001998 -0.049624 -0.071331  0.190419
CPNT 10SEP28 2010.7406 55467 1603 2   18.5   -947 -0.020768  -3802849 -0.805329   258  0.075632  0.0000 0.000511 0.000575 0.001936 -0.023466 -0.073492  0.157900
CPNT 10SEP29 2010.7433 55468 1603 3   18.5   -947 -0.022224  -3802849 -0.804040   258  0.075030  0.0000 0.000502 0.000565 0.001908  0.002163 -0.064082  0.171744
CPNT 10SEP30 2010.7461 55469 1603 4   18.5   -947 -0.024717  -3802849 -0.803457   258  0.073033  0.0000 0.000516 0.000575 0.001955  0.010929 -0.053958  0.187619
CPNT 10OCT01 2010.7488 55470 1603 5   18.5   -947 -0.023429  -3802849 -0.803651   258  0.071348  0.0000 0.000504 0.000569 0.001921  0.009985 -0.042852  0.183691
CPNT 10OCT02 2010.7515 55471 1603 6   18.5   -947 -0.020873  -3802849 -0.804114   258  0.067863  0.0000 0.000500 0.000562 0.001901  0.005532 -0.052388  0.169757
CPNT 10OCT03 2010.7543 55472 1604 0   18.5   -947 -0.020170  -3802849 -0.803764   258  0.071218  0.0000 0.000506 0.000575 0.001908  0.014910 -0.035540  0.171988
CPNT 10OCT04 2010.7570 55473 1604 1   18.5   -947 -0.020710  -3802849 -0.804530   258  0.077442  0.0000 0.000507 0.000570 0.001912  0.020423 -0.037919  0.179560
CPNT 10OCT05 2010.7598 55474 1604 2   18.5   -947 -0.019613  -3802849 -0.806035   258  0.070637  0.0000 0.000500 0.000558 0.001892 -0.001673 -0.054932  0.173405
CPNT 10OCT06 2010.7625 55475 1604 3   18.5   -947 -0.021616  -3802849 -0.803138   258  0.073819  0.0000 0.000502 0.000563 0.001887 -0.009699 -0.054031  0.162607
CPNT 10OCT07 2010.7652 55476 1604 4   18.5   -947 -0.024604  -3802849 -0.802338   258  0.079035  0.0000 0.000504 0.000568 0.001912 -0.005008 -0.056358  0.167744
CPNT 10OCT08 2010.7680 55477 1604 5   18.5   -947 -0.024572  -3802849 -0.802070   258  0.072133  0.0000 0.000507 0.000572 0.001927 -0.009881 -0.049477  0.169391
CPNT 10OCT09 2010.7707 55478 1604 6   18.5   -947 -0.025570  -3802849 -0.803904   258  0.073396  0.0000 0.000502 0.000570 0.001906 -0.010548 -0.050260  0.165081
CPNT 10OCT10 2010.7734 55479 1605 0   18.5   -947 -0.027420  -3802849 -0.802204   258  0.058894  0.0000 0.000509 0.000566 0.001927 -0.022516 -0.066028  0.164844
CPNT 10OCT11 2010.7762 55480 1605 1   18.5   -947 -0.021236  -3802849 -0.802680   258  0.052436  0.0000 0.000504 0.000566 0.001902 -0.021692 -0.057471  0.163225
CPNT 10OCT12 2010.7789 55481 1605 2   18.5   -947 -0.022837  -3802849 -0.802103   258  0.065098  0.0000 0.000500 0.000559 0.001874 -0.008544 -0.060083  0.161878
