site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CT50 10JUL01 2010.4969 55378 1590 4    2.8   -633 -0.140499   5445273  0.010201   207  0.614438  0.0000 0.000484 0.000624 0.001768  0.019652  0.025831 -0.046138
CT50 10JUL02 2010.4997 55379 1590 5    2.8   -633 -0.142714   5445273  0.010132   207  0.605490  0.0000 0.000487 0.000623 0.001780  0.026833  0.010529 -0.044010
CT50 10JUL03 2010.5024 55380 1590 6    2.8   -633 -0.140209   5445273  0.009412   207  0.606977  0.0000 0.000484 0.000630 0.001788  0.030859 -0.000976 -0.046793
CT50 10JUL04 2010.5051 55381 1591 0    2.8   -633 -0.140442   5445273  0.008264   207  0.610822  0.0000 0.000483 0.000625 0.001768  0.029117  0.000825 -0.063628
CT50 10JUL05 2010.5079 55382 1591 1    2.8   -633 -0.140052   5445273  0.011142   207  0.608842  0.0000 0.000480 0.000621 0.001748  0.017426  0.011371 -0.058431
CT50 10JUL06 2010.5106 55383 1591 2    2.8   -633 -0.141576   5445273  0.008895   207  0.606725  0.0000 0.000481 0.000624 0.001763  0.036149  0.006996 -0.045600
CT50 10JUL07 2010.5133 55384 1591 3    2.8   -633 -0.141796   5445273  0.007479   207  0.610956  0.0000 0.000482 0.000628 0.001775  0.031194  0.014039 -0.046724
CT50 10JUL08 2010.5161 55385 1591 4    2.8   -633 -0.139542   5445273  0.009802   207  0.608555  0.0000 0.000481 0.000630 0.001774  0.028795  0.012630 -0.060967
CT50 10JUL09 2010.5188 55386 1591 5    2.8   -633 -0.137574   5445273  0.010021   207  0.614039  0.0000 0.000483 0.000625 0.001773  0.034446  0.012924 -0.053454
CT50 10JUL10 2010.5216 55387 1591 6    2.8   -633 -0.140191   5445273  0.006474   207  0.616035  0.0000 0.000484 0.000624 0.001782  0.037882  0.009211 -0.045466
CT50 10JUL11 2010.5243 55388 1592 0    2.8   -633 -0.140945   5445273  0.007344   207  0.609826  0.0000 0.000477 0.000621 0.001753  0.041422 -0.001139 -0.043224
CT50 10JUL12 2010.5270 55389 1592 1    2.8   -633 -0.136619   5445273  0.007265   207  0.620627  0.0000 0.000482 0.000624 0.001779  0.028627  0.010035 -0.031920
