site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
DUMG 17APR26 2017.3169 57869 1946 3  140.0     96  0.724991  -7397015 -0.461807    -1 -0.666512  0.4270 0.000427 0.000569 0.001960 -0.033120 -0.022586 -0.371970
DUMG 17APR27 2017.3196 57870 1946 4  140.0     96  0.725125  -7397015 -0.461265    -1 -0.658599  0.4270 0.000445 0.000587 0.002013  0.010597 -0.011962 -0.366150
DUMG 17APR28 2017.3224 57871 1946 5  140.0     96  0.727052  -7397015 -0.461143    -1 -0.660293  0.4270 0.000452 0.000591 0.002002 -0.053730 -0.032388 -0.345502
DUMG 17APR29 2017.3251 57872 1946 6  140.0     96  0.724461  -7397015 -0.462172    -1 -0.660061  0.4270 0.000426 0.000551 0.001884 -0.004008 -0.040442 -0.354363
DUMG 17APR30 2017.3279 57873 1947 0  140.0     96  0.725977  -7397015 -0.459799    -1 -0.661633  0.4270 0.000414 0.000544 0.001871 -0.002151 -0.023765 -0.372426
DUMG 17MAY01 2017.3306 57874 1947 1  140.0     96  0.724946  -7397015 -0.466726    -1 -0.651253  0.4270 0.000418 0.000544 0.001902 -0.021394 -0.014734 -0.364333
DUMG 17MAY02 2017.3333 57875 1947 2  140.0     96  0.726332  -7397015 -0.462986    -1 -0.639850  0.4270 0.000429 0.000556 0.001945 -0.015825  0.008809 -0.328334
DUMG 17MAY03 2017.3361 57876 1947 3  140.0     96  0.724869  -7397015 -0.466398    -1 -0.641542  0.4270 0.000418 0.000546 0.001875 -0.014960 -0.012222 -0.362567
DUMG 17MAY04 2017.3388 57877 1947 4  140.0     96  0.725215  -7397015 -0.464822    -1 -0.643912  0.4270 0.000417 0.000543 0.001879 -0.008114 -0.001349 -0.367580
DUMG 17MAY05 2017.3415 57878 1947 5  140.0     96  0.726520  -7397015 -0.463104    -1 -0.644415  0.4270 0.000439 0.000571 0.001969 -0.016969 -0.035726 -0.361748
DUMG 17MAY06 2017.3443 57879 1947 6  140.0     96  0.726654  -7397015 -0.464524    -1 -0.652046  0.4270 0.000426 0.000550 0.001911 -0.009352 -0.043792 -0.355543
DUMG 17MAY07 2017.3470 57880 1948 0  140.0     96  0.726575  -7397015 -0.467016    -1 -0.645749  0.4270 0.000445 0.000567 0.001999 -0.065487 -0.016509 -0.344104
DUMG 17MAY08 2017.3498 57881 1948 1  140.0     96  0.725881  -7397015 -0.465436    -1 -0.647096  0.4270 0.000415 0.000553 0.001878 -0.012083 -0.007871 -0.370755
DUMG 17MAY09 2017.3525 57882 1948 2  140.0     96  0.726542  -7397015 -0.464594    -1 -0.651266  0.4270 0.000414 0.000543 0.001862 -0.010624 -0.007510 -0.349517
DUMG 17MAY10 2017.3552 57883 1948 3  140.0     96  0.726962  -7397015 -0.465664    -1 -0.658173  0.4270 0.000417 0.000548 0.001904 -0.006793 -0.010468 -0.369836
DUMG 17MAY11 2017.3580 57884 1948 4  140.0     96  0.726151  -7397015 -0.464027    -1 -0.654045  0.4270 0.000424 0.000549 0.001906 -0.009873 -0.038703 -0.355148
DUMG 17MAY12 2017.3607 57885 1948 5  140.0     96  0.723951  -7397015 -0.463475    -1 -0.658613  0.4270 0.000409 0.000541 0.001866  0.000884 -0.043369 -0.354255
DUMG 17MAY13 2017.3634 57886 1948 6  140.0     96  0.725021  -7397015 -0.464175    -1 -0.656261  0.4270 0.000411 0.000543 0.001860 -0.007535 -0.016883 -0.344873
DUMG 17MAY14 2017.3662 57887 1949 0  140.0     96  0.725249  -7397015 -0.463910    -1 -0.660989  0.4270 0.000412 0.000541 0.001881  0.000868 -0.023204 -0.345361
DUMG 17MAY15 2017.3689 57888 1949 1  140.0     96  0.723250  -7397015 -0.467407    -1 -0.663442  0.4270 0.000420 0.000550 0.001888 -0.028131 -0.009664 -0.344701
DUMG 17MAY16 2017.3717 57889 1949 2  140.0     96  0.725073  -7397015 -0.466325    -1 -0.663087  0.4270 0.000434 0.000584 0.001970 -0.019564 -0.015007 -0.401661
DUMG 17MAY17 2017.3744 57890 1949 3  140.0     96  0.725654  -7397015 -0.467623    -1 -0.659328  0.4270 0.000427 0.000552 0.001905 -0.018834 -0.032572 -0.352950
DUMG 17MAY18 2017.3771 57891 1949 4  140.0     96  0.725320  -7397015 -0.469427    -1 -0.645362  0.4270 0.000429 0.000559 0.001960 -0.002581 -0.044640 -0.337178
DUMG 17MAY19 2017.3799 57892 1949 5  140.0     96  0.721274  -7397015 -0.468366    -1 -0.641316  0.4270 0.000466 0.000599 0.002093 -0.024858  0.018827 -0.380878
DUMG 17MAY20 2017.3826 57893 1949 6  140.0     96  0.726683  -7397015 -0.465949    -1 -0.657854  0.4270 0.000436 0.000614 0.002170  0.002687 -0.033069 -0.466839
DUMG 17MAY21 2017.3854 57894 1950 0  140.0     96  0.728372  -7397015 -0.467367    -1 -0.650829  0.4270 0.000418 0.000556 0.001921  0.005885 -0.032434 -0.391069
DUMG 17MAY22 2017.3881 57895 1950 1  140.0     96  0.724523  -7397015 -0.466127    -1 -0.644351  0.4270 0.000419 0.000552 0.001924 -0.001380 -0.009873 -0.391471
DUMG 17MAY23 2017.3908 57896 1950 2  140.0     96  0.724321  -7397015 -0.470910    -1 -0.652706  0.4270 0.000412 0.000551 0.001888 -0.010121 -0.020930 -0.373282
DUMG 17MAY24 2017.3936 57897 1950 3  140.0     96  0.725052  -7397015 -0.468419    -1 -0.646555  0.4270 0.000412 0.000541 0.001868  0.015142 -0.032796 -0.354743
DUMG 17MAY25 2017.3963 57898 1950 4  140.0     96  0.726154  -7397015 -0.467497    -1 -0.643592  0.4270 0.000409 0.000544 0.001851  0.004677 -0.010431 -0.359156
DUMG 17MAY26 2017.3990 57899 1950 5  140.0     96  0.725521  -7397015 -0.465404    -1 -0.652181  0.4270 0.000412 0.000537 0.001853 -0.002572 -0.017511 -0.349217
DUMG 17MAY27 2017.4018 57900 1950 6  140.0     96  0.724495  -7397015 -0.464815    -1 -0.655779  0.4270 0.000420 0.000546 0.001936 -0.002572 -0.031718 -0.370917
DUMG 17MAY28 2017.4045 57901 1951 0  140.0     96  0.723530  -7397015 -0.466394    -1 -0.652613  0.4270 0.000453 0.000587 0.002003 -0.018824 -0.004804 -0.342950
DUMG 17MAY29 2017.4073 57902 1951 1  140.0     96  0.727169  -7397015 -0.465637    -1 -0.654515  0.4270 0.000423 0.000551 0.001937 -0.025908  0.001331 -0.344977
DUMG 17MAY30 2017.4100 57903 1951 2  140.0     96  0.726758  -7397015 -0.467215    -1 -0.644322  0.4270 0.000427 0.000550 0.001924 -0.012566 -0.020204 -0.344547
DUMG 17MAY31 2017.4127 57904 1951 3  140.0     96  0.727643  -7397015 -0.465599    -1 -0.645789  0.4270 0.000445 0.000569 0.001998 -0.032013  0.003590 -0.356302
DUMG 17JUN01 2017.4155 57905 1951 4  140.0     96  0.726953  -7397015 -0.464277    -1 -0.643825  0.4270 0.000448 0.000565 0.002023 -0.047703  0.006689 -0.361229
