site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
DUNF 05SEP10 2005.6920 53623 1339 6 -117.3   -784 -0.542337   4131316  0.343508  1961  0.383935  0.1000 0.000530 0.000671 0.002230 -0.038014  0.071448 -0.248801
DUNF 05SEP11 2005.6947 53624 1340 0 -117.3   -784 -0.541871   4131316  0.343478  1961  0.390235  0.1000 0.000552 0.000702 0.002349 -0.048078  0.086880 -0.262033
DUNF 05SEP12 2005.6975 53625 1340 1 -117.3   -784 -0.541114   4131316  0.343457  1961  0.386518  0.1000 0.000538 0.000671 0.002263 -0.055029  0.117485 -0.227263
DUNF 05SEP14 2005.7029 53627 1340 3 -117.3   -784 -0.541922   4131316  0.343232  1961  0.380899  0.1000 0.000548 0.000695 0.002366 -0.050233  0.081592 -0.305196
DUNF 05SEP15 2005.7057 53628 1340 4 -117.3   -784 -0.541354   4131316  0.341677  1961  0.384454  0.1000 0.000571 0.000708 0.002440 -0.036316  0.046220 -0.291160
DUNF 05SEP17 2005.7112 53630 1340 6 -117.3   -784 -0.543135   4131316  0.342182  1961  0.385198  0.1000 0.000530 0.000662 0.002297 -0.039342  0.097288 -0.255169
DUNF 05SEP20 2005.7194 53633 1341 2 -117.3   -784 -0.543150   4131316  0.340907  1961  0.375222  0.1000 0.000594 0.000732 0.002513 -0.039598  0.099007 -0.228597
DUNF 07AUG25 2007.6468 54337 1441 6 -117.3   -784 -0.574344   4131316  0.326729  1961  0.381337  0.1000 0.000554 0.000684 0.002453 -0.013872  0.029579 -0.368246
DUNF 07AUG26 2007.6496 54338 1442 0 -117.3   -784 -0.575472   4131316  0.326808  1961  0.381360  0.1000 0.000561 0.000691 0.002454 -0.026572  0.051670 -0.364019
DUNF 07AUG27 2007.6523 54339 1442 1 -117.3   -784 -0.572885   4131316  0.329244  1961  0.384774  0.1000 0.000558 0.000689 0.002457 -0.030345  0.071482 -0.369920
DUNF 07AUG28 2007.6550 54340 1442 2 -117.3   -784 -0.572897   4131316  0.326315  1961  0.389479  0.1000 0.000542 0.000682 0.002427 -0.035260  0.070183 -0.367185
DUNF 07AUG29 2007.6578 54341 1442 3 -117.3   -784 -0.575212   4131316  0.326410  1961  0.376521  0.1000 0.000559 0.000680 0.002444 -0.026110  0.044839 -0.366756
DUNF 07AUG30 2007.6605 54342 1442 4 -117.3   -784 -0.573282   4131316  0.324933  1961  0.380236  0.1000 0.000549 0.000680 0.002489 -0.016509  0.048209 -0.382711
DUNF 07AUG31 2007.6632 54343 1442 5 -117.3   -784 -0.573409   4131316  0.329285  1961  0.367974  0.1000 0.000544 0.000687 0.002495 -0.005716  0.039511 -0.374370
DUNF 07SEP01 2007.6660 54344 1442 6 -117.3   -784 -0.577421   4131316  0.324680  1961  0.384640  0.1000 0.000557 0.000685 0.002491 -0.027768  0.043363 -0.362638
DUNF 07SEP02 2007.6687 54345 1443 0 -117.3   -784 -0.574121   4131316  0.329057  1961  0.375290  0.1000 0.000551 0.000685 0.002467 -0.023331  0.055903 -0.363178
DUNF 07SEP03 2007.6715 54346 1443 1 -117.3   -784 -0.573250   4131316  0.325402  1961  0.374260  0.1000 0.000551 0.000678 0.002405 -0.033226  0.074329 -0.349353
DUNF 09SEP12 2009.6975 55086 1548 6 -117.3   -784 -0.607187   4131316  0.309672  1961  0.382634  0.1000 0.000543 0.000646 0.002333 -0.015508  0.037496 -0.324874
DUNF 09SEP13 2009.7002 55087 1549 0 -117.3   -784 -0.606579   4131316  0.307197  1961  0.380428  0.1000 0.000546 0.000641 0.002332 -0.001463  0.036055 -0.310284
DUNF 09SEP14 2009.7029 55088 1549 1 -117.3   -784 -0.606243   4131316  0.310062  1961  0.372595  0.1000 0.000529 0.000638 0.002323  0.021198  0.025160 -0.345639
DUNF 09SEP15 2009.7057 55089 1549 2 -117.3   -784 -0.607334   4131316  0.310640  1961  0.383748  0.1000 0.000532 0.000630 0.002264  0.003997  0.034372 -0.326278
DUNF 09SEP16 2009.7084 55090 1549 3 -117.3   -784 -0.606622   4131316  0.311958  1961  0.383333  0.1000 0.000539 0.000642 0.002319  0.008158  0.040502 -0.341884
DUNF 09SEP17 2009.7112 55091 1549 4 -117.3   -784 -0.606995   4131316  0.311258  1961  0.382026  0.1000 0.000541 0.000642 0.002357 -0.011605  0.017476 -0.341268
DUNF 09SEP18 2009.7139 55092 1549 5 -117.3   -784 -0.610543   4131316  0.309766  1961  0.383632  0.1000 0.000546 0.000656 0.002364 -0.021121  0.045489 -0.344695
DUNF 09SEP19 2009.7166 55093 1549 6 -117.3   -784 -0.608279   4131316  0.310607  1961  0.381056  0.1000 0.000531 0.000636 0.002274 -0.003155  0.058312 -0.327968
DUNF 09SEP20 2009.7194 55094 1550 0 -117.3   -784 -0.608035   4131316  0.310256  1961  0.375014  0.1000 0.000534 0.000634 0.002272 -0.002900  0.061008 -0.324830
DUNF 09SEP21 2009.7221 55095 1550 1 -117.3   -784 -0.608592   4131316  0.311933  1961  0.376175  0.1000 0.000539 0.000632 0.002319  0.005994  0.031586 -0.340888
DUNF 09SEP22 2009.7248 55096 1550 2 -117.3   -784 -0.609358   4131316  0.312238  1961  0.381591  0.1000 0.000548 0.000647 0.002341 -0.006450  0.060327 -0.340070
DUNF 09SEP23 2009.7276 55097 1550 3 -117.3   -784 -0.606938   4131316  0.311934  1961  0.377037  0.1000 0.000553 0.000664 0.002437  0.007575  0.029765 -0.361138
DUNF 09SEP24 2009.7303 55098 1550 4 -117.3   -784 -0.608550   4131316  0.312199  1961  0.377144  0.1000 0.000541 0.000638 0.002329  0.007712  0.005396 -0.333437
DUNF 09SEP25 2009.7331 55099 1550 5 -117.3   -784 -0.608041   4131316  0.309800  1961  0.383767  0.1000 0.000548 0.000658 0.002423  0.023497  0.007337 -0.363344
DUNF 09SEP26 2009.7358 55100 1550 6 -117.3   -784 -0.608893   4131316  0.311708  1961  0.383612  0.1000 0.000537 0.000637 0.002336  0.012908  0.032177 -0.346495
DUNF 09SEP27 2009.7385 55101 1551 0 -117.3   -784 -0.610187   4131316  0.309363  1961  0.388132  0.1000 0.000538 0.000640 0.002302 -0.000419  0.036127 -0.325470
DUNF 09SEP28 2009.7413 55102 1551 1 -117.3   -784 -0.607700   4131316  0.307761  1961  0.386965  0.1000 0.000547 0.000651 0.002328 -0.001508  0.037422 -0.324851
DUNF 09SEP29 2009.7440 55103 1551 2 -117.3   -784 -0.607945   4131316  0.308712  1961  0.384080  0.1000 0.000548 0.000653 0.002329  0.022449  0.022730 -0.335625
DUNF 09SEP30 2009.7467 55104 1551 3 -117.3   -784 -0.609499   4131316  0.309437  1961  0.388774  0.1000 0.000534 0.000634 0.002273  0.003875  0.025158 -0.329830
DUNF 09OCT01 2009.7495 55105 1551 4 -117.3   -784 -0.607907   4131316  0.310617  1961  0.379822  0.1000 0.000542 0.000642 0.002334  0.023653 -0.007408 -0.344790
DUNF 09OCT02 2009.7522 55106 1551 5 -117.3   -784 -0.609921   4131316  0.310030  1961  0.380419  0.1000 0.000537 0.000629 0.002265  0.002197  0.028734 -0.327657
DUNF 09OCT03 2009.7550 55107 1551 6 -117.3   -784 -0.609638   4131316  0.308977  1961  0.386975  0.1000 0.000546 0.000642 0.002353  0.019698 -0.012173 -0.342732
DUNF 09OCT04 2009.7577 55108 1552 0 -117.3   -784 -0.608722   4131316  0.309227  1961  0.379745  0.1000 0.000537 0.000633 0.002286 -0.003705  0.026407 -0.333025
DUNF 09OCT05 2009.7604 55109 1552 1 -117.3   -784 -0.610399   4131316  0.309401  1961  0.384605  0.1000 0.000533 0.000631 0.002270  0.014729  0.018122 -0.325413
DUNF 09OCT06 2009.7632 55110 1552 2 -117.3   -784 -0.610237   4131316  0.308425  1961  0.381579  0.1000 0.000536 0.000634 0.002275  0.002347  0.028646 -0.320179
DUNF 09OCT07 2009.7659 55111 1552 3 -117.3   -784 -0.610132   4131316  0.309775  1961  0.380960  0.1000 0.000533 0.000631 0.002264  0.007538  0.031433 -0.325940
DUNF 09OCT08 2009.7687 55112 1552 4 -117.3   -784 -0.609565   4131316  0.309902  1961  0.383680  0.1000 0.000546 0.000659 0.002343  0.026197  0.026486 -0.341649
DUNF 09OCT09 2009.7714 55113 1552 5 -117.3   -784 -0.607271   4131316  0.310843  1961  0.382894  0.1000 0.000538 0.000635 0.002277  0.003668  0.015396 -0.321291
