site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
EOST 07APR12 2007.2772 54202 1422 4    7.8  -2767 -0.386169   5382903  0.790674   213  0.297156  0.0000 0.000613 0.000773 0.002311 -0.018151 -0.068678  0.050393
EOST 07APR13 2007.2799 54203 1422 5    7.8  -2767 -0.387527   5382903  0.791423   213  0.295002  0.0000 0.000473 0.000609 0.001765  0.031009 -0.043126 -0.011480
EOST 07APR14 2007.2827 54204 1422 6    7.8  -2767 -0.386224   5382903  0.791755   213  0.298140  0.0000 0.000477 0.000621 0.001808  0.008649 -0.026142 -0.008208
EOST 07APR15 2007.2854 54205 1423 0    7.8  -2767 -0.387488   5382903  0.792663   213  0.299750  0.0000 0.000474 0.000617 0.001772  0.020976 -0.037103 -0.002243
EOST 07APR16 2007.2882 54206 1423 1    7.8  -2767 -0.387392   5382903  0.792474   213  0.300545  0.0000 0.000472 0.000621 0.001770  0.021505 -0.051777  0.015234
EOST 07APR17 2007.2909 54207 1423 2    7.8  -2767 -0.386667   5382903  0.791989   213  0.301831  0.0000 0.000474 0.000617 0.001785  0.022103 -0.031380 -0.004736
EOST 07APR18 2007.2936 54208 1423 3    7.8  -2767 -0.387552   5382903  0.792696   213  0.294603  0.0000 0.000474 0.000612 0.001762  0.021080 -0.025072  0.000312
EOST 07APR19 2007.2964 54209 1423 4    7.8  -2767 -0.386274   5382903  0.791984   213  0.301660  0.0000 0.000475 0.000618 0.001784  0.013468 -0.029914  0.017306
EOST 07APR20 2007.2991 54210 1423 5    7.8  -2767 -0.386473   5382903  0.792885   213  0.298826  0.0000 0.000473 0.000617 0.001786 -0.001451 -0.016521 -0.000391
EOST 07APR21 2007.3018 54211 1423 6    7.8  -2767 -0.386496   5382903  0.792407   213  0.293922  0.0000 0.000473 0.000614 0.001771  0.015064 -0.047099  0.006135
EOST 07APR22 2007.3046 54212 1424 0    7.8  -2767 -0.384788   5382903  0.790686   213  0.298701  0.0000 0.000471 0.000614 0.001771 -0.000292 -0.038873  0.005432
EOST 07APR23 2007.3073 54213 1424 1    7.8  -2767 -0.385376   5382903  0.790794   213  0.301893  0.0000 0.000489 0.000630 0.001826  0.004871 -0.054352 -0.004553
EOST 07APR24 2007.3101 54214 1424 2    7.8  -2767 -0.384503   5382903  0.790438   213  0.306186  0.0000 0.000486 0.000624 0.001805  0.006367 -0.044167 -0.019018
EOST 07APR25 2007.3128 54215 1424 3    7.8  -2767 -0.384433   5382903  0.793566   213  0.304305  0.0000 0.000491 0.000628 0.001831  0.010513 -0.050130 -0.016018
EOST 07APR26 2007.3155 54216 1424 4    7.8  -2767 -0.384491   5382903  0.793893   213  0.298955  0.0000 0.000474 0.000615 0.001778  0.014116 -0.039084  0.000406
EOST 07APR27 2007.3183 54217 1424 5    7.8  -2767 -0.385322   5382903  0.791185   213  0.297492  0.0000 0.000472 0.000611 0.001773  0.025202 -0.055626  0.006555
EOST 07APR28 2007.3210 54218 1424 6    7.8  -2767 -0.384923   5382903  0.791972   213  0.301769  0.0000 0.000472 0.000614 0.001772  0.016015 -0.044783  0.013257
EOST 07APR29 2007.3238 54219 1425 0    7.8  -2767 -0.388027   5382903  0.793359   213  0.300525  0.0000 0.000473 0.000613 0.001780  0.013421 -0.043534  0.016642
EOST 07MAY04 2007.3374 54224 1425 5    7.8  -2767 -0.386592   5382903  0.794070   213  0.300201  0.0000 0.000565 0.000703 0.002060 -0.034313 -0.069517  0.005165
EOST 07MAY19 2007.3785 54239 1427 6    7.8  -2767 -0.384728   5382903  0.794574   213  0.296820  0.0000 0.000479 0.000621 0.001783  0.006524 -0.054673 -0.025908
EOST 07MAY20 2007.3812 54240 1428 0    7.8  -2767 -0.383340   5382903  0.792914   213  0.309329  0.0000 0.000483 0.000614 0.001789  0.006245 -0.036108 -0.029462
EOST 07MAY21 2007.3840 54241 1428 1    7.8  -2767 -0.381543   5382903  0.791887   213  0.309561  0.0000 0.000482 0.000619 0.001800  0.000787 -0.049121  0.001407
EOST 07MAY22 2007.3867 54242 1428 2    7.8  -2767 -0.383372   5382903  0.790898   213  0.305654  0.0000 0.000482 0.000625 0.001812  0.015701 -0.055631  0.003199
EOST 07MAY23 2007.3895 54243 1428 3    7.8  -2767 -0.385817   5382903  0.793083   213  0.297069  0.0000 0.000477 0.000622 0.001793  0.010281 -0.057613  0.002761
EOST 07MAY24 2007.3922 54244 1428 4    7.8  -2767 -0.384136   5382903  0.792255   213  0.300096  0.0000 0.000493 0.000634 0.001844  0.017075 -0.049794 -0.022281
