site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
EPHR 06JUL19 2006.5462 53935 1384 3 -119.5  -3377 -0.164564   5243860  0.637604   375  0.415326  0.0000 0.000712 0.001019 0.002655 -0.000597 -0.108332 -0.114529
EPHR 06JUL20 2006.5489 53936 1384 4 -119.5  -3377 -0.165395   5243860  0.638308   375  0.423139  0.0000 0.000470 0.000640 0.001797 -0.015746 -0.036788 -0.080149
EPHR 06JUL21 2006.5517 53937 1384 5 -119.5  -3377 -0.165436   5243860  0.635867   375  0.432384  0.0000 0.000503 0.000676 0.001931 -0.022969 -0.043975 -0.027857
EPHR 06JUL22 2006.5544 53938 1384 6 -119.5  -3377 -0.163409   5243860  0.633007   375  0.429004  0.0000 0.000470 0.000637 0.001800 -0.013566 -0.030765 -0.055693
EPHR 06JUL23 2006.5572 53939 1385 0 -119.5  -3377 -0.165418   5243860  0.636235   375  0.425690  0.0000 0.000474 0.000650 0.001827 -0.030277 -0.019101 -0.062131
EPHR 06JUL24 2006.5599 53940 1385 1 -119.5  -3377 -0.164530   5243860  0.634766   375  0.425793  0.0000 0.000467 0.000639 0.001784 -0.035840 -0.030710 -0.066167
EPHR 06JUL25 2006.5626 53941 1385 2 -119.5  -3377 -0.166537   5243860  0.636537   375  0.433769  0.0000 0.000478 0.000646 0.001833 -0.024721 -0.039028 -0.082163
EPHR 06JUL26 2006.5654 53942 1385 3 -119.5  -3377 -0.165629   5243860  0.638041   375  0.431442  0.0000 0.000471 0.000643 0.001783 -0.030175 -0.014454 -0.044233
EPHR 06JUL27 2006.5681 53943 1385 4 -119.5  -3377 -0.166436   5243860  0.638869   375  0.435314  0.0000 0.000559 0.000734 0.002181 -0.043864 -0.014709 -0.067417
EPHR 06JUL28 2006.5708 53944 1385 5 -119.5  -3377 -0.166502   5243860  0.636700   375  0.423593  0.0000 0.000554 0.000728 0.002148 -0.032455 -0.055675 -0.062948
EPHR 06JUL29 2006.5736 53945 1385 6 -119.5  -3377 -0.164166   5243860  0.637287   375  0.419137  0.0000 0.000530 0.000704 0.002044 -0.019344  0.003391 -0.093881
EPHR 06JUL30 2006.5763 53946 1386 0 -119.5  -3377 -0.167577   5243860  0.638061   375  0.416453  0.0000 0.000472 0.000642 0.001802 -0.008668 -0.056048 -0.087996
EPHR 06JUL31 2006.5791 53947 1386 1 -119.5  -3377 -0.165508   5243860  0.633755   375  0.426425  0.0000 0.000473 0.000643 0.001808 -0.008226 -0.037592 -0.077538
EPHR 06AUG01 2006.5818 53948 1386 2 -119.5  -3377 -0.166834   5243860  0.635113   375  0.415685  0.0000 0.000478 0.000649 0.001826  0.003827 -0.050755 -0.072297
EPHR 06AUG02 2006.5845 53949 1386 3 -119.5  -3377 -0.167529   5243860  0.637183   375  0.408995  0.0000 0.000670 0.000886 0.002648 -0.030355  0.013565 -0.066128
EPHR 06AUG03 2006.5873 53950 1386 4 -119.5  -3377 -0.164309   5243860  0.639912   375  0.427266  0.0000 0.000787 0.001044 0.003143 -0.001931 -0.014122 -0.077885
EPHR 06AUG04 2006.5900 53951 1386 5 -119.5  -3377 -0.165033   5243860  0.634723   375  0.431092  0.0000 0.000492 0.000678 0.001876 -0.021771 -0.030407 -0.095156
EPHR 06AUG05 2006.5927 53952 1386 6 -119.5  -3377 -0.166681   5243860  0.637800   375  0.423649  0.0000 0.000486 0.000666 0.001845 -0.029190 -0.026031 -0.081496
EPHR 06AUG06 2006.5955 53953 1387 0 -119.5  -3377 -0.168258   5243860  0.636015   375  0.427222  0.0000 0.000488 0.000661 0.001839 -0.019338 -0.033248 -0.072478
EPHR 06AUG07 2006.5982 53954 1387 1 -119.5  -3377 -0.167968   5243860  0.636102   375  0.421972  0.0000 0.000489 0.000667 0.001852 -0.003098 -0.052674 -0.080054
EPHR 06AUG08 2006.6010 53955 1387 2 -119.5  -3377 -0.166841   5243860  0.634453   375  0.421227  0.0000 0.000476 0.000649 0.001812 -0.016451 -0.037285 -0.066681
EPHR 06AUG09 2006.6037 53956 1387 3 -119.5  -3377 -0.167803   5243860  0.636709   375  0.422285  0.0000 0.000473 0.000649 0.001819 -0.023274 -0.032814 -0.083166
