site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FRRL 16APR22 2016.3066 57500 1893 5   -8.3  -3088 -0.528548   4813984  0.276306   111  0.624523  0.0600 0.000569 0.000733 0.002085  0.003237 -0.001322 -0.060875
FRRL 16APR23 2016.3094 57501 1893 6   -8.3  -3088 -0.529742   4813984  0.279203   111  0.624047  0.0600 0.000470 0.000595 0.001747  0.022629 -0.034896 -0.089972
FRRL 16APR24 2016.3121 57502 1894 0   -8.3  -3088 -0.524548   4813984  0.279323   111  0.612737  0.0600 0.000472 0.000594 0.001744  0.003967  0.001771 -0.077933
FRRL 16APR25 2016.3149 57503 1894 1   -8.3  -3088 -0.526849   4813984  0.279364   111  0.622801  0.0600 0.000475 0.000597 0.001777  0.004753 -0.042264 -0.061145
FRRL 16APR26 2016.3176 57504 1894 2   -8.3  -3088 -0.528272   4813984  0.281295   111  0.621484  0.0600 0.000465 0.000587 0.001720  0.010241 -0.018767 -0.080014
FRRL 16APR27 2016.3203 57505 1894 3   -8.3  -3088 -0.526421   4813984  0.283249   111  0.618104  0.0600 0.000467 0.000588 0.001730  0.015199 -0.042294 -0.077448
FRRL 16APR28 2016.3231 57506 1894 4   -8.3  -3088 -0.528027   4813984  0.281724   111  0.623495  0.0600 0.000472 0.000592 0.001754  0.007014 -0.005851 -0.079473
FRRL 16APR29 2016.3258 57507 1894 5   -8.3  -3088 -0.526143   4813984  0.281303   111  0.625106  0.0600 0.000467 0.000594 0.001761  0.010557 -0.025303 -0.100583
FRRL 16APR30 2016.3285 57508 1894 6   -8.3  -3088 -0.526177   4813984  0.280530   111  0.624907  0.0600 0.000469 0.000590 0.001745  0.025025 -0.027210 -0.080152
FRRL 16MAY01 2016.3313 57509 1895 0   -8.3  -3088 -0.523999   4813984  0.280876   111  0.626141  0.0600 0.000465 0.000594 0.001740  0.019538 -0.018910 -0.085827
FRRL 16MAY02 2016.3340 57510 1895 1   -8.3  -3088 -0.524902   4813984  0.283044   111  0.625616  0.0600 0.000473 0.000596 0.001736  0.023969 -0.028666 -0.074382
FRRL 16MAY03 2016.3368 57511 1895 2   -8.3  -3088 -0.527549   4813984  0.281998   111  0.629933  0.0600 0.000465 0.000588 0.001717  0.022914 -0.028618 -0.072935
FRRL 16MAY04 2016.3395 57512 1895 3   -8.3  -3088 -0.526615   4813984  0.281545   111  0.626479  0.0600 0.000476 0.000602 0.001754  0.015839 -0.004109 -0.089409
FRRL 16MAY05 2016.3422 57513 1895 4   -8.3  -3088 -0.526335   4813984  0.282901   111  0.628058  0.0600 0.000472 0.000605 0.001768  0.040108 -0.038849 -0.076301
FRRL 16MAY06 2016.3450 57514 1895 5   -8.3  -3088 -0.527535   4813984  0.283605   111  0.622458  0.0600 0.000479 0.000602 0.001761  0.016652 -0.022462 -0.098449
FRRL 16MAY07 2016.3477 57515 1895 6   -8.3  -3088 -0.527664   4813984  0.281519   111  0.619805  0.0600 0.000467 0.000595 0.001741  0.003481 -0.013128 -0.071346
FRRL 16MAY08 2016.3504 57516 1896 0   -8.3  -3088 -0.526893   4813984  0.284944   111  0.618576  0.0600 0.000482 0.000604 0.001791  0.014861 -0.003632 -0.093986
FRRL 16MAY09 2016.3532 57517 1896 1   -8.3  -3088 -0.527313   4813984  0.280639   111  0.625034  0.0600 0.000465 0.000587 0.001716  0.012031  0.005412 -0.082548
FRRL 16MAY10 2016.3559 57518 1896 2   -8.3  -3088 -0.527805   4813984  0.280747   111  0.619413  0.0600 0.000468 0.000590 0.001738  0.011407 -0.017953 -0.102541
FRRL 16MAY11 2016.3587 57519 1896 3   -8.3  -3088 -0.527478   4813984  0.281193   111  0.617389  0.0600 0.000471 0.000592 0.001758  0.020578 -0.024139 -0.092940
FRRL 16MAY12 2016.3614 57520 1896 4   -8.3  -3088 -0.525544   4813984  0.280518   111  0.619631  0.0600 0.000462 0.000591 0.001719  0.001827 -0.006156 -0.061193
FRRL 16MAY13 2016.3641 57521 1896 5   -8.3  -3088 -0.527171   4813984  0.280329   111  0.621657  0.0600 0.000469 0.000596 0.001754  0.008559  0.005682 -0.075598
FRRL 16MAY14 2016.3669 57522 1896 6   -8.3  -3088 -0.525085   4813984  0.280940   111  0.625221  0.0600 0.000464 0.000592 0.001726  0.015986 -0.002130 -0.053864
FRRL 16MAY15 2016.3696 57523 1897 0   -8.3  -3088 -0.525498   4813984  0.283044   111  0.623378  0.0600 0.000464 0.000588 0.001708  0.021783 -0.024790 -0.071593
FRRL 16MAY16 2016.3723 57524 1897 1   -8.3  -3088 -0.526103   4813984  0.281710   111  0.624807  0.0600 0.000469 0.000591 0.001750  0.007222 -0.014363 -0.107393
FRRL 16MAY17 2016.3751 57525 1897 2   -8.3  -3088 -0.525363   4813984  0.282011   111  0.628083  0.0600 0.000464 0.000593 0.001723  0.005217  0.002996 -0.065443
FRRL 16MAY18 2016.3778 57526 1897 3   -8.3  -3088 -0.525131   4813984  0.282257   111  0.624476  0.0600 0.000468 0.000593 0.001730 -0.014618  0.013092 -0.072204
FRRL 16MAY19 2016.3806 57527 1897 4   -8.3  -3088 -0.523559   4813984  0.281514   111  0.630090  0.0600 0.000480 0.000609 0.001783  0.042206 -0.020206 -0.091287
FRRL 16MAY20 2016.3833 57528 1897 5   -8.3  -3088 -0.523644   4813984  0.283009   111  0.627913  0.0600 0.000471 0.000592 0.001741  0.008303 -0.032516 -0.051974
FRRL 16MAY21 2016.3860 57529 1897 6   -8.3  -3088 -0.524981   4813984  0.281662   111  0.627361  0.0600 0.000463 0.000589 0.001716  0.014269 -0.002637 -0.068566
FRRL 16MAY22 2016.3888 57530 1898 0   -8.3  -3088 -0.525190   4813984  0.281947   111  0.619426  0.0600 0.000465 0.000590 0.001729  0.018332  0.004021 -0.086749
FRRL 16MAY23 2016.3915 57531 1898 1   -8.3  -3088 -0.526324   4813984  0.281197   111  0.628398  0.0600 0.000464 0.000593 0.001726 -0.018209  0.041225 -0.051601
FRRL 16MAY24 2016.3943 57532 1898 2   -8.3  -3088 -0.526452   4813984  0.281800   111  0.614292  0.0600 0.000471 0.000595 0.001745  0.016891 -0.013463 -0.077529
FRRL 16MAY25 2016.3970 57533 1898 3   -8.3  -3088 -0.527855   4813984  0.282989   111  0.619965  0.0600 0.000470 0.000592 0.001741  0.019138 -0.015734 -0.080108
FRRL 16MAY26 2016.3997 57534 1898 4   -8.3  -3088 -0.525256   4813984  0.283271   111  0.622053  0.0600 0.000482 0.000604 0.001778  0.009664 -0.032657 -0.075967
FRRL 16MAY27 2016.4025 57535 1898 5   -8.3  -3088 -0.525106   4813984  0.283030   111  0.624778  0.0600 0.000477 0.000605 0.001769  0.016486 -0.004975 -0.074675
FRRL 16MAY28 2016.4052 57536 1898 6   -8.3  -3088 -0.524574   4813984  0.282860   111  0.629641  0.0600 0.000461 0.000586 0.001704  0.005647  0.009996 -0.052762
FRRL 16MAY29 2016.4079 57537 1899 0   -8.3  -3088 -0.524971   4813984  0.282860   111  0.622143  0.0600 0.000469 0.000586 0.001737  0.010226 -0.030447 -0.078572
FRRL 16MAY30 2016.4107 57538 1899 1   -8.3  -3088 -0.524867   4813984  0.283459   111  0.624045  0.0600 0.000468 0.000591 0.001740  0.019431 -0.001249 -0.054861
FRRL 16MAY31 2016.4134 57539 1899 2   -8.3  -3088 -0.523026   4813984  0.285393   111  0.618442  0.0600 0.000462 0.000586 0.001704  0.017420 -0.018204 -0.071395
FRRL 16JUN01 2016.4162 57540 1899 3   -8.3  -3088 -0.521096   4813984  0.286959   111  0.613418  0.0600 0.000466 0.000594 0.001735  0.007484 -0.029083 -0.067842
FRRL 16JUN02 2016.4189 57541 1899 4   -8.3  -3088 -0.525820   4813984  0.284507   111  0.626369  0.0600 0.000464 0.000596 0.001754  0.022456 -0.001656 -0.059874
FRRL 16JUN03 2016.4216 57542 1899 5   -8.3  -3088 -0.526292   4813984  0.286240   111  0.615584  0.0600 0.000469 0.000599 0.001771 -0.009114  0.009867 -0.069839
FRRL 16JUN04 2016.4244 57543 1899 6   -8.3  -3088 -0.525212   4813984  0.283490   111  0.622449  0.0600 0.000481 0.000598 0.001794 -0.016319 -0.005913 -0.039889
FRRL 16JUN05 2016.4271 57544 1900 0   -8.3  -3088 -0.522132   4813984  0.283938   111  0.632076  0.0600 0.000463 0.000589 0.001707  0.017497 -0.004893 -0.064203
FRRL 16JUN06 2016.4298 57545 1900 1   -8.3  -3088 -0.525366   4813984  0.283171   111  0.623620  0.0600 0.000468 0.000593 0.001741  0.016697 -0.027249 -0.051133
FRRL 16JUN07 2016.4326 57546 1900 2   -8.3  -3088 -0.523118   4813984  0.282328   111  0.632567  0.0600 0.000464 0.000587 0.001726  0.009045 -0.027095 -0.067682
FRRL 16JUN08 2016.4353 57547 1900 3   -8.3  -3088 -0.521089   4813984  0.283058   111  0.627365  0.0600 0.000464 0.000585 0.001723  0.013024 -0.032251 -0.091796
FRRL 16JUN09 2016.4381 57548 1900 4   -8.3  -3088 -0.524218   4813984  0.285165   111  0.630424  0.0600 0.000467 0.000591 0.001750  0.017866 -0.036773 -0.093280
FRRL 16JUN10 2016.4408 57549 1900 5   -8.3  -3088 -0.522414   4813984  0.285135   111  0.622258  0.0600 0.000463 0.000596 0.001717 -0.007765  0.006674 -0.056256
FRRL 16JUN11 2016.4435 57550 1900 6   -8.3  -3088 -0.523136   4813984  0.284615   111  0.623238  0.0600 0.000468 0.000588 0.001727  0.009162 -0.021333 -0.060848
FRRL 16JUN12 2016.4463 57551 1901 0   -8.3  -3088 -0.521406   4813984  0.283385   111  0.631111  0.0600 0.000470 0.000590 0.001752  0.009876 -0.023364 -0.061803
