site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GNFD 02JUN03 2002.4203 52428 1169 1 -114.7  -1355 -0.862819   5941323  0.638271   773  0.140950  0.0700 0.000717 0.001048 0.002799 -0.053348  0.007855  0.053515
GNFD 02JUN05 2002.4257 52430 1169 3 -114.7  -1355 -0.857271   5941323  0.632408   773  0.141809  0.0753 0.000756 0.001084 0.002994 -0.080926  0.009860  0.093855
GNFD 02JUN07 2002.4312 52432 1169 5 -114.7  -1355 -0.861792   5941323  0.633690   773  0.128671  0.0715 0.000765 0.001083 0.002921 -0.068389 -0.042207  0.065015
GNFD 02JUN08 2002.4339 52433 1169 6 -114.7  -1355 -0.861439   5941323  0.634386   773  0.128341  0.0715 0.000622 0.000866 0.002446  0.054661 -0.018419  0.080614
GNFD 04FEB07 2004.1013 53042 1256 6 -114.7  -1355 -0.886028   5941323  0.624985   773  0.141748  0.0685 0.000471 0.000640 0.001814  0.026931  0.005883  0.066309
GNFD 04FEB08 2004.1040 53043 1257 0 -114.7  -1355 -0.887338   5941323  0.623940   773  0.134262  0.0685 0.000472 0.000643 0.001799  0.031122  0.016407  0.063251
GNFD 04FEB09 2004.1068 53044 1257 1 -114.7  -1355 -0.885478   5941323  0.625370   773  0.141822  0.0710 0.000464 0.000644 0.001786  0.025554  0.008710  0.072086
GNFD 04FEB10 2004.1095 53045 1257 2 -114.7  -1355 -0.885295   5941323  0.623964   773  0.136703  0.0710 0.000468 0.000648 0.001836  0.017035 -0.010523  0.100399
GNFD 04FEB11 2004.1123 53046 1257 3 -114.7  -1355 -0.883483   5941323  0.621489   773  0.134968  0.0690 0.000511 0.000734 0.002034  0.100422 -0.031125 -0.031582
GNFD 06JUN19 2006.4641 53905 1380 1 -114.7  -1355 -0.923351   5941323  0.593047   773  0.137958  0.0771 0.000778 0.001178 0.002910 -0.016557 -0.022708  0.052967
GNFD 06JUN21 2006.4695 53907 1380 3 -114.7  -1355 -0.923246   5941323  0.588541   773  0.127813  0.0610 0.000749 0.001147 0.002801 -0.055762 -0.026808  0.100631
GNFD 06JUN22 2006.4723 53908 1380 4 -114.7  -1355 -0.922383   5941323  0.593296   773  0.137872  0.0610 0.000460 0.000672 0.001844 -0.016221 -0.001515  0.066511
GNFD 06JUN23 2006.4750 53909 1380 5 -114.7  -1355 -0.928112   5941323  0.595270   773  0.135619  0.0720 0.000457 0.000665 0.001814 -0.007262  0.013433  0.058814
GNFD 06JUN24 2006.4778 53910 1380 6 -114.7  -1355 -0.925572   5941323  0.591919   773  0.137445  0.0720 0.000573 0.000797 0.002329 -0.012059  0.038741  0.064857
GNFD 11JUN16 2011.4552 55728 1640 4 -114.7  -1355 -0.998534   5941323  0.538394   773  0.135972  0.0753 0.000700 0.000992 0.002656  0.039074  0.035124  0.076363
GNFD 11JUN17 2011.4579 55729 1640 5 -114.7  -1355 -0.997479   5941323  0.536362   773  0.135366  0.0753 0.000432 0.000606 0.001707  0.001946 -0.000436  0.092401
GNFD 11JUL11 2011.5236 55753 1644 1 -114.7  -1355 -1.001562   5941323  0.536778   773  0.144554  0.0755 0.000471 0.000680 0.001886  0.013939 -0.026505  0.093028
GNFD 11JUL12 2011.5264 55754 1644 2 -114.7  -1355 -1.002093   5941323  0.535792   773  0.139109  0.0755 0.000521 0.000722 0.002042  0.007500 -0.043731  0.084558
