site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GVG1 10DEC02 2010.9185 55532 1612 4 -118.1   -203 -0.050762   4323871  0.211281  1855  0.803102  0.1000 0.000441 0.000568 0.001710  0.032591 -0.017017 -0.079995
GVG1 10DEC03 2010.9213 55533 1612 5 -118.1   -203 -0.049683   4323871  0.213709  1855  0.804601  0.1000 0.000450 0.000577 0.001747  0.047303 -0.035950 -0.106998
GVG1 10DEC04 2010.9240 55534 1612 6 -118.1   -203 -0.047820   4323871  0.214323  1855  0.806766  0.1000 0.000440 0.000566 0.001719  0.030782 -0.034663 -0.089242
GVG1 10DEC05 2010.9268 55535 1613 0 -118.1   -203 -0.049250   4323871  0.212871  1855  0.809931  0.1000 0.000443 0.000566 0.001726  0.035929 -0.012286 -0.092729
GVG1 10DEC06 2010.9295 55536 1613 1 -118.1   -203 -0.051472   4323871  0.214577  1855  0.800672  0.1000 0.000440 0.000570 0.001722  0.032849 -0.029613 -0.077175
GVG1 10DEC07 2010.9322 55537 1613 2 -118.1   -203 -0.049815   4323871  0.213022  1855  0.808302  0.1000 0.000447 0.000578 0.001755  0.039516 -0.029993 -0.088289
GVG1 10DEC08 2010.9350 55538 1613 3 -118.1   -203 -0.049154   4323871  0.213488  1855  0.808964  0.1000 0.000440 0.000568 0.001718  0.034228 -0.030357 -0.077838
GVG1 10DEC09 2010.9377 55539 1613 4 -118.1   -203 -0.048280   4323871  0.213528  1855  0.804518  0.1000 0.000443 0.000570 0.001728  0.030625 -0.031640 -0.084586
GVG1 10DEC10 2010.9405 55540 1613 5 -118.1   -203 -0.047655   4323871  0.211467  1855  0.812788  0.1000 0.000443 0.000575 0.001744  0.020408 -0.031308 -0.082848
GVG1 10DEC11 2010.9432 55541 1613 6 -118.1   -203 -0.048606   4323871  0.212605  1855  0.811256  0.1000 0.000440 0.000570 0.001715  0.041053 -0.031258 -0.078376
