site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HKQT 14SEP08 2014.6858 56908 1809 1  114.2   1362  0.425627   2466027  0.273391     5  0.149898  0.0080 0.000603 0.000629 0.002686  0.002283  0.145209  0.262315
HKQT 14SEP09 2014.6886 56909 1809 2  114.2   1362  0.425412   2466027  0.278568     5  0.143925  0.0080 0.000577 0.000616 0.002664 -0.031594  0.103507  0.279148
HKQT 14SEP10 2014.6913 56910 1809 3  114.2   1362  0.427007   2466027  0.276702     5  0.132554  0.0080 0.000616 0.000646 0.002724 -0.017981  0.087316  0.271414
HKQT 14SEP12 2014.6968 56912 1809 5  114.2   1362  0.426096   2466027  0.279194     5  0.151424  0.0080 0.000572 0.000601 0.002539 -0.007840  0.119073  0.219847
HKQT 14SEP13 2014.6995 56913 1809 6  114.2   1362  0.429981   2466027  0.276803     5  0.142830  0.0080 0.000573 0.000602 0.002544 -0.028918  0.110793  0.236261
HKQT 15SEP06 2015.6797 57271 1861 0  114.2   1362  0.459985   2466027  0.263480     5  0.148029  0.0083 0.000537 0.000583 0.002494 -0.008010  0.109864  0.229582
HKQT 15SEP07 2015.6824 57272 1861 1  114.2   1362  0.460017   2466027  0.262363     5  0.144007  0.0083 0.000543 0.000590 0.002525  0.003848  0.100110  0.234885
HKQT 15SEP08 2015.6851 57273 1861 2  114.2   1362  0.465406   2466027  0.263177     5  0.129332  0.0083 0.000550 0.000594 0.002616 -0.014003  0.137431  0.232065
HKQT 15SEP09 2015.6879 57274 1861 3  114.2   1362  0.460449   2466027  0.264154     5  0.117761  0.0083 0.000539 0.000585 0.002495  0.001589  0.103320  0.220363
HKQT 15SEP10 2015.6906 57275 1861 4  114.2   1362  0.459824   2466027  0.265139     5  0.135403  0.0083 0.000551 0.000602 0.002643 -0.021004  0.122948  0.216347
HKQT 15SEP11 2015.6934 57276 1861 5  114.2   1362  0.455016   2466027  0.261964     5  0.135735  0.0083 0.000560 0.000591 0.002514 -0.026771  0.116230  0.201687
HKQT 15SEP12 2015.6961 57277 1861 6  114.2   1362  0.462357   2466027  0.260784     5  0.127182  0.0083 0.000533 0.000575 0.002470 -0.001770  0.129403  0.212296
HKQT 16SEP18 2016.7146 57649 1915 0  114.2   1362  0.492926   2466027  0.250952     5  0.137592  0.0083 0.000548 0.000601 0.002533  0.052711  0.077211  0.217390
HKQT 16SEP19 2016.7173 57650 1915 1  114.2   1362  0.494196   2466027  0.251667     5  0.138734  0.0083 0.000546 0.000589 0.002519  0.063727  0.070406  0.202101
HKQT 16SEP20 2016.7201 57651 1915 2  114.2   1362  0.497698   2466027  0.249077     5  0.135588  0.0083 0.000552 0.000602 0.002536  0.060446  0.060211  0.211031
HKQT 16SEP21 2016.7228 57652 1915 3  114.2   1362  0.492630   2466027  0.248943     5  0.121592  0.0083 0.000548 0.000595 0.002507  0.040279  0.049208  0.201168
HKQT 16SEP22 2016.7255 57653 1915 4  114.2   1362  0.494462   2466027  0.257974     5  0.146059  0.0083 0.000552 0.000596 0.002476  0.071147  0.081181  0.187817
HKQT 16SEP23 2016.7283 57654 1915 5  114.2   1362  0.493825   2466027  0.255131     5  0.137126  0.0083 0.000555 0.000600 0.002484  0.073209  0.064795  0.196570
HKQT 16SEP24 2016.7310 57655 1915 6  114.2   1362  0.494309   2466027  0.252534     5  0.135477  0.0083 0.000544 0.000590 0.002490  0.052397  0.061233  0.223782
HKQT 17SEP17 2017.7112 58013 1967 0  114.2   1362  0.526837   2466027  0.238149     5  0.145631  0.0083 0.000548 0.000618 0.002533  0.090751  0.068065  0.190539
HKQT 17SEP18 2017.7139 58014 1967 1  114.2   1362  0.522578   2466027  0.245530     5  0.139323  0.0083 0.000539 0.000598 0.002533  0.053047  0.113797  0.205054
HKQT 17SEP19 2017.7166 58015 1967 2  114.2   1362  0.522821   2466027  0.240777     5  0.128192  0.0083 0.000538 0.000602 0.002509  0.067428  0.069254  0.213145
HKQT 17SEP20 2017.7194 58016 1967 3  114.2   1362  0.527358   2466027  0.241545     5  0.139105  0.0083 0.000553 0.000596 0.002506  0.077825  0.088676  0.199432
HKQT 17SEP21 2017.7221 58017 1967 4  114.2   1362  0.524349   2466027  0.238916     5  0.143941  0.0083 0.000547 0.000603 0.002533  0.060031  0.060401  0.223770
HKQT 17SEP22 2017.7248 58018 1967 5  114.2   1362  0.526324   2466027  0.238673     5  0.147272  0.0083 0.000558 0.000628 0.002664  0.073472  0.038665  0.234684
HKQT 17SEP23 2017.7276 58019 1967 6  114.2   1362  0.530352   2466027  0.240725     5  0.134764  0.0083 0.000539 0.000604 0.002547  0.057263  0.059889  0.212940
