site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
INSB 10AUG05 2010.5927 55413 1595 4  -84.9  -3495 -0.495586   4414782  0.840270   290  0.863665  0.0000 0.000494 0.000587 0.001872 -0.029283  0.044172 -0.117397
INSB 10AUG06 2010.5955 55414 1595 5  -84.9  -3495 -0.494901   4414782  0.841531   290  0.855909  0.0000 0.000496 0.000584 0.001877 -0.029230  0.033816 -0.123631
INSB 10AUG07 2010.5982 55415 1595 6  -84.9  -3495 -0.495092   4414782  0.841281   290  0.848396  0.0000 0.000486 0.000585 0.001826 -0.038178  0.025018 -0.103204
INSB 10AUG08 2010.6010 55416 1596 0  -84.9  -3495 -0.496112   4414782  0.840384   290  0.861940  0.0000 0.000486 0.000581 0.001817 -0.043960  0.036424 -0.098617
INSB 10AUG09 2010.6037 55417 1596 1  -84.9  -3495 -0.493885   4414782  0.838958   290  0.863688  0.0000 0.000485 0.000579 0.001793 -0.035811  0.031252 -0.071038
INSB 10AUG10 2010.6064 55418 1596 2  -84.9  -3495 -0.495369   4414782  0.838942   290  0.857526  0.0000 0.000487 0.000579 0.001805 -0.031380  0.024009 -0.075412
INSB 10AUG11 2010.6092 55419 1596 3  -84.9  -3495 -0.495171   4414782  0.840341   290  0.853458  0.0000 0.000492 0.000584 0.001865 -0.041159  0.022651 -0.121741
INSB 10AUG12 2010.6119 55420 1596 4  -84.9  -3495 -0.497166   4414782  0.842815   290  0.854331  0.0000 0.000497 0.000588 0.001876 -0.015516  0.026191 -0.134679
INSB 10AUG13 2010.6146 55421 1596 5  -84.9  -3495 -0.496234   4414782  0.842286   290  0.855565  0.0000 0.000491 0.000587 0.001858 -0.020832  0.007467 -0.147225
INSB 10AUG14 2010.6174 55422 1596 6  -84.9  -3495 -0.493216   4414782  0.838664   290  0.852612  0.0000 0.000492 0.000588 0.001842 -0.030079  0.029933 -0.112080
INSB 10AUG15 2010.6201 55423 1597 0  -84.9  -3495 -0.495453   4414782  0.845771   290  0.842440  0.0000 0.000495 0.000586 0.001880 -0.034484  0.063749 -0.119277
INSB 10AUG16 2010.6229 55424 1597 1  -84.9  -3495 -0.494871   4414782  0.840199   290  0.856570  0.0000 0.000496 0.000585 0.001860 -0.034613  0.059768 -0.108905
