site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
JEAN 07MAY10 2007.3539 54230 1426 4 -115.2   1996  0.860983   3969013  0.482677   920  0.206576  0.1000 0.000481 0.000614 0.001890 -0.012392 -0.006203 -0.179867
JEAN 07MAY11 2007.3566 54231 1426 5 -115.2   1996  0.863846   3969013  0.483524   920  0.205689  0.1000 0.000483 0.000608 0.001873 -0.011837  0.003960 -0.167263
JEAN 07MAY12 2007.3593 54232 1426 6 -115.2   1996  0.863818   3969013  0.482913   920  0.206883  0.1000 0.000465 0.000584 0.001782  0.028728 -0.017534 -0.178290
JEAN 07MAY13 2007.3621 54233 1427 0 -115.2   1996  0.863497   3969013  0.481541   920  0.208123  0.1000 0.000466 0.000589 0.001804  0.019315 -0.015371 -0.180138
JEAN 07MAY14 2007.3648 54234 1427 1 -115.2   1996  0.862904   3969013  0.482862   920  0.208121  0.1000 0.000491 0.000607 0.001869 -0.008502 -0.066967 -0.143621
JEAN 07MAY15 2007.3676 54235 1427 2 -115.2   1996  0.864613   3969013  0.481730   920  0.205541  0.1000 0.000469 0.000590 0.001824  0.006555 -0.010561 -0.200845
JEAN 07MAY16 2007.3703 54236 1427 3 -115.2   1996  0.864158   3969013  0.482046   920  0.207157  0.1000 0.000467 0.000585 0.001797  0.019668 -0.026069 -0.192812
JEAN 07MAY17 2007.3730 54237 1427 4 -115.2   1996  0.861359   3969013  0.482363   920  0.200609  0.1000 0.000478 0.000587 0.001830  0.045081 -0.042611 -0.177535
JEAN 07MAY18 2007.3758 54238 1427 5 -115.2   1996  0.863116   3969013  0.481810   920  0.208032  0.1000 0.000479 0.000588 0.001832  0.043730 -0.032409 -0.168254
JEAN 07MAY19 2007.3785 54239 1427 6 -115.2   1996  0.862342   3969013  0.481788   920  0.207125  0.1000 0.000467 0.000589 0.001818  0.021637 -0.002225 -0.197006
JEAN 07MAY20 2007.3812 54240 1428 0 -115.2   1996  0.863562   3969013  0.481099   920  0.206418  0.1000 0.000473 0.000592 0.001841  0.017621  0.001238 -0.201277
JEAN 07MAY21 2007.3840 54241 1428 1 -115.2   1996  0.862078   3969013  0.482085   920  0.207245  0.1000 0.000467 0.000587 0.001813  0.016355 -0.026512 -0.203990
JEAN 07MAY22 2007.3867 54242 1428 2 -115.2   1996  0.862303   3969013  0.480782   920  0.207122  0.1000 0.000465 0.000583 0.001793  0.027221 -0.028203 -0.191533
JEAN 07MAY23 2007.3895 54243 1428 3 -115.2   1996  0.862082   3969013  0.481276   920  0.192178  0.1000 0.000472 0.000583 0.001815  0.012539  0.003417 -0.183478
JEAN 07MAY24 2007.3922 54244 1428 4 -115.2   1996  0.861063   3969013  0.481412   920  0.207010  0.1000 0.000478 0.000599 0.001859  0.031344 -0.006732 -0.212187
JEAN 07MAY25 2007.3949 54245 1428 5 -115.2   1996  0.863790   3969013  0.480422   920  0.207275  0.1000 0.000470 0.000593 0.001838  0.030584 -0.015491 -0.201990
JEAN 07MAY26 2007.3977 54246 1428 6 -115.2   1996  0.863346   3969013  0.481583   920  0.212090  0.1000 0.000466 0.000587 0.001807  0.018055 -0.012026 -0.193407
JEAN 07MAY27 2007.4004 54247 1429 0 -115.2   1996  0.861836   3969013  0.482062   920  0.209525  0.1000 0.000464 0.000584 0.001801  0.026220 -0.030272 -0.190747
JEAN 07MAY28 2007.4031 54248 1429 1 -115.2   1996  0.859780   3969013  0.479817   920  0.203680  0.1000 0.000466 0.000583 0.001797  0.030709 -0.031251 -0.187760
JEAN 07MAY29 2007.4059 54249 1429 2 -115.2   1996  0.861743   3969013  0.478767   920  0.205826  0.1000 0.000470 0.000588 0.001827  0.024207 -0.001885 -0.194121
JEAN 07MAY30 2007.4086 54250 1429 3 -115.2   1996  0.860101   3969013  0.479793   920  0.206595  0.1000 0.000474 0.000605 0.001860  0.014108 -0.005367 -0.184575
JEAN 07MAY31 2007.4114 54251 1429 4 -115.2   1996  0.861863   3969013  0.478908   920  0.206730  0.1000 0.000468 0.000588 0.001810  0.027344 -0.007143 -0.180609
JEAN 07JUN01 2007.4141 54252 1429 5 -115.2   1996  0.861256   3969013  0.480312   920  0.209318  0.1000 0.000467 0.000589 0.001810  0.023779 -0.014193 -0.178148
JEAN 07JUN02 2007.4168 54253 1429 6 -115.2   1996  0.859830   3969013  0.480888   920  0.205929  0.1000 0.000466 0.000583 0.001806  0.019572 -0.022072 -0.184476
JEAN 07JUN03 2007.4196 54254 1430 0 -115.2   1996  0.860316   3969013  0.479158   920  0.206345  0.1000 0.000468 0.000586 0.001816  0.027487 -0.012696 -0.193319
JEAN 07JUN04 2007.4223 54255 1430 1 -115.2   1996  0.861354   3969013  0.480900   920  0.209805  0.1000 0.000469 0.000583 0.001806  0.032009 -0.018235 -0.168237
JEAN 07JUN05 2007.4251 54256 1430 2 -115.2   1996  0.860925   3969013  0.478363   920  0.219918  0.1000 0.000473 0.000602 0.001864  0.028152  0.003460 -0.199618
JEAN 07JUN06 2007.4278 54257 1430 3 -115.2   1996  0.865261   3969013  0.479005   920  0.208912  0.1000 0.000466 0.000588 0.001797  0.029764 -0.038906 -0.170969
JEAN 07JUN07 2007.4305 54258 1430 4 -115.2   1996  0.859846   3969013  0.480246   920  0.203069  0.1000 0.000460 0.000585 0.001775  0.022553 -0.036968 -0.169093
JEAN 07JUN08 2007.4333 54259 1430 5 -115.2   1996  0.861722   3969013  0.478421   920  0.207981  0.1000 0.000464 0.000582 0.001792  0.023051 -0.018868 -0.181577
JEAN 07JUN09 2007.4360 54260 1430 6 -115.2   1996  0.860709   3969013  0.478690   920  0.208694  0.1000 0.000465 0.000582 0.001800  0.032652 -0.021224 -0.193277
JEAN 07JUN10 2007.4387 54261 1431 0 -115.2   1996  0.860958   3969013  0.478237   920  0.205117  0.1000 0.000470 0.000583 0.001823  0.035093 -0.022619 -0.195484
JEAN 07JUN11 2007.4415 54262 1431 1 -115.2   1996  0.859907   3969013  0.480067   920  0.206108  0.1000 0.000475 0.000586 0.001806  0.036815 -0.044697 -0.159282
JEAN 07JUN12 2007.4442 54263 1431 2 -115.2   1996  0.861485   3969013  0.479422   920  0.209305  0.1000 0.000478 0.000590 0.001824  0.024206 -0.025035 -0.159469
JEAN 10OCT25 2010.8145 55494 1607 1 -115.2   1996  0.812267   3969013  0.448227   920  0.229711  0.1000 0.000456 0.000562 0.001758  0.065572 -0.025729 -0.131788
JEAN 10OCT26 2010.8172 55495 1607 2 -115.2   1996  0.808983   3969013  0.448439   920  0.214720  0.1000 0.000454 0.000563 0.001759  0.060739 -0.050300 -0.121185
JEAN 10OCT27 2010.8200 55496 1607 3 -115.2   1996  0.808244   3969013  0.449976   920  0.198432  0.1000 0.000454 0.000565 0.001756  0.053761 -0.028886 -0.118948
JEAN 10OCT28 2010.8227 55497 1607 4 -115.2   1996  0.809052   3969013  0.448289   920  0.205282  0.1000 0.000451 0.000563 0.001747  0.046043 -0.030359 -0.118275
JEAN 10OCT29 2010.8255 55498 1607 5 -115.2   1996  0.809469   3969013  0.447859   920  0.202256  0.1000 0.000451 0.000558 0.001731  0.050482 -0.026660 -0.119299
JEAN 10OCT30 2010.8282 55499 1607 6 -115.2   1996  0.807002   3969013  0.450255   920  0.212724  0.1000 0.000450 0.000557 0.001726  0.046026 -0.024285 -0.135421
JEAN 10OCT31 2010.8309 55500 1608 0 -115.2   1996  0.807675   3969013  0.447908   920  0.203574  0.1000 0.000466 0.000567 0.001772  0.067116 -0.029206 -0.090309
JEAN 10NOV01 2010.8337 55501 1608 1 -115.2   1996  0.810365   3969013  0.444927   920  0.203080  0.1000 0.000463 0.000568 0.001769  0.059988 -0.023936 -0.091098
JEAN 10NOV02 2010.8364 55502 1608 2 -115.2   1996  0.807619   3969013  0.447701   920  0.199895  0.1000 0.000447 0.000561 0.001732  0.049265 -0.026638 -0.101871
JEAN 10NOV03 2010.8392 55503 1608 3 -115.2   1996  0.811356   3969013  0.446712   920  0.206595  0.1000 0.000451 0.000563 0.001744  0.040497 -0.029321 -0.106800
JEAN 10NOV04 2010.8419 55504 1608 4 -115.2   1996  0.810848   3969013  0.446412   920  0.207480  0.1000 0.000449 0.000559 0.001727  0.056768 -0.028665 -0.121054
JEAN 10NOV05 2010.8446 55505 1608 5 -115.2   1996  0.809205   3969013  0.445595   920  0.208525  0.1000 0.000451 0.000562 0.001743  0.055362 -0.020403 -0.130454
JEAN 10NOV06 2010.8474 55506 1608 6 -115.2   1996  0.811241   3969013  0.448789   920  0.210274  0.1000 0.000451 0.000563 0.001744  0.051772 -0.032206 -0.118486
JEAN 10NOV07 2010.8501 55507 1609 0 -115.2   1996  0.809621   3969013  0.447040   920  0.206319  0.1000 0.000453 0.000563 0.001755  0.051408 -0.039510 -0.108572
JEAN 10NOV08 2010.8528 55508 1609 1 -115.2   1996  0.809817   3969013  0.446524   920  0.202687  0.1000 0.000447 0.000557 0.001723  0.045085 -0.016778 -0.094955
JEAN 10NOV09 2010.8556 55509 1609 2 -115.2   1996  0.810142   3969013  0.447806   920  0.198447  0.1000 0.000448 0.000562 0.001741  0.052653 -0.026198 -0.124027
JEAN 10NOV10 2010.8583 55510 1609 3 -115.2   1996  0.808944   3969013  0.448519   920  0.200708  0.1000 0.000452 0.000562 0.001754  0.052704 -0.026938 -0.142747
JEAN 10NOV11 2010.8611 55511 1609 4 -115.2   1996  0.809699   3969013  0.448525   920  0.195742  0.1000 0.000449 0.000559 0.001730  0.043192 -0.010513 -0.127489
JEAN 10NOV12 2010.8638 55512 1609 5 -115.2   1996  0.809646   3969013  0.448180   920  0.200847  0.1000 0.000452 0.000563 0.001739  0.051230 -0.011139 -0.115190
JEAN 10NOV13 2010.8665 55513 1609 6 -115.2   1996  0.810133   3969013  0.447229   920  0.198986  0.1000 0.000473 0.000599 0.001828  0.020216  0.006465 -0.104802
JEAN 10NOV14 2010.8693 55514 1610 0 -115.2   1996  0.809956   3969013  0.449170   920  0.197150  0.1000 0.000505 0.000640 0.001944  0.014778 -0.010428 -0.090570
JEAN 10NOV15 2010.8720 55515 1610 1 -115.2   1996  0.809428   3969013  0.447200   920  0.206562  0.1000 0.000517 0.000664 0.001999  0.002874 -0.019155 -0.108244
JEAN 10NOV16 2010.8747 55516 1610 2 -115.2   1996  0.808638   3969013  0.446454   920  0.205075  0.1000 0.000521 0.000674 0.002012  0.022109 -0.018189 -0.110353
JEAN 10NOV17 2010.8775 55517 1610 3 -115.2   1996  0.808371   3969013  0.449146   920  0.203723  0.1000 0.000525 0.000676 0.002025  0.025500 -0.017644 -0.087212
JEAN 10NOV18 2010.8802 55518 1610 4 -115.2   1996  0.809757   3969013  0.447451   920  0.204089  0.1000 0.000530 0.000674 0.002040  0.019201 -0.030379 -0.107184
JEAN 10NOV19 2010.8830 55519 1610 5 -115.2   1996  0.807449   3969013  0.448468   920  0.209651  0.1000 0.000534 0.000701 0.002116  0.025770 -0.027001 -0.126593
JEAN 10NOV23 2010.8939 55523 1611 2 -115.2   1996  0.805450   3969013  0.446114   920  0.201319  0.1000 0.000534 0.000683 0.002072  0.005497 -0.041876 -0.114843
JEAN 10NOV24 2010.8966 55524 1611 3 -115.2   1996  0.810625   3969013  0.442719   920  0.206885  0.1000 0.000543 0.000692 0.002116 -0.009232 -0.015240 -0.111472
JEAN 10NOV26 2010.9021 55526 1611 5 -115.2   1996  0.808766   3969013  0.445413   920  0.203536  0.1000 0.000549 0.000702 0.002125 -0.019462 -0.034310 -0.090121
JEAN 10NOV27 2010.9049 55527 1611 6 -115.2   1996  0.810728   3969013  0.445371   920  0.202763  0.1000 0.000542 0.000693 0.002105 -0.002983 -0.039416 -0.090761
JEAN 11JAN18 2011.0472 55579 1619 2 -115.2   1996  0.808166   3969013  0.446629   920  0.205676  0.1000 0.000562 0.000724 0.002240  0.050713 -0.092330 -0.180838
JEAN 11JAN19 2011.0500 55580 1619 3 -115.2   1996  0.809658   3969013  0.448344   920  0.200195  0.1000 0.000562 0.000726 0.002224  0.030774 -0.059383 -0.172114
JEAN 11JAN20 2011.0527 55581 1619 4 -115.2   1996  0.810979   3969013  0.446432   920  0.207750  0.1000 0.000526 0.000686 0.002096  0.052082 -0.046065 -0.167130
JEAN 11JAN21 2011.0554 55582 1619 5 -115.2   1996  0.809715   3969013  0.445571   920  0.209644  0.1000 0.000542 0.000694 0.002167  0.038075 -0.042946 -0.161207
JEAN 11JAN22 2011.0582 55583 1619 6 -115.2   1996  0.810245   3969013  0.449622   920  0.208022  0.1000 0.000530 0.000679 0.002105  0.070593 -0.059416 -0.164828
JEAN 11JAN24 2011.0637 55585 1620 1 -115.2   1996  0.810328   3969013  0.449690   920  0.204950  0.1000 0.000546 0.000695 0.002169  0.063917 -0.079526 -0.151779
JEAN 11JAN26 2011.0691 55587 1620 3 -115.2   1996  0.809130   3969013  0.447387   920  0.200643  0.1000 0.000528 0.000678 0.002122  0.069815 -0.085204 -0.160780
JEAN 11JAN27 2011.0719 55588 1620 4 -115.2   1996  0.810715   3969013  0.448100   920  0.200304  0.1000 0.000524 0.000668 0.002080  0.071112 -0.078631 -0.138985
JEAN 11JAN28 2011.0746 55589 1620 5 -115.2   1996  0.810568   3969013  0.449096   920  0.206986  0.1000 0.000521 0.000667 0.002070  0.063717 -0.064033 -0.136441
JEAN 11JAN29 2011.0773 55590 1620 6 -115.2   1996  0.809745   3969013  0.445374   920  0.201989  0.1000 0.000516 0.000662 0.002028  0.077845 -0.076154 -0.140079
JEAN 11JAN30 2011.0801 55591 1621 0 -115.2   1996  0.807816   3969013  0.446532   920  0.204283  0.1000 0.000512 0.000645 0.002006  0.067954 -0.049513 -0.144462
JEAN 11FEB01 2011.0856 55593 1621 2 -115.2   1996  0.810830   3969013  0.444131   920  0.189193  0.1000 0.000522 0.000668 0.002062  0.083557 -0.068785 -0.158092
JEAN 11FEB02 2011.0883 55594 1621 3 -115.2   1996  0.811221   3969013  0.446380   920  0.191574  0.1000 0.000523 0.000672 0.002084  0.089225 -0.075517 -0.139442
JEAN 11FEB03 2011.0910 55595 1621 4 -115.2   1996  0.807872   3969013  0.445498   920  0.196030  0.1000 0.000504 0.000642 0.001991  0.097888 -0.088477 -0.135903
JEAN 11FEB04 2011.0938 55596 1621 5 -115.2   1996  0.809017   3969013  0.446076   920  0.202770  0.1000 0.000495 0.000635 0.001960  0.094558 -0.076401 -0.155184
JEAN 11FEB05 2011.0965 55597 1621 6 -115.2   1996  0.807752   3969013  0.446924   920  0.202178  0.1000 0.000504 0.000638 0.002001  0.102838 -0.095669 -0.171581
JEAN 11FEB06 2011.0992 55598 1622 0 -115.2   1996  0.807792   3969013  0.447314   920  0.203528  0.1000 0.000538 0.000705 0.002158  0.072150 -0.067875 -0.171411
JEAN 11FEB07 2011.1020 55599 1622 1 -115.2   1996  0.810080   3969013  0.447901   920  0.202355  0.1000 0.000507 0.000645 0.002004  0.105719 -0.084138 -0.144666
