site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LCLU 08NOV08 2008.8542 54778 1504 6  -97.7   3798  0.156339   3290417  0.628538   120  0.033081  0.0000 0.000571 0.000608 0.002268  0.070752 -0.058245 -0.141328
LCLU 08NOV09 2008.8569 54779 1505 0  -97.7   3798  0.155222   3290417  0.629054   120  0.035817  0.0000 0.000579 0.000612 0.002305  0.059858 -0.037853 -0.151618
LCLU 08NOV10 2008.8597 54780 1505 1  -97.7   3798  0.153882   3290417  0.633471   120  0.032970  0.0000 0.000585 0.000616 0.002325  0.071962 -0.028698 -0.138222
LCLU 08NOV11 2008.8624 54781 1505 2  -97.7   3798  0.156577   3290417  0.628094   120  0.027301  0.0000 0.000672 0.000710 0.002688  0.096375  0.021897 -0.155056
LCLU 08NOV17 2008.8789 54787 1506 1  -97.7   3798  0.155672   3290417  0.630470   120  0.031781  0.0000 0.000628 0.000657 0.002423  0.105817 -0.013154 -0.139566
LCLU 08NOV18 2008.8816 54788 1506 2  -97.7   3798  0.156542   3290417  0.632165   120  0.026201  0.0000 0.000576 0.000614 0.002293  0.082578 -0.030638 -0.143456
LCLU 08NOV19 2008.8843 54789 1506 3  -97.7   3798  0.157382   3290417  0.632002   120  0.029608  0.0000 0.000574 0.000612 0.002274  0.075528 -0.041140 -0.143313
LCLU 08NOV20 2008.8871 54790 1506 4  -97.7   3798  0.155549   3290417  0.632601   120  0.026705  0.0000 0.000581 0.000623 0.002345  0.042353 -0.006008 -0.150242
LCLU 08NOV21 2008.8898 54791 1506 5  -97.7   3798  0.158242   3290417  0.632631   120  0.023943  0.0000 0.000583 0.000629 0.002352  0.055904 -0.005653 -0.133093
LCLU 08NOV22 2008.8925 54792 1506 6  -97.7   3798  0.157082   3290417  0.630193   120  0.024413  0.0000 0.000577 0.000617 0.002294  0.076297 -0.033879 -0.132027
